t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.0,22.581204899085023,-20.351640776613454,-35.94081574214228,27.67471559357986,-23.018537597604805,-8.486751352193203,-15.498713237437151,-34.32342128350078,25.801768875981924,26.36128043751267,35.93122724280914
0.01,0.001001001001001001,22.581656161728425,-20.352049722867953,-35.94153497751719,27.67526833205715,-23.01899899609441,-8.486923786280276,-15.49902530428602,-34.32410945203768,25.802284820209827,26.36180535798316,35.931944626581924
0.02,0.002002002002002002,22.58209362210839,-20.352490931828978,-35.94223489564621,27.67581957296354,-23.019430249937077,-8.487125655063696,-15.49933190930881,-34.324779376568884,25.802825102281478,26.362333805666527,35.93263797481068
0.03,0.003003003003003003,22.58251725247168,-20.35296436802032,-35.94291551664804,27.67636927940685,-23.019831360494763,-8.48735696345747,-15.499633068067974,-34.32543104617433,25.803389761121576,26.362865796229983,35.93330729310978
0.04,0.004004004004004004,22.582927023998256,-20.353469996548235,-35.943576857399066,27.676917415429994,-23.020202328096875,-8.487617718954652,-15.49992879678463,-34.32606445182348,25.803978837146893,26.363401347233438,35.93395258527532
0.05,0.005005005005005005,22.583322906793583,-20.354007783100837,-35.94421893153004,27.67746394600573,-23.020543152029855,-8.487907931627745,-15.500219112340169,-34.32667958636878,25.804592372270864,26.36394047813173,35.93457385327248
0.06,0.006006006006006006,22.583704869881025,-20.354577693947096,-35.944841749422736,27.67800883703145,-23.020853830527724,-8.488227614128654,-15.500504032278135,-34.32727644453994,25.805230409908376,26.364483210277154,35.93517109722324
0.07,0.007007007007007007,22.58407288119432,-20.35517969593545,-35.94544531820653,27.678552055324086,-23.02113436076357,-8.488576781688188,-15.500783574806388,-34.32785502293886,25.80589299498077,26.365029566922228,35.935744315394544
0.08,0.008008008008008008,22.584426907570162,-20.355813756492058,-35.94602964175488,27.679093568615116,-23.02138473884203,-8.488955452115132,-15.501057758799517,-34.32841532003544,25.806580173921052,26.365579573222764,35.93629350418693
0.09,0.009009009009009009,22.584766914740847,-20.35647984361864,-35.946594720681745,27.679633345545636,-23.02160495979271,-8.489363645794862,-15.501326603801537,-34.328957336164,25.80729199467931,26.366133256241177,35.93681865812349
0.1,0.01001001001001001,22.58509286732704,-20.35717792588999,-35.94714055233787,27.680171355661553,-23.02179501756457,-8.489801385687512,-15.501590130028843,-34.3294810735206,25.80802850672834,26.36669064495008,35.937319769839334
0.11,0.011011011011011011,22.585404728830635,-20.357907972451084,-35.94766713080706,27.680707569408877,-23.02195490502128,-8.490268697325693,-15.501848358373424,-34.329986536160966,25.80878976106947,26.367251770236116,35.93779683007138
0.12,0.012012012012012012,22.585702461627704,-20.358669953013866,-35.9481744469023,27.6812419581291,-23.022084613937515,-8.490765608811746,-15.502101310406344,-34.33047372999934,25.809575810238574,26.36781666490409,35.93824982764861
0.13,0.013013013013013013,22.585986026961574,-20.359463837853635,-35.94866248816179,27.681774494054693,-23.022184134996266,-8.491292150814546,-15.502349008381485,-34.33094266280793,25.810386708312304,26.368385363681327,35.93867874948272
0.14,0.014014014014014014,22.586255384935995,-20.360289597805117,-35.94913123884489,27.682305150304696,-23.022253457787055,-8.491848356565827,-15.502591475239537,-34.331393344217226,25.811222510914504,26.36895790322231,35.93908358055912
0.15,0.015015015015015015,22.586510494508435,-20.361147204258163,-35.949580679928005,27.68283390088041,-23.022292570805178,-8.492434261856033,-15.50282873461226,-34.331825785717044,25.812083275222825,26.369534322113573,35.93946430392842
0.16,0.016016016016016016,22.586751313483493,-20.362036629153113,-35.95001078910032,27.683360720661224,-23.022301461451892,-8.493049905029695,-15.503060810826982,-34.33224000065831,25.812969059975515,26.370114660878837,35.93982090069822
0.17,0.017017017017017015,22.586977798506435,-20.362957844975824,-35.950421540759486,27.6838855854005,-23.022280116035596,-8.4936953269803,-15.503287728911364,-34.332636004255626,25.813879925478414,26.370698961984417,35.940153350025405
0.18,0.018018018018018018,22.587189905056864,-20.36391082475236,-35.95081290600721,27.68440847172162,-23.02222851977399,-8.494370571144678,-15.503509514598406,-34.333013813590576,25.814815933612135,26.37128726984486,35.94046162910871
0.19,0.01901901901901902,22.5873875874425,-20.364895542043335,-35.95118485264473,27.684929357114108,-23.022146656797243,-8.495075683496863,-15.503726194331707,-34.33337344761583,25.81577714783941,26.371879630828843,35.94074571318182
0.2,0.02002002002002002,22.587570798793138,-20.365911970937958,-35.95153734516827,27.685448219929864,-23.022034510152153,-8.495810712541438,-15.503937795270962,-34.33371492715993,25.816763633212627,26.372476093265316,35.94100557550674
0.21,0.02102102102102102,22.587739491054716,-20.366960086047726,-35.951870344764345,27.685965039379525,-23.0218920618073,-8.496575709306342,-15.504144345297723,-34.33403827493294,25.817775456381558,26.37307670744988,35.94124118736767
