t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46
0.0,0.0,30.221969574768664,-31.35394963413856,0.3525776047063648,-34.160530475060206,31.16201078160949,30.683548636671407,-17.34634582300684,5.117822864026555,3.7083860239574284,7.466346120438727,34.290148875152006,-20.305557851359065,-22.671628561250312,1.0478135721204982,33.80671766386531,-2.016820070470145,1.645287428351883,19.303518675189373,-37.1762317688382,-29.770012420694435,21.462501669889967,-38.41850475897843,28.48989498163928,1.6696014908947299,-5.565036575085803,29.31323481765263,-11.0994762133978,1.4454723800562361,10.355545485067378,-12.406494334762806,4.054871226542365,9.315868680618367,-30.89976344996998,13.354377970491425,10.034418998795536,-13.064559602777843,19.182031723167224,-12.818457273889015,18.244031806976075,28.433253021924642,-39.86492606473968,-1.7169124341113513,-35.01950514400291,20.95672070429775,-35.8418344750911,-12.905476387958819,33.10161286930217
0.01,0.001001001001001001,30.222570881411684,-31.35457964284659,0.35258425374363456,-34.16121682424805,31.162633280129725,30.68416106174904,-17.346693968580833,5.117923116414606,3.7084572525952355,7.466492788596978,34.29083369395173,-20.305965610432736,-22.67208338696989,1.0478338071538524,33.80739211930777,-2.0168632781679365,1.6453188977491842,19.303903392483424,-37.17697824383054,-29.770610266324756,21.46292867063565,-38.419275651010686,28.490464487996576,1.6696332551003066,-5.565150593358574,29.31381847750715,-11.099700809197888,1.4455004316920441,10.355752409859074,-12.406744571175466,4.05495046079662,9.316052887928402,-30.900382738908757,13.354644437426385,10.03461877727716,-13.064821340453472,19.182412902946695,-12.818714939063486,18.244396580259874,28.43381972653706,-39.865725438709326,-1.7169477101106587,-35.02020693567868,20.95713914088699,-35.84255154226094,-12.905735971642885,33.10227459942549
0.02,0.002002002002002002,30.223179680142547,-31.35519354997386,0.3526149480315613,-34.1619367271914,31.163258112697207,30.684787386666475,-17.34707097773393,5.118021553319397,3.70850702160696,7.466626339366968,34.29152849910257,-20.3063717174727,-22.672554523076524,1.0478488225244385,33.80808916605904,-2.016906746796328,1.6453140585965673,19.304309567487547,-37.177685483605565,-29.771211761431843,21.463346163268152,-38.42006299881263,28.491038599045126,1.669670123247198,-5.565240947969826,29.31439508208464,-11.09993428593664,1.4455017440390383,10.355953304740959,-12.407003483031612,4.055032730241502,9.316229802819837,-30.900982021519695,13.354913945996698,10.034815463310016,-13.065070441536529,19.18279382418625,-12.818938619033828,18.24477534899288,28.43440885419586,-39.86653300166246,-1.7170017989507858,-35.020873354842536,20.957536839923925,-35.843285151121734,-12.90598328325081,33.102906221848095
0.03,0.003003003003003003,30.22379594438326,-31.355791345193943,0.35266971740587655,-34.162690219083316,31.163885320050554,30.6854276159628,-17.34747683453677,5.118118210795126,3.7085353467402813,7.466746791966145,34.29223331683324,-20.306776160649264,-22.673041997098935,1.0478586215653618,33.80880880141614,-2.0169504970894563,1.645272912298506,19.30473717890995,-37.17835350981561,-29.771816887906432,21.463754182287364,-38.42086684333258,28.491617338489178,1.6697120782030432,-5.56530764913275,29.314964609601738,-11.100176632961135,1.4454762748474999,10.356148179134578,-12.407271076930284,4.0551180389705905,9.316399426790468,-30.90156134270298,13.355186451078419,10.035009047771622,-13.065306926902517,19.183174470008822,-12.81912832838993,18.24516813089197,28.435020417260905,-39.86734873928938,-1.7170746804681556,-35.02150435648583,20.95791382264548,-35.84403532548594,-12.906218287295836,33.10350772303233
0.04,0.004004004004004004,30.22441964881779,-31.356373017604643,0.35274859396143743,-34.16347733967098,31.164514943963475,30.68608175762934,-17.347911521303047,5.118213124851791,3.708542242043114,7.466854165473924,34.29294817180757,-20.30717892883187,-22.673545838923378,1.0478632076155745,33.809551024083774,-2.0169945511909493,1.6451954598331293,19.30518620633293,-37.178982344433194,-29.772425627098784,21.464152757664944,-38.421687227158465,28.492200728538744,1.6697591035788772,-5.565350708625306,29.315527039430197,-11.100427839631726,1.4454239841746617,10.356337041442945,-12.407547356787216,4.055206389863132,9.316561761585223,-30.90212074558535,13.355461908602903,10.0351995216251,-13.065530817073084,19.18355482347533,-12.819284076865037,18.245574943475987,28.435654429048824,-39.868172637086566,-1.7171663349259418,-35.022099896719816,20.958270106886758,-35.84480208871308,-12.906440948244986,33.10407908925614
0.05,0.005005005005005005,30.22505076938643,-31.356938555724387,0.3528516120516713,-34.164298133254235,31.165147027246878,30.6867498231084,-17.348375018583493,5.118306331457663,3.7085277198634587,7.466948478830558,34.293673087122635,-20.307580011593306,-22.674066080792734,1.0478625840216025,33.810315834177786,-2.0170389326546054,1.6450817017429646,19.305656630210432,-37.17957200974091,-29.77303795981782,21.464541914839636,-38.4225241945183,28.492788789909838,1.6698111837229017,-5.565370139792016,29.31608235209242,-11.100687895323436,1.4453448343849333,10.356519899057519,-12.407832323830801,4.055297784587699,9.31671680919496,-30.902660271520553,13.355740275558702,10.035386875920135,-13.065742132214954,19.1839348675912,-12.819405869332018,18.245995804061682,28.43631090383282,-39.869004680367205,-1.7172767430100448,-35.02265993276185,20.958605707083894,-35.845585463714336,-12.906651230523325,33.104620306601696
0.06,0.006006006006006006,30.22568928328043,-31.357487947489208,0.35297880828725686,-34.16515264868513,31.16578161375127,30.68743182729254,-17.34886730515897,5.1183978665419465,3.7084917908490582,7.4670297508364945,34.294408084306575,-20.307979399214197,-22.674602757305422,1.0478567541394361,33.811103233228394,-2.017083666445046,1.644931638127362,19.30614843186498,-37.18012252832213,-29.7736538663303,21.464921674711782,-38.42337779128022,28.493381541824295,1.669868303713769,-5.5653659575459855,29.31663052925734,-11.10095678942673,1.4452387901509285,10.35669675836504,-12.408125976598521,4.0553922236056525,9.316864571855792,-30.90317996009015,13.35602150999313,10.035571101793812,-13.06594089213871,19.184314585312908,-12.81949370579926,18.246430729759364,28.43698985684243,-39.86984485427168,-1.7174058858251464,-35.023184422922725,20.958920634276655,-35.84638547295645,-12.906849098518048,33.10513136094557
0.07,0.007007007007007007,30.226335168936913,-31.35802118025024,0.3531302215340344,-34.16604093936861,31.166418748369434,30.688127788524184,-17.349388358032712,5.11848776599764,3.7084344639468654,7.467098000152231,34.295153183316174,-20.308377082687784,-22.675155905414115,1.0478457213365797,33.811913224183144,-2.0171287789383374,1.6447452686366009,19.30666159348395,-37.18063392305273,-29.774273326360003,21.465292053637068,-38.42424806495197,28.49397900200922,1.669930449353374,-5.565338178371137,29.317171553736642,-11.101234511347679,1.4451058184553,10.356867624754198,-12.408428310933823,4.055489706174406,9.317005052048954,-30.903679849104666,13.35630557101349,10.035752190471385,-13.066127116297421,19.18469395955451,-12.819547581406203,18.246879737468316,28.437691304263193,-39.87069314377798,-1.7175537448908422,-35.023673326595215,20.959214896110723,-35.847202138464844,-12.907034516582405,33.10561223795037
0.08,0.008008008008008008,30.226988406034064,-31.358538240771747,0.35330589291013714,-34.16696306326418,31.16705847703936,30.688837728595733,-17.349938152421732,5.118576065684581,3.7083557464023182,7.46715324529866,34.29590840253403,-20.308773053724998,-22.675725564424244,1.0478294889942645,33.81274581140962,-2.0171742979225815,1.6445225924676807,19.30719609811523,-37.18110621709369,-29.77489631908694,21.46565306341944,-38.42513506468004,28.49458118669601,1.6699976071591565,-5.565286820324671,29.317705409481338,-11.101521050507507,1.4449458885933901,10.357032502622149,-12.408739319983463,4.055590230350496,9.317138252501183,-30.904159974605093,13.35659241878795,10.035930133266941,-13.06630082378509,19.185072973194217,-12.81956748641849,18.247342843871934,28.438415263236198,-39.871549533711985,-1.7177203021378544,-35.02412660424375,20.95948849683971,-35.848035481826,-12.907207449039445,33.10606292305789
0.09,0.009009009009009009,30.227648975486595,-31.359039115229695,0.3535058657823352,-34.1679190828887,31.1677008467475,30.68956167275004,-17.350516661747346,5.1186628014326825,3.7082556437584206,7.467195504657903,34.29667375876545,-20.30916730475982,-22.676311775992303,1.0478080605098243,33.81360100069788,-2.0172202525984777,1.6442636083617963,19.30775192966223,-37.18153943388461,-29.775522823146584,21.46600471130322,-38.426038841248214,28.495188110619004,1.6700697643559037,-5.565211903039731,29.318232081578653,-11.101816396341542,1.444758972176697,10.35719139538086,-12.409058994195309,4.055693792992451,9.317264176185647,-30.904620370864713,13.356882014546112,10.036104921583973,-13.066462033334963,19.18545160908094,-12.819553406222742,18.247820065432624,28.43916175185759,-39.872414008757794,-1.71790553990432,-35.024544217395295,20.959741437326905,-35.84888552418911,-12.907367860185598,33.1064834014838
