t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
0.0,0.0,22.416702901220116,-3.8470915007971174,41.84285163500744,-0.462017422281686,-20.958005084765606,-8.324172308966999,20.16972196654756,-7.863845921291868,-31.932584636914797,-11.082548657016572,42.47824094998409,-13.324808007998774,0.24883454700624666,21.832109908634074,38.12791097664704,-22.09887388793174,-19.27912895468026,-25.49849395433553,-19.51179492575503,42.31643499828736,-16.632636469332187,-27.330757829547,3.5052862478214286,-0.09202278366339707,21.705739176966173,12.857477252034986,12.860491833690833,-24.19833021180232,6.30512248612211,-26.4299865724204,-23.989762182089343,-0.5472398424916486,-2.312393763649722,21.715134838615274
0.01,0.001001001001001001,22.417148806308493,-3.847171177156356,41.84368846675991,-0.46202763569423977,-20.958427253268173,-8.324340404416871,20.17012436106688,-7.864004892156856,-31.933223983700437,-11.082772841625621,42.47908943957847,-13.325076197128183,0.24883950524414525,21.832544436061365,38.12867287505589,-22.099318795125583,-19.27951571298391,-25.499006288008374,-19.512187559125426,42.31727859223263,-16.632969467986044,-27.33130538747035,3.5053548615859196,-0.09202673821212361,21.706172482499216,12.857732198848192,12.860746979500947,-24.19881475020079,6.3052475767811,-26.430517960433004,-23.9902422391821,-0.5472531326888537,-2.3124402074034505,21.715566843296312
0.02,0.002002002002002002,22.417571789829328,-3.8472080455577133,41.84451704820867,-0.4620496857170456,-20.958826395331517,-8.324496038296685,20.1705071327654,-7.864166465611472,-31.933870481182936,-11.083003267592302,42.479954541482954,-13.325348460720045,0.2487991317014911,21.832969756233307,38.12942013880906,-22.099786247173157,-19.27990866627205,-25.499522487279165,-19.512586664370104,42.318139630882534,-16.633311264403407,-27.33185028726589,3.5054426705179265,-0.09203600682662529,21.70663754645712,12.857981843413011,12.860995178087707,-24.199296920326343,6.305377601068396,-26.431049779073106,-23.990696977267763,-0.5472613822396188,-2.312484906984006,21.716011220886767
0.03,0.003003003003003003,22.417971871369986,-3.847202064071675,41.84533735071379,-0.4620835809507796,-20.95920251090642,-8.324639217711365,20.17087027921044,-7.864330624547018,-31.934524099893974,-11.083239934443853,42.480836207917875,-13.32562478537981,0.24871340546095436,21.833385890977752,38.13015277181273,-22.10027625704939,-19.280307812935995,-25.500042560586824,-19.512992255769042,42.31901817201216,-16.63366186572215,-27.33239251626142,3.505549679232604,-0.09205060386940232,21.707134359530787,12.858226209271805,12.861236413857664,-24.199776749448407,6.305512547506705,-26.4315820188474,-23.991126425533608,-0.5472646097815856,-2.3125278597760315,21.716467995463614
0.04,0.004004004004004004,22.418349070177293,-3.8471531870684523,41.84614934820155,-0.46212933078622487,-20.959555600767743,-8.324769950593272,20.171213796106322,-7.864497350538669,-31.93518481107748,-11.083482841927918,42.48173438951123,-13.325905159569315,0.2485823065322621,21.83379286344016,38.130870777475074,-22.100788838565894,-19.28071315369975,-25.500566515944517,-19.51340434990697,42.319914274577954,-16.634021278177237,-27.33293206049754,3.505675894047623,-0.09207054333208316,21.707662911644345,12.858465319551529,12.861470671396434,-24.20025426438427,6.305652402854526,-26.432114669663306,-23.991530613434723,-0.547262834570331,-2.3125690623733464,21.71693719221545
0.05,0.005005005005005005,22.418703405155636,-3.8470613652126526,41.84695301716723,-0.4621869454068168,-20.959885666511706,-8.324888245699572,20.17153767729006,-7.86466662385113,-31.935852586692672,-11.083731990012401,42.48264903529507,-13.326189573608238,0.24840581586344945,21.834190698084672,38.13157415870759,-22.10132400637091,-19.281124691621798,-25.50109436094132,-19.513822965671807,42.320827998710236,-16.634389507096664,-27.333468904723745,3.505821322984065,-0.09209583883542148,21.70822319195636,12.858699196964864,12.861697935466061,-24.20072949150136,6.305797152108351,-26.432647720830055,-23.991909570696766,-0.5472560764791804,-2.3126085105783885,21.717418837441674
0.06,0.006006006006006006,22.41903489486581,-3.8469265454581993,41.847748336677846,-0.4622564357910819,-20.960192710553393,-8.32499411260949,20.171841914726716,-7.8648384234443,-31.93652739941737,-11.083987378885265,42.48358009270162,-13.326478019675802,0.24818391535349837,21.83457942069511,38.13226291792661,-22.10188177594917,-19.281542432097087,-25.50162610274398,-19.51424812425335,42.321759405705166,-16.634766556897205,-27.334003032394524,3.505985975767261,-0.09212650362929939,21.708815188861053,12.858927863811187,12.861918191002179,-24.20120245671958,6.305946778504794,-26.433181161059796,-23.992263327318916,-0.5472443559989951,-2.3126461994011316,21.717912958551803
0.07,0.007007007007007007,22.419343557524652,-3.8467486710435166,41.84853528837483,-0.46233781371496824,-20.960476736124562,-8.325087561721437,20.172126498504372,-7.865012726978947,-31.937209222651575,-11.084249008954247,42.484527507559214,-13.32677049181273,0.247916587866368,21.834959058375905,38.132937057054896,-22.102462163621684,-19.28196638285924,-25.502161748098757,-19.514679849142222,42.32270855801637,-16.63515243107994,-27.334534425665392,3.506169863827571,-0.09216255059273669,21.70943888998955,12.859151341977366,12.862131423110934,-24.201673185513712,6.3061012635226525,-26.433714978468757,-23.992591913577087,-0.5472276942379325,-2.312682123057483,21.71841958406496
0.08,0.008008008008008008,22.419629411005417,-3.846527681486976,41.84931385647672,-0.46243109175406877,-20.960737747271715,-8.325168604250027,20.1723914168288,-7.86518951082238,-31.937898030521318,-11.084516880846506,42.48549122408786,-13.327066985923459,0.24760381724642067,21.835329639552977,38.13359657752336,-22.1030651865454,-19.282396553982988,-25.50270130333336,-19.515118166129085,42.32367551924609,-16.635547132225586,-27.335063065388898,3.506373000301099,-0.09220399223390698,21.71009428221117,12.859369652938378,12.86233761706573,-24.202141702915867,6.30626058688491,-26.434249160578418,-23.99289536002736,-0.5472061129211802,-2.312716274967161,21.718938743609456
0.09,0.009009009009009009,22.419892472838935,-3.846263512582618,41.850084027781755,-0.4625362832857352,-20.96097574885446,-8.325237252222959,20.172636656017733,-7.8653687500541185,-31.938593797882767,-11.084790995408202,42.48647118489466,-13.327367499778585,0.24724558833524687,21.835691193974537,38.13424148027292,-22.103690862712785,-19.282832957886825,-25.503244774358993,-19.5155631033041,42.32466035413579,-16.635950661989597,-27.335588931110586,3.5065954000303474,-0.09225084069016089,21.710781351634715,12.859582817757762,12.862536758303724,-24.202608033518008,6.306424726560669,-26.43478369431674,-23.99317369750967,-0.547179634390664,-2.312748647751048,21.719470467922545
