t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
0.0,0.0,-30.311571751040024,-10.942031611596716,25.092438008858444,-19.114513134927158,-32.5870037631484,36.04073361090756,-17.973818138119828,-21.57551155226192,-2.048754613500052,-12.269909191294385,-10.505886084106736,17.683538834206537,-11.981092959267018,7.151944788555736,24.95725499298891,27.8599257925481,6.75664275518535,25.451386477707736
0.01,0.001001001001001001,-30.3121805384134,-10.942252310025461,25.0929395089448,-19.114897996934587,-32.58765841435795,36.04145434718751,-17.974180197808252,-21.575945324204366,-2.048796254951934,-12.270157330296145,-10.506096303916138,17.683890927849585,-11.981334311775468,7.152084734726922,24.95775281110932,27.860480372407956,6.7567756703379125,25.451893071815835
0.02,0.002002002002002002,-30.312808327964696,-10.942468779640723,25.093456680855162,-19.115277528578243,-32.58828746968739,36.04218487714355,-17.974556471403602,-21.576369126306407,-2.048833258749069,-12.270409689844302,-10.506314692379512,17.68425194499194,-11.981572277948265,7.152210677439392,24.958249602573865,27.86100998366236,6.756913677972357,25.452392639559715
0.03,0.003003003003003003,-30.313455105262577,-10.942681020477321,25.09398951862948,-19.115651727703213,-32.58889093787086,36.042925208518085,-17.974946956072447,-21.57678299081086,-2.0488656133378935,-12.270666237313659,-10.506541232878618,17.684621892316823,-11.981806871175923,7.152322593451411,24.958745369333652,27.86151462355444,6.757056784813761,25.452885163981847
0.04,0.004004004004004004,-30.314120856133442,-10.942889032907066,25.094538015805423,-19.116020592396804,-32.58946882533337,36.04367534959275,-17.975351649332715,-21.577186949867166,-2.04889330695867,-12.270926940081122,-10.506775910163297,17.68500077680686,-11.982038105002468,7.1524204596967955,24.959240112987747,27.861994287751,6.75720499786807,25.4533706293636
0.05,0.005005005005005005,-30.314805566657043,-10.943092817638203,25.095102165413163,-19.116384120987423,-32.59002113618748,36.044435309188636,-17.975770549049738,-21.577581035533008,-2.0489163276460136,-12.271191765531373,-10.507018710350396,17.68538860574226,-11.982265993123612,7.1525042532867324,24.95973383478459,27.86244897034073,6.757358324421277,25.453849021223018
0.06,0.006006006006006006,-30.315509223161815,-10.943292375714904,25.095681959969937,-19.11674231204346,-32.59054787223028,36.04520509666646,-17.976203653431998,-21.57796527977589,-2.048934663229336,-12.27146068106253,-10.507269620922877,17.685785386698957,-11.982490549384993,7.152573951511642,24.960226535623455,27.862878663832536,6.757516772038549,25.454320326312672
0.07,0.007007007007007007,-30.31623181221993,-10.943487708516832,25.09627739147436,-19.11709516437218,-32.59104903294065,36.045984721926736,-17.97665096102661,-21.578339714474694,-2.048948301333214,-12.271733654091735,-10.50752863072912,17.686191127546646,-11.9827117877805,7.152629531843071,24.9607182160559,27.863283359153908,6.757680348563298,25.454784532617673
0.08,0.008008008008008008,-30.31697332064204,-10.943678817758746,25.096888451400535,-19.1174426770186,-32.591524615476715,36.04677419540989,-17.977112470714502,-21.57870437142123,-2.048957229377676,-12.272010652060702,-10.507795729982405,17.68660583644683,-11.982929722450658,7.152670971935618,24.961208876287223,27.863663045649336,6.757849062116201,25.455241629353765
0.09,0.009009009009009009,-30.317733735471787,-10.94386570549017,25.09751513069194,-19.117784849264368,-32.59197461467361,36.047573528096315,-17.977588181705315,-21.57905928232173,-2.0489614345784086,-12.27229164244123,-10.508070910260594,17.687029521850736,-11.983144367681087,7.152698249628898,24.961698516177975,27.86401771107883,6.758022921094172,25.455691606965548
0.1,0.01001001001001001,-30.318513043979966,-10.944048374095114,25.098157419755086,-19.118121680626636,-32.59239902304148,36.048382731506386,-17.97807809353203,-21.57940447879831,-2.0489609039468815,-12.272576592740641,-10.508354164505999,17.687462192497218,-11.983355737901038,7.152711342949542,24.96218713524543,27.86434734161647,6.7582019341692705,25.45613445712481
0.11,0.011011011011011011,-30.31931123365846,-10.944226826291862,25.098815308452966,-19.118453170856952,-32.592797830763736,36.04920181770046,-17.97858220604532,-21.579739992390436,-2.0489556242903926,-12.272865470507194,-10.508645487025433,17.68790385741056,-11.983563847681996,7.152710230113226,24.962674732665096,27.864651921849045,6.7583861102875655,25.456570172728984
0.12,0.012012012012012012,-30.32012829221388,-10.944401065132796,25.099488786098284,-19.11877931994013,-32.59317102569557,36.05003079927877,-17.97910051940759,-21.580065854556338,-2.0489455822120295,-12.273158243335425,-10.508944873490465,17.688354525898255,-11.983768711736351,7.152694889526751,24.96316130727225,27.864931434774753,6.758575458667937,25.456998747899686
0.13,0.013013013013013013,-30.320964207560905,-10.9445710940043,25.10017784144648,-19.11910012809312,-32.593518593362724,36.05086968938136,-17.979633034086774,-21.580382096674384,-2.04893076411055,-12.273454878871455,-10.509252320937858,17.688814207548678,-11.983970344916132,7.152665299790146,24.963646857563457,27.86518586180196,6.758769988800823,25.457420177981408
0.14,0.014014014014014014,-30.321818967815368,-10.944736916626697,25.100882462688528,-19.11941559576389,-32.59384051696053,36.05171850168785,-17.980179750849818,-21.580688750044445,-2.0489111561801776,-12.273755344818225,-10.50956782777019,17.68928291222873,-11.984168762211823,7.1526214396988195,24.96413138169811,27.865415182748045,6.7589697104469115,25.457834459540287
0.15,0.015015015015015015,-30.32269256128706,-10.944898537054266,25.10160263744354,-19.119725723630303,-32.59413677735322,36.05257725041727,-17.980740670755907,-21.58098584588922,-2.048886744410316,-12.274059608940695,-10.509891393756687,17.689760650081396,-11.984363978751228,7.152563288245744,24.964614877499987,27.865619375838293,6.759174633635776,25.458241590363
0.16,0.016016016016016016,-30.32358497647224,-10.945055959675292,25.10233835275116,-19.120030512598987,-32.59440735307345,36.053445950327784,-17.981315795149396,-21.58127341535553,-2.0488575145851753,-12.27436763907097,-10.510223020034228,17.690247431523243,-11.98455600979842,7.152490824623689,24.96509734245882,27.865798417704887,6.759384768664448,25.45864156945576
0.17,0.017017017017017015,-30.32449620204589,-10.945209189212193,25.103089595063746,-19.12032996380422,-32.59465222032216,36.054324616716336,-17.98190512565246,-21.58155148951557,-2.0488234522833166,-12.27467940311339,-10.510562709108548,17.69074326724185,-11.984744870752742,7.152404028227478,24.96557877373185,27.865952283385955,6.759600126095936,25.459034397043443
0.18,0.018018018018018018,-30.325426226853665,-10.945358230721684,25.10385635023836,-19.120624078606795,-32.59487135296869,36.055213265418324,-17.98250866415747,-21.581820099368144,-2.048784542877108,-12.274994869049547,-10.510910464855636,17.69124816819317,-11.98493057714788,7.152302878656308,24.966059168145424,27.86608094632468,6.759820716757678,25.459420074568776
0.19,0.01901901901901902,-30.326375039903606,-10.945503089595015,25.10463860352855,-19.120912858592902,-32.59506472255112,36.05611191280714,-17.983126412819082,-21.58207927583986,-2.048740771532095,-12.275314004943244,-10.511266292523318,17.69176214559883,-11.985113144651,7.152187355716096,24.966538522196586,27.866184378368526,6.760046551739936,25.45979860469168
0.2,0.02002002002002002,-30.32734263035753,-10.945643771558256,25.105436339575938,-19.12119630557301,-32.59523229827696,36.05702057579369,-17.98375837404603,-21.58232904978629,-2.048692123206283,-12.275636778945413,-10.511630198733036,17.692285210943343,-11.985292589061949,7.15205743942187,24.967016832054664,27.86626254976851,6.760277642394136,25.460169991288694
0.21,0.02102102102102102,-30.328328987522177,-10.945780282672638,25.10624954240162,-19.12147442158075,-32.59537404702406,36.05793927182588,-17.984404550492656,-21.582569451993088,-2.04863858264933,-12.275963159298955,-10.512002191481807,17.692817375971273,-11.985468926312512,7.151913110000209,24.967494093562888,27.866315429178567,6.760514000331128,25.460534239452496
0.22,0.022022022022022022,-30.329334100840057,-10.94591262933496,25.10707819539735,-19.121747208871774,-32.59548993334187,36.058868018887964,-17.985064945050148,-21.582800513177098,-2.0485801344016537,-12.27629311434352,-10.512382280144394,17.69335865268432,-11.98564217246575,7.1517543478917265,24.96797030224,27.866342983654995,6.760755637419394,25.46089135549155
0.23,0.023023023023023025,-30.33035795988004,-10.946040818278037,25.107922281316565,-19.122014669922663,-32.59557991945292,36.05980683549994,-17.98573956083748,-21.58302226398739,-2.048516762793442,-12.27662661252024,-10.51277047547564,17.693909053338317,-11.985812343715388,7.151581133753591,24.96844545328189,27.866345178656,6.761002565783193,25.461241346929828
0.24,0.024024024024024024,-30.331400554327644,-10.946164856571224,25.1087817822652,-19.1222768074298,-32.595643965254716,36.0607557407168,-17.986428401192082,-21.583234735006293,-2.0484484519435773,-12.276963622376384,-10.513166789613017,17.694468590440177,-11.985979456385257,7.151393448462104,24.968919541563206,27.86632197804131,6.761254797800627,25.461584222506648
