t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
0.0,0.0,-10.539550149808969,-12.503347909974705,-11.985874156935854,29.429114250285405,7.786689801222774,-20.568096589875886,20.525735712836376,14.568629067774728,6.155141494926976,9.339059915023162,-34.62534502749838,18.992465393107214,6.268268785326611,-29.49427903472974,-34.60918255668297,-13.796600015010922,42.74276503523533,-17.977201691857495,-27.375918209077977,-34.33687395860371,-8.840324735436354,27.87277803726739,-18.530922154256153,37.707677614071116,42.05854595059747,-34.78692237093795,26.023791700098897,18.134489789631495,4.898394250887766
0.01,0.001001001001001001,-10.539762528740571,-12.50360073714083,-11.986114445686908,29.429700155201264,7.786843178396153,-20.56851004442779,20.52614312398555,14.568919633065974,6.155264508831188,9.33924469905096,-34.626040196309305,18.99284292965428,6.268394085334847,-29.49486927092201,-34.609875675660824,-13.796878105191729,42.743617183657946,-17.977561859919575,-27.37646779206239,-34.33756289411587,-8.840502649004653,27.873333011093884,-18.53129533010626,37.70843114740614,42.059384138714705,-34.787619606669644,26.024310081746144,18.134851815570944,4.898489681854017
0.02,0.002002002002002002,-10.539993054450635,-12.503840527311603,-11.986353193709835,29.43026601387419,7.7870069125735135,-20.568892450566384,20.526533886935905,14.569217238024885,6.155378021767678,9.339447533924455,-34.626741468254245,18.99323499549887,6.268538543183972,-29.495500654678892,-34.61055437372813,-13.797162402986817,42.744472630647174,-17.977934954700476,-27.377025906689944,-34.33824851489385,-8.840677274966394,27.8738779990946,-18.53166237136606,37.70919665042781,42.06023830353893,-34.78832455424114,26.02481165038922,18.135195466001033,4.898604094267813
0.03,0.003003003003003003,-10.540241730614241,-12.504067265796142,-11.986590366609391,29.43081182935938,7.787180999494667,-20.569243830535214,20.526908001422118,14.56952185556343,6.155482078770477,9.339668395095124,-34.62744888341046,18.993641624670293,6.268702159820661,-29.496173231700265,-34.61121869490506,-13.797452910462077,42.745331394523454,-17.978320980818943,-27.37759256356304,-34.33893080690231,-8.840848608189523,27.874412997557705,-18.53202328543724,37.70997412067301,42.06110847122966,-34.789037229703816,26.025296422853398,18.135520788766943,4.89873748645306
0.04,0.004004004004004004,-10.540508560512354,-12.504280936762957,-11.986825930296437,29.43133760498519,7.7873654325607795,-20.56956420638857,20.527265466431995,14.569833458118705,6.155576724962329,9.339907258636655,-34.62816248243906,18.99406285296563,6.268884937425328,-29.496887051135715,-34.61186868233637,-13.797749627524034,42.74619349406294,-17.978719943282492,-27.378167772330684,-34.33960975595604,-8.841016644698863,27.874938002559784,-18.53237807944207,37.710763555206064,42.06199466930475,-34.78975764816993,26.025764413653782,18.13582783103464,4.8988898569726524
0.05,0.005005005005005005,-10.540793547033292,-12.504481523241813,-11.987059850985794,29.431843344355034,7.787560202833431,-20.569853599987507,20.527606280206072,14.570152017651631,6.155662005558788,9.340164101244262,-34.62888230658639,18.99449871794621,6.269086879406199,-29.497642165566845,-34.61250437829304,-13.798052551918746,42.74705894849861,-17.979131847483853,-27.378751541692203,-34.34028534772319,-8.841181381678268,27.875453009962598,-18.53272676022295,37.711564950609386,42.06289692663829,-34.79048582381305,26.026215634993598,18.136116639297008,4.899061204631469
0.06,0.006006006006006006,-10.541096692674081,-12.504669007126052,-11.98729209519416,29.43232905134941,7.787765299033792,-20.57011203299602,20.52793044023721,14.570477505645432,6.1557379658723965,9.34043890023387,-34.62960839768548,18.99494925893369,6.269307990393165,-29.498438630988115,-34.613125824174006,-13.798361679230275,42.74792777752147,-17.979556699197364,-27.37934387940104,-34.34095756772856,-8.841342817472778,27.87595801540981,-18.533069334342144,37.71237830297375,42.06381527345832,-34.79122176986848,26.026650096762314,18.13638725938036,4.899251528479221
0.07,0.007007007007007007,-10.541417999541702,-12.504843369175358,-11.987522629738093,29.432794730127917,7.787980707541923,-20.570339526877348,20.528237943270174,14.570809893103878,6.1558046513169495,9.34073163354118,-34.63034079815754,18.995414517005727,6.2695482762314265,-29.499276506786156,-34.61373306050791,-13.798677002878765,42.748800001281836,-17.979994504575316,-27.37994479226857,-34.341626401357,-8.841500951590765,27.876453014323708,-18.53340580808168,37.71320360788818,42.06474974134461,-34.79196549863375,26.02706780653362,18.1366397364513,4.899460827813171
0.08,0.008008008008008008,-10.54175746935422,-12.505004589018984,-11.987751421732073,29.4332403851314,7.788206412396199,-20.570536102890472,20.52852878530123,14.571149150549324,6.155862107411838,9.341042279720618,-34.631079551013535,18.995894534991244,6.2698077439749,-29.500155855717573,-34.61432612695486,-13.798998514118074,42.74967564039077,-17.980445270144248,-27.380554286167968,-34.34229183385686,-8.841655784706067,27.87693800190189,-18.53373618744343,37.714040860429556,42.065700363226334,-34.79271702146918,26.02746876956324,18.136874115023943,4.899689102180709
0.09,0.009009009009009009,-10.54211510344181,-12.505152645159457,-11.987978438586625,29.4336660210841,7.788442395292855,-20.570701782086697,20.528802961577743,14.571495248020508,6.155910379786472,9.341370817944151,-34.63182469985579,18.99638935746527,6.270086401879397,-29.501076743885168,-34.61490506230825,-13.799326202033013,42.75055471592152,-17.98090900280119,-27.38117236603813,-34.342953850343584,-8.841807318660123,27.87741297311397,-18.534060478149364,37.71489005515177,42.06666717337962,-34.793476348798436,26.027852988786627,18.1370904389675,4.899936351381792
0.1,0.01001001001001001,-10.542490902747662,-12.505287514976729,-11.98820364800652,29.43407164299592,7.7886886355856575,-20.57083658530643,20.529060466597773,14.57184815507014,6.155949514184786,9.341717228000002,-34.63257628887971,18.996899030743343,6.270384259395571,-29.50203924071261,-34.61546990449665,-13.799660053536172,42.75143724941112,-17.98138570980986,-27.381799035887624,-34.343612435803294,-8.841955556464104,27.877877922698204,-18.534378685642015,37.715751186074584,42.06765020742515,-34.794243490109196,26.028220464816478,18.13728875151423,4.900202575471261
0.11,0.011011011011011011,-10.542884867828784,-12.505409174732822,-11.98842701798905,29.434457256164716,7.788945110285698,-20.570940533176053,20.529301294109683,14.572207840762276,6.155979556469814,9.342081490291227,-34.63333436287549,18.997423602875493,6.270701327161603,-29.503043418917475,-34.616020690585614,-13.800000053364315,42.752323262862035,-17.98187539879679,-27.382434298798717,-34.344267575096566,-8.842100502301028,27.878332845158177,-18.5346908150851,37.71662424667211,42.06864950232563,-34.79501845395382,26.028571195940085,18.137469095267708,4.900487774761015
0.12,0.012012012012012012,-10.543296998856691,-12.505517599576953,-11.988648516822373,29.434822866178656,7.789211794061322,-20.57101364610494,20.529525437111744,14.572574273669462,6.156000552628345,9.342463585834187,-34.63409896722992,18.99796312363975,6.2710376169956525,-29.504089354482655,-34.616557456779624,-13.80034618407438,42.75321277874392,-17.982378077747434,-27.38307815693143,-34.34491925296221,-8.842242161527885,27.878777734759403,-18.534996871364335,37.71750922986087,42.06966509638314,-34.795801247950116,26.02890517811656,18.137631512211495,4.900791949822071
0.13,0.013013013013013013,-10.543727295617995,-12.505612763551136,-11.988868113083942,29.435168478918676,7.789488659238179,-20.57105594428262,20.52973288785177,14.57294742186967,6.1560125487756485,9.342863496256895,-34.63487014792826,18.998517644535205,6.271393141888039,-29.5051771266261,-34.617080238424016,-13.800698426039073,42.754105819995445,-17.982893755002173,-27.383730611527646,-34.34556745402116,-8.842380540677745,27.879212585525963,-18.535296859088458,37.718406127987556,42.07069702923655,-34.796591878782095,26.02922240497386,18.137776043718123,4.901115101486481
0.14,0.014014014014014014,-10.544175757514873,-12.505694639596294,-11.98908577563901,29.43549410056095,7.789775675799408,-20.571067447676036,20.529923637826766,14.573327252943033,6.156015591160277,9.343281203797245,-34.635647951556145,18.9990872187746,6.271767915993152,-29.506306817768856,-34.61758907000692,-13.801056757442039,42.75500241002621,-17.983422439252312,-27.38439166291529,-34.34621216278049,-8.84251564746187,27.879637391237093,-18.53559078259042,37.719314932816324,42.0717453418587,-34.79739035220084,26.0295228678057,18.137902730558434,4.9014572308491475
0.15,0.015015015015015015,-10.54464238356544,-12.505763199558864,-11.989301473639209,29.43579973757945,7.790072811385956,-20.57104817602694,20.53009767778256,14.57371373396834,6.15600972616893,9.343716691301134,-34.63643242530152,18.99967190127643,6.272161954621096,-29.507478513501354,-34.61808398516125,-13.801421154272646,42.755902572718746,-17.98396413953598,-27.385061310512537,-34.34685336363746,-8.842647490771819,27.880052145423782,-18.535878645928786,37.720235635515785,42.07281007655365,-34.79819667302542,26.029806555568246,18.13801161291128,4.9018183392694965
0.16,0.016016016016016016,-10.545127172404012,-12.50581841419792,-11.989515176521216,29.436085396748577,7.790380031297031,-20.570998148849412,20.5302549977135,14.57410683151935,6.155995000331392,9.344169942220448,-34.6372236169567,19.000271748656527,6.272575274229034,-29.508692302547946,-34.61856501666668,-13.801791590320356,42.756806332430614,-17.984518865234012,-27.38573955283208,-34.347491040883675,-8.842776080681551,27.88045684136533,-18.536160452889344,37.72116822664554,42.07389127695372,-34.799010845143805,26.030073454876703,18.138102730373568,4.902198428373043
0.17,0.017017017017017015,-10.54563012228126,-12.505860253192814,-11.989726854005497,29.43635108514582,7.79069729849069,-20.570917385427464,20.530395586862127,14.574506511660879,6.155971460325535,9.34464094061095,-34.63802157492043,19.000886819219186,6.273007892412254,-29.509948276729624,-34.61903219645167,-13.802168037168705,42.757713713996566,-17.985086626065733,-27.38642638748548,-34.34812517870934,-8.842901428449524,27.880851472085922,-18.536436206986895,37.72211269614237,42.074988988016514,-34.799832871513885,26.030323550001697,18.138176121970638,4.902597500052838
