t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
0.0,0.0,-18.888572056640832,-12.797431205985704,-3.297593179909344,-26.764633616571853,-20.216543325589374,38.50293826466637,23.490670825314005,-15.5105484077444,33.53554729449882,-6.421856815639042,-5.185530856748561,-33.683422065709784,-30.286138229265262,28.209137711612183,16.121970332983615,-22.966794394491394,25.278492309643507,-23.78707912701841,36.34896424629735,-13.04227466072799,14.07382258334216,28.525426480410392,-32.365078976489556,-21.448221249714265,4.712633960691394,-0.15462597300271982,-2.234716252545764,30.09004252483175,-25.88878348391127,14.468632457660933,-9.0104107321533,23.615993683613695,-34.51618824267815,-25.741692139491224,43.014728024797115,11.21249559684829,-5.180189524806336,-12.759537931473226,34.03583172260844
0.01,0.001001001001001001,-18.888951180437793,-12.797688451280003,-3.2976613789836433,-26.765169719390762,-20.21694977901852,38.50370819709732,23.491140269481637,-15.51085864431107,33.53621492513017,-6.421987147922604,-5.185637234624402,-33.68409744326021,-30.286744114681813,28.209699641994117,16.12229194522497,-22.967255607342576,25.278995155362406,-23.78755634396105,36.34969065532694,-13.042537149612755,14.074102040895957,28.525995231644913,-32.36572819787211,-21.448652425120468,4.7127277628817295,-0.15463212712519436,-2.2347619914671126,30.090641464459637,-25.889303179411428,14.468919382903378,-9.010593479612075,23.61646372575293,-34.51687882714012,-25.742209780410516,43.01558713357555,11.212718823054335,-5.180294205466162,-12.759794172502497,34.03651179768116
0.02,0.002002002002002002,-18.889332550261862,-12.79796641797653,-3.297711512632415,-26.765726479050954,-20.21737665352851,38.504452126997116,23.49160707648995,-15.511122076220321,33.536857184087,-6.42212788377812,-5.185766203975165,-33.6847721051915,-30.287347315511923,28.21029829053303,16.122636169551406,-22.967716942620594,25.279496719571636,-23.788036243655206,36.35040126287232,-13.042822137562068,14.074368820304423,28.526572781147717,-32.366388710674265,-21.44907887351122,4.712867903294199,-0.15465438549778762,-2.2347835292876512,30.091223131963538,-25.889849906519128,14.469201627324045,-9.010726008876434,23.616925313424783,-34.517541392907695,-25.742739536250337,43.01642836097189,11.212942644328015,-5.1804021932685105,-12.760042801476763,34.03721801888616
0.03,0.003003003003003003,-18.8897161843285,-12.798265087414316,-3.297743579118056,-26.766303883842827,-20.217823942084543,38.505170061134706,23.492071213803165,-15.511338716668227,33.53747405214135,-6.42227903516873,-5.1859177544985995,-33.68544601373081,-30.287947831036814,28.210933682063274,16.12300298361401,-22.968178419568478,25.27999699437905,-23.788518826734013,36.351096039763334,-13.043129636134182,14.074622903261755,28.527159160545803,-32.36706046036583,-21.44950059759188,4.713054422167939,-0.15469273575919767,-2.2347808699816425,30.09178755634216,-25.890423669805816,14.46947921030941,-9.010808341873767,23.617378461151343,-34.51817595004634,-25.74328145173153,43.01725166438468,11.21316705016548,-5.1805134952320095,-12.760283808621583,34.03795040762248
0.04,0.004004004004004004,-18.890102102147544,-12.7985844460859,-3.2977575722011534,-26.766901919406926,-20.218291637258005,38.50586200112101,23.492532647848428,-15.511508571836822,33.53806551047925,-6.422440616924979,-5.1860918792309105,-33.686119129105805,-30.288545663042246,28.211605845256866,16.123392365460134,-22.968640056403178,25.280495967662624,-23.789004095679044,36.35177495821227,-13.043459658994816,14.0748642690747,28.527754403338854,-32.36774339389471,-21.44991759817212,4.713287364017941,-0.1547471644603627,-2.234754019473478,30.09233476601797,-25.891024474640336,14.469752151309304,-9.010840497347912,23.617823182835526,-34.5187825075566,-25.74383557445716,43.018057002050725,11.21339203003198,-5.180628118301929,-12.76051718554936,34.03870898896597
0.05,0.005005005005005005,-18.89049032452346,-12.798924485637,-3.297753481140199,-26.76752056872069,-20.2187797312172,38.50652794340938,23.492991344015323,-15.511631640888364,33.53863154070188,-6.42261264674213,-5.186288574546214,-33.68679140954809,-30.289140815821213,28.212314812618352,16.123804293527865,-22.9691018703168,25.280993623066866,-23.78949205481994,36.35243799180092,-13.04381222191533,14.07509289465951,28.52835854489787,-32.368437459690576,-21.450329874169384,4.713566777641212,-0.15481765706626632,-2.234702985645304,30.092864788822766,-25.891652327176722,14.470020469843735,-9.01082249085941,23.618259491757463,-34.51936107336249,-25.744401954906348,43.018844333034416,11.213617573361333,-5.180746069349275,-12.760742925259295,34.039493791675056
0.06,0.006006006006006006,-18.890880873555744,-12.799285202866441,-3.2977312906901033,-26.76815981208411,-20.21928821571697,38.50716787929452,23.49344726665592,-15.51170791596083,33.5391721248265,-6.422795145178094,-5.186507840156614,-33.68746281129641,-30.289733296177335,28.2130606204795,16.124238746640383,-22.96956387747764,25.28148993999838,-23.78998271033421,36.35308511546938,-13.044187342770838,14.075308754538007,28.528971622464343,-32.36914260766777,-21.45073742261163,4.713892716121793,-0.15490419795791882,-2.2346277783452178,30.093377651984415,-25.89230723434058,14.470284185509776,-9.010754334788222,23.618687400571456,-34.51991165430057,-25.744980646428115,43.019613617218475,11.213843669555457,-5.180867355169945,-12.760961022137502,34.04030484819677
0.07,0.007007007007007007,-18.891273772639558,-12.799666599726336,-3.297690981099513,-26.76881962710428,-20.219817082087232,38.50778179490986,23.493900379085336,-15.511737382164645,33.53968724528713,-6.422988135651974,-5.186749679112883,-33.68813328859948,-30.290323113428983,28.213843308993766,16.12469570400021,-22.97002609303103,25.28198489362059,-23.790476070247163,36.3537163055066,-13.044585041538276,14.075511820832753,28.52959367514992,-32.36985878922772,-21.451140238639415,4.714265236834626,-0.15500677043451166,-2.234528409396031,30.09387338211476,-25.892989203814068,14.470543317988513,-9.010636038338903,23.61910692130346,-34.52043425610977,-25.745571705235275,43.02036481529601,11.214070307983993,-5.1809919824839366,-12.761171471957311,34.04114219467303
0.08,0.008008008008008008,-18.89166904646648,-12.800068683322515,-3.297632528106932,-26.769499988678877,-20.22036632122046,38.508369671223335,23.494350643582813,-15.511720017580634,33.54017688493501,-6.42319164444322,-5.1870140978057515,-33.68880279371855,-30.290910279414106,28.21466292213053,16.125175145183334,-22.970488531099946,25.282478454847645,-23.790972144431983,36.35433153954268,-13.04500534029439,14.075702063261346,28.530224743936582,-32.370585957260616,-21.45153831550726,4.714684401448236,-0.1551253567157415,-2.2344048926045943,30.09435200519869,-25.893698244019426,14.470797887052065,-9.01046760754823,23.619518065349098,-34.52092888342185,-25.746175190398294,43.021097888763904,11.214297477984005,-5.181119957934605,-12.76137427187972,34.042005870947186
0.09,0.009009009009009009,-18.89206672102548,-12.800491465915185,-3.2975559029356503,-26.770200868978563,-20.220935923558034,38.50893148403166,23.49479802139334,-15.51165579325922,33.54064102703877,-6.423405700691394,-5.1873011059678005,-33.689471276929694,-30.2914948084958,28.21551950766908,16.12567705013322,-22.970951204785433,25.28297059033749,-23.79147094460997,36.35493079654294,-13.045448263213668,14.075879449129811,28.530864871677363,-32.371324066146514,-21.451931644584366,4.715150275926228,-0.1552599379443006,-2.2342572437716806,30.09481354658433,-25.894434364101144,14.471047912570684,-9.010249045295293,23.619920843472233,-34.52139553975259,-25.74679116383918,43.021812799917555,11.214525168859758,-5.181251288087989,-12.761569420454032,34.04289592057079
