t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43
0.0,0.0,5.609137896921939,7.761907264570042,24.31520306296922,-27.35577148957696,9.719019508294044,26.461892373248176,-17.554757809304693,-36.302695670822104,38.17197089841734,-12.09447931660452,-1.8122271192171657,-5.998247250430473,20.38100301265866,9.200370438978842,-3.101897790182343,2.511671563527335,-6.4179876004951035,-3.919318538715468,15.511961743349087,-37.35103960236366,0.42017984082282567,-32.16966723304023,7.425113841276047,3.9068814263856977,-5.794254905774941,-18.149481254366737,-12.922031344428142,37.613830508328725,18.385573289024286,28.367408397692685,32.81167689792298,3.263506973326567,29.613243473320097,-26.01148770989844,-15.55193448942832,-34.50357764495545,-14.809510788659681,33.08712708745196,33.7960543833709,-33.77019433799281,-24.945642258875292,-18.235328759498103,-25.908185471957562,29.85714704999804
0.01,0.001001001001001001,5.609249154688791,7.762062336667648,24.315688369611806,-27.356321696174547,9.719212289551775,26.462419138093907,-17.55511039373663,-36.303423668507776,38.1727334750656,-12.094722965371876,-1.8122634275588907,-5.998369303122133,20.381409369081503,9.200551615042803,-3.1019621492730733,2.511720933715021,-6.418117482615411,-3.919398605956213,15.512268979502469,-37.35178805249865,0.4201871527681385,-32.170312393323556,7.425260734108762,3.906958475791599,-5.794371874228447,-18.14984721667806,-12.922292676221778,37.61457978964978,18.385938063539307,28.36797540360818,32.812332540023874,3.2635711072630675,29.613832792686413,-26.012008160999205,-15.5522472066512,-34.50426893221707,-14.809808034434084,33.08778808475024,33.79672865609165,-33.770870741528206,-24.946143574389097,-18.235694292182107,-25.908705785589344,29.857742717222315
0.02,0.002002002002002002,5.609359080441726,7.762214548292599,24.316179604462725,-27.356870594892722,9.719375131042808,26.46293350149727,-17.55545737548243,-36.304165164476764,38.17349980189343,-12.09496842619632,-1.8122994941096862,-5.998478081953258,20.381832318043884,9.200677890826451,-3.1020250480788953,2.511783424750049,-6.418264374104816,-3.919512462933457,15.512571266349456,-37.352521570160754,0.42021220189108416,-32.17091377835576,7.425444556755916,3.9070373029472782,-5.794510315938174,-18.150213831217037,-12.922559341016152,37.6153447995544,18.38628970308388,28.36851469186641,32.81300803764454,3.2636259917567885,29.61443205179165,-26.012501904143374,-15.552556431009208,-34.504955981865095,-14.810087237561119,33.08845088328555,33.79739880924301,-33.7715931948428,-24.94664535561049,-18.23605490197964,-25.909212130670422,29.858343944444766
0.03,0.003003003003003003,5.609467676142731,7.762363915759618,24.316676723263935,-27.35741821004321,9.71950801656738,26.463435473921937,-17.55579873462954,-36.30492010365448,38.174269844238275,-12.095215700489796,-1.8123353283761934,-5.99857360871762,20.382271860087325,9.200749299523292,-3.102086494803258,2.5118590377814725,-6.418428272700169,-3.9196601013925894,15.512868647439323,-37.35324016085033,0.4202550079311056,-32.171471371471156,7.425665339199543,3.9071179010918833,-5.794670236545717,-18.150581101231175,-12.922831323812321,37.616125491161114,18.386628206138774,28.369026285193996,32.81370337327171,3.2636716417131346,29.615041273411425,-26.012968905316242,-15.552862166278933,-34.50563880749804,-14.810348400216618,33.08911548238658,33.79806484881087,-33.77236177570906,-24.947147588916685,-18.236410608363297,-25.90970451881257,29.858950720060893
0.04,0.004004004004004004,5.609574943408651,7.762510454925664,24.31717968192951,-27.35796456702716,9.719610928999785,26.463925069169914,-17.556134449941396,-36.30568842962861,38.17504356928455,-12.095464788693038,-1.8123709401542825,-5.9986559068239265,20.382727994335287,9.200765873548157,-3.102146498184833,2.511947771733105,-6.418609173426108,-3.919841516212005,15.513161162732496,-37.353943829156144,0.42031559508211713,-32.17198515796564,7.425923114119068,3.9072002637735705,-5.7948516396982965,-18.15094902886838,-12.923108607623417,37.616921818738305,18.38695357338782,28.36951020521345,32.81441852706301,3.263708071384354,29.61566047940838,-26.013409131338808,-15.553164417876351,-34.50631742257949,-14.81059152701231,33.08978188247792,33.79872677928733,-33.77317656604694,-24.947650257922326,-18.23676143016839,-25.910182961337814,29.859563032950533
0.05,0.005005005005005005,5.609680883508662,7.7626541811916185,24.317688436549645,-27.358509692345834,9.719683850292025,26.464402304374218,-17.55646449885216,-36.30647008464504,38.17582094606884,-12.095715690277741,-1.8124063395310541,-5.998725001295597,20.38320071848714,9.200727644555998,-3.1022050674977883,2.5120496232994984,-6.418807068594865,-3.920056705405353,15.513448848604588,-37.354632578753254,0.42039399199506045,-32.172455125087666,7.426217916886497,3.907284384847401,-5.795054527053718,-18.151317615179632,-12.92339117347901,37.6177337377055,18.387265807716926,28.36996647243978,32.815153476842795,3.2637352943714966,29.61628969073549,-26.013822549860784,-15.553463192851765,-34.506991840436534,-14.810816624999676,33.09045008507178,33.799384603661224,-33.77403765191243,-24.948153343482037,-18.23710738559047,-25.910647469280274,29.860180872473816
0.06,0.006006006006006006,5.609785497361887,7.762795109504328,24.318202943394695,-27.359053613612097,9.719726761477881,26.464867199991183,-17.556788857462017,-36.30726500960352,38.17660194548574,-12.095968403748655,-1.8124415368871427,-5.998780918769694,20.38369002881124,9.200634643463463,-3.102262212552295,2.5121645869413682,-6.419021947805276,-3.920305670123291,15.513731737849948,-37.35530641240061,0.42049023178144296,-32.17288126203001,7.426549785560474,3.907370258472734,-5.795278898284532,-18.151686860121202,-12.923679000429683,37.61856120463448,18.38756491421371,28.370395106277222,32.81590819809741,3.263753323625778,29.61692892743907,-26.014209129353087,-15.553758499885346,-34.507662074258484,-14.811023703673806,33.0911200927591,33.80003832340805,-33.77494512348615,-24.948656823693135,-18.237448492182757,-25.911098053387878,29.860804228466765
0.07,0.007007007007007007,5.609888785535173,7.762933254359005,24.318723158919255,-27.359596359562694,9.719739642677427,26.465319779792466,-17.55710750053298,-36.30807314405295,38.177386540294144,-12.096222926645627,-1.8124765428993246,-5.998823687495026,20.384195920137124,9.200486900473253,-3.1023179436952617,2.5122926548804654,-6.419253797941018,-3.920588414654749,15.514009859684743,-37.35596533193819,0.4206043520178623,-32.17326355992248,7.426918760879215,3.9074578791101255,-5.795524751081379,-18.15205676255631,-12.923972065551862,37.61940417725022,18.387850900167756,28.37079612501611,32.816682663970155,3.2637621714493346,29.617578208661513,-26.01456883909975,-15.554050349283262,-34.50832813709591,-14.811212774977246,33.09179190920003,33.80068793847954,-33.775899075062206,-24.949160673898547,-18.23778476685345,-25.911534724123936,29.86143309123655
0.08,0.008008008008008008,5.6099907482410005,7.763068629801986,24.31924903976627,-27.360137960071327,9.719722473101976,26.46576007085671,-17.55742040148528,-36.30889442618644,38.17817470512406,-12.09647925554558,-1.8125113685434335,-5.998853337329409,20.384718385846757,9.200284445101246,-3.102372271811301,2.5124338170938905,-6.419502603168065,-3.920904946427706,15.514283239749535,-37.35660933828381,0.4207363947515205,-32.17360201182543,7.427324886252286,3.9075472415177215,-5.795792081155538,-18.15242732025626,-12.92427034395284,37.62026261443158,18.388123775071485,28.371169545829858,32.817476845255754,3.2637618494953804,29.618237552643713,-26.014901649189273,-15.554338752974411,-34.50899004185994,-14.811383853303838,33.09246553911386,33.80133344729267,-33.77689960503707,-24.94966486668987,-18.238116225862935,-25.911957491668563,29.86206745155638
0.09,0.009009009009009009,5.610091385335562,7.763201249433843,24.319780542771195,-27.360678446162545,9.719675231059487,26.46618810356087,-17.557727532394303,-36.309728792836076,38.178966416483995,-12.096737386064431,-1.8125460250975858,-5.998869899736096,20.385257417864924,9.20002730620638,-3.1024252083239223,2.512588061307845,-6.4197683449313665,-3.9212552760094725,15.514551900111394,-37.357238431429565,0.4208864065067314,-32.17389661272414,7.4277682077512335,3.9076383407471593,-5.796080882240655,-18.15279852990107,-12.924573808776039,37.621136476211916,18.38838355062163,28.371515384772046,32.818290710394415,3.2637523687677636,29.61890697672721,-26.01520753050543,-15.554623724507746,-34.50964780132183,-14.811536955502554,33.093140988268246,33.80197484671829,-33.7779468158986,-24.95016937191062,-18.238442884820852,-25.912366365919993,29.862707300660077
