t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0.0,0.0,5.176350498915046,9.17461059951647,-14.226581666929388,-18.63471403261368,28.59110322810109,-22.485239013702316,-24.397602161512822,31.43167099885979,-5.129265033561962,7.06069023250876,24.203851924853115,-18.223667571820442,4.973670741382186,-6.642827168651772
0.01,0.001001001001001001,5.176451839169274,9.174792730636495,-14.226866509028191,-18.635087294971413,28.591674576985078,-22.485689532715657,-24.398092064199794,31.432299081901814,-5.12936847197802,7.060829054760485,24.20433302835393,-18.224032104013613,4.973768543659146,-6.642961303215457
0.02,0.002002002002002002,5.1765690038355,9.17495730461405,-14.227115132133932,-18.635464618437965,28.592232260413375,-22.486153675259793,-24.398597243529792,31.432908187676972,-5.1294646029770385,7.0609705387707065,24.20480992381803,-18.224389293168894,4.973881166760236,-6.643092245037384
0.03,0.003003003003003003,5.1767019935298055,9.175104329011035,-14.22732753269672,-18.63584602108466,28.59277629170956,-22.486631450178276,-24.399117695972972,31.43349831374946,-5.129553436241215,7.0611146811258,24.20528262834319,-18.224739148395052,4.974008612876763,-6.643219990432651
0.04,0.004004004004004004,5.176850808130531,9.175233810793946,-14.227503705353753,-18.636231520838322,28.593306683519113,-22.48712286723071,-24.399653418996138,31.434069457985245,-5.129634980924703,7.061261477241353,24.20575115929583,-18.22508167812772,4.974150885279091,-6.6433445354297005
0.05,0.005005005005005005,5.177015446779816,9.175345756332549,-14.227643642924255,-18.636621135482372,28.59382344780954,-22.48762793709187,-24.400204411059814,31.434621618545034,-5.129709245652378,7.061410921360181,24.2062155343124,-18.225416890128653,4.9743079883141075,-6.64346587577023
0.06,0.006006006006006006,5.177195907885015,9.175440171398655,-14.227747336405278,-18.637014882657674,28.594326595870438,-22.488146671350847,-24.40077067161509,31.435154793877867,-5.129776238518693,7.0615630065503145,24.206675771300873,-18.225744791485088,4.974479927402672,-6.643584006909111
0.07,0.007007007007007007,5.177392189120005,9.175517061165024,-14.227814774968397,-18.637412779863087,28.594816138313526,-22.488679082510224,-24.401352201100213,31.435668982715274,-5.129835967086628,7.061717724702953,24.207131888442255,-18.22606538860913,4.974666709037035,-6.64369892401434
0.08,0.008008008008008008,5.177604287426359,9.175576430204366,-14.227845945957283,-18.637814844455736,28.595292085072668,-22.489225183985234,-24.40194900093698,31.436164184066016,-5.12988843838672,7.061875066530374,24.20758390419218,-18.226378687237194,4.974868340778247,-6.64381062196701
0.09,0.009009009009009009,5.177832199014411,9.175618282488468,-14.227840834886148,-18.63822109365099,28.59575444540383,-22.48978499010298,-24.402561073526854,31.436640397211434,-5.129933658916202,7.062035021563823,24.20803183728255,-18.226684692429526,4.975084831253533,-6.643919095361302
0.1,0.01001001001001001,5.178075919364195,9.175642621387432,-14.227799425439096,-18.63863154452218,28.59620322788502,-22.49035851610163,-24.403188422246867,31.437097621701376,-5.129971634638214,7.062197578151359,24.208475706723245,-18.22698340856974,4.975316190153656,-6.6440243385045115
0.11,0.011011011011011011,5.178335443226264,9.175649449669017,-14.22772169947034,-18.639046214000007,28.596638440416186,-22.49094577812967,-24.40383105144528,31.437535857350706,-5.130002370981114,7.062362723455672,24.208915531803882,-18.227274839364437,4.975562428230245,-6.644126345417082
0.12,0.012012012012012012,5.178610764622389,9.175638769498098,-14.227607637005333,-18.639465118871676,28.597060090219077,-22.491546793245142,-24.404488966436997,31.437955104236412,-5.13002587283787,7.062530443451865,24.209351332095647,-18.227558987842862,4.975823557293109,-6.644225109832677
0.13,0.013013013013013013,5.178901876846137,9.175610582436239,-14.227457216242785,-18.639888275779747,28.597468183837073,-22.492161579414912,-24.40516217349873,31.438355362695305,-5.130042144565549,7.062700722925211,24.209783127453182,-18.227835856356627,4.976099590207514,-6.644320625198269
0.14,0.014014014014014014,5.179208772463327,9.175564889441365,-14.227270413557589,-18.64031570122068,28.597862727134967,-22.492790155513962,-24.405850679863914,31.438736633322296,-5.130051189984885,7.062873545468867,24.210210938016534,-18.228105446579473,4.976390540891437,-6.644412884674253
0.15,0.015015015015015015,5.179531443312372,9.17550169086756,-14.227047203504654,-18.6407474115431,28.59824372529873,-22.493432541324683,-24.40655449371737,31.43909891696928,-5.130053012379935,7.063048893481576,24.210634784213156,-18.228367759507098,4.9766964243127925,-6.644501881134587
0.16,0.016016016016016016,5.179869880504492,9.175420986464959,-14.226787558823654,-18.641183422945776,28.598611182835217,-22.494088757536204,-24.407273624189706,31.43944221474459,-5.13004761449783,7.0632267481653255,24.211054686759983,-18.228622795457028,4.9770172564866195,-6.64458760716695
0.17,0.017017017017017015,5.180224074423815,9.175322775379762,-14.226491450444703,-18.641623751475286,28.598965103571842,-22.494758825743716,-24.408008081351472,31.439766528013084,-5.130034998548604,7.063407089522989,24.21147066666557,-18.228870554068546,4.977353054472244,-6.644670055072936
0.18,0.018018018018018018,5.1805940147273555,9.175207056154353,-14.226158847494956,-18.6420684130234,28.599305490656217,-22.49544276844783,-24.408757876207023,31.44007185839676,-5.130015166205112,7.063589896355942,24.211882745232266,-18.229111034302672,4.9777038363704,-6.64474921686826
0.19,0.01901901901901902,5.180979690344874,9.175073826727527,-14.225789717306151,-18.64251742332415,28.599632346555758,-22.496140609053942,-24.409523020688123,31.440358207776033,-5.129988118603035,7.063775146261651,24.21229094405849,-18.229344234442205,4.97806962132031,-6.644825084282999
0.2,0.02002002002002002,5.181381089478624,9.174923084434832,-14.225384025423102,-18.642970797950625,28.599945673057235,-22.49685237187162,-24.410303527647272,31.440625578291556,-5.129953856340972,7.0639628156312515,24.212695285041043,-18.229570152091803,4.97845042949674,-6.644897648761853
0.21,0.02102102102102102,5.18179819960297,9.174754826009021,-14.224941735613143,-18.643428552311413,28.6002454712663,-22.497578082113993,-24.41109941085075,31.44087397234667,-5.129912379480616,7.064152879647096,24.213095790377473,-18.22978878417814,4.978846282106991,-6.644966901464432
0.22,0.022022022022022022,5.182231007463908,9.174569047580606,-14.224462809876544,-18.64389070164679,28.600531741606964,-22.498317765897177,-24.41191068497136,31.441103392610422,-5.129863687547018,7.064345312280296,24.213492482568533,-18.230000126950102,4.979257201387863,-6.645032833265571
