t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.0,16.73307812066133,-35.34581760059123,-7.788684094708276,8.106463850471632,-19.804893211799264,-17.453708885106806,13.896283245765343,26.203513874596847,23.695916173980915,-39.85536451011739,32.602664945961315
0.01,0.001001001001001001,16.733410068641717,-35.34652541200173,-7.7888400985319,8.106623581968249,-19.805290731922366,-17.454059662960383,13.896558888636621,26.20403527796029,23.69638767893299,-39.85616392064653,32.60331623903746
0.02,0.002002002002002002,16.7337514483388,-35.34724887097217,-7.789005763007688,8.106782529330056,-19.805700890223527,-17.454403065753617,13.896822976479314,26.204568287943577,23.696865901938665,-39.856961322101306,32.60398067714232
0.03,0.003003003003003003,16.734102213907843,-35.34798794781259,-7.789181103826873,8.106940685193457,-19.806123698828802,-17.454739047538894,13.89707551368498,26.205112893776533,23.697350862650907,-39.85775668747886,32.60465822538672
0.04,0.004004004004004004,16.734462318954694,-35.34874261160529,-7.789366136665969,8.107098042623841,-19.80655916971207,-17.455067563095106,13.897316505541106,26.20566908426879,23.697842581207375,-39.8585499900462,32.60534884764324
0.05,0.005005005005005005,16.734831716534153,-35.34951283019593,-7.789560877188733,8.107254595118564,-19.807007314694847,-17.455388567935884,13.897545958232934,26.20623684781027,23.69834107822984,-39.85934120334469,32.606052506548735
0.06,0.006006006006006006,16.735210359148248,-35.350298570184556,-7.789765341048197,8.107410336609941,-19.807468145446077,-17.45570201831781,13.897763878845204,26.20681617237161,23.698846374823628,-39.860130301194566,32.60676916350699
0.07,0.007007007007007007,16.73559819874448,-35.3510997969165,-7.789979543888787,8.107565261468254,-19.807941673481903,-17.456007871248588,13.897970275363765,26.20740704550455,23.699358492577048,-39.86091725769936,32.60749877869146
0.08,0.008008008008008008,16.735995186714003,-35.35191647447316,-7.790203501348507,8.107719364504764,-19.80842791016544,-17.456306084495175,13.898165156677083,26.208009454342257,23.699877453560877,-39.8617020472504,32.608241311048104
0.09,0.009009009009009009,16.736401273889754,-35.352748565662736,-7.790437229061199,8.107872640974739,-19.80892686670654,-17.456596616591906,13.898348532577637,26.20862338559961,23.700403280327862,-39.86248464453115,32.608996718298336
0.1,0.01001001001001001,16.73681641054451,-35.35359603201086,-7.790680742658887,8.108025086580504,-19.809438554161503,-17.45687942684854,13.898520413763206,26.209248825573425,23.700935995912218,-39.8632650245217,32.60976495694204
0.11,0.011011011011011011,16.737240546388918,-35.35445883375114,-7.790934057774191,8.108176697474493,-19.80996298343285,-17.457154475358312,13.898680811838036,26.20988576014266,23.701475623829186,-39.86404316250311,32.61054598226071
0.12,0.012012012012012012,16.73767363056944,-35.35533692981562,-7.791197190042824,8.108327470262324,-19.810500165269023,-17.457421723005883,13.898829739313898,26.210534174768554,23.702022188074572,-39.86481903406175,32.611339748320724
0.13,0.013013013013013013,16.73811561166626,-35.356230277825226,-7.791470155106169,8.10847740200589,-19.811050110264116,-17.457681131475308,13.89896720961104,26.211194054494726,23.70257571312435,-39.8655926150937,32.612146207976664
0.14,0.014014014014014014,16.73856643769114,-35.357138834080075,-7.791752968613936,8.108626490226465,-19.811612828857577,-17.457932663257907,13.899093237059018,26.211865383947252,23.703136223934244,-39.86636388180903,32.61296531287481
0.15,0.015015015015015015,16.73902605608521,-35.35806255354978,-7.792045646226902,8.108774732907827,-19.812188331333925,-17.458176281660112,13.899207836897414,26.212548147334694,23.703703745939368,-39.867132810736116,32.61379701345673
0.16,0.016016016016016016,16.739494413716688,-35.359001389863685,-7.792348203619728,8.108922128499405,-19.812776627822448,-17.458411950811247,13.899311025276445,26.2132423284481,23.704278305053872,-39.86789937872595,32.61464125896296
