t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0.0,0.0,-23.41985920006574,-3.4285756911820346,10.356877694013377,-24.443655103957962,35.72582989512251,-34.167625523858035,10.7229984404514,-20.391875627824582,-1.1225706796933992,-9.348740933549658,-10.494842170450545,35.37566480515224,-23.049817139348907,21.781473124764762,7.743535638558726,16.753023397678266,-36.62051111637021,-35.088392317083574,-26.42377043324746,23.168772486283274,34.09467260107516,6.5320425693663315,-32.744117743951804,-37.298633745720025,10.298616313818295,25.171188756043712,28.80458148300154,35.74716483693785,5.876703625607771,12.056072072437972
0.01,0.001001001001001001,-23.42032895611959,-3.4286443625193432,10.357082859116723,-24.444144556428462,35.726543480627974,-34.16830968365594,10.723210764372714,-20.392284353026245,-1.1225960114523144,-9.348928562193372,-10.495054051275726,35.376369809494975,-23.050279809008597,21.781908205097334,7.743689951766573,16.753356152987045,-36.621244782730564,-35.08909569360863,-26.42429903741649,23.169234371998797,34.09535446053959,6.532170693395983,-32.744773068448254,-37.299380643670524,10.298819602019002,25.171689666567076,28.805156359497058,35.747877144451444,5.876820023075791,12.056310340555216
0.02,0.002002002002002002,-23.420763862596836,-3.4286988921172257,10.35729707341416,-24.444621566830467,35.72725178565614,-34.16899029572525,10.723407671561857,-20.392694867862485,-1.1226564487697503,-9.349116151470495,-10.495253113854725,35.377104121329296,-23.05072735275043,21.78236228134627,7.743868746971272,16.753695336585338,-36.62197298551337,-35.08977669984375,-26.424870244599944,23.16968335113119,34.09602365077736,6.532317144318587,-32.74543370100261,-37.30014675617953,10.299043127409295,25.17218797183058,28.80572740277179,35.74857658701705,5.8768958086933765,12.056511192312582
0.03,0.003003003003003003,-23.421163971278375,-3.4287392723809025,10.357520318567127,-24.445086162728565,35.727954838413936,-34.16966732590491,10.723589199520214,-20.3931071350183,-1.122751980702001,-9.34930365531172,-10.49543934159794,35.37786771769708,-23.051159800805905,21.782835357110184,7.744072026723972,16.75404095395591,-36.62269575842318,-35.09043530539047,-26.425484012972408,23.170119438675375,34.09668011758055,6.532481928914871,-32.746099594366086,-37.300932048608445,10.29928689063129,25.172683630561536,28.806294576317182,35.749263130474795,5.876930950301374,12.05667460405309
0.04,0.004004004004004004,-23.421529326947308,-3.4287654946569006,10.357752574998992,-24.44553837209743,35.728652666069124,-34.17034074179355,10.723755383572486,-20.393521118577297,-1.1228825963899793,-9.34949102821103,-10.49561271632587,35.378660573737164,-23.051577181948723,21.78332743583122,7.744299793295164,16.754393007252382,-36.6234131333904,-35.091071480503054,-26.426140299996216,23.170542649595934,34.097323811306815,6.532665053301343,-32.74677070272326,-37.30173648542637,10.299550889831306,25.17317660152197,28.806857844274095,35.749936741298654,5.876925416179903,12.056800550930115
0.05,0.005005005005005005,-23.421859967390677,-3.428777549227579,10.357993821894436,-24.445978223325216,35.72934529474926,-34.171010512751536,10.72390625686668,-20.39393678401327,-1.1230482850444634,-9.349678225234273,-10.495773218267926,35.379482662673645,-23.051979523491134,21.78383852079535,7.744552048670548,16.754751495291828,-36.62412514057979,-35.0916851960881,-26.426839062401754,23.170952998817715,34.09795468687477,6.532866522928266,-32.7474469816914,-37.3025600302169,10.299835120653812,25.173666843511914,28.80741717143516,35.75059738659745,5.876879175065355,12.05688900690712
0.06,0.006006006006006006,-23.42215592339976,-3.42877542530585,10.358244037197982,-24.44640574521668,35.730032749540364,-34.17167660990286,10.724041850373842,-20.394354098182536,-1.1232490359308378,-9.349865202027447,-10.495920826061155,35.38033395580282,-23.052366851280166,21.78436861513233,7.744828794546769,16.755116413547402,-36.6248318083984,-35.0922764237038,-26.427580256166696,23.171350501216427,34.09857270375942,6.533086342577946,-32.74812838832022,-37.30340264568516,10.30013957623411,25.174154315372782,28.80797252324663,35.75124503411541,5.876792196168809,12.056939944757808
0.07,0.007007007007007007,-23.422417218768924,-3.428759111030093,10.358503197611665,-24.446820966996057,35.73071505448521,-34.172339006137086,10.724162192887512,-20.39477302931702,-1.1234848383533336,-9.35005191482468,-10.496055516748813,35.3812144224788,-23.052739189693714,21.78491772181544,7.7451300323269825,16.755487754140987,-36.62553316350306,-35.09284513555894,-26.42836383649421,23.17173517160925,34.09917782598784,6.533324516363322,-32.748814881092116,-37.30426429366486,10.300464247189728,25.174638975990863,28.80852386580982,35.751879652232184,5.876664449195851,12.056953336066732
0.08,0.008008008008008008,-23.422643870292998,-3.4287285934592635,10.358771278591828,-24.447223918309668,35.73139223258126,-34.17299767611115,10.7242673110229,-20.3951935470181,-1.123755681638777,-9.350238320455938,-10.496177265778837,35.38212403009783,-23.053096561636533,21.785485843660886,7.745455763116282,16.755865505835857,-36.62622923080748,-35.09339130451155,-26.42918975779012,23.172107024745447,34.09977002213495,6.533581047726882,-32.74950641992284,-37.30514493512558,10.30080912161053,25.17512078430092,28.809071165882052,35.752501209962325,5.8764959043678,12.056929151230372
0.09,0.009009009009009009,-23.422835887763206,-3.428683858568199,10.359048254345094,-24.447614629228266,35.732064305778216,-34.17365259625115,10.724357229215773,-20.395615622251253,-1.1240615551198545,-9.350424376354423,-10.496286047002211,35.383062744081236,-23.053438988536104,21.786072983326953,7.745805987716975,16.756249654029386,-36.626920033488865,-35.0939149040673,-26.43005797363905,23.172466075296995,34.10034926531951,6.533855939439888,-32.75020296616264,-37.30604453018017,10.301174185047577,25.1755996992899,28.80961439087715,35.75310967695431,5.876286532444346,12.056867359458668
