t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
0.0,0.0,-6.080400689595253,32.08451140476232,21.421723713262068,17.01395698674898,-30.082998890459702,31.98521168876246,-9.473606034614779,-16.762427937819815,8.441063097606714,-3.2466136357176683,-19.93607857494743,25.871827788745186,-25.864099940815485,-22.06528643048438,11.868927634354336,-2.366644489939729,-34.137546186777264,-29.02574493483432,-31.163587651033247,-2.440793370536979,2.4714875013680375,35.346889181599586,5.895086891291301,1.4234781060833679,32.39694587455742,32.20404618174753,-20.244015597430376,13.596482041011319,35.83390939810186,-22.072735940098557,16.302423588972687,22.725417525781456,33.599193231466494,27.151895783104464,-6.873634520560926,-39.51104108754429,-37.205200035293785,-38.85942641908213,6.242150545043604,-9.858213246069063,-30.8898211196895,27.973602046985867
0.01,0.001001001001001001,-6.0805230141532505,32.085152292395414,21.422150902629202,17.014296080518374,-30.083603681267792,31.985850110606908,-9.473797931711974,-16.762765575675044,8.441230944945573,-3.246679656681685,-19.936478401620697,25.872344768303353,-25.86462027853053,-22.06573059248129,11.8691632537499,-2.3666928080039136,-34.138231728063715,-29.026327568966806,-31.16421215142372,-2.4408437797703075,2.4715352845983514,35.34759320398232,5.895202998007691,1.4235044760010933,32.39759364929939,32.20468923519034,-20.2444206549333,13.596753405706776,35.83462316738497,-22.07318034167909,16.302747394056063,22.72586973232596,33.59986376470802,27.15243589516294,-6.873773270058188,-39.511833454720275,-37.20594618106541,-38.8602054886868,6.242274690497181,-9.858412554022253,-30.890441674607125,27.974159016065705
0.02,0.002002002002002002,-6.080636554752108,32.08577755665022,21.42260590729534,17.014596093396122,-30.08422831576227,31.98647933760341,-9.473998954267957,-16.763118534794646,8.441421977308435,-3.246752516197683,-19.93688961153913,25.87287241228259,-25.86512647511158,-22.066187805720162,11.869404442764656,-2.3667336978866627,-34.13889496970826,-29.026930162564742,-31.164823903143567,-2.4409203578346306,2.4715884434034505,35.348287293327445,5.895337509937297,1.4234970698820986,32.39825086753969,32.205343149474594,-20.24485264938451,13.597017749331878,35.83535142116654,-22.073607498960506,16.303062256344706,22.726322512952898,33.600557822971716,27.152980718272392,-6.873890674241651,-39.51261183909246,-37.20666781515338,-38.86100930737663,6.242431540822776,-9.858614857981083,-30.891064732481997,27.974688629239704
0.03,0.003003003003003003,-6.0807413082205155,32.08638716548386,21.42308875449467,17.014857004785217,-30.08487276436581,31.987099357945272,-9.474209082810596,-16.763486819389755,8.441636183536009,-3.2468321894778764,-19.9373122331337,25.873410736213437,-25.865618544684377,-22.066658075779003,11.869651193717123,-2.3667671834274477,-34.139535866702516,-29.02755272418825,-31.165422936687854,-2.441023142250899,2.471646997454076,35.34897139998383,5.895490447705447,1.4234558932187114,32.398917518960864,32.206007871410385,-20.245311623126895,13.597275090661114,35.836094159957696,-22.07401740210962,16.303368159009356,22.726775822090104,33.60127540542549,27.153530270521014,-6.873986748798617,-39.51337620501683,-37.20736483800452,-38.8618378693837,6.242621093574652,-9.85882014251249,-30.89169025504555,27.975190906980846
0.04,0.004004004004004004,-6.080837271449109,32.08698108791469,21.42359947102796,17.015078795901676,-30.085536996508637,31.987710159913515,-9.474428298274857,-16.76387043468697,8.44187355255545,-3.2469186505817613,-19.937746294816005,25.873959757027787,-25.866096499612652,-22.067141408462497,11.869903498130167,-2.366793290323494,-34.140154376876694,-29.02819526304828,-31.166009281407433,-2.441152171208485,2.471710965549687,35.34964547552009,5.895661835964096,1.4233809500810655,32.399593594548335,32.20668334725725,-20.245797620003497,13.597525448969629,35.836851386687776,-22.074410042074536,16.303665085519302,22.72722961259433,33.602016511413616,27.15408456914109,-6.8740615090733135,-39.51412652021996,-37.20803715202613,-38.86269116926917,6.242843349410343,-9.859028391949703,-30.8923182031705,27.97566586792819
0.05,0.005005005005005005,-6.080924441390615,32.08755929402015,21.42413808325068,17.015261449767323,-30.08622098061893,31.98831173188279,-9.474656582003814,-16.764269386932217,8.442134073376693,-3.24701187241507,-19.938191824981576,25.874519493055082,-25.866560350498634,-22.06763780979547,11.870161346729068,-2.366812046134452,-34.14075046090041,-29.028857788998067,-31.166582965510962,-2.4413074835553172,2.471780365622402,35.35030947273246,5.8958517033905125,1.423272243118029,32.40027908659097,32.20736952272679,-20.246310685358786,13.597768844032975,35.83762310671079,-22.074785410578247,16.303953019640346,22.72768383575452,33.602781140452656,27.15464363050628,-6.874114970071874,-39.5148627558126,-37.20868466159342,-38.8635692019143,6.243098312090555,-9.859239590388027,-30.89294853687369,27.976113528887772
0.06,0.006006006006006006,-6.081002815059894,32.08812175493515,21.424704617059646,17.015404951203838,-30.086924684112706,31.988904062327265,-9.47489391574936,-16.764683683394612,8.442417735087735,-3.2471118267289487,-19.93864885201324,25.875089964018628,-25.867010106183784,-22.068147286016238,11.870424729439803,-2.366823480287624,-34.14132408228427,-29.029540312524627,-31.16714401606658,-2.4414891187879997,2.4718552147407378,35.35096334565248,5.896060082686615,1.4231297735598925,32.4009739886815,32.20806634298507,-20.246850866039697,13.598005296127194,35.83840932781223,-22.075143500113047,16.304231945432658,22.728138441294888,33.60356929222636,27.155207470128655,-6.874147146467628,-39.515584886302726,-37.209307273056844,-38.86447196251096,6.243385988478666,-9.859453721680822,-30.893581215318555,27.97653390483351
0.07,0.007007007007007007,-6.081072389533888,32.08866844285075,21.42529909787811,17.015509286828117,-30.087648073383292,31.989487139826544,-9.475140281672624,-16.765113332370362,8.44272452684887,-3.2472184841193656,-19.93911740428457,25.875671191032055,-25.86744577374976,-22.068669843569793,11.870693635387509,-2.3668276240837454,-34.14187520738213,-29.030242844740222,-31.167692459003216,-2.4416971170419077,2.4719355291131504,35.3516070495544,5.896287010578964,1.4229535412228236,32.401678295716806,32.208773752654665,-20.247418210396404,13.598234826029211,35.83921006021631,-22.07548430393568,16.30450184724856,22.728593377377724,33.60438096657957,27.155776102655558,-6.874158052606697,-39.51629288960791,-37.2099048947493,-38.86539944655149,6.243706388539813,-9.859670769435647,-30.89421619681727,27.97692700890812
0.08,0.008008008008008008,-6.081133161951467,32.089199331013326,21.425921550639288,17.015574445048948,-30.088391113790284,31.990060953071534,-9.475395662344072,-16.76555834318666,8.44305443788587,-3.247331814026754,-19.939597510163384,25.876263196595936,-25.867867358519632,-22.069205489100884,11.870968052895174,-2.3668245107033283,-34.14240380539413,-29.030965397373844,-31.168228319111577,-2.4419315190812547,2.4720213240913664,35.35224054096237,5.896532527819417,1.4227435445150882,32.40239200389806,32.209491695816524,-20.24801276828281,13.598457455017567,35.8400253165936,-22.075807816063286,16.304762709730202,22.72904859060596,33.60521616351113,27.156349541866188,-6.874147702513894,-39.51698674706714,-37.21047743699331,-38.86635164981803,6.244059525339578,-9.859890717010591,-30.89485343883248,27.977292852424046
0.09,0.009009009009009009,-6.081185129513184,32.089714393724186,21.42657199976836,17.015600416064984,-30.089153769648068,31.990625490870336,-9.475660040743316,-16.766018726205616,8.443407457482124,-3.247451784735889,-19.94008919801533,25.876866004594525,-25.868274864059295,-22.069754229446946,11.87124796948251,-2.366814175213565,-34.1429098483705,-29.031707982762708,-31.168751620044738,-2.4421923662891283,2.472112614173511,35.35286377765735,5.896796679186426,1.4224997804450479,32.40311511073069,32.210220116011506,-20.248634591056778,13.598673204873458,35.840855112069015,-22.076114031270087,16.30501451780716,22.729504026025513,33.606074883165824,27.156927800667994,-6.8741161098989165,-39.51766644345202,-37.21102481210803,-38.86732856837117,6.244445415042263,-9.860113547510778,-30.895492897978734,27.97763144486436
