t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
0.0,0.0,-20.71461603863952,-7.4127470591713065,-13.5253255325276,-19.92255304040032,-20.712005989657744,2.049421283713605,33.76213049742599,-2.52843920028243,37.60030758064086,10.712817099798883,-24.59071924135008,27.31607855002462,5.427719301487194,-26.417377406702222,-0.4323119499988801,-21.316693373820424,0.18102143200349496,-0.31199247113015044,-5.532003763540848,7.26624933709867,1.7838634767564385,39.03308291678853
0.01,0.001001001001001001,-20.71503251458543,-7.412898389037614,-13.525596818011751,-19.922954581193537,-20.712422502368607,2.049460614690503,33.76280476094473,-2.5284904538387996,37.601057435385314,10.713030382823655,-24.5912125020248,27.316623650103544,5.427827496587013,-26.41790595234191,-0.43232226929891937,-21.31712018463381,0.18102444401441867,-0.3120014912825895,-5.5321167544789835,7.266391706065686,1.7838985391584001,39.03386179184025
0.02,0.002002002002002002,-20.7154322567294,-7.413056095722367,-13.525877735772932,-19.923352377244267,-20.712808435079708,2.0495014744006266,33.763474003491154,-2.5285471770684755,37.60179961001173,10.713271377086542,-24.591697626387344,27.317159418011947,5.427941752339768,-26.41844714118272,-0.4323313870907273,-21.317535274694126,0.1810187476859226,-0.3120080798149054,-5.532233938168397,7.266525554363675,1.7839199307188927,39.03462206536188
0.03,0.003003003003003003,-20.715815271680682,-7.41322018455438,-13.526168276185823,-19.923746417033406,-20.713163786732522,2.049543855453995,33.76413825181869,-2.5286093748917406,37.60253409215097,10.713540068536155,-24.59217460127223,27.317685850840718,5.428062071646452,-26.419000983887624,-0.4323393033240342,-21.31793866783081,0.18100434777392338,-0.3120122328100979,-5.532355305007286,7.266650888297137,1.7839276457276674,39.0353637414817
0.04,0.004004004004004004,-20.716181566114045,-7.413390659747898,-13.526468427881492,-19.924136688367796,-20.713488557874044,2.0495877506513964,33.76479753280894,-2.528677052148853,37.603260869402064,10.713836444972069,-24.59264341425739,27.318202945694168,5.428188458395933,-26.4195674910399,-0.43234601791178184,-21.318330386945696,0.18098124783704275,-0.31201394686831296,-5.532480845839125,7.266767712407789,1.7839216782236351,39.03608682312007
0.05,0.005005005005005005,-20.716531146768755,-7.413567524403806,-13.526778177747087,-19.92452317838003,-20.713782750654143,2.049633152983767,33.76545187347077,-2.528750213600761,37.603979929331054,10.714160496040552,-24.59310405366273,27.318710699690094,5.428320917465145,-26.420146673143154,-0.432351530729992,-21.318710454011914,0.18094945023910894,-0.31201321910642627,-5.532610551953498,7.266876029475447,1.7839020219939123,39.036791311989234
0.06,0.006006006006006006,-20.71686402044751,-7.413750780510865,-13.527097510925381,-19.9249058735283,-20.714046368823286,2.0496800556315775,33.76610130093942,-2.528828863929754,37.60469125946983,10.714512213230218,-24.59355650854878,27.31920910995983,5.428459454719395,-26.42073854062133,-0.4323558416176622,-21.319078890072717,0.18090895615188643,-0.3120100471574835,-5.532744415087047,7.266975840518836,1.783868670572892,39.03747720859302
0.07,0.007007007007007007,-20.71718019401532,-7.413940428946976,-13.52742641081417,-19.925284759596252,-20.714279417730566,2.049728451964231,33.76674584247569,-2.528913007740032,37.60539484731497,10.714891589867605,-24.59400076871542,27.319698173648238,5.428604077012784,-26.421343103818604,-0.4323589503766894,-21.319435715240292,0.18085976555803412,-0.31200442916999865,-5.532882427424516,7.267067144796335,1.7838216172413353,39.0381445122264
0.08,0.008008008008008008,-20.717479674398344,-7.414136469480481,-13.527764859065533,-19.925659821692918,-20.71448190432209,2.0497783355394654,33.76738552546513,-2.5290026495582127,37.60609068032655,10.715298621112682,-24.594436824700747,27.3201778879137,5.4287547921887365,-26.42196037299924,-0.4323608567718206,-21.319780948694483,0.18080187725429167,-0.31199636380711104,-5.53302458159991,7.267149939806635,1.783760855025489,39.03879322097499
0.09,0.009009009009009009,-20.717762468582663,-7.414338900771488,-13.528112835584945,-19.926031044252642,-20.714653837139675,2.0498297001027708,33.76802037741723,-2.5290977938337615,37.60677874592704,10.71573330395429,-24.594864667779966,27.320648249928052,5.428911609080647,-26.422590358347374,-0.43236156053063135,-21.32011460868149,0.1807352888548942,-0.31198585024560044,-5.53317087069775,7.267224221289338,1.7836863766962259,39.03942333171428
0.1,0.01001001001001001,-20.71802858361301,-7.414547720373227,-13.528470318530259,-19.92639841103508,-20.71479522631992,2.04988253958681,33.76865042596469,-2.529198444939353,37.607459031500106,10.716195637205498,-24.595284289964447,27.32110925687649,5.429074537512632,-26.423233069966724,-0.4323610613435313,-21.320436712512493,0.18065999679521547,-0.31197288817476176,-5.533321288254441,7.26728998322547,1.7835981747682081,39.04003484010891
0.11,0.011011011011011011,-20.718278026591456,-7.414762924733432,-13.52883728431054,-19.926761905125215,-20.714906083593558,2.0499368481108533,33.769275698862685,-2.5293046071711616,37.60813152438949,10.716685621498899,-24.595695684000816,27.321560905957462,5.429243588300398,-26.423888517880226,-0.43235935886379734,-21.32074727656223,0.1805759963356399,-0.3119574777951396,-5.533475828259742,7.26734721783793,1.7834962414990791,39.04062774061167
0.12,0.012012012012012012,-20.718510804676036,-7.414984509195757,-13.529213707584777,-19.927121508933414,-20.71498642228517,2.0499926199802188,33.7698962239882,-2.5294162847490798,37.60879621189785,10.717203259281822,-24.596098843370182,27.322003194382503,5.429418773252218,-26.42455671202963,-0.4323564527076337,-21.321046316267523,0.18048328156566407,-0.3119396198171231,-5.53363448515834,7.267395915591861,1.783380568888678,39.04120202646246
0.13,0.013013013013013013,-20.718726925079316,-7.415212468001213,-13.529599561260438,-19.92747720419554,-20.71503625731321,2.050049849685723,33.77051202933932,-2.529533481816868,37.609453081285594,10.717748554811491,-24.596493762287434,27.322436119376068,5.429600105170016,-26.425237662275006,-0.4323523424542591,-21.321333846125732,0.18038184540822833,-0.31191931545940194,-5.533797253851532,7.267436065194951,1.7832511486782805,39.04175768968708
0.14,0.014014014014014014,-20.718926395066923,-7.415446794289638,-13.529994816491923,-19.92782897197307,-20.715055605190376,2.050108531903143,33.77112314303465,-2.529656202442234,37.61010211976977,10.718321514150084,-24.596880435700648,27.322859678175302,5.42978759785056,-26.425931378394175,-0.4323470276460211,-21.32160987969317,0.1802716796242794,-0.311896566447284,-5.533964129699,7.267467653597665,1.7831079723498675,39.04229472109594
0.15,0.015015015015015015,-20.71910922195601,-7.41568748010119,-13.530399442678867,-19.928176792653293,-20.715044484024283,2.0501686614926844,33.771729593312664,-2.5297844506168405,37.6107433145229,10.718922145159736,-24.597258859290577,27.32327386802981,5.4299812660867675,-26.426637870082097,-0.4323405077885374,-21.321874429583445,0.18015277481756484,-0.3118713750108757,-5.534135108520708,7.267490665993404,1.7829510311254193,39.04281311028258
0.16,0.016016016016016016,-20.719275413113678,-7.4159345163778765,-13.530813407464331,-19.928520645949526,-20.715002913518454,2.0502302334984597,33.772331408531144,-2.529918230256244,37.611376652671815,10.719550457497462,-24.59762902947024,27.32367868620137,5.430181125669111,-26.427357146950172,-0.43233278235086325,-21.32212750746576,0.18002512043966074,-0.3118437438831257,-5.534310186598882,7.267505085818597,1.7827803159662372,39.0433128456221
0.17,0.017017017017017015,-20.71942497595533,-7.416187892965105,-13.531236676732858,-19.92886051090137,-20.714930914973646,2.0502932431479786,33.77292861716664,-2.5300575451997664,37.61200212129654,10.720206462610001,-24.597990943384612,27.324074129963645,5.430387193387134,-26.428089218525486,-0.43232385076568636,-21.322369124063133,0.17988870479523386,-0.3118136762977324,-5.534489360680108,7.267510894752725,1.782595817572293,39.04379391426945
0.18,0.018018018018018018,-20.719557917942996,-7.41644759861327,-13.531669214608426,-19.929196365875036,-20.71482851128947,2.050357685851644,33.773521247813946,-2.530202399210293,37.612619707429126,10.720890173728574,-24.5983445989104,27.324460196601834,5.430599487031073,-26.428834094249975,-0.4323137124295475,-21.322599289150585,0.17974351504753963,-0.31178117598691685,-5.534672627977523,7.267508072718277,1.7823975263816063,39.04425630215763
0.19,0.01901901901901902,-20.719674246583576,-7.416713620979363,-13.532110983452267,-19.929528188563683,-20.714695726966305,2.0504235572022598,33.77410932918559,-2.5303527959740038,37.61322939805249,10.721601605863569,-24.59868999465591,27.32483688341231,5.430818025393577,-26.42959178347953,-0.432302366703088,-21.322818011553245,0.17958953722415757,-0.31174624717906163,-5.534859986173112,7.267496597880647,1.7821854325696513,39.0446999939957
0.2,0.02002002002002002,-20.71977396942704,-7.41698594662862,-13.532561943860587,-19.929855955987826,-20.714532588107566,2.050490852974548,33.774692890111396,-2.530508739100038,37.613831180099275,10.722340775799141,-24.59902712996102,27.325204187702234,5.431042828271539,-26.43036229548304,-0.4322898129113227,-21.323025299144412,0.17942675622296622,-0.3117088945962163,-5.535051433420102,7.267476446647959,1.7819595260487906,39.045124973266745
0.21,0.02102102102102102,-20.71985709406459,-7.417264561036201,-13.53302205466218,-19.93017964449578,-20.714339122422214,2.0505595691246734,33.77527195953801,-2.530670232120085,37.614425040450705,10.723107702087718,-24.59935600489723,27.325562106789125,5.4312739164680215,-26.43114563944134,-0.4322760503439391,-21.323221158843545,0.179255155818359,-0.3116691234514712,-5.535246968345458,7.267447593670842,1.7817197964677396,39.04553122222565
0.22,0.022022022022022022,-20.719923628126725,-7.417549448588895,-13.533491272915919,-19.930499229764166,-20.714115359227574,2.050629701789782,33.77584656652852,-2.5308372784879127,37.61501096593539,10.72390240504442,-24.599676620267825,27.325910638000405,5.431511311794287,-26.431941824446135,-0.4322610782556227,-21.323405596614204,0.17907471866770344,-0.31162693944619996,-5.535446590052482,7.267410011842137,1.7814662332110598,39.04591872189677
0.23,0.023023023023023025,-20.7199735792813,-7.417840592586871,-13.533969553908173,-19.930814686798456,-20.713861329452463,2.0507012472875448,33.77641674026206,-2.531009881578823,37.61558894332819,10.724724906741383,-24.59998897760811,27.326249778672924,5.431755037071925,-26.43275085949881,-0.43224489586640685,-21.323578617461923,0.17888542631804594,-0.3115823487671725,-5.535650298123503,7.267363672296553,1.7811988253986828,39.046287452071525
0.24,0.024024024024024024,-20.720006955231497,-7.418137975245456,-13.53445685115011,-19.931125989933573,-20.71357706564058,2.0507742021157127,33.776982510033434,-2.531188044689043,37.61615895934905,10.725575231001992,-24.600293079185747,27.326579526152443,5.43200511613508,-26.433572753509207,-0.43222750236204877,-21.323740225432033,0.17868725921306405,-0.31153535808353894,-5.535858092622672,7.267308544410266,1.7809175618854638,39.046637391305815
0.25,0.025025025025025023,-20.720023763713744,-7.418441577696954,-13.534953116374913,-19.93143311283455,-20.713262601954167,2.050848562951683,33.77754390525281,-2.531371771035047,37.61672100066182,10.726453403395007,-24.60058892800118,27.326899877793096,5.432261573832774,-26.434407515294307,-0.4322088968944301,-21.32389042360741,0.17848019670026938,-0.3114859745436861,-5.53606997409885,7.267244595800467,1.780622431260766,39.04696851691735
0.26,0.026026026026026026,-20.720024012495585,-7.4187513799925044,-13.53545829953491,-19.931736028497244,-20.712917974177948,2.0509243266520722,33.7781009554454,-2.5315610637528128,37.617275053873065,10.72735945122858,-24.60087652778816,27.32721083095683,5.43252443603132,-26.43525515357686,-0.4321890785819825,-21.32402921410618,0.17826421703846318,-0.31143420577196795,-5.5362859435885925,7.267171792324865,1.7803134218480758,39.04728080498288
0.27,0.02702702702702703,-20.72000770937349,-7.419067361103981,-13.535972348798635,-19.932034709249113,-20.712543219723337,2.051001490252303,33.778653690251176,-2.5317559258970093,37.61782110553092,10.728293403544166,-24.601155883014336,27.32751238301279,5.43279372961684,-26.43611567698395,-0.43216804651013774,-21.32415659807936,0.17803929740544777,-0.3113800598653108,-5.536506002619232,7.267090098081134,1.7799905217046497,39.047574230335265
0.28,0.028028028028028028,-20.719974862170602,-7.4193894989259315,-13.536495210547788,-19.932329126750034,-20.71213837763288,2.0510800509661964,33.77920213942459,-2.53195636044012,37.61835914212388,10.729255291110329,-24.601426998881962,27.327804531336724,5.433069482497862,-26.436989094045465,-0.4321457997318019,-21.324272575708424,0.17780541390599655,-0.31132354538969487,-5.536730153212052,7.266999475406331,1.7796537186211925,39.04784876656046
0.29,0.029029029029029027,-20.719925478734435,-7.419717770277568,-13.537026829374144,-19.932619251993216,-20.71170348858496,2.051160006185578,33.77974633283438,-2.532162370271499,37.618889150079596,10.73024514641641,-24.601689881328678,27.32808727331029,5.433351723608014,-26.43787541319254,-0.43212233726785404,-21.324377146202846,0.1775625415800856,-0.3112646713765136,-5.536958397885558,7.266899884876263,1.7793030001215673,39.04810438599443
0.3,0.03003003003003003,-20.71985956693451,-7.420052150904795,-13.537567148076395,-19.932905055306147,-20.71123859489875,2.0512413534798912,33.78028630046333,-2.53237395819636,37.619411115763725,10.73126300366608,-24.60194453702837,27.32836060632042,5.4336404829088085,-26.438774642755895,-0.4320976581076681,-21.324470307797537,0.17731065441139038,-0.3112034473188123,-5.537190739658833,7.266791285304824,1.7789383534625378,39.04834105971987
0.31,0.031031031031031032,-20.719777134659928,-7.420392615482294,-13.538116107656926,-19.93318650635162,-20.710743740539368,2.0513240905958217,33.78082207240809,-2.532591126934704,37.61992502547868,10.732308898770762,-24.60219097339213,27.328624527758574,5.433935791392507,-26.439686790964124,-0.4320717612096586,-21.324552057750267,0.17704972533605035,-0.31113988316740687,-5.537427182054994,7.266673633743295,1.7785597656335437,39.0485587575629
0.32,0.03203203203203203,-20.71967818981689,-7.420739137615658,-13.538673647318536,-19.93346357412884,-20.710218971123293,2.0514082154569326,33.781353678879015,-2.5328138791201775,37.62043086546244,10.73338286934292,-24.6024291985693,27.32887903502003,5.434237681085074,-26.440611865941904,-0.4320446455018494,-21.324622392339002,0.17677972625170552,-0.31107398932688535,-5.5376677291047365,7.266546885479623,1.7781672233565078,39.04875744808963
0.33,0.03303303303303303,-20.719562740326158,-7.421091689843577,-13.539239704461123,-19.933736226974574,-20.709664333923975,2.051493726163309,33.781881150200014,-2.533042217298868,37.62092862188733,10.73448495468919,-24.60265922144859,27.329124125503103,5.434546185049212,-26.44154987570815,-0.43201630988246503,-21.32468130685919,0.17650062802680808,-0.3110057766514923,-5.5379123853499586,7.266410994037667,1.7777607130856772,39.04893709860261
0.34,0.03403403403403403,-20.71943079412045,-7.421450243640083,-13.539814214678312,-19.934004432564404,-20.70907987787764,2.0515806209912117,33.78240451680844,-2.533276143928035,37.62141828085881,10.735615195803382,-24.602881051659278,27.329359796608376,5.434861337387475,-26.442500828174094,-0.4319867532205451,-21.324728795621006,0.17621240051021314,-0.3109352564408992,-5.538161155847487,7.266265911176428,1.7773402210074973,39.04909767513719
0.35000000000000003,0.035035035035035036,-20.71928235914178,-7.421814769416857,-13.540397111754066,-19.93426815791404,-20.708465653589332,2.0516688983927445,33.78292380925499,-2.5335156613747793,37.62189982841424,10.736773635359302,-24.6030946995725,27.32958604573786,5.435183173245467,-26.443464731141283,-0.43195597435658023,-21.324764851946515,0.17591501254105224,-0.310862440435861,-5.5384140461728775,7.2661115868892665,1.77690573304052,39.04923914245783
0.36,0.036036036036036036,-20.71911744333874,-7.422185236525585,-13.54098832765925,-19.93452736938072,-20.707821713339104,2.0517585569955274,33.783439058203605,-2.5337607719146438,37.62237325052162,10.737960317703438,-24.603300176302625,27.329802870294166,5.435511728815108,-26.44444159229954,-0.4319239721031706,-21.324789468166795,0.17560843195889372,-0.3107873408137618,-5.538671062424313,7.265947969403099,1.7764572348353453,39.049361464054236
0.37,0.037037037037037035,-20.718936054663715,-7.422561613260397,-13.541587792548183,-19.934782032664682,-20.707148111088404,2.0518495956023837,33.78395029443145,-2.5340114777301554,37.62283853307837,10.739175288847447,-24.603497493708677,27.330010267679633,5.435847041337979,-26.445431419224818,-0.43189074524570503,-21.32480263561901,0.17529262561419404,-0.3107099701840504,-5.538932211226571,7.2657750051775984,1.7759947117745978,39.04946460213751
0.38,0.03803803803803804,-20.71873820107005,-7.422943866860361,-13.542195434755183,-19.935032112810724,-20.706444902486638,2.0519420131910358,33.78445754882884,-2.5342677809093033,37.62329566191008,10.740418596460476,-24.603686664395873,27.330208235295423,5.4361891491087375,-26.44643421937702,-0.43185629254306224,-21.324804344643418,0.17496755937904426,-0.310630341583568,-5.539197499735087,7.26559263890439,1.7755181489729368,39.04954851763612
0.39,0.03903903903903904,-20.71852389050913,-7.423331963512052,-13.542811180791084,-19.93527757420986,-20.70571214487787,2.0520358089138115,33.78496085239925,-2.5345296834439552,37.62374462276922,10.7416902898613,-24.603867701717213,27.330396770540613,5.436538091478601,-26.447450000097742,-0.4318206127283321,-21.324794584580324,0.1746331981582161,-0.3105484684717697,-5.539466935640086,7.265400813506245,1.7750275312771024,39.04961317019185
0.4,0.04004004004004004,-20.71829313092743,-7.423725868352192,-13.543434955339775,-19.93551838060105,-20.704949897307703,2.052130982097363,33.7854602362593,-2.5347971872282105,37.62418540133391,10.742990420010251,-24.604040619775144,27.330575870811234,5.436893908858899,-26.448478768607917,-0.4317837045095578,-21.324773343766996,0.17428950590051184,-0.3104643647258416,-5.539740527170811,7.265199470136299,1.774522843265996,39.04965851815567
0.41000000000000003,0.04104104104104104,-20.718045930263497,-7.424125545470376,-13.54406668125473,-19.935754495073045,-20.70415822053025,2.0522275322423926,33.785955731638765,-2.5350702940566943,37.62461798320661,10.744319039500953,-24.604205433423314,27.3307455334993,5.437256642724682,-26.449520532005444,-0.4317455665704976,-21.324740609534516,0.1739364456104231,-0.3103780446357155,-5.540018283099809,7.264988548177266,1.774004069250796,39.0496845185835
0.42,0.04204204204204204,-20.717782296444835,-7.424530957911864,-13.54470627955556,-19.935985880066298,-20.70333717701528,2.0523254590233933,33.78644736988065,-2.5353490056227885,37.625042353912846,10.745676202551829,-24.604362158268366,27.330905755991814,5.437626335618401,-26.45057529726271,-0.4317061975714068,-21.32469636820459,0.17357397936010252,-0.3102895228989828,-5.540300212747311,7.264767985240694,1.7734711932751088,39.04969112723195
0.43,0.043043043043043044,-20.71750223738478,-7.424942067680473,-13.545353669424586,-19.936212497374996,-20.702486830955454,2.0524247622883967,33.78693518244119,-2.535633323516805,37.625458498899924,10.747061964997402,-24.604510810671826,27.331056535669735,5.438003031153636,-26.451643071224055,-0.43166559614983846,-21.324640605086305,0.17320206830165394,-0.31019881461571014,-5.5405863259856725,7.264537717166233,1.772924199115158,39.04967829855398
0.44,0.044044044044044044,-20.717205760979294,-7.4253588357415445,-13.546008768203437,-19.93643430814919,-20.701607248273678,2.0525254420587338,33.78741920088998,-2.5359232492240973,37.62586640353561,10.748476384279343,-24.60465140775205,27.331197869906934,5.438386774018884,-26.45272386060318,-0.43162376092146304,-21.324573304472832,0.17282067267974538,-0.3101059352831581,-5.540876633243903,7.264297678020945,1.7723630702800073,39.049645985694454
0.45,0.04504504504504504,-20.71689287510367,-7.425781222025005,-13.546671491389702,-19.936651272897024,-20.700698496630523,2.052627498528807,33.78789945691,-2.536218784123113,37.62626605310683,10.749919519437285,-24.604783967386236,27.331329756069117,5.438777609981394,-26.453817671980467,-0.43158069048090686,-21.3244944496381,0.17242975184455017,-0.31001090079040544,-5.541171145512249,7.264047800098655,1.7717877900118197,39.04959414048575
0.46,0.04604604604604605,-20.71656358760922,-7.426209185428527,-13.547341752633606,-19.93686335148707,-20.699760645431756,2.052730932065871,33.788375982297765,-2.5365199294833896,37.62665743281835,10.751391431099377,-24.604908508212493,27.331452191512728,5.439175585891057,-26.454924511800254,-0.4315363834026082,-21.324404022833402,0.17202926426502124,-0.3099137274128808,-5.541469874346862,7.263788013919346,1.7711983412861567,39.0495227134432
0.47000000000000003,0.04704704704704705,-20.71621790631987,-7.4266426838207815,-13.54801946373476,-19.937070503150785,-20.69879376583593,2.0528357432098274,33.78884880896342,-2.536826686463489,37.62704052779143,10.752892181472571,-24.60502504963197,27.331565173583822,5.439580749684334,-26.456044386368024,-0.43149083824169104,-21.324302005283986,0.17161916754250392,-0.3098144318068039,-5.541772831874523,7.263518248228615,1.7705947068123107,39.04943165376058
0.48,0.04804804804804805,-20.715855839028706,-7.427081674044797,-13.548704534638965,-19.937272686485073,-20.697797930762025,2.0529419326730274,33.78931796893089,-2.5371390561088782,37.62741532306251,10.754421834332632,-24.60513361181106,27.331668699616916,5.4399931503882275,-26.457177301847537,-0.4314440535348562,-21.32418837718557,0.17119941842469252,-0.3097130310035386,-5.5420800307974405,7.263238429997188,1.7699768690336772,39.04932090930549
0.49,0.04904904904904905,-20.715477393494456,-7.427526111921419,-13.549396873435086,-19.93746985945496,-20.696773214897135,2.053049501340089,33.78978349433798,-2.5374570393497495,37.627781803581826,10.755980455013853,-24.60523421568364,27.331762766933824,5.440412838124294,-26.4583232642579,-0.431396027801289,-21.324063117700852,0.17076997281993608,-0.3096095424038596,-5.542391484398108,7.26294848442051,1.7693448101281646,39.04919042661478
0.5,0.050050050050050046,-20.71508257743791,-7.427975952252885,-13.550096386352013,-19.93766197939641,-20.69571969470419,2.0531584502677243,33.790245417436594,-2.537780636998788,37.628139954212095,10.757568110398473,-24.605326882953385,27.331847372842457,5.440839864112683,-26.459482279470553,-0.43134675954358326,-21.32392620495595,0.17033078581189895,-0.30950398377213534,-5.542707206544222,7.2626483349184054,1.7686985120086403,39.04904015088985
0.51,0.05105105105105105,-20.71467139853828,-7.42843114882651,-13.550802977755714,-19.937849003019235,-20.694637448429695,2.0532687806845757,33.79070377059286,-2.53810984974888,37.62848975972711,10.759184868905766,-24.60541163609611,27.331922514635604,5.441274280676215,-26.460654353206206,-0.43129624724868126,-21.323777616036818,0.16988181167458158,-0.30939637323042946,-5.5430272116936665,7.262337903134841,1.7680379563234172,39.04887002599205
