t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
0.0,0.0,5.7444457958999084,-0.6313732166990158,-32.98203490252562,-31.271270739750477,26.179478747733814,9.437323987140811,-35.38388909720869,22.642190255717058,11.816066329581806,5.188896047675564,26.575683519184846,13.379339686592076,-17.92945944719136,-14.070603057657014,-9.058519923294721,-9.925313430260552,-20.660395034471655,2.849337722584472,8.948031690614044,14.562090416525738,-41.96227124290732,30.08327082194832,-17.762698094980564,28.69385194655538,22.9388150075464,11.482127368569849,-20.490193772719365,7.250531219910915,25.11924253214265,21.949309267548685,33.210176782081895,-26.517503963437647,-6.079884841169129,16.5398907571643,-26.0150537953549,16.249186643806006,32.74799343590655,11.039453134278984,29.16191647351924,-37.72740602221949,-21.493915988675358,-29.451669044593597,11.24946796381922,-9.070348986337153,-32.551150084119286
0.01,0.001001001001001001,5.7445580665454035,-0.631388644462517,-32.982697567007556,-31.2718991970032,26.18000064803777,9.437512084820053,-35.384599460587445,22.64264200096875,11.816301973058074,5.18899857847391,26.576212211311592,13.379604347344813,-17.929820755799835,-14.070885430853842,-9.05870392180804,-9.925513879536284,-20.660809325437057,2.849394243527292,8.948208342145145,14.562380892676401,-41.96311217306111,30.083869529625108,-17.7630541913914,28.69442271557277,22.93927319516115,11.482356738371388,-20.490606398290314,7.250674759964525,25.119743824969607,21.949745932839935,33.210839096161834,-26.51803704063039,-6.08000771393403,16.54021995472001,-26.015575167076587,16.24951076853961,32.74864631141912,11.039671087664086,29.162499061256277,-37.72816163918358,-21.494348982298586,-29.452259630052477,11.249691701843961,-9.07053178852776,-32.55180229160094
0.02,0.002002002002002002,5.744612170226858,-0.6314319216366129,-32.98336783391219,-31.272532318014264,26.18052163613203,9.437723833951717,-35.38533385462517,22.643080549173945,11.816519073349045,5.18910903767725,26.576725632080347,13.379873664069828,-17.93017341181163,-14.071176241365254,-9.058868590356884,-9.92568777008529,-20.661186130125085,2.8494474129234764,8.948386142182581,14.562664719413124,-41.96393189610875,30.08448224138181,-17.763407372281318,28.6950195441411,22.939747549973156,11.482583235056792,-20.491011199549828,7.25081045020081,25.12021846954537,21.950231668700745,33.21148756843331,-26.51857235028951,-6.080118667060391,16.54055595276581,-26.016112366912182,16.249820890777947,32.749297183421795,11.039851342553103,29.163086264600718,-37.72889691224412,-21.494764619382245,-29.452838074043104,11.249903417754691,-9.070712616259266,-32.55247263594864
0.03,0.003003003003003003,5.7446080989475234,-0.6315030528890399,-32.984045617260676,-31.27317010397693,26.181041735460383,9.437959255007579,-35.38609230689892,22.64350588731739,11.816717639824128,5.189227393867979,26.577223798579674,13.380147632388494,-17.930517420419033,-14.071475508550357,-9.059013907395169,-9.925835072259021,-20.66152543226336,2.8494972193928665,8.948565090928179,14.56294192862211,-41.96473044064903,30.08510894447628,-17.763757662019593,28.695642457535453,22.940238079476504,11.482806826483376,-20.49140816829989,7.250938278024453,25.120666463680305,21.950766500532204,33.21212223912846,-26.519109874580558,-6.080217709799076,16.540898729497894,-26.016665390630184,16.250117004516245,32.749946061093944,11.03999386152844,29.16367808423747,-37.72961188111646,-21.495162864698173,-29.453404408039212,11.250103099875362,-9.070891455115506,-32.55316116508688
0.04,0.004004004004004004,5.7445458402232354,-0.631602040565446,-32.984730831749225,-31.27381255726292,26.18156096873915,9.438218371842254,-35.38687484335821,22.643918004479552,11.816897681538505,5.18935361489866,26.577706728692213,13.380426247669334,-17.93085278627726,-14.071783251457445,-9.05913985259504,-9.925955755301,-20.661827221342726,2.849543652988738,8.948745190068516,14.563212554042462,-41.96550783432092,30.085749622437113,-17.76410508463727,28.69629148528116,22.940744789339583,11.483027479337553,-20.491797296914363,7.251058230231622,25.12108780310715,21.951350451926878,33.21274314718617,-26.519649598020038,-6.080304852157705,16.541248265317552,-26.017234235385445,16.25039910682457,32.750592953954126,11.040098612715722,29.164274521383803,-37.73030658649887,-21.495543683829535,-29.45395866369244,11.25029073791467,-9.071068289528299,-32.55386792877051
0.05,0.005005005005005005,5.744425377093678,-0.6317288846849987,-32.98542339275969,-31.274459681423895,26.182079357964056,9.438501211689315,-35.38768148832499,22.644316891839146,11.817059207237095,5.189487667889145,26.57817444109173,13.380709505023466,-17.931179513505356,-14.072099488825458,-9.059246406844892,-9.926049787345828,-20.662091492622263,2.8495867051997936,8.948926442775042,14.563476631272342,-41.966264103799624,30.086404255058042,-17.76444966382999,28.69696666114678,22.94126768339672,11.48324515914237,-20.4921785783397,7.251170293009153,25.121482481479422,21.951983544648574,33.21335033025141,-26.520191507477914,-6.080380104901107,16.541604542835803,-26.01781889971489,16.250667197849726,32.75123787186233,11.040165569788604,29.164875577783462,-37.73098107006511,-21.49590704317046,-29.45450087283229,11.250466322968666,-9.071243102776313,-32.554592978575464
0.06,0.006006006006006006,5.744246688137272,-0.631883582935537,-32.986123216369435,-31.275111481192937,26.18259692441698,9.438807805157095,-35.388512264493,22.64470254267603,11.817202225358871,5.189629519223984,26.578626955240154,13.380997399300076,-17.931497605687316,-14.072424239085631,-9.059333552247892,-9.926117135417822,-20.662318247135065,2.849626368952332,8.949108853704082,14.563734197775311,-41.96699927479248,30.087072818391917,-17.764791422960712,28.69766802313649,22.941806763639217,11.483459830264872,-20.49255200609578,7.251274451933326,25.121850490369617,21.95266579860995,33.21394382467481,-26.520735592179786,-6.080443479552443,16.541967546877334,-26.01841938353276,16.25092128081695,32.7518808250224,11.04019471197351,29.16548125570076,-37.73163537445748,-21.496252909925754,-29.455031067465942,11.25062984752295,-9.071415876984016,-32.55533636788885
0.07,0.007007007007007007,5.744009747489711,-0.6320661306682759,-32.98683021936037,-31.27576796248603,26.18311368867259,9.43913818622415,-35.38936719292651,22.645074952374472,11.817326744041498,5.189779134550123,26.57906429138461,13.38128992508192,-17.931807065873443,-14.07275752036333,-9.059401272121015,-9.926157765429268,-20.66250749169476,2.8496626386125885,8.949292428996749,14.563985292886894,-41.967713372034616,30.087755284744315,-17.76513038506234,28.698395613481853,22.94236203020576,11.483671455923258,-20.49291757427686,7.251370691968245,25.12219181926727,21.953397231847948,33.214523665512424,-26.52128184370874,-6.080494988395009,16.54233726448383,-26.019035688125353,16.251161362031446,32.75252182398466,11.04018602405427,29.166091557914612,-37.732269543280196,-21.496581252110683,-29.455549279777916,11.250781305454385,-9.071586593120749,-32.55609815189849
0.08,0.008008008008008008,5.743714524866159,-0.6322765208920629,-32.98754431922721,-31.276429132403504,26.183629670604883,9.439492392234397,-35.39024629305851,22.64543411842682,11.81743277112633,5.189936478774891,26.579486470554468,13.381587076680857,-17.932107896581957,-14.073099350480089,-9.059449550994575,-9.926171642178304,-20.662659238902776,2.8496955099892505,8.949477176278736,14.56422995782136,-41.968406419284435,30.08845162266677,-17.765466572840214,28.699149478632993,22.94293348137222,11.483879998193867,-20.493275277552645,7.251458997463825,25.122506455576822,21.95417786049707,33.21508988652576,-26.521830256006844,-6.080534644474714,16.542713684916627,-26.019667816145287,16.251387450879687,32.753160879648696,11.040139496376666,29.166706487712542,-37.73288362109318,-21.496892038550868,-29.456055542129587,11.250920692032405,-9.071755230999898,-32.556878387581804
0.09,0.009009009009009009,5.743360985587136,-0.6325147442671972,-32.98826543418495,-31.2770949992315,26.18414488939361,9.439870463891888,-35.39114958268838,22.645780040437522,11.817520314163735,5.190101516064293,26.57989351455834,13.381888848133435,-17.932400099800837,-14.07344974695583,-9.059478374612292,-9.926158729346422,-20.66277350715635,2.849724980336139,8.949663104659994,14.564468235678703,-41.96907843931887,30.08916179694963,-17.765800008674525,28.699929669249094,22.943521113540807,11.484085418017957,-20.49362511116949,7.251539352153372,25.122794384615293,21.955007698760475,33.21564252018196,-26.52238082537635,-6.080562461603223,16.543096799658716,-26.020315771605247,16.25159955983055,32.75379800326637,11.040055124852902,29.167326048884664,-37.733477653406226,-21.497185238882274,-29.456549887058554,11.251048003919848,-9.071921769278195,-32.557677133694085
0.1,0.01001001001001001,5.7429490906081115,-0.6327807890988159,-32.988993483175534,-31.277765572443403,26.184659363530603,9.440272445255212,-35.39207707797889,22.64611272012751,11.817589380418786,5.190274209841592,26.580285445981115,13.3821952331965,-17.932683676989896,-14.07380872701129,-9.059487729931869,-9.926118989495615,-20.662850320657277,2.8497510483550617,8.94985022473431,14.564700171451847,-41.969729453928444,30.089885768614547,-17.766130714622594,28.70073624018827,22.944124921228667,11.4842876752083,-20.493967070951705,7.2516117391507775,25.123055589609827,21.955886758878908,33.21618159765426,-26.522933550480495,-6.080578454361787,16.54348660241608,-26.02097955987125,16.25179770443621,32.75443320644492,11.039932910965986,29.167950245717613,-37.73405168667351,-21.497460823551275,-29.457032347277856,11.251163239173362,-9.072086185455127,-32.558494450756115
0.11,0.011011011011011011,5.742478796552836,-0.6330746413298556,-32.98972838587373,-31.27844086270127,26.185173110825986,9.440698383731538,-35.39302879345269,22.646432161338975,11.817639976877274,5.190454522786206,26.580662288180964,13.382506225342851,-17.9329586290831,-14.07417630757063,-9.059477605126107,-9.926052384065136,-20.662889709421403,2.849773714198827,8.950038548578766,14.56492581203405,-41.970359483912105,30.090623494906648,-17.76645871242107,28.701569250496735,22.944744897055806,11.484486728455582,-20.494301153302988,7.251676140947301,25.123290051695015,21.956815051097454,33.21670714882263,-26.52348843234402,-6.080582638105741,16.54388308911836,-26.0216591876554,16.25198190333287,32.75506650115039,11.039772861774022,29.168579082988423,-37.73460576828848,-21.497718763814838,-29.457502955675036,11.251266397243366,-9.072248455872485,-32.559330401041144
0.12,0.012012012012012012,5.741950055750449,-0.6333962845336011,-32.99047006269228,-31.279120881857246,26.185686148414288,9.441148330070229,-35.39400474198822,22.64673837004049,11.817672110252092,5.190642416832912,26.581024065286336,13.382821817756955,-17.933224956491124,-14.07455250526425,-9.059447989584545,-9.92595887336791,-20.662891709288807,2.8497929794744206,8.950228089753061,14.565145206226527,-41.97096854907187,30.09137492928632,-17.766784023488,28.702428763397283,22.945381031732445,11.484682535334612,-20.49462735520798,7.251732539407963,25.123497749910104,21.957792583630134,33.21721920227459,-26.524045474353294,-6.080575028969674,16.54428625791884,-26.022354663008123,16.25215217824122,32.75569789971108,11.039574989914433,29.169212565958386,-37.73513994657912,-21.4979590317408,-29.457961745311056,11.251357478973578,-9.072408555714027,-32.5601850485612
0.13,0.013013013013013013,5.741362816276385,-0.6337456999058297,-32.991218434786155,-31.279805642954983,26.186198492760454,9.441622338356057,-35.39500493481502,22.64703135433249,11.81768578698996,5.190837853171355,26.581370802192946,13.383142003330699,-17.933482659104147,-14.074937336431814,-9.059398873915644,-9.925838416586572,-20.662856361934722,2.8498088472463383,8.950418863298754,14.565358404746283,-41.97155666820723,30.092140021420715,-17.76710666892481,28.703314846277024,22.94603331404577,11.484875052310336,-20.494945674233936,7.251780915767539,25.123678661196003,21.958819362622332,33.21771778530634,-26.52460468225613,-6.080555643873279,16.544696109193776,-26.023065995309928,16.252308553966735,32.756327414821335,11.039339313608073,29.16985070036684,-37.7356542708035,-21.498181600208234,-29.458408749419057,11.251436486600081,-9.072566459005301,-32.56105845905271
0.14,0.014014014014014014,5.740717021997135,-0.6341228662565646,-32.99197342405611,-31.280495160231034,26.186710159665743,9.442120466001976,-35.39602938150853,22.647311124453104,11.81768101327851,5.191040792245888,26.581702524560754,13.383466774659192,-17.933731736294884,-14.075330817125456,-9.059330249949511,-9.925690971769166,-20.662783714881137,2.8498213220400697,8.950610885738355,14.56556546023415,-41.97212385910934,30.092918717174896,-17.767426669518173,28.70422757067439,22.946701730846062,11.485064234743668,-20.495256108532505,7.251821250626147,25.12383276039215,21.95989539211106,33.218202923923954,-26.52516606416122,-6.080524500527868,16.545112645540993,-26.023793195262602,16.25245105839967,32.756955059545405,11.039065856663255,29.17049349242492,-37.73614879114576,-21.498386442907954,-29.45884400140297,11.251503423749973,-9.072722138613587,-32.56195069996143
0.15,0.015015015015015015,5.740012612618893,-0.634527760001449,-32.99273495315144,-31.281189449116255,26.187221164273524,9.44264277374144,-35.39707808998428,22.647577692784324,11.81765779505372,5.191251193755716,26.58201925881091,13.38379612403664,-17.93397218692185,-14.07573296311321,-9.059242110741176,-9.925516495824462,-20.662673821509088,2.849830409845731,8.950804175074301,14.565766427263041,-41.97267013855503,30.093710958602728,-17.767744045741775,28.705167012265342,22.947386267032243,11.485250036897106,-20.495558656841645,7.251853523944444,25.123960020233227,21.961020673983082,33.218674642844896,-26.52572963053723,-6.0804816174435725,16.545535871777815,-26.02453627487993,16.2525797225149,32.757580847321556,11.038754648479683,29.171140948809253,-37.73662355871232,-21.498573534343087,-29.459267534835956,11.251558295439564,-9.072875566247998,-32.562861840426685
0.16,0.016016016016016016,5.739249523740135,-0.6349603551527581,-32.99350294547191,-31.281888526237182,26.18773152107497,9.44318932562023,-35.39815106649155,22.647831073858537,11.817616138007724,5.191469016655377,26.58232103212271,13.384130043452263,-17.934204009332863,-14.076143789882646,-9.059134450574415,-9.925314944516947,-20.662526741071606,2.8498361181218375,8.95099875078783,14.565961362346401,-41.97319552230054,30.094516683937446,-17.768058817757975,28.706133250848755,22.948086905536844,11.485432411940186,-20.495853318487644,7.2518777150384155,25.124060411345706,21.96219520793086,33.21913296549968,-26.526295394211548,-6.080427013937204,16.54596579493827,-26.02529524747789,16.252694580371426,32.75820479196634,11.038405724052264,29.17179307665559,-37.73707862552851,-21.498742849829775,-29.45967938345871,11.251601108072128,-9.073026712459736,-32.56379195126488
0.17,0.017017017017017015,5.7384276869081905,-0.6354206233100611,-32.99427732516896,-31.282592409417425,26.18824124391465,9.443760188987786,-35.39924831560648,22.648071284365358,11.817556047596968,5.1916942191555435,26.58260787243051,13.38446852458628,-17.93442720136879,-14.076563312644705,-9.05900726496614,-9.925086272461453,-20.662342538707296,2.8498384557992127,8.9511946338377,14.566150323946886,-41.973700025075075,30.09533582758197,-17.768371005419375,28.707126370330982,22.948803627310372,11.48561131195472,-20.49614009338726,7.251893802573773,25.124133902244285,21.9634189914064,33.21957791403375,-26.526863370368623,-6.080360710140788,16.54640242426958,-26.026070127664283,16.252795669111713,32.75882690767908,11.038019123974804,29.172449883552382,-37.73751404453547,-21.498894365497964,-29.460079581177585,11.251631869435233,-9.0731755466425,-32.564741104952276
0.18,0.018018018018018018,5.737547029679843,-0.635908533650553,-32.99505801714612,-31.283301117679038,26.188750345996016,9.444355434488001,-35.400369840224585,22.648298343158796,11.817477529050745,5.191926758724155,26.58287980842062,13.384811558805971,-17.934641760367526,-14.076991546337766,-9.058860550671346,-9.924830433117455,-20.662121285454553,2.8498374332850265,8.951391846658808,14.566333372485223,-41.97418366057408,30.096168320098958,-17.76868062827027,28.70814645870953,22.94953641130512,11.485786687939854,-20.49641898204998,7.25190176455994,25.124180459328173,21.96469201957293,33.22000950930954,-26.527433576548002,-6.080282727010775,16.546845771227947,-26.0268609313279,16.2528830289607,32.75944720904649,11.037594894443579,29.1731113775343,-37.73792986958735,-21.499028058292332,-29.46046816206256,11.251650588697606,-9.073322037033064,-32.56570937560701
0.19,0.01901901901901902,5.73660747568603,-0.6364240529190719,-32.995844947058664,-31.2840146712439,26.18925883988679,9.444975136049457,-35.40151564155279,22.648512271264735,11.817380587380088,5.1921665920878874,26.58313686952818,13.385159137161795,-17.934847683168183,-14.077428505631925,-9.058694305688622,-9.924547378783016,-20.661863058266352,2.849833062466953,8.951590413160675,14.566510570349296,-41.97464644145236,30.097014088200616,-17.76898770554803,28.709193608055795,22.95028523445839,11.485958489816932,-20.496689985580392,7.251901578343649,25.124200046877235,21.966014285254488,33.22042777090875,-26.52800603264194,-6.080193086337912,16.547295849473567,-26.027667675627107,16.252956703224562,32.76006571104757,11.037133087260763,29.17377756707567,-37.73832615544882,-21.499143905973288,-29.460845160345052,11.25165727640558,-9.073466150712024,-32.566696838970394
0.2,0.02002002002002002,5.735608944700701,-0.6369671454178225,-32.99663804131245,-31.284733091535077,26.18976673752424,9.445619370875079,-35.402685719100894,22.648713091888723,11.817265227387049,5.192413675233961,26.583379085933988,13.385511250383594,-17.935044966115562,-14.077874204933496,-9.058508529266247,-9.92423706058841,-20.66156794002562,2.849825356717446,8.951790358725795,14.566681981903425,-41.97508837931692,30.097873054738304,-17.76929225618434,28.710267914496892,22.951050071675162,11.486126666434176,-20.49695310568068,7.251893220602128,25.124192627048032,21.967385778883372,33.220832717134805,-26.528580760892673,-6.080091810757787,16.547752674864917,-26.028490378977917,16.25301673828919,32.76068242905858,11.036633759837693,29.17444846108384,-37.7387029577929,-21.499241887118096,-29.461210610415545,11.25165194447909,-9.073607853604724,-32.56770357238741
0.21,0.02102102102102102,5.734551352713878,-0.6375377729958257,-32.99743722706208,-31.28545640117821,26.190274050220374,9.446288219431157,-35.403880070672486,22.64890083042403,11.817131453674344,5.192667963412286,26.583606488561323,13.385867888876868,-17.935233605064816,-14.07832865838974,-9.058303221908846,-9.923899428489408,-20.661236019561137,2.8498143308981185,8.95199171020787,14.566847673497856,-41.97550948471959,30.09874513869191,-17.769594298806386,28.711369478196456,22.951830895810218,11.486291165571165,-20.49720834465323,7.25187666733589,25.12415815986975,21.96880648844552,33.221224365015516,-26.529157785889293,-6.079978923762031,16.548216265452286,-26.029329061041516,16.253063183618362,32.76129737885832,11.03609697519797,29.175124068892472,-37.73906033319904,-21.499321981122108,-29.46156454682106,11.251634606207215,-9.073747110482362,-32.5687296547864
0.22,0.022022022022022022,5.733434612009019,-0.6381358950381147,-32.99824243220824,-31.28618462400286,26.190780788667006,9.446981765435735,-35.40509869235535,22.649075514460023,11.816979270655386,5.1929294111379525,26.583819109072696,13.386229042719137,-17.935413595386372,-14.078791879893826,-9.058078385384638,-9.923534431260236,-20.66086739166395,2.849800001364221,8.952194495929911,14.567007713478443,-41.97590976714939,30.099630255159067,-17.769893851737923,28.71249840333441,22.952627677649716,11.486451933943144,-20.49745570540334,7.25185189386112,25.124096603240016,21.97027639942379,33.22160273030591,-26.529737134564233,-6.079854449710199,16.548686641470532,-26.03018374271126,16.253096091751623,32.76191057663351,11.03552280198037,29.17580440025475,-37.73939833915146,-21.499384168200095,-29.461907004262446,11.251605276243309,-9.07388388496329,-32.569775166658
0.23,0.023023023023023025,5.732258631244714,-0.6387614684547023,-32.99905358539432,-31.28691778504391,26.191286962940744,9.447700095846306,-35.406341578511366,22.64923717379078,11.816808682564693,5.193197972194074,26.584016979866586,13.386594701656389,-17.935584931971064,-14.079263883090029,-9.057834022733266,-9.923142016486224,-20.66046215710425,2.8497823859692053,8.952398745682196,14.567162172196541,-41.9762892350247,30.100528315344192,-17.77019093300025,28.71365479808568,22.953440385892232,11.48660891720513,-20.497695191442066,7.251818874801657,25.124007912920618,21.97179549473918,33.22196782749127,-26.530318836189387,-6.079718413842297,16.549163825331046,-26.031054446099112,16.253115518301826,32.76252203898441,11.034911314441551,29.176489465336513,-37.739717034037774,-21.499428429387677,-29.462238017591506,11.251563970599655,-9.07401813951451,-32.57084019003318
