t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
0.0,0.0,-21.050084485954237,-20.705454184139043,-17.997654698378668,-17.158975388791877,24.787949987618752,27.744420454853074,19.42751642689392,12.793703368906613,-33.93777900776949,-11.245422804944772,24.536590349846264,-11.188074869023199,-25.349634617117193,-5.829283478695225,21.884849490879894,7.803752513495888,2.635584142138125,-8.933986764782556,-30.571021040141815,15.520396879674855,11.02776084166388,12.410567405707544,25.365638121597236
0.01,0.001001001001001001,-21.050507490160488,-20.705871369350195,-17.998015901371904,-17.15932076332566,24.78844278978341,27.74497471547268,19.427903313595618,12.793956596347483,-33.93845793148806,-11.245649985189772,24.537079118680445,-11.188301502494093,-25.350143294105724,-5.829400517229608,21.885286855228166,7.803906312868936,2.6356339381801517,-8.934167325208312,-30.571634520787594,15.520705921238084,11.027980562457472,12.410813798098504,25.36614532229843
0.02,0.002002002002002002,-21.050917896838957,-20.70629854675034,-17.998365410316747,-17.159664840939634,24.78894676745342,27.74550926760802,19.428292605915562,12.794226916200016,-33.93910524910581,-11.245875176749088,24.537561757545113,-11.188523972795918,-25.350655028987955,-5.8295213749712405,21.885730749959503,7.804041134828518,2.635662659661951,-8.934355132826592,-30.57223758006062,15.520998016273184,11.02818494990459,12.411068248301078,25.366655780229912
0.03,0.003003003003003003,-21.051315705957553,-20.706735718094226,-17.99870321251448,-17.160007612007288,24.78946192416433,27.746024116093963,19.428684311795173,12.794514321825208,-33.939720994613495,-11.246098372559171,24.538038252385586,-11.188742276576498,-25.35116978820965,-5.829646016620525,21.886181177556654,7.804156963067455,2.6356702964221217,-8.93455018918772,-30.572830230722065,15.521273163436303,11.028373993989991,12.411330738065313,25.36716950179854
0.04,0.004004004004004004,-21.051700917623027,-20.707182884368986,-17.999029296183547,-17.16034906664279,24.78998826342869,27.746519263911196,19.42907843942357,12.794818806149028,-33.940305202422046,-11.246319566174908,24.538508588910933,-11.188956411207958,-25.351687537955822,-5.829774406665528,21.88663814072402,7.804253782429856,2.6356568381102052,-8.934752494869372,-30.573412485000958,15.521531360968519,11.0285476858129,12.411601249681766,25.367686493102234
0.05,0.005005005005005005,-21.052073532081394,-20.707640045794363,-17.99934365045911,-17.16068919470084,24.79052578873516,27.74699471218165,19.429474997238852,12.79514036166403,-33.940857907353674,-11.246538751770297,24.538972752590976,-11.189166374781175,-25.352208244155044,-5.8299065093842,21.887101642385833,7.804331578911846,2.6356222741864848,-8.934962049478518,-30.573984354591328,15.521772606694485,11.028706017583692,12.411879765983782,25.368206759931137
0.06,0.006006006006006006,-21.05243354971836,-20.708107201822756,-17.9996462653926,-17.161027985776624,24.791074503547552,27.74745046016409,19.429873993929316,12.79547898043093,-33.941379144633615,-11.246755924139057,24.539430728653556,-11.1893721661004,-25.35273187248376,-5.830042288846582,21.887571685684264,7.8043903396623335,2.6355665939219524,-8.935178851653495,-30.57454585064944,15.521996898021168,11.028848982620865,12.412166270349761,25.368730307768875
0.07,0.007007007007007007,-21.05278097105977,-20.7085843511391,-17.999937131951217,-17.161365429205894,24.79163441130386,27.747886505249944,19.430275438434585,12.79583465408011,-33.941868949882476,-11.246971078695157,24.53988250208204,-11.189573784678014,-25.353258388370598,-5.830181708917016,21.88804827397749,7.804430052983826,2.635489786398442,-8.93540289906624,-30.575096983791102,15.522204231936652,11.028976575348274,12.41246074670539,25.36925714179396
0.08,0.008008008008008008,-21.053115796772094,-20.709071491660563,-18.00021624201745,-17.16170151406513,24.79220551541523,27.7483028429593,19.43067933994665,12.796207373813068,-33.942327359109264,-11.247184211473266,24.540328057613067,-11.18977123072947,-25.353787757000738,-5.830324733256342,21.88853141083765,7.80445070833329,2.635391840508929,-8.935634188424679,-30.575637764089077,15.522394605009037,11.029088791292669,12.412763179525854,25.36978726688131
0.09,0.009009009009009009,-21.053438027662885,-20.709568620536082,-18.000483588388544,-17.162036229171804,24.792787819264905,27.748699466937115,19.431085707910853,12.796597130403816,-33.94275440870499,-11.247395319129142,24.540767379734557,-11.189964505168376,-25.354319943320235,-5.8304713253240905,21.889021100048794,7.804452296323057,2.635272744957993,-8.935872715475256,-30.576168201070562,15.522568013385413,11.029185627081489,12.413073553838023,25.370320687603932
0.1,0.01001001001001001,-21.05374766468132,-20.71007573414571,-18.000739164775958,-17.16236956308477,24.793381326207147,27.74907636894961,19.431494552026777,12.797003914200214,-33.94315013543695,-11.24760439893993,24.54120045268396,-11.190153609601762,-25.35485491204039,-5.830621448380676,21.889517345604716,7.804434808721781,2.6351324882624554,-8.936118475005626,-30.576688303714764,15.522724452790925,11.029267080440961,12.413391855222615,25.37085740823468
0.11,0.011011011011011011,-21.05404470891871,-20.7105928280998,-18.000982965804816,-17.162701504104742,24.79398603956609,27.74943353888087,19.431905882249044,12.79742771512526,-33.94351457644358,-11.247811448804406,24.541627260446752,-11.190338546325487,-25.355392627642118,-5.8307750654895845,21.89002015170676,7.804398238455433,2.634971058752178,-8.93637146084749,-30.57719808045055,15.522863918527905,11.029333150194462,12.41371806981633,25.371397432748182
0.12,0.012012012012012012,-21.054329161609047,-20.711119897238007,-18.001214987013334,-17.163032040274885,24.794601962634577,27.74977096472964,19.43231970878805,12.797868522678309,-33.943847769229976,-11.24801646724312,24.542047786755177,-11.190519318319833,-25.35593305438032,-5.830932139519555,21.890529522761536,7.80434257960836,2.6347884445710354,-8.936631665879577,-30.57769753915417,15.522986405475107,11.02938383626117,12.414052184313963,25.37194076482287
0.13,0.013013013013013013,-21.054601024129585,-20.711656935628135,-18.001435224852216,-17.16336115938151,24.795229098672966,27.750088632606314,19.432736042110598,12.79832632593626,-33.94414975166398,-11.248219453398498,24.542462015087228,-11.190695929245248,-25.356476156288263,-5.8310926331467625,21.89104546337859,7.804267827424376,2.634584633678057,-8.936899082030788,-30.57818668714707,15.52309190808701,11.029419139654996,12.414394185970485,25.372487407843145
0.14,0.014014014014014014,-21.054860298001408,-20.7122039365648,-18.00164367668406,-17.163688848954873,24.79586745090788,27.75038652673009,19.433154892940458,12.798801113554667,-33.944420561972926,-11.24842040703484,24.542869928665883,-11.190868383438266,-25.35702189718198,-5.831256508856998,21.891567978368002,7.804173978307915,2.634359613848737,-8.937173700283475,-30.57866553119378,15.523180420393208,11.029439062483798,12.4147440626031,25.373037364901652
0.15,0.015015015015015015,-21.055106984890053,-20.712760892567932,-18.001840340782724,-17.16401509627009,24.796517022530935,27.75066462942637,19.433576272258822,12.79929287376881,-33.94466023874099,-11.248619328538267,24.543271510458574,-11.19103668590759,-25.357570240664657,-5.831423728947846,21.892097072737922,7.804061029825223,2.634113372676519,-8.937455510676882,-30.579134077499884,15.523251935997893,11.029443607948869,12.415101802593275,25.373590638801677
0.16,0.016016016016016016,-21.05534108660613,-20.71332779538109,-18.002025216332687,-17.16433988834815,24.797177816697427,27.75092292112432,19.434000191304705,12.79980159439471,-33.94486882090708,-11.24881621891657,24.543666743176907,-11.191200842330353,-25.35812115013103,-5.831594255530859,21.892632751692048,7.803928980705604,2.6338458975744508,-8.937744502310725,-30.579592331710035,15.523306448079401,11.02943278034471,12.41546739488874,25.374147232059666
0.17,0.017017017017017015,-21.055562605105976,-20.713904635969655,-18.00219830342839,-17.16466321195703,24.79784983652498,27.751161380354628,19.434426661575223,12.800327262830093,-33.94504634776343,-11.249011079799013,24.544055609276608,-11.191360859048531,-25.358674588771798,-5.83176805053373,21.893175020627027,7.803777830842715,2.6335571757770126,-8.938040663348922,-30.580040298906102,15.523343949389869,11.02940658505908,12.41584082900545,25.37470714690787
0.18,0.018018018018018018,-21.055771542492316,-20.714491404518814,-18.00235960307357,-17.16498505361295,24.79853308509216,27.75137998374746,19.434855694825806,12.800869866055294,-33.945192858954684,-11.249203913436038,24.54443809095774,-11.191516743065547,-25.359230519578013,-5.831945075702471,21.893723885129813,7.803607581295906,2.6332471943421205,-8.938343981023477,-30.580477983605338,15.52336443225495,11.029365028573325,12.416222095029537,25.37527038529708
0.19,0.01901901901901902,-21.055967901014956,-20.7150880904314,-18.002509117180566,-17.165305399581687,24.799227565437068,27.751578706030614,19.43528730307031,12.801429390634118,-33.945308394477664,-11.24939472269891,24.544814170165125,-11.191668502043033,-25.3597889053455,-5.832125292603577,21.89427935097495,7.8034182342916125,2.632915940153302,-8.938654441638512,-30.580905389758655,15.523367888573642,11.02930811846298,12.416611183619208,25.3758369488995
0.2,0.02002002002002002,-21.056151683071494,-20.715694682325577,-18.0026468485696,-17.165624235880056,24.799933280555862,27.751757520027887,19.435721498581053,12.802005822714642,-33.94539299468166,-11.249583511079281,24.54518382858903,-11.191816144297773,-25.360349708679255,-5.8323086626262,21.894841424121793,7.803209793224789,2.6325633999220486,-8.93897203057444,-30.58132252074896,15.523354309818165,11.02923586339865,12.417008086006623,25.376406839111734
0.21,0.02102102102102102,-21.056322891208055,-20.71631116803235,-18.002772800968085,-17.165941548277452,24.800650233401278,27.7519163966576,19.43615829388874,12.802599148029973,-33.94544670026935,-11.249770282688685,24.545547047666084,-11.191959678798815,-25.360912891997852,-5.832495146984313,21.89541011071167,7.8029822626603975,2.6321895601903447,-8.939296732292291,-30.581729379389575,15.523323687033962,11.029148273147163,12.417412793999736,25.376980057057853
0.22,0.022022022022022022,-21.05648152812003,-20.716937534592947,-18.002886979009855,-17.166257322297522,24.801378426881094,27.752055304931368,19.436597701782322,12.803209351898941,-33.945469552298235,-11.249955042257948,24.545903808580444,-11.19209911516476,-25.361478417537857,-5.832684706718876,21.895985417064974,7.802735648334936,2.6317944073333734,-8.93962853033819,-30.58212596792272,15.523276010839758,11.029045358572997,12.417825299984099,25.377556603592613
