t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0.0,0.0,3.305864485166721,40.06263084987046,-35.81894920630874,4.131702849983187,37.385512157596104,-11.708983302591305,-19.60521973675007,-29.25277228434764,-22.231375702517884,38.30083995245934,-34.51376938152678,-35.46521986968357,24.87779347955254,16.786719116890115,-23.716084119714324,-14.923459791647165,24.860881623367916,-29.64818027633895,40.84009348746452,28.129163283902276
0.01,0.001001001001001001,3.3059305461596376,40.063431877327616,-35.819668167128775,4.131783136849348,37.3862573999625,-11.709219820663595,-19.60561417092177,-29.25336017082615,-22.231820901429785,38.30160569137744,-34.51446107548345,-35.46593198954409,24.87828936285418,16.78705191753964,-23.71655930475647,-14.923760989642583,24.861378772578256,-29.64877544576664,40.840907601479564,28.12972334486188
0.02,0.002002002002002002,3.30597685732618,40.064241605404774,-35.82037479399098,4.131870956591595,37.386994319014995,-11.709480487855782,-19.60600035598041,-29.253932973360364,-22.23225470761319,38.30237630386004,-34.515154551869315,-35.4666487546731,24.878801540918072,16.787366481991736,-23.717062645279693,-14.924074879705302,24.861897836630458,-29.64935285174465,40.84171533004264,28.130283385119053
0.03,0.003003003003003003,3.306003405132735,40.065060003584655,-35.82106907514111,4.131966292505651,37.387722919869276,-11.709765275257675,-19.606378290749806,-29.254490705193184,-22.23267713733723,38.303151779053195,-34.51584980381912,-35.46737015465496,24.87933003843667,16.78766281658406,-23.71759414700099,-14.924401467229451,24.862438850322874,-29.64991248959667,40.84251665991894,28.13084339539891
0.04,0.004004004004004004,3.306010175928657,40.06588704091795,-35.82175099898143,4.132069127112765,37.38844320846931,-11.710074152085191,-19.606747973375388,-29.25503338056902,-22.233088207359213,38.30393210642,-34.51654682444798,-35.46809617930055,24.8798748789196,16.78794092801669,-23.718153816496095,-14.924740756965475,24.863001848868464,-29.650454354354586,40.84331157765535,28.131403366452897
0.05,0.005005005005005005,3.305997155943615,40.06672268602249,-35.822420554068806,4.132179442157869,37.389155191588756,-11.710407085672529,-19.607109401324372,-29.25556101473125,-22.233487934925478,38.30471727574126,-34.517245606851574,-35.46882681864775,24.880436084685932,16.788200823352707,-23.71874166118736,-14.925092753019857,24.86358686788495,-29.6509784407555,40.8441000695772,28.131963289056444
0.06,0.006006006006006006,3.305964331285029,40.067566907082366,-35.823077729112974,4.132297218607766,37.38985887683225,-11.710764041463765,-19.607462571386144,-29.256073623919814,-22.233876337772283,38.30550727711612,-34.51794614410638,-35.46956206296179,24.881013676856067,16.788442510018815,-23.719357689330835,-14.925457458854787,24.864193943384386,-29.651484743238935,40.8448821217851,28.132523154006567
0.07,0.007007007007007007,3.3059116879356,40.068419671847074,-35.823722512974804,4.1324224366493425,37.390554272636614,-11.711144983003882,-19.607807479672864,-29.25657122536895,-22.23425343412671,38.3063021009627,-34.518648429269845,-35.470301902735685,24.881607675343325,16.788665995805985,-23.720001910002537,-14.925834877287766,24.86482311176213,-29.651973255944178,40.84565772015169,28.133082952119512
0.08,0.008008008008008008,3.3058392117509325,40.06928094763054,-35.824354894664694,4.132555075687816,37.391241388271986,-11.711549871929211,-19.608144121620292,-29.257053837305072,-22.234619242707616,38.30710173801877,-34.51935245538053,-35.47104632869053,24.882218098845176,16.78887128887015,-23.7206743330839,-14.926225010491148,24.86547440978522,-29.652443972707832,40.84642685031857,28.1336426742284
0.09,0.009009009009009009,3.3057468884572483,40.07015070131015,-35.824974863341026,4.132695114345007,37.391920233842804,-11.711978667957323,-19.608472491988817,-29.257521478944753,-22.234973782726605,38.30790617934244,-34.520058215458256,-35.47179533177582,24.882844964834142,16.78905839773296,-23.7213749692464,-14.926627859991624,24.866147874580147,-29.652896887061516,40.84718949769311,28.13420231118088
