t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
0.0,0.0,-24.625886747810302,36.477547013459755,6.5458103959203795,17.180425104214443,12.277515255504023,34.65739403269174,-32.70060985351886,-9.683539872896304,-12.329818596626009,30.598974924843542,-16.4369122591265,14.024560479763384,-33.94743735506248,21.62468787623936,-21.669245107683455,-2.8620179665812184,-21.420152461415096,-16.941821023601587,-32.78518379480405,36.07364547605159,-30.91818310764035,22.613544966683055,38.71765154849316,26.977668121070018,39.609344578714726,-32.90096100281252,-30.30420212528029,8.768398385013878,22.17893309774948,-20.577744640939013,-25.72730181491753
0.01,0.001001001001001001,-24.62638044648525,36.478275245049254,6.5459395202804345,17.180766695827003,12.277760437037966,34.65808418382175,-32.701265303010224,-9.683735962373047,-12.330065293704367,30.599584880347358,-16.437243711475602,14.024840042380053,-33.9481167948311,21.62511981913284,-21.669679686142555,-2.8620771064292456,-21.420582790294645,-16.942161905697727,-32.78584085038324,36.07436480012398,-30.918803710960027,22.61399435789864,38.71842303651673,26.978206021992936,39.61013525892358,-32.90162113358115,-30.304808951494024,8.768572042163214,22.17937664988333,-20.578156739655654,-25.727819079164252
0.02,0.002002002002002002,-24.6268642464479,36.47898409290727,6.546061592665538,17.18110659105528,12.277991881092827,34.65879334783372,-32.70190951312214,-9.683945717170197,-12.330329432718168,30.600174053432834,-16.437593998743797,14.025125769742342,-33.94878884417844,21.62553982130231,-21.670096655770646,-2.862136288593117,-21.42101002595341,-16.942475113479155,-32.786501578061866,36.07506878399667,-30.91941568813891,22.614450960361435,38.71922400020132,26.978733463001593,39.610944383048626,-32.90230987112961,-30.3053653061231,8.768747126004195,22.17981273083956,-20.578579306850592,-25.728353485307505
0.03,0.003003003003003003,-24.627338176689413,36.47967356772843,6.5461766188234725,17.181444778163556,12.278209591251233,34.659521531328004,-32.70254254756329,-9.684169136422875,-12.330611028745,30.60074245747963,-16.43796312917447,14.025417644679353,-33.94945350287251,21.625947892524145,-21.670496017200744,-2.8621955124971934,-21.421434178489665,-16.942760619996907,-32.787165971328136,36.075757419696025,-30.92001905944453,22.614914796864593,38.72005448702232,26.97925045407307,39.61177193637927,-32.90302720554397,-30.305871162520358,8.76892363501071,22.18024133483473,-20.57901232241942,-25.72890504925309
0.04,0.004004004004004004,-24.62780226534368,36.48034367784454,6.546284604559342,17.181781244649073,12.278413570173196,34.66026874080903,-32.70316447086119,-9.684406219588936,-12.330910097875789,30.601290103733,-16.43835111073523,14.025715652236565,-33.950110771899965,21.62634404244472,-21.670877770583186,-2.8622547774518066,-21.421855260859832,-16.943018395324476,-32.78783402471491,36.07643069938345,-30.92061384501057,22.615385888462836,38.720914545646586,26.979757008239662,39.61261790652975,-32.90377312659103,-30.30632649437893,8.7691015688405,22.180662455974115,-20.57945576560112,-25.729473787008747
0.05,0.005005005005005005,-24.628256539690845,36.480994429215244,6.546385555733707,17.182115977240766,12.278603819593096,34.66103498268127,-32.703775348370066,-9.68465696644677,-12.331226657219775,30.601817001306937,-16.438757951118685,14.026019779679968,-33.95076065346021,21.626728280577865,-21.671241915577607,-2.862314082653055,-21.422273288877264,-16.94324840655151,-32.7885057338003,36.07708861535386,-30.92120006483886,22.615864254469113,38.72180422592963,26.98025314158666,39.613482283436845,-32.9045476237113,-30.30673127571606,8.769280928335679,22.181076088246,-20.579909614973065,-25.73005971468431
0.06,0.006006006006006006,-24.62870102616056,36.48162582541869,6.546479478260754,17.1824489618978,12.278780340316784,34.661820263245076,-32.70437524627933,-9.684921377092277,-12.331560724910121,30.602323157186444,-16.439183657742387,14.026330016500344,-33.95140315095967,21.627100616302997,-21.67158845134542,-2.8623734271826633,-21.422688281211226,-16.943450617777113,-32.78918109520823,36.07773116003404,-30.921777738801325,22.616349912450755,38.72272357891274,26.980738873250626,39.61436505935824,-32.90535068601185,-30.307085480858774,8.769461715523466,22.181482225516756,-20.58037384844584,-25.730662848491765
0.07,0.007007007007007007,-24.629135750335003,36.48223786764183,6.546566378106503,17.182780183807953,12.278943132218789,34.66262458869236,-32.70496423162256,-9.685199451934965,-12.331912320110142,30.602808576228945,-16.43962823774795,14.02664635441771,-33.95203826900621,21.627461058864032,-21.671917376542858,-2.862432810007896,-21.423100259386036,-16.94362499010271,-32.78986010660899,36.07835832598085,-30.922346886641886,22.61684287822514,38.7236726568201,26.981214225418096,39.61526622887143,-32.906182302258884,-30.30738908443135,8.769643933617111,22.181880861526746,-20.58084844325797,-25.73128320474521
0.08,0.008008008008008008,-24.629560736951667,36.482830554670684,6.546646261287038,17.183109627385782,12.279092194239626,34.6634479651022,-32.705542372287084,-9.685491191693206,-12.332281463020172,30.603273261164844,-16.440091697999343,14.026968787385924,-33.9526660134037,21.62780961736898,-21.672228689314494,-2.862492229981531,-21.423509247780387,-16.943771481624513,-32.79054276671977,36.07897010587923,-30.922907527978303,22.61734316585488,38.72465151305586,26.98167922332481,39.61618578887322,-32.90704246087017,-30.30764206134466,8.769827587017023,22.18227198988706,-20.581333375970445,-25.731920799860745
0.09,0.009009009009009009,-24.629976009905914,36.48340388288036,6.546719133866782,17.183437276270645,12.279227524383217,34.66429039843626,-32.70610973702402,-9.685796597388622,-12.332668174885058,30.603717212597207,-16.440574045080353,14.027297311597442,-33.953286391146776,21.628146300790306,-21.672522387287323,-2.8625516858418862,-21.423915273626832,-16.943890047425572,-32.79122907530515,36.07956649254011,-30.92345968230395,22.61785078764251,38.72566020220121,26.982133895255398,39.61712373857985,-32.90793114990729,-30.30784438678733,8.770012681312105,22.182655604077052,-20.58182862246116,-25.732575650356242
