t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48
0.0,0.0,15.640142396067395,-31.63022669136518,-8.17499618807089,-24.865322831870266,-34.58394472726544,-21.015598453942452,-7.317560272829221,33.12789251304018,12.194563365548449,-33.49962026065876,-7.202768697917933,-0.4460210801973148,-23.009013077245623,-34.73970646263699,8.63702587462897,43.16837792664724,42.37532493468899,-34.6725797666389,41.1071032829666,37.81302907322172,-8.16154202009531,20.509127093173596,-6.614407360184182,-9.352171574169555,34.286357762838435,4.687762855661344,-10.596542816867922,-11.054571822857426,-30.00055391832172,35.32156408994418,42.07469371955044,-24.889955128295973,-6.478381934850281,13.351896282657798,6.9910180209205866,-11.993404309116649,13.429202690819048,31.286664359922202,-17.003120682104264,-4.879384555286627,-18.12092487887307,-8.413496567444003,-8.009456795615558,-22.35103442506502,25.165054263914755,2.3180478025763898,3.994191872028115,-22.96836231434983,18.510314056553387
0.01,0.001001001001001001,15.640452777871994,-31.630859758641556,-8.175161371773491,-24.86582033284708,-34.584637565442996,-21.016019779597947,-7.317707595167839,33.128553365658895,12.19480513208574,-33.50029320112969,-7.202913948690495,-0.4460308650480021,-23.009475656612498,-34.74040333608064,8.637197705905688,43.16923850845451,42.37617038443688,-34.67327384005751,41.10792434020133,37.813783541711935,-8.161706566982188,20.509534151148745,-6.614542263609962,-9.352361580227225,34.28704045359999,4.68785610472746,-10.596755470746816,-11.054794502577117,-30.001155390868046,35.32226890245274,42.07553428267371,-24.890454651247808,-6.47851426291402,13.352162661450437,6.991156319730488,-11.993645379210962,13.429469253011929,31.287287669554328,-17.003461678080093,-4.879483920550165,-18.121288889110883,-8.41366714918714,-8.009618959364616,-22.351483652594908,25.165556652599452,2.3180939090660697,3.9942702462901103,-22.96882255941929,18.510682388382
0.02,0.002002002002002002,15.64080130279861,-31.6314882822122,-8.175347240856633,-24.86629313135327,-34.58536258560687,-21.016428030941082,-7.317829696892687,33.129210267795095,12.1950526621678,-33.50095405910873,-7.2030798607176365,-0.4460653405157289,-23.009957068531758,-34.74108124848667,8.637388085545512,43.170127940067104,42.37703338404853,-34.67396158540093,41.1087285421641,37.814537401244074,-8.161876947652363,20.5099186648247,-6.614733455419578,-9.352537296223861,34.287773145358045,4.687926735735853,-10.596986205015492,-11.055020773031025,-30.001735203122408,35.32295590522033,42.076388173826366,-24.89097386464569,-6.478639203169102,13.352458442287837,6.991289782048779,-11.993886108960513,13.429712775594101,31.287910403211644,-17.00379035429632,-4.879592094527779,-18.12165830482774,-8.413845610272887,-8.009798231348427,-22.351902019057405,25.16600859474945,2.3181252092567055,3.9943820977480446,-22.969295686467596,18.511074596203155
0.03,0.003003003003003003,15.641187962417387,-31.63211225502883,-8.175553792044553,-24.866741201525155,-34.58611981568741,-21.016823212462665,-7.317926546512642,33.12986319399274,12.195305987665915,-33.50160285492498,-7.2032664302294735,-0.4461245164356505,-23.01045735023967,-34.74174020516444,8.637596995734196,43.17104620391066,42.377913954060034,-34.67464302385606,41.10951583770933,37.81529062479093,-8.16205311912916,20.510280621565045,-6.614980897893517,-9.35269872630032,34.288555851442936,4.687974740562683,-10.597235051564187,-11.055250648754718,-30.0022933566451,35.32362508829009,42.07725544441276,-24.891512698679314,-6.4787567304436555,13.352783655019078,6.991418409936786,-11.9941264665683,13.429933239141356,31.288532578916712,-17.00410675062701,-4.879709060599572,-18.122033155153222,-8.414031926489859,-8.009994603434214,-22.35228952208106,25.16641008965015,2.3181417301765626,3.9945274100463997,-22.96978171412597,18.511490636392402
0.04,0.004004004004004004,15.641612751550426,-31.632731671928042,-8.175781021105443,-24.86716452173224,-34.586909283150526,-21.017205326380964,-7.31799811621866,33.130512120148246,12.195565137877406,-33.50223960781587,-7.203473655606727,-0.4462084018099067,-23.01097653988999,-34.742380210126,8.637824417410874,43.171993278645395,42.378812113911664,-34.67531817384198,41.11028617997592,37.81604318628775,-8.162235035551577,20.510620007583107,-6.6152845510335965,-9.35284587262253,34.28938858593289,4.688000111363283,-10.597502043111119,-11.055484145533757,-30.002829854285913,35.324276442401604,42.07813614754069,-24.892071082214432,-6.478866819210016,13.353138330675185,6.991542204793205,-11.9943664195882,13.430130620239833,31.28915421537054,-17.004410905871183,-4.879834802241138,-18.122413472221986,-8.41422607438354,-8.010208066262162,-22.352646160568828,25.16676113698138,2.318143498652181,3.9947061700010047,-22.97028066057267,18.51193046076986
0.05,0.005005005005005005,15.642075668264821,-31.63334652963047,-8.176028922840024,-24.86756307456924,-34.587731014999974,-21.017574372638283,-7.318044381876639,33.131157023510426,12.195830139530239,-33.50286433593275,-7.2037015373769275,-0.4463170047992185,-23.01151467655145,-34.74300126608182,8.63807033027224,43.172969139146545,42.37972788192888,-34.67598705101377,41.11103952638657,37.816795060635386,-8.162422648185542,20.51093680794421,-6.615644372542613,-9.352978735384848,34.290271363634524,4.688002840568741,-10.59778721319841,-11.055721280401286,-30.003344700191565,35.32490995898889,42.079030338021724,-24.89264894277941,-6.4789694435829075,13.353522501458363,6.991661167355292,-11.994605934924763,13.430304891486099,31.289775331958335,-17.004702857761764,-4.879969303021999,-18.122799291172786,-8.414428031253635,-8.010438609254763,-22.35297193468777,25.16706173682265,2.3181305413100644,3.9949183675983053,-22.97079254353488,18.51239401660065
0.06,0.006006006006006006,15.6425767138657,-31.633956826740025,-8.176297491068947,-24.867936846848384,-34.58858503777899,-21.01793034889749,-7.318065323021815,33.13179788268049,12.19610101678678,-33.50347705634657,-7.203950078209572,-0.4464503327136974,-23.01207180020443,-34.74360337443651,8.638334712776734,43.17397375648302,42.38066127530212,-34.67664966826647,41.11177583864736,37.8175462237032,-8.162615905435507,20.511231006568302,-6.616060317800568,-9.353097312812976,34.29120420006202,4.687982920882942,-10.5980905961874,-11.055962071635774,-30.00383789981337,35.32552563017935,42.07993807237122,-24.89324620655213,-6.479064577317784,13.353936200729851,6.991775297699533,-11.99484497883337,13.430456021486533,31.290395948755037,-17.004982642974994,-4.880112546604208,-18.12319065014786,-8.414637775151148,-8.01068622062543,-22.353266845859203,25.1673118896607,2.318102884578316,3.9951639959942424,-22.97131738029041,18.51288124659504
0.07,0.007007007007007007,15.64311589288925,-31.6345625637432,-8.176586718619038,-24.868285829591965,-34.589471377571186,-21.018273250538527,-7.31806092285469,33.13243467761206,12.196377791246727,-33.50407778505366,-7.20421928291023,-0.44660839200286356,-23.012647951736945,-34.744186535284655,8.638617542148731,43.17500709789426,42.38161231006536,-34.677306035738965,41.11249508274752,37.8182966523317,-8.162814752856374,20.511502586232954,-6.616532339837499,-9.353201601166427,34.292187111414975,4.687940345280053,-10.598412227253316,-11.056206538758897,-30.00430945991514,35.326123448793666,42.08085940880799,-24.89386279834734,-6.479152193809361,13.35437946299639,6.991884595241811,-11.995083516920765,13.43058397485602,31.291016086530732,-17.005250297140325,-4.880264516741141,-18.12358759029265,-8.414855284875223,-8.010950887386405,-22.35353089674936,25.167511596399315,2.318060554688221,3.9954430515127464,-22.97185518766925,18.51339208890837
0.08,0.008008008008008008,15.643693213095736,-31.635163743008427,-8.176896597308339,-24.868610018025194,-34.59039006000082,-21.018603070654848,-7.318031168238497,33.13306738961127,12.196660481949186,-33.50466653698149,-7.204509158413602,-0.44679118824487146,-23.013243172939816,-34.7447507474067,8.638918794382747,43.17606912676527,42.38258100107343,-34.67795616081792,41.113197228959436,37.819046324335005,-8.163019133165761,20.5117515285767,-6.617060389302934,-9.353291594740568,34.293220114554934,4.687875107002461,-10.598752142379313,-11.056454702533564,-30.00475938858135,35.32670340834664,42.08179440725362,-24.89449864160437,-6.47923226609031,13.35485232389527,6.991989058737047,-11.995321514145955,13.430688712215971,31.291635766755846,-17.005505854850785,-4.880425197276453,-18.123990155755937,-8.41508053996972,-8.01123259535591,-22.35376409126054,25.16766085837148,2.318003577675777,3.9957555336438504,-22.972405982054912,18.51392647714069
0.09,0.009009009009009009,15.644308685462502,-31.6357603687855,-8.177227117929995,-24.868909411569327,-34.59134111023236,-21.018919800049826,-7.317976049698206,33.13369600133685,12.19694910537394,-33.50524332599453,-7.204819713775531,-0.4469987261349404,-23.013857506501118,-34.745296008264866,8.63923844424764,43.17715980259998,42.38356736197814,-34.67860004814177,41.11388225183885,37.81979521850293,-8.163228986256598,20.511977814102757,-6.617644414431993,-9.353367285868211,34.294303226980574,4.6877871995591684,-10.599110378349884,-11.056706584962093,-30.005187695225484,35.327265503048984,42.08274312933147,-24.895153658375325,-6.479304766830146,13.355354820177999,6.992088686278333,-11.99555893482148,13.430770190191653,31.29225501160618,-17.005749349673845,-4.880594572143211,-18.124398393690253,-8.415313520719538,-8.011531329164589,-22.353966434522757,25.167759677353786,2.3179319793831716,3.9961014450414267,-22.97296977938568,18.51448434033618
