t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
0.0,0.0,-27.872336223381556,-22.80262945850642,3.52156646464105,36.950418746956295,21.058180956866995,17.131537770425545,-28.49787091853205,5.431907964610724,-13.687775710191989,27.28003894749529,-3.937367772302493,-0.11961470856707045,-12.730517488572964,-17.585879152277293,-1.2951421676746622,-5.071293682209559,8.933818036884778,40.21140273518012,15.60187715306732,17.494050447768938,-18.701996090103282,-14.367187990645055,2.2153352453949107,-27.746438724815864
0.01,0.001001001001001001,-27.872895736183562,-22.803085772048917,3.5216365016256326,36.951157219459304,21.05859941362924,17.131880299423933,-28.49844194912773,5.432015381496616,-13.688049864789717,27.280583857731347,-3.9374476586325713,-0.11961751636547469,-12.730773768674851,-17.586231361275026,-1.2951692357316036,-5.071397186804528,8.933995090770516,40.21220481082195,15.602187875882601,17.494398262599624,-18.702370876901522,-14.367475698150109,2.2153790112308234,-27.746996718474264
0.02,0.002002002002002002,-27.87348317935571,-22.80355052807493,3.521698236348654,36.95189057162464,21.059036951615457,17.132208631263634,-28.498997236232608,5.432127099572551,-13.688322989321328,27.281124062147374,-3.9375421764782272,-0.11959769933960285,-12.73102827842725,-17.58657763315438,-1.295204634418974,-5.0715114195534525,8.934193929609393,40.213018940246954,15.602516850264522,17.49474235130525,-18.70274932444928,-14.367773706186036,2.215443776845982,-27.74757821434092
0.03,0.003003003003003003,-27.874098528069343,-22.804023763045038,3.5217516752035793,36.952618818424604,21.059493586025958,17.132522768107282,-28.499536756022522,5.43224312435397,-13.688595094752621,27.281659578433466,-3.9376513456604147,-0.11955527972429844,-12.731281033213165,-17.58691795397392,-1.295248366294974,-5.071636394130024,8.934414561886886,40.21384511693237,15.60286406282256,17.495082719161804,-18.703131415553983,-14.36808201644445,2.215529530297957,-27.748183213253974
0.04,0.004004004004004004,-27.874741755028392,-22.804505513985344,3.5217968257021055,36.95334197542395,21.059969332969526,17.13282271066937,-28.50006048701991,5.432363460920014,-13.688866192517011,27.28219042386097,-3.9377751869586217,-0.11949027921046387,-12.73153204854098,-17.58725230906461,-1.295300434806467,-5.071772123983677,8.934656996278928,40.21468333452636,15.60322949885247,17.495419371047895,-18.70351713210569,-14.368400630541915,2.2156362606919555,-27.74881171566876
0.05,0.005005005005005005,-27.87541283046058,-22.804995818492397,3.521833696476831,36.954060058782304,21.06046420945471,17.13310845821585,-28.50056841009455,5.432488113917472,-13.6891362945153,27.282716615282954,-3.937913722113296,-0.11940271894606955,-12.731781340047366,-17.58758068303129,-1.2953608442872222,-5.071918622340504,8.93492124165001,40.21553358684684,15.603613142334213,17.495752311448413,-18.70390645507766,-14.368729550017655,2.2157639581772965,-27.749463721651292
0.06,0.006006006006006006,-27.876111722107993,-22.80549471473824,3.521862297283832,36.954773085256576,21.060978233380578,17.133380008563844,-28.501060508464164,5.432617087564778,-13.689405413115388,27.28323816913475,-3.938066973828284,-0.11929261953723713,-12.732028923500293,-17.587903059754428,-1.2954295999559957,-5.0720759022041895,8.93520730705101,40.21639586788024,15.60401497592992,17.496081544458253,-18.704299364526932,-14.36906877633114,2.215912613943551,-27.750139230871344
0.07,0.007007007007007007,-27.876838395217014,-22.806002241475547,3.5218826390051534,36.95548107220348,21.06151142352694,17.133637358081383,-28.50153676769475,5.432750385656034,-13.689673561151924,27.283755101434593,-3.9382349657732894,-0.11916000104939543,-12.732274814802174,-17.58821942239216,-1.295506707914447,-5.072243976356951,8.935515201716775,40.217270171780356,15.604434980981836,17.496407073786067,-18.704695839594947,-14.369418310859519,2.2160822202163395,-27.750838242595144
0.08,0.008008008008008008,-27.87759281252763,-22.80651843804285,3.521894733651208,36.95618403758198,21.06206379954406,17.133880501687283,-28.5019971757008,5.43288801156507,-13.689940751925905,27.28426742778431,-3.938417722586349,-0.11900488300850759,-12.732519029993123,-17.588529753382677,-1.2955921751448944,-5.072422857360496,8.935844935063429,40.21815649286716,15.604873137510303,17.496728902758065,-18.705095858508187,-14.369778154894911,2.2162727702527936,-27.75156075567763
0.09,0.009009009009009009,-27.878374934262112,-22.8070433443699,3.521898594363087,36.9568819999558,21.062635381941803,17.134109432851055,-28.502441722745296,5.433029968249552,-13.690206999204214,27.284775163370117,-3.9386152698763257,-0.11882728440236802,-12.732761585254304,-17.58883403444687,-1.2956860095079035,-5.072612557556992,8.936196516685417,40.21905482562557,15.605329424211742,17.497047034321863,-18.70549939857884,-14.370148309641564,2.2164842583366835,-27.752306768554302
0.1,0.01001001001001001,-27.879184718113088,-22.807577000983112,3.52189423541478,36.95757497849598,21.063226192078286,17.13432414359294,-28.502870401439495,5.43317625825512,-13.690472317219104,27.285278322963464,-3.938827634225422,-0.11862722368196787,-12.733002496911432,-17.589132246591305,-1.2957882197397124,-5.072813089070058,8.9365699563523,40.21996516470432,15.605803818456666,17.497361471050365,-18.70590643620551,-14.37052877621286,2.2167166797732096,-27.753076279232666
0.11,0.011011011011011011,-27.880022119231022,-22.808119449011116,3.5218816722153017,36.9582629929834,21.06383625214798,17.134524624484005,-28.50328320674255,5.433326883719578,-13.690736720667612,27.28577692092198,-3.9390548431917085,-0.11840471876292755,-12.733241781438364,-17.589424370111512,-1.2958988154494906,-5.073024463805768,8.936965264005265,40.22088750491474,15.606296296287717,17.49767221514569,-18.706316946873926,-14.370919555628179,2.2169700308834654,-27.753869285283255
