t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
0.0,0.0,-19.135827334024864,-35.711143484463534,13.072756763731602,8.861856893499397,27.68330894445234,-20.47256871976126,36.85122757824704,11.232305989893232,2.037514820264948,-27.07908622281056,-35.75200552470157,-29.488580349309565,8.515630114794892,-22.017861917722595,12.638643077430462,34.1059741834531,1.059329795105449,-31.398545165608763,-39.458084196617044,30.191788566611912,5.691903226592364,-18.713098590551382,8.576413309477681,26.038872779144167,12.542496231115829,12.699975973459978,21.826317996274216,22.67964038497605,-37.03761710528286,-34.13066289221967,29.50689884355691,27.021072679983053
0.01,0.001001001001001001,-19.13621100975905,-35.71185961709765,13.073017674173823,8.86203250113597,27.683861638863124,-20.47297844102188,36.85196188162853,11.232529134151164,2.0375529540749913,-27.07963081123528,-35.752722418344575,-29.48917166430461,8.515797692145505,-22.018303285859208,12.638893445046168,34.10665597044116,1.0593495860261053,-31.399173841037012,-39.45887390965409,30.192389903367292,5.6920166930678615,-18.713473641782386,8.576583650474165,26.039391786457593,12.542744882765689,12.70022791045733,21.826751569568952,22.68009285525052,-37.03835809923804,-34.13134716901477,29.507487831852828,27.021610996390717
0.02,0.002002002002002002,-19.136598820398845,-35.712578886480635,13.073286163207987,8.862220231725342,27.684415911246198,-20.47337649139973,36.85270114606717,11.23277446824981,2.0375632292741925,-27.080177815205488,-35.7534671897011,-29.48974174015914,8.51595150800314,-22.01874067230567,12.639144233459854,34.107313183873444,1.0593692853641028,-31.39982483741075,-39.4596518179023,30.193001712843376,5.692168521252602,-18.71383392151967,8.576729969351955,26.039910757098067,12.542992813976293,12.700483890832654,21.827201946428666,22.680530431881294,-37.039087024229765,-34.13204611581348,29.508074078054584,27.022138499326783
0.03,0.003003003003003003,-19.136990774471556,-35.713301291802026,13.073562237337244,8.86242011066075,27.68497176222465,-20.473762884507437,36.85344535072315,11.233042040476768,2.03754565211976,-27.080727239609995,-35.75423985034229,-29.490290602487132,8.51609156039399,-22.0191740694259,12.639395437883968,34.107945834014565,1.0593889046054705,-31.400498080828463,-39.460417954115464,30.19362401434608,5.692358711979138,-18.714179449810977,8.576852257255734,26.04042967079817,12.543240033365938,12.700743928831635,21.827669090595485,22.68095313535722,-37.03980388743931,-34.13275978869087,29.50865757597336,27.02265521357928
0.04,0.004004004004004004,-19.13738688027859,-35.71402683289081,13.073845903639903,8.862632162205317,27.68552919127839,-20.474137632824572,36.85419447592488,11.233331898587261,2.0375002291366893,-27.081279089022424,-35.755040412017046,-29.490818277263024,8.516217846655953,-22.01960347007899,12.639647054533812,34.10855393067322,1.0594084547941867,-31.401193493444847,-39.4611723502624,30.194256828626525,5.692587265495146,-18.714510245195946,8.576950502878052,26.040948506979486,12.543486551555722,12.70100803994766,21.828152964517866,22.681360985812073,-37.040508697171575,-34.133488245004685,29.509238320035355,27.023161161168353
0.05,0.005005005005005005,-19.137787145895324,-35.71475551021641,13.074137169771285,8.862856409491851,27.6860881967454,-20.47450074770101,36.854948503167975,11.233644089805129,2.037426967120423,-27.08183336770393,-35.75586888664508,-29.491324790820862,8.516330363439579,-22.020028867621917,12.639899080633851,34.109137483198786,1.059427946535377,-31.40191099347857,-39.46191503752997,30.194900177882317,5.692854181464211,-18.71482632470365,8.577024692457481,26.041467244752713,12.543732381167144,12.701276240926317,21.82865352934961,22.68175400301971,-37.04120146285024,-34.13423154340406,29.509816305285696,27.023656361347115
0.06,0.006006006006006006,-19.138191579170932,-35.7154873248898,13.074436043965653,8.86309287452232,27.68664877582292,-20.4748522393602,36.85570741511461,11.233978660823889,2.0373258731395936,-27.08239007960579,-35.756725286309525,-29.491810169853853,8.516429106708555,-22.020450255912444,12.640151514424305,34.109696500478066,1.0594473899984613,-31.40265049522048,-39.46264604632592,30.195554085758936,5.693159458966208,-18.71512770385008,8.577074809776562,26.041985862917915,12.543977536819801,12.701548549770395,21.829170744948804,22.682132206389355,-37.041882195012974,-34.13498974383832,29.510391527392375,27.024140830602544
0.07,0.007007007007007007,-19.138600187728215,-35.71622227866472,13.074742535038212,8.863341578167018,27.687210924568614,-20.47519211690229,36.85647119559312,11.234335657807849,2.0371969545388553,-27.082949228371852,-35.757609623249095,-29.49227444141431,8.516514071739753,-22.02086762931211,12.640404355168059,34.11023099093216,1.0594667949202472,-31.40341190904234,-39.46336540628159,30.196218577351207,5.69350309649727,-18.71541439663553,8.577100836159568,26.0425043399649,12.544222035129119,12.701824985745382,21.829704569876704,22.682495614961024,-37.04255090530666,-34.13576290756598,29.51096398265019,27.0246145826564
0.08,0.008008008008008008,-19.139012978963365,-35.7169603739391,13.075056652387188,8.863602540163418,27.687774637901647,-20.475520388307178,36.85723982959803,11.234715126393292,2.0370402189417947,-27.083510817340837,-35.75852190984985,-29.492717632913987,8.51658525312281,-22.02128098268937,12.640657603157873,34.110740962513525,1.0594861706079723,-31.40419514140603,-39.46407314625438,30.196893679204873,5.693885091969351,-18.71568641554195,8.577102750470077,26.043022654073745,12.544465894704175,12.702105569385468,21.83025496139652,22.682844247401043,-37.043207606482696,-34.136551097163974,29.511533667984732,27.02507762846614
0.09,0.009009009009009009,-19.13942996004572,-35.71770161375654,13.075378405995977,8.86387577911471,27.688339909603748,-20.47583706043743,36.85801330329028,11.235117111689702,2.0368556742539314,-27.0840748495485,-35.75946215863646,-29.493139772124835,8.516642644759267,-22.021690311422834,12.640911259723909,34.11122642270317,1.0595055259422943,-31.405000094873284,-39.46476929433011,30.197579419318263,5.694305442709372,-18.715943771530164,8.577080529108356,26.043540783115446,12.544709136145565,12.702390322500033,21.83082187547215,22.683178121997727,-37.04385231239233,-34.13735437653699,29.5121005809564,27.025529976225858
0.1,0.01001001001001001,-19.139851137917503,-35.71844600180796,13.075707806435368,8.864161312488026,27.688906732320177,-20.476142139041063,36.85879160399789,11.23554165828106,2.0366433286658028,-27.084641327729667,-35.76043038226309,-29.493540887180124,8.516686239861246,-22.022095611404655,12.641165327241563,34.11168737850798,1.0595248693802306,-31.40582666811588,-39.465453877825176,30.198275827144066,5.694764145457975,-18.71618647403706,8.577034146008542,26.044058704652695,12.544951782043354,12.702679268180649,21.831405266766836,22.683497256657155,-37.04448503798206,-34.13817281092706,29.512664719764402,27.025971631367256
