t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
0.0,0.0,30.537136340473626,-46.042391226102644,-8.557900352769083,-43.099386806396225,1.3596967837473755,21.59275663029957,5.271227154562555,-31.82877896047313,20.761786149259464,27.683157137561007,8.121938698984716,-5.158802857679111,24.055298108282923,-17.351456096384048,20.837923069686852,21.271216392081396,26.182518183646096,-0.9420987599261548,-32.9867728501767,24.194862608506536,-7.976256017748908,-30.601022615045125,-10.192640638765502,0.719722287438953,-16.69306917271901,5.153827180001563,-25.420358264896485,23.029485049634836,1.1411833123546768,-25.47243785151899,12.031540813903433,17.717412665080705,-22.89149876456415,2.92339635953269,22.383630926541226,-1.7033994939793156,-25.751024576049456,11.580922099403573,-2.551739976194289,30.03321461058284
0.01,0.001001001001001001,30.53774576185812,-46.04331500051849,-8.558071855681483,-43.10025052695101,1.3597218127968196,21.593185820611108,5.2713310388813195,-31.82941586739635,20.76220049788318,27.68370780191291,8.122098852305927,-5.158906671029844,24.055778384930846,-17.351804359467295,20.838339356325566,21.27163918390389,26.183039912244578,-0.9421198178002541,-32.987435656221294,24.195343482931218,-7.976417462043322,-30.60163724362148,-10.192845275989212,0.7197352878774993,-16.69340523787064,5.153927162091174,-25.42086951508365,23.029944080147484,1.141204294688482,-25.47294938991503,12.031780153815774,17.717766885566554,-22.891956823325756,2.923454678358532,22.384075762837853,-1.703435369153402,-25.751541686193292,11.581152761057334,-2.5517912752486764,30.03381334066259
0.02,0.002002002002002002,30.538364599741733,-46.0442565355168,-8.55823748002903,-43.10111144657506,1.359734857138942,21.593629317348913,5.2714500959966335,-31.830085895303284,20.762636389779892,27.68427600133201,8.122256589429728,-5.159040109293296,24.05624506721928,-17.352148780874003,20.838755339549813,21.272043725838238,26.183565970018147,-0.9421479361923206,-32.988083864145615,24.195816358312207,-7.97658681729419,-30.602253943202523,-10.193015183201904,0.7197605405754173,-16.693760452930466,5.154034451900695,-25.421358175135378,23.030415102648803,1.1412383751389952,-25.473449946605903,12.032003691323412,17.71810465706976,-22.89237842909059,2.9235362456801095,22.384518288554197,-1.7034687885457076,-25.752076153366943,11.581357845696518,-2.551854644412583,30.03438835160043
0.03,0.003003003003003003,30.538992834752314,-46.045215823022545,-8.5583972148332,-43.10196955756135,1.359735904061314,21.59408715642339,5.271584347572975,-31.830789082044774,20.76309381480234,27.68486177161002,8.1224119300951,-5.159203179204141,24.056698120025562,-17.35248936078966,20.83917104672989,21.272430032198628,26.18409633563346,-0.9421831198417486,-32.98871745317215,24.196281260332636,-7.976764064148668,-30.60287271383193,-10.193150374106864,0.7197980326309802,-16.694134827065348,5.154149075204946,-25.421824258850215,23.030898156310837,1.1412855419382586,-25.47393955129022,12.032211384868146,17.71842598951488,-22.8927635973815,2.923641073750464,22.38495851475691,-1.7034997591775511,-25.752627938406647,11.581537328714639,-2.5519300943106336,30.03493959728971
0.04,0.004004004004004004,30.539630447037194,-46.046192856652056,-8.558551050412582,-43.102824853223105,1.3597249398051328,21.594559376552507,5.2717338146805135,-31.831525467207275,20.763572761879235,27.685465149608866,8.122564896177218,-5.159395886825195,24.05713750741555,-17.35282609779997,20.839586505699046,21.272798118597436,26.184630988428328,-0.9422253747751461,-32.98933640425624,24.19673821245212,-7.976949183914917,-30.603493555255152,-10.193250859985888,0.7198477513766901,-16.69452836981189,5.154271054652106,-25.422267780591447,23.03139328042436,1.141345779694057,-25.474418236069642,12.032403193732504,17.718730890966697,-22.893112339626207,2.9237691788692737,22.385396453079924,-1.7035282885792966,-25.753197001298506,11.581691186711769,-2.5520176345424836,30.03546703316473
0.05,0.005005005005005005,30.54027741626118,-46.047187631701895,-8.558698978383088,-43.10367732789889,1.3597019495639955,21.59504601926739,5.271898517792146,-31.83229509210228,20.7640732190222,27.686086173262954,8.122715511683747,-5.1596182375512125,24.057563192642785,-17.353158988894172,20.840001744752012,21.273148001945636,26.18516990841251,-0.9422747083063184,-32.98994070008487,24.197187235905652,-7.977142158560086,-30.60411646691991,-10.193316649704983,0.7199096843758831,-16.69494109107631,5.154400409759626,-25.42268875528421,23.031900514392554,1.1414190693923918,-25.47488603545454,12.032579078042815,17.719019367630043,-22.893424663150707,2.9239205813883546,22.385832115716173,-1.7035543847943035,-25.75378330118379,11.581819397493069,-2.5521172736770183,30.03597061620373
0.06,0.006006006006006006,30.540933721604166,-46.04820014513716,-8.558840991658192,-43.1045269769577,1.3596669174826828,21.595547128918167,5.272078476780218,-31.83309799975573,20.764595173333273,27.686724881581508,8.122863802751356,-5.159870236112292,24.05797513814751,-17.353488029467908,20.840416792643722,21.273479700453578,26.18571307626823,-0.9423311290369206,-32.99053032507561,24.19762834970215,-7.977342970708104,-30.60474144797651,-10.193347749720001,0.7199838194191038,-16.695373001133806,5.154537156909411,-25.423087198413356,23.032419897724445,1.14150538840081,-25.475342986369938,12.032738998771833,17.719291423849217,-22.893700571173174,2.9240953057180077,22.38626551540972,-1.7035780563831227,-25.754386796364372,11.58192194006717,-2.5522290192457677,30.03645030493164
0.07,0.007007007007007007,30.541599341758367,-46.04923039557912,-8.558977084449204,-43.105373796804194,1.359619826655955,21.59606275268002,5.272273710912922,-31.833934234897388,20.76513861101302,27.687381314651038,8.123009797642524,-5.160151886576885,24.058373305555524,-17.353813213325544,20.840831678588177,21.273793233632162,26.186260473350433,-0.9423946468577766,-32.991105265375715,24.19806157062269,-7.977551603637303,-30.605368497278143,-10.193344164082214,0.7200701445202513,-16.695824110627534,5.154681309342282,-25.423463126022096,23.032951470028102,1.141604710472584,-25.47578912816182,12.032882917740922,17.71954706210693,-22.893940062798386,2.924293380334207,22.386696665448273,-1.7035993124279352,-25.755007444308323,11.58199879464444,-2.552352877735541,30.03690605942255
0.08,0.008008008008008008,30.542274254925186,-46.050278383292365,-8.559107252265576,-43.10621778488406,1.3595606591273592,21.59659294055944,5.272484238850393,-31.834803843950237,20.765703517369282,27.68805551363788,8.123153526742593,-5.160463192354412,24.0587576556769,-17.354134532682018,20.84124643225747,21.27408862229437,26.186812081686828,-0.9424652729508667,-32.99166550886144,24.198486913218407,-7.977768041277838,-30.60599761338103,-10.193305894443824,0.7201686479124934,-16.696294430567054,5.1548328771517005,-25.423816554711404,23.033495271003584,1.1417170057517463,-25.476224502603767,12.03301079762178,17.719786283022806,-22.89414313301267,2.9245148377866332,22.387125579656132,-1.7036181625372362,-25.755645201655692,11.582049942635107,-2.552488854580281,30.03733784130192
0.09,0.009009009009009009,30.542958438811674,-46.051344110171236,-8.559231491915243,-43.10705893968944,1.3594893958880505,21.597137745400712,5.272710078640477,-31.83570687501979,20.76628987682653,27.68874752079084,8.123295022557073,-5.1608041561974884,24.059128148504506,-17.354451978164178,20.841661083780988,21.274365888557192,26.187367883977632,-0.9425430197919813,-32.99221104513745,24.198904389808046,-7.977992268208933,-30.606628794544537,-10.193232940063414,0.7202793180439511,-16.69678397232637,5.154991867276774,-25.42414750164022,23.034051340435617,1.141842240778977,-25.47664915390389,12.033122601937725,17.720009085351442,-22.894309772679364,2.924759714707549,22.387552272387488,-1.7036346168507641,-25.756300024224416,11.58207536664727,-2.5526369541521365,30.037745613748562
0.1,0.01001001001001001,30.543651870626636,-46.05242757972575,-8.559349801504986,-43.107897260764474,1.3594060168756252,21.59769722289257,5.272951247714176,-31.836643377883377,20.766897672935805,27.689457379443912,8.123434319709213,-5.161174780203746,24.059484743212423,-17.354765538811627,20.84207566374474,21.274625055843916,26.187927863595107,-0.9426279011540424,-32.99274186553649,24.19931401047522,-7.97822426965593,-30.607262038731136,-10.193125297811322,0.7204021435731525,-16.697292747641487,5.1551582834945195,-25.424455984526386,23.034619718186022,1.141980378498345,-25.47706312871213,12.033218295064549,17.720215465980026,-22.894439968534787,2.925028051821508,22.387976758520132,-1.7036486860446751,-25.756971867016404,11.582075050484782,-2.552797179751756,30.03812934149634
