t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
0.0,0.0,-17.827727117884233,-40.25284167021276,3.068530088561831,-27.034318825043087,-20.606172707419077,9.925330980543476,33.81985080147593,-11.644016188536318,-0.19423220092959526,19.653068308125334,-9.156232612059254,34.011497222058004,-31.420649555494016,26.311714288523127,35.5752876481508,-11.397786521442178,12.832442494985772,27.03163101950509,16.29262662894709,-9.488090538443885,-8.72685169538548,1.2261511195293258,-1.7731218409211011,11.375751188413059,37.60831876508815,-23.923993738845404,8.531180688135834,-28.29797924299714,-25.393052207085734,-3.585786265322156,6.901351984532766,-35.069888167330404,-16.63509976918583,18.14480968275493,-3.5858358733365283,13.945757389197983,6.881778879481097,7.978141031526635,-6.371004328691071,-7.484448059676662,36.53413095250851,-14.606331039050406,-9.786247395174295
0.01,0.001001001001001001,-17.828085299749507,-40.25364680847177,3.068589222264553,-27.034860640031958,-20.606587522230157,9.925527701126526,33.82052487077103,-11.64425050799599,-0.19423633587519334,19.653460876490566,-9.156415833466864,34.01217728553209,-31.42127878230033,26.312240344263262,35.57599709892975,-11.398016592897028,12.832696835528159,27.032171504132535,16.292950780643338,-9.488283121628811,-8.727029079934272,1.226173379845725,-1.7731579761546112,11.375976182916332,37.60906865120837,-23.92447238909803,8.531350341092548,-28.29854794507239,-25.393561927398654,-3.5858586184053682,6.901487219371222,-35.0705924144895,-16.635432877167574,18.145170556101824,-3.58591061020948,13.946034048664657,6.881913429450339,7.978300058210005,-6.371133723551353,-7.48460050229221,36.53485988334499,-14.606623278511092,-9.786443881377547
0.02,0.002002002002002002,-17.828437678470397,-40.25445618989324,3.068636878631336,-27.03540119339312,-20.60699140132005,9.925677742845382,33.8211947745535,-11.644461491782089,-0.19423317111959226,19.653873735509965,-9.156611399107616,34.01281797473504,-31.42190558881153,26.312775875724057,35.576673994783924,-11.398199067990546,12.832981866318391,27.0327288119364,16.293281528554946,-9.48848956467205,-8.727229518696303,1.2262088694814541,-1.7731713658824235,11.37619055442641,37.60981583017805,-23.92493685140508,8.531526569861128,-28.299135065567228,-25.394050662456365,-3.5859190018666323,6.901631166198867,-35.071311793813436,-16.635772729777226,18.145534582313832,-3.585976158649387,13.94630788190688,6.882057958182961,7.978461264327272,-6.371265084393397,-7.4847671651201635,36.53557423492581,-14.606914756715977,-9.78667159291363
0.03,0.003003003003003003,-17.828784288854397,-40.25526980043394,3.0686730630822128,-27.0359405022962,-20.607384351061725,9.925781111250604,33.82186048057689,-11.64464912594129,-0.19422271620937412,19.65430689013911,-9.156819307120351,34.013419318306255,-31.422529985996142,26.313320883684174,35.5773183179732,-11.39833392051198,12.833297617553406,27.033302927725437,16.293618850514733,-9.488709876015221,-8.727452998619315,1.2262575902075956,-1.7731620194308297,11.376394305681815,37.610560287898636,-23.92538710767776,8.531709388603412,-28.29974059552393,-25.394518428848755,-3.5859674280202904,6.901783823008223,-35.07204630243802,-16.636119324968877,18.14590176722386,-3.586032526320817,13.94657891469102,6.88221251118599,7.97862465212359,-6.371398416296678,-7.484948058774667,36.53627400444474,-14.60720551136868,-9.786930511567528
0.04,0.004004004004004004,-17.82912516422776,-40.256087629282455,3.0686977801425215,-27.036478583682015,-20.607766377442143,9.925837808666705,33.82252195551004,-11.64481339576441,-0.19420497824109606,19.654760345782137,-9.15703955724702,34.01398134215424,-31.423151982007436,26.31387537212054,35.5779300495144,-11.398421121720068,12.833644121970456,27.033893835991112,16.293962722395424,-9.488944065358764,-8.727699504529872,1.2263195445611401,-1.773129948080296,11.376587439497504,37.611302011168426,-23.925823139222274,8.531898811206613,-28.30036452999561,-25.394965241407075,-3.586003911657886,6.901945189319262,-35.07279593857893,-16.636472661680557,18.14627211618757,-3.5860797217010205,13.946847172909694,6.8823771347218,7.978790225312642,-6.371533722654396,-7.485143194782954,36.53695918874351,-14.60749558136846,-9.7872206156651
0.05,0.005005005005005005,-17.829460336437027,-40.25690966886296,3.068711033442208,-27.037015454272044,-20.608137486064074,9.925847834198466,33.82317916492606,-11.644954285786989,-0.1941799618668229,19.655234108286407,-9.15727215083042,34.01450406945633,-31.42377158218378,26.31443934821166,35.578509169174545,-11.398460640342677,12.834021414843365,27.034501520897418,16.294313118108253,-9.48919214366235,-8.72796901912995,1.2263947358494494,-1.7730751650647267,11.376769958761413,37.61204098768567,-23.926244926737684,8.532094851282885,-28.30100686803784,-25.39539111320217,-3.586028470047634,6.9021152661868985,-35.073560701516755,-16.636832739828144,18.14664563408645,-3.5861177540785203,13.947112682584535,6.882551875814907,7.978957989077739,-6.371671005175254,-7.485352585586494,36.537629784311584,-14.607785006819487,-9.787541880074285
0.06,0.006006006006006006,-17.82978983585019,-40.25773591483915,3.068712825715719,-27.03755113057764,-20.60849768214801,9.925811183739143,33.82383207329165,-11.645071779790317,-0.194147669298875,19.655728183937217,-9.157517090811977,34.014987520659844,-31.42438878904782,26.315012822340513,35.57905565546433,-11.398452442579359,12.834429533978259,27.03512596626878,16.294670009601088,-9.48945412314569,-8.728261522993709,1.2264831681543729,-1.7729976855706786,11.376941866431,37.61277720605179,-23.926652450313735,8.53229752216865,-28.301667612700115,-25.395796055542224,-3.586041122934309,6.902294056208377,-35.07434059158172,-16.637199560299283,18.147022325331022,-3.5861466335524703,13.947375469869044,6.882736782259536,7.979127950072755,-6.371810263884471,-7.485576244542234,36.53828578728583,-14.608073829040872,-9.787894276205911
0.07,0.007007007007007007,-17.830113691357536,-40.25856636611829,3.0687031588024767,-27.038085628909023,-20.608846970534263,9.925727849980543,33.824480643956946,-11.645165860802894,-0.19410810031379103,19.65624257945255,-9.15777438172958,34.015431713484666,-31.425003602304535,26.315595808097,35.57956948563179,-11.398396492106826,12.834868519708792,27.03576715557613,16.295033366856046,-9.489730017289716,-8.72857699456441,1.22658484633602,-1.7728975267365226,11.377103165529764,37.613510655774924,-23.927045689428557,8.532506836923694,-28.30234677101707,-25.396180077969937,-3.586041892539545,6.9024815635305465,-35.075135610138226,-16.637573124947313,18.1474021938642,-3.58616637103278,13.947635561051493,6.88293190262795,7.9793001164229205,-6.371951497124033,-7.485814185923917,36.538927193450064,-14.60836209057745,-9.788277772014142
0.08,0.008008008008008008,-17.830431930372118,-40.259401024855315,3.0686820336479457,-27.038618965384046,-20.60918535568521,9.925597822424995,33.82512483914575,-11.645236511102325,-0.19406125225550447,19.656777301977872,-9.158044029715438,34.01583666292719,-31.425616018838113,26.316188322279988,35.580050635656185,-11.398292750087364,12.835338414890833,27.03642507192113,16.29540315788665,-9.490019840838174,-8.728915410151558,1.2266997760361875,-1.772774707651554,11.37725385914375,37.61424132727358,-23.9274246229463,8.532722808330039,-28.303044353999564,-25.39654318825918,-3.5860308035625468,6.9026777938570385,-35.075945759569045,-16.63795343658518,18.14778524316474,-3.5861769782410042,13.947892982557914,6.883137286279559,7.979474497725462,-6.372094701552181,-7.486066424923493,36.539553998234396,-14.608649835211335,-9.788692331996515
0.09,0.009009009009009009,-17.83074457882988,-40.2602398964571,3.068649450305284,-27.03915115593671,-20.60951284168767,9.9254210873992,33.825764619946234,-11.645283712217658,-0.19400712003773313,19.65733235908097,-9.158326042494009,34.01620238126574,-31.426226032707685,26.31679038489892,35.58049908024214,-11.3981411751802,12.835839264896624,27.0370996980185,16.295779348734477,-9.490323609799589,-8.729276743928187,1.2268279636814408,-1.7726292493550508,11.37739395041804,37.614969211880556,-23.92778922911467,8.53294544889058,-28.303760376625515,-25.396885392411104,-3.5860078831812108,6.902882754455335,-35.076771043259384,-16.638340498979368,18.14817147625089,-3.586178467711997,13.948147760955147,6.883352983370798,7.9796511050500865,-6.372239872142127,-7.486332977652606,36.5401661967145,-14.608937107974253,-9.789137917193617
0.1,0.01001001001001001,-17.83105166118944,-40.26108298958681,3.068605407937587,-27.039682216325495,-20.609829432255445,9.925197628069988,33.82639994630208,-11.645307444932149,-0.19394569614558047,19.65790775874681,-9.158620429379953,34.01652887806735,-31.426833635141914,26.317402019174974,35.58091479281398,-11.397941723555835,12.836371117608387,27.037791016176552,16.296161903465343,-9.490641341449615,-8.72966096792837,1.2269694164858487,-1.772461174835277,11.377523442553235,37.61569430184702,-23.928139485562365,8.53317477082749,-28.304494857830562,-25.39720669464971,-3.5859731610536523,6.90309645416374,-35.0776114655806,-16.638734316843827,18.14856089568413,-3.5861708527963305,13.948399922953978,6.8835790448657965,7.9798299509393065,-6.372387002180004,-7.48661386114417,36.540763783610686,-14.609223955160644,-9.78961448518838
