t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
0.0,0.0,7.010142092030223,-32.58345390214561,-17.894496380749935,3.6544701948351053,-12.571658347171107,5.803306803032537,19.695474250678966,40.55691753733438,-5.443511380730009,22.728953918340135,-22.957153571558763,-7.050436742011544,-5.9746437350208605,9.950284569720427,-25.36383017211816,-0.4820456293037285,-12.867109980115824,33.32433849801597,7.110564482581793,-31.244972743314072,-15.145219967289057,31.616778919719547,-13.716759069193921,28.96240340071272,6.91962269563565,-15.136312740700927,37.55168320781359,5.551528555024329,9.266387286620475,-15.798249766675708,31.429111640491612,-31.410664911742167,-32.4824568352167
0.01,0.001001001001001001,7.010282193191471,-32.584106681389784,-17.894854396542836,3.654540745673912,-12.571910852095845,5.803420076349019,19.695865791905295,40.5577265004024,-5.4436217924875265,22.72940576451232,-22.957614046924288,-7.050578362480696,-5.974765600086524,9.9504806742769,-25.364339715028983,-0.48205830933623117,-12.867367513890668,33.325002719763134,7.110705694965801,-31.24560034513248,-15.14552588024453,31.61740818169074,-13.717035488658693,28.962981217259614,6.919759179665957,-15.13661836410911,37.55243401150383,5.551638530817442,9.266569684522072,-15.79856855643144,31.42973811541196,-31.411294209530084,-32.48310679001279
0.02,0.002002002002002002,7.010382414389052,-32.58473004893739,-17.895249407711717,3.654617880020864,-12.572156635213563,5.803542016715937,19.69623780251397,40.55851105537809,-5.443767170259027,22.729849940210045,-22.958090081642958,-7.050699370978879,-5.974897764336167,9.950673985164382,-25.36485699288262,-0.482045887623149,-12.867623577838495,33.32567263772275,7.11083036496832,-31.246209596462105,-15.145797833279728,31.61804053078062,-13.717313457549476,28.963548829747577,6.919864802571969,-15.136926690920623,37.55321346285505,5.551774467981192,9.266752994412311,-15.798864807024051,31.430354560151134,-31.411908805751764,-32.48373743964219
0.03,0.003003003003003003,7.0104427496856605,-32.58532402716933,-17.895681436616144,3.654701592952076,-12.572395689523798,5.80367264265055,19.696590297457,40.55927122523589,-5.443947515697655,22.730286447698244,-22.95858168403545,-7.050799805062818,-5.975040257932396,9.950864511533904,-25.365382011182714,-0.4820083535417055,-12.86787815007517,33.32634826629688,7.110938505668583,-31.246800457538274,-15.146035857213924,31.618675959210268,-13.717592974245724,28.96410625134847,6.919939547784728,-15.137237739202599,37.5540215343247,5.551936385511648,9.266937219630652,-15.799138503149658,31.430960957396955,-31.412508670684783,-32.48434878398471
0.04,0.004004004004004004,7.0104631963774935,-32.58588863676479,-17.896150505684815,3.6547918786406477,-12.572628009213314,5.803811972463796,19.696923289153332,40.56000703323227,-5.4441628306206455,22.73071529220947,-22.95908886399103,-7.050879701358165,-5.975193109114408,9.95105226501249,-25.365914774843798,-0.4819457000904244,-12.86813121088235,33.327029618286026,7.111030129426439,-31.24737289313517,-15.146239978083106,31.61931445823562,-13.717874037283995,28.9646534974661,6.919983401265999,-15.137551524002507,37.55485819371871,5.552124302954333,9.267122363691241,-15.799389628092023,31.43155729045838,-31.413093779194714,-32.48494082270772
0.05,0.005005005005005005,7.010443754996746,-32.58642389669478,-17.89665663741007,3.6548887303534947,-12.572853589658326,5.803960024256764,19.69723678748023,40.560718502908465,-5.444413117003488,22.731136481942993,-22.95961163296458,-7.050939095561965,-5.9753563441937665,9.951237259707375,-25.366455288190398,-0.4818579238885567,-12.868382742706958,33.327716704890584,7.111105247880401,-31.247926872566357,-15.146410217144684,31.61995601814291,-13.718156645358713,28.965190585739798,6.919996351511264,-15.137868057350586,37.555723404177726,5.55233824039921,9.267308430285683,-15.799618163719517,31.432143543263855,-31.41366411073529,-32.485513555260106
0.06,0.006006006006006006,7.010384429314996,-32.5869298242167,-17.89719985434116,3.654992140448856,-12.573072427426764,5.804116815916656,19.697530799764092,40.56140565809312,-5.444698376972319,22.73155002806428,-22.960150003973734,-7.050978022445737,-5.975529987550899,9.951419512210713,-25.36700355495631,-0.481745025176545,-12.868632730160748,33.328409535712154,7.111163871946307,-31.248462369685132,-15.14654659088131,31.62060062824393,-13.718440797322849,28.96571753604837,6.919978389552978,-15.138187348262026,37.556617124162436,5.552578218473911,9.26749542328577,-15.799824090481607,31.432719700359325,-31.414219649348244,-32.48606698086647
0.07,0.007007007007007007,7.010285226347472,-32.58740643486993,-17.897780179076264,3.6551021003744824,-12.573284520280549,5.804282365112249,19.697805330770706,40.56206852290472,-5.445018612794552,22.731955944704783,-22.96070399159611,-7.050996515859189,-5.975714061632311,9.95159904160481,-25.367559578284027,-0.4816070078175276,-12.86888116002002,33.32910811875448,7.111206011816584,-31.248979362884747,-15.14664911100379,31.621248276871118,-13.71872649218853,28.966234370514425,6.919929508964102,-15.138509402738924,37.55753930743811,5.552844258335198,9.267683346746193,-15.800007387404849,31.43328574690578,-31.41476038366282,-32.48660109852174
0.08,0.008008008008008008,7.010146156358211,-32.587853742472376,-17.898397634253282,3.6552186006665046,-12.5734898671779,5.804456689288842,19.698060382694905,40.562707121753846,-5.445373826867736,22.732354248962068,-22.961273611966615,-7.050994608734561,-5.975908586948515,9.95177586946786,-25.368123360724372,-0.48144387929988275,-12.869128021225453,33.32981246042419,7.111231676960119,-31.249477835098464,-15.14671778445307,31.62189895137241,-13.719013729127573,28.966741113509105,6.9198497058619015,-15.138834223772,37.55848990305831,5.5531363816586365,9.267872204907219,-15.800168032088395,31.433841668676443,-31.41528630689497,-32.487115906986084
0.09,0.009009009009009009,7.009967232866083,-32.58827175911803,-17.899052242539355,3.6553416309489895,-12.57368846827566,5.8046398056627035,19.698295955149664,40.56332147934539,-5.445764021706667,22.732744960900284,-22.961858882774838,-7.050972333091587,-5.976113582072675,9.951950019880192,-25.36869490423624,-0.48125565074081317,-12.869373304882066,33.3305225655312,7.111240876122717,-31.24995777379949,-15.14675261340134,31.622552638105915,-13.719302507471948,28.967237791657176,6.91973897891201,-15.139161811342065,37.559468855347816,5.553454610626502,9.268062002197347,-15.800306000699026,31.434387452053528,-31.415797416846257,-32.48761140478013
