t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
0.0,0.0,32.28716262822096,-30.2720008937213,-4.211953478475776,6.013143392016463,36.79317919127734,-27.658615850646424,-10.872739870197242,-8.97309251636351,21.289709611671576,-8.225034446702947,-17.608582920088754,2.7046108248735337,9.786044899506845
0.01,0.001001001001001001,32.28780833655648,-30.27260708596079,-4.212038903549898,6.013261089895539,36.79391372800699,-27.65917094572286,-10.872959731652305,-8.97327324089882,21.29013266611672,-8.225201857883938,-17.60893555206801,2.70466271317509,9.786239355356567
0.02,0.002002002002002002,32.288447483551856,-30.273198913890763,-4.212133986442028,6.013379433249513,36.79464566624951,-27.659735388837255,-10.87318727222374,-8.973447156361601,21.29055766251953,-8.225367491337213,-17.609282323505,2.7047277915749413,9.78642506682302
0.03,0.003003003003003003,32.289080088175176,-30.273776377382887,-4.212238749443171,6.0134984382957315,36.7953750372806,-27.66030920923264,-10.873422491194859,-8.973614262630319,21.290984588966985,-8.225531338923977,-17.60962323086715,2.704806042089001,9.786602036238277
0.04,0.004004004004004004,32.28970616956291,-30.274339477047157,-4.212353214613274,6.013618121447698,36.796101871975004,-27.660892436448602,-10.873665387172437,-8.973774559694009,21.291413433185728,-8.225693392501707,-17.609958270251802,2.7048974468363816,9.786770266092036
0.05,0.005005005005005005,32.29032574702117,-30.274888214233595,-4.212477403783756,6.013738499317227,36.79682620081168,-27.661485100323887,-10.873915958088096,-8.973928047652045,21.291844182542977,-8.225853643923132,-17.61028743738535,2.7050019880359675,9.786929759031606
0.06,0.006006006006006006,32.29093884002702,-30.27542259103392,-4.212611338559953,6.013859588716591,36.7975480538789,-27.662087230998953,-10.874174201199715,-8.97407472671389,21.29227682404754,-8.22601208503523,-17.610610727622415,2.7051196480028965,9.787080517861899
0.07,0.007007007007007007,32.29154546822976,-30.275942610283195,-4.212755040323507,6.013981406660692,36.798267460879345,-27.662698858918535,-10.874440113092902,-8.974214597198861,21.292711344350817,-8.226168707678212,-17.610928135944995,2.705250409144942,9.787222545545424
0.08,0.008008008008008008,32.29214565145228,-30.27644827556146,-4.21290853023466,6.014103970369221,36.7989844511351,-27.663320014834163,-10.87471368968252,-8.97434765953587,21.293147729747886,-8.22632350368452,-17.611239656961615,2.705394253958802,9.787355845202285
0.09,0.009009009009009009,32.29273940969246,-30.276939591195354,-4.213071829234496,6.014227297268838,36.799699053592626,-27.663950729806682,-10.874994926214251,-8.974473914263191,21.293585966178625,-8.226476464877814,-17.61154528490647,2.7055511650262942,9.787480420110178
0.1,0.01001001001001001,32.2933267631245,-30.277416562259702,-4.213244958047094,6.014351404995353,36.800411296827676,-27.66459103520874,-10.875283817266206,-8.974593362028209,21.294026039228868,-8.22662758307197,-17.61184501363856,2.7057211250104554,9.78759627370439
0.11,0.011011011011011011,32.29390773210038,-30.277879194579103,-4.213427937181612,6.014476311395919,36.80112120905014,-27.665240962727253,-10.875580356750602,-8.97470600358716,21.294467934131614,-8.226776850070069,-17.612138836640835,2.7059041166515465,9.787703409577789
0.12,0.012012012012012012,32.294482337151315,-30.2783274947295,-4.213620786934302,6.014602034531227,36.80182881810885,-27.665900544365872,-10.875884537915463,-8.97481183980489,21.29491163576828,-8.226924257663399,-17.612426747019306,2.7061001227629657,9.787801831480838
0.13,0.013013013013013013,32.29505059898921,-30.27876147003972,-4.213823527390446,6.01472859267772,36.80253415149636,-27.666569812447403,-10.876196353346387,-8.97491087165459,21.295357128669995,-8.227069797630445,-17.612708737502192,2.7063091262270644,9.787891543321585
0.14,0.014014014014014014,32.29561253850814,-30.27918112859303,-4.214036178426216,6.01485600432981,36.80323723635361,-27.667248799616235,-10.876515794968352,-8.975003100217549,21.29580439701895,-8.227213461735893,-17.61298480043902,2.706531109990872,9.787972549165666
0.15,0.015015015015015015,32.29616817678592,-30.27958647922865,-4.21425875971047,6.014984288202108,36.803938099474614,-27.667937538840746,-10.876842854047569,-8.97508852668289,21.296253424649777,-8.227355241729619,-17.61325492779975,2.706766057061725,9.788044853236308
0.16,0.016016016016016016,32.296717535085634,-30.279977531543274,-4.214491290706463,6.0151134632316605,36.80463676731105,-27.668636063415672,-10.877177521193381,-8.975167152347307,21.296704195050964,-8.227495129345694,-17.613519111173893,2.7070139505028044,9.788108459914332
0.17,0.017017017017017015,32.29726063485722,-30.28035429589256,-4.214733790673494,6.015243548580207,36.80533326597682,-27.669344406964484,-10.877519786360217,-8.975238978614806,21.297156691366343,-8.227633116301385,-17.613777341769605,2.7072747734285767,9.788163373738152
0.18,0.018018018018018018,32.29779749773907,-30.280716783392638,-4.214986278668471,6.0153745636364375,36.80602762125255,-27.67006260344174,-10.87786963884958,-8.975304006996438,21.2976108963966,-8.227769194296153,-17.614029610412796,2.7075485090001465,9.78820959940378
0.19,0.01901901901901902,32.29832814555968,-30.281065005921562,-4.215248773547413,6.015506528018274,36.80671985859005,-27.670790687135412,-10.878227067312089,-8.97536223911003,21.298066792600824,-8.22790335501065,-17.614275907546237,2.70783514042051,9.788247141764822
0.2,0.02002002002002002,32.2988526003393,-30.2813989761208,-4.215521293966867,6.015639461575156,36.807410003116736,-27.671528692669217,-10.878592059749566,-8.975413676679917,21.298524362098117,-8.228035590105728,-17.61451622322865,2.7081346509297193,9.788276005832488
0.21,0.02102102102102102,32.29937088429163,-30.28171870739669,-4.215803858385262,6.0157733843903465,36.808098079639976,-27.672276655004907,-10.87896460351717,-8.975458321536665,21.298983586669223,-8.228165891221442,-17.614750547133813,2.7084470237999527,9.788296196775587
