t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
0.0,0.0,13.898942729405881,24.467378474391445,-38.397831615918705,-15.742621450993811,15.004831318306543,-20.37740987355571,-7.764022289684358,-16.163701500195884,-35.135478650034344,-26.671201787271446,9.209339232825371,15.746601073500502,-18.641757052836866,-10.762958854717322,18.335539188159537,-22.33017977918305,29.472546978056055,-10.600905335804784,-33.770842571209094,30.1132659619998,-17.027616328301324,20.142301376523797,-30.176038557085377,4.465262100295146,34.7616063538234,-11.958852373536459,-27.02690777459253,33.047881434828874,6.300589287682057,20.965374555276863,34.07162152735477,18.387168025613484,-29.955033522496745,-11.016836233176345,27.65317150996685,-17.720272253146987,-14.3187362917105,-6.04129788258896,-15.961166931061245,17.59452926429017,-10.29771807846509,10.847068124364245,-0.09590143671123542,30.83888080027565,-16.549305910551112,32.48181879906726,30.411673433272494,-9.877495579767904
0.01,0.001001001001001001,13.89921904496825,24.46786733467126,-38.398602079344876,-15.74293907600352,15.005129086975682,-20.377820419942513,-7.764179582934543,-16.164027381369934,-35.136182316807584,-26.67173760749297,9.20952232474001,15.746913515006614,-18.64213191983413,-10.763174870334554,18.335903191230923,-22.330627858567922,29.47313399951378,-10.601120064697602,-33.771520867681964,30.113866020763485,-17.027958569813713,20.142704052328813,-30.17664441722009,4.465349533594856,34.76230100919307,-11.95909179774677,-27.02744897854944,33.04854089941519,6.3007150173701945,20.965792922150502,34.07230285816083,18.387533616071295,-29.95563429183328,-11.017058714891242,27.65372231325794,-17.72062839263577,-14.319023213016658,-6.041420712171248,-15.961488158252127,17.594880709507017,-10.29792515018982,10.847283452043762,-0.09590405144461876,30.839495355292605,-16.549638259616184,32.48246806344277,30.412281641280423,-9.877695573903184
0.02,0.002002002002002002,13.899515852311156,24.468350305640456,-38.39938875114784,-15.74325844856638,15.005404044832032,-20.378236477586658,-7.76434722443175,-16.16434600100762,-35.136889289149416,-26.672271147943746,9.209718694604875,15.747252775343407,-18.642502218263274,-10.763406814516467,18.336268089639088,-22.331088972909164,29.47372115204476,-10.601313231035604,-33.7721946755333,30.114464021771784,-17.028270259599346,20.14311831230583,-30.177278953315618,4.465439233670728,34.762963458198115,-11.959326177951494,-27.028012059831152,33.04920992076299,6.300847883568555,20.96617897912744,34.07296849644535,18.387893271069313,-29.956232860885756,-11.017265667422604,27.65430218794043,-17.720950303044265,-14.319337560941609,-6.04152786338458,-15.961763466456933,17.595225469489076,-10.298139889005437,10.847480776402453,-0.09590238976644477,30.840091885219497,-16.549971844192445,32.48311555297068,30.41288861852803,-9.877894799314143
0.03,0.003003003003003003,13.899833138106164,24.46882742520363,-38.400191661268636,-15.743579575379924,15.005656159653768,-20.37865803450664,-7.764525226686261,-16.164657340129185,-35.13759958795219,-26.672802397424526,9.209928303484768,15.747618872405607,-18.642867946485058,-10.763654677408798,18.33663386204327,-22.331563137169105,29.474308392325295,-10.601484799463393,-33.77286394636118,30.1150599524259,-17.02855137355026,20.14354416117761,-30.177942169221428,4.465531182901289,34.76359372041329,-11.959555511364726,-27.02859703299676,33.04988843978743,6.3009878968380555,20.966532711804476,34.07361844928384,18.388247000205805,-29.956829219059113,-11.017457072174416,27.654911113122687,-17.72123800151315,-14.319679337674929,-6.041619380412116,-15.961992828969379,17.595563553601107,-10.298362316736098,10.847660123154595,-0.09589648311592358,30.84067041677733,-16.550306651742595,32.48376126643206,30.413494418935915,-9.878093216635108
0.04,0.004004004004004004,13.900170886193827,24.46929873145214,-38.401010842097314,-15.743902462346721,15.005885399824285,-20.379085078449034,-7.764713604433985,-16.164961378612436,-35.13831323429698,-26.67333134752468,9.210151112531445,15.748011822752947,-18.643229102212903,-10.763918448977124,18.337000486694304,-22.33205036644813,29.474895676188563,-10.601634736198879,-33.77352863191248,30.11565379990913,-17.028801887030454,20.14398160397251,-30.17863406727561,4.465625362148687,34.76419181311534,-11.959779794056892,-27.029203913608068,33.050576398837485,6.301135068347684,20.96685410962554,34.07425272426685,18.38859481324369,-29.95742335547271,-11.017632909533384,27.65554906912734,-17.721491505950222,-14.32004854570998,-6.041695306053949,-15.96217621935515,17.59589497116128,-10.298592453517768,10.847821513517925,-0.09588636117414884,30.841230976422306,-16.55064266846414,32.48440520369969,30.414099096874104,-9.878290784510936
0.05,0.005005005005005005,13.900529077584586,24.46976426266678,-38.401846328478086,-15.744227114570117,15.006091734325395,-20.37951759688012,-7.764912374638261,-16.165258095190513,-35.13903024945846,-26.673857992627294,9.210387082985992,15.748431641600524,-18.643585682514935,-10.764198119004659,18.3373679414397,-22.33255067598157,29.47548295862671,-10.601763009041383,-33.77418868408639,30.116245551188403,-17.029021774874153,20.14443064602131,-30.179354648300702,4.465721750756937,34.76475775127231,-11.95999902095299,-27.02983271822093,33.05127374170342,6.3012894098706775,20.9671431658751,34.07487132949694,18.388936720113946,-29.95801525896416,-11.017793158868251,27.656216037483127,-17.72171083501919,-14.320445187838892,-6.041755681728715,-15.962313611455148,17.59621973144071,-10.298830317794108,10.847964964213025,-0.09587205186143812,30.84177359034692,-16.550979879284007,32.485047365736214,30.414702707166292,-9.878487459597547
0.06,0.006006006006006006,13.90090769046012,24.47022405732015,-38.40269815771505,-15.744553536349883,15.006275132731208,-20.379955576977167,-7.765121556492334,-16.165547467449517,-35.13975065490963,-26.67438232991453,9.210636176181078,15.748878342808249,-18.64393768381609,-10.764493677089668,18.337736203728795,-22.3330640811364,29.476070193792758,-10.601869587379456,-33.77484405493804,30.116835193015763,-17.029211011383804,20.14489129295421,-30.18010391159873,4.465820326550509,34.76529154753346,-11.960213185830641,-27.030483464376513,33.05198041362402,6.301450933780536,20.967399877672314,34.075474273586025,18.38927273091899,-29.95860491809308,-11.017937798528804,27.65691200091603,-17.721896008129633,-14.320869267146083,-6.041800547475454,-15.962404979390959,17.596537843662517,-10.2990759263124,10.848090487462402,-0.09585358133468759,30.842298284481085,-16.55131826785307,32.48568775459238,30.41530530509405,-9.878683196562017
0.07,0.007007007007007007,13.901306700175148,24.47067815407875,-38.403566369578414,-15.744881731177747,15.006435565202715,-20.380399005619374,-7.765341171422535,-16.165829471825944,-35.140474472326474,-26.674904359373258,9.210898353543104,15.749351938869383,-18.644285101900255,-10.76480511264248,18.338105250617936,-22.33359059740773,29.47665733500235,-10.601954442198462,-33.77549469668233,30.11742271192982,-17.029369570327727,20.145363550698008,-30.180881854945486,4.465921065833267,34.76579321221971,-11.960422281317937,-27.031156170592432,33.0526963612937,6.301619653046879,20.967624245965986,34.076061565652886,18.389602855936,-29.959192321144705,-11.018066805844601,27.65763694333969,-17.72204704542815,-14.321320787000337,-6.041829941955726,-15.962450297572534,17.596849317000444,-10.299329294119518,10.848198090989241,-0.09583097398473826,30.842805084493314,-16.55165781654057,32.486326373405326,30.41590694640102,-9.878877948082224
0.08,0.008008008008008008,13.9017260792597,24.471126591804744,-38.40445100631132,-15.74521170173283,15.006573002483067,-20.380847869378467,-7.765571243092142,-16.166104083603962,-35.14120172359243,-26.67542408380095,9.21117357659425,15.74985244089817,-18.644627931912435,-10.765132414882107,18.338475058775746,-22.334130240415085,29.477244334735325,-10.602017546087893,-33.77614056169787,30.118008094257167,-17.02949742493749,20.145847425473466,-30.18168847458401,4.466023943387742,34.76626275331482,-11.960626298891102,-27.0318508563538,33.0534215328693,6.3017955812311595,20.967816275530275,34.07663321532099,18.38992710562022,-29.959777456133406,-11.0181801571234,27.658390849845084,-17.722163967790703,-14.321799751045441,-6.041843902455968,-15.962449540708086,17.597154160576967,-10.29959043455795,10.848287778015846,-0.09580425243375103,30.843294015791987,-16.551998506428433,32.48696322639703,30.416507687297045,-9.879071664846066
0.09,0.009009009009009009,13.902165797421834,24.4715694095574,-38.405352112637196,-15.745543449876967,15.006687415893564,-20.381302154508955,-7.7658117974059335,-16.166371276912532,-35.14193243080281,-26.67594150881186,9.211461806954397,15.75037985861656,-18.64496616836097,-10.765475572832472,18.338845604488423,-22.33468302589847,29.477831144637108,-10.602058873248435,-33.77678160253116,30.11859132611377,-17.029594547904946,20.146342923792837,-30.18252376521734,4.466128932474768,34.76670017645696,-11.96082522887195,-27.032567542104132,33.0541558779768,6.301978732482205,20.967975974961202,34.07718923271654,18.39024549060821,-29.96036031080607,-11.018277827649289,27.659173706689497,-17.72224679681614,-14.322306163189365,-6.041842464890095,-15.962402683816212,17.597452383460965,-10.299859359261857,10.848359547261758,-0.09577343753258775,30.843765103526643,-16.552340317305507,32.487598318872784,30.417107584462297,-9.87926429555025
