t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
0.0,0.0,2.1355341598235222,13.68016650129278,4.649665431749901,3.213082575412817,-0.10645409515863154,34.078215433045955,-19.595146049875396,19.673769619933097,20.960091479331886,38.342009893485375,-31.112453547838015,16.624573492813475,15.76949793501089,2.0222337270161828,-30.09198506452402,-31.178819570701396,-20.92950903875535,28.14046785400098,-21.467845345830586,-23.392011728407308,-6.522116557660062,3.832758613992028,20.524003154093364,28.72118481335816,-13.270569692937677,37.23532872983765,-32.52661896830074,-4.805306753818451,-18.52154492429097,-7.323342104160543,0.6664858291151442,4.92706222417146,-1.7774023493256996,-17.483418924505056,-17.19719468709824,-15.961514610052866,23.03212934740556,-1.6285644690772665
0.01,0.001001001001001001,2.135575293821187,13.68043854710507,4.649758004620671,3.2131463906091833,-0.10645691086286443,34.07889568257239,-19.5955387322292,19.674162831244313,20.960509595745485,38.3427762097399,-31.11307855698374,16.624902996741717,15.769813203237977,2.0222719753800784,-30.09258870360334,-31.179445968265377,-20.929929724061036,28.141028942274907,-21.468276909478337,-23.39248078279571,-6.522249181634663,3.8328326777573163,20.524412171215786,28.72175628230985,-13.270837629354492,37.23607034709806,-32.527270033608126,-4.8054044969894285,-18.521918325620028,-7.323490611594173,0.6664964544484805,4.927157715413244,-1.7774384802690868,-17.483769356653966,-17.197541374861654,-15.961836687499103,23.032587607791957,-1.6285981301912775
0.02,0.002002002002002002,2.1356499433166687,13.680699605174855,4.649876015830565,3.2132004732121238,-0.10648972491507544,34.07955487012218,-19.595936826686405,19.67456666275076,20.960913181962198,38.34355909059929,-31.113669957800468,16.625221685676472,15.770137978023332,2.0223263903226663,-30.09318613089757,-31.18004653500139,-20.93035858215862,28.14155664957833,-21.4687298040153,-23.39299957520069,-6.522379576321552,3.832916000091712,20.52478856288121,28.722317790456316,-13.271083377766,37.23680813837414,-32.52792650285335,-4.805510187008473,-18.522315546205885,-7.323622059110622,0.6665478539439752,4.927241490222617,-1.7774792002069366,-17.484104989989174,-17.19787832487271,-15.962125811632456,23.03305426995388,-1.6286516072786366
0.03,0.003003003003003003,2.1357581107463246,13.680949670219213,4.650019463320663,3.213244834054368,-0.10655256046807163,34.08019306253566,-19.596340338889732,19.67498113171842,20.96130225027628,38.344358442467666,-31.11422772837711,16.625529552274465,15.770472281063293,2.0223969733946485,-30.093777272968815,-31.1806212646071,-20.93079563289533,28.14205097700729,-21.469204052992236,-23.393568119294564,-6.52250774337911,3.8330085759505894,20.52513230592946,28.722869339872695,-13.271306939811055,37.23754207647912,-32.52858838292565,-4.805623813036674,-18.522736572627927,-7.323736461531813,0.6666399969249157,4.927313545664597,-1.777524499363123,-17.484425787422115,-17.19820554860628,-15.962381967976976,23.03352934209831,-1.6287249122523368
0.04,0.004004004004004004,2.1358997970127525,13.681188736952366,4.650188346182132,3.213279482744686,-0.10664543886972344,34.08081032305682,-19.59674927405726,19.675406256122876,20.961676813908674,38.345174173212506,-31.11475184767603,16.625826588924333,15.770816131652307,2.0224837260760213,-30.094362057976905,-31.18117014891288,-20.931240896734426,28.142511925850688,-21.46969968210534,-23.394186429279827,-6.522633683884525,3.833110397902984,20.52544337994574,28.723410932523297,-13.27150831778928,37.238272134607165,-32.52925568048419,-4.805745361837837,-18.52318139122626,-7.323833834620418,0.6667728551745418,4.92737387886238,-1.7775743676467928,-17.484731713975478,-17.198523055393665,-15.962605140922093,23.034012833479206,-1.6288180582265794
0.05,0.005005005005005005,2.1360750014840364,13.681416800081161,4.650382664652065,3.2133044276658644,-0.10676837966072437,34.08140671132643,-19.59716363697853,19.675842054647017,20.962036887002263,38.34600619217311,-31.115242295532564,16.626112787743722,15.771169546681389,2.0225866497816885,-30.094940415693486,-31.18169317786969,-20.931694394750345,28.142939497587122,-21.470216719189647,-23.394854519866552,-6.522757398340683,3.833221456131197,20.52572176725215,28.72394257026119,-13.271687514665485,37.23899828632982,-32.5299284019665,-4.805874817777037,-18.523649988095702,-7.323914195080876,0.6669464029388488,4.92742248699823,-1.7776287946553435,-17.48502273677948,-17.198830852419903,-15.962795313718884,23.03450475439638,-1.6289310595202873
0.06,0.006006006006006006,2.136283721991709,13.681633854301111,4.650602420108982,3.213319675972857,-0.10692140057162768,34.08198228337587,-19.597583432010833,19.676288546678816,20.962382484617155,38.34685441016818,-31.115699052655525,16.626388140576413,15.77153254063639,2.0227057458666846,-30.09551227751553,-31.18219033953743,-20.932156148623584,28.143333693882596,-21.4707551942125,-23.395572406246238,-6.5228788866832526,3.8333417384304145,20.525967452900378,28.72446425482784,-13.271844534074877,37.23972050559262,-32.53060655359707,-4.806012162818887,-18.52414234907911,-7.323977560560223,0.6671606169277654,4.927459367314063,-1.777687769677365,-17.48529882506826,-17.19912894472104,-15.962952468477756,23.03500511619417,-1.629063931660961
0.07,0.007007007007007007,2.13652595482743,13.681839894292974,4.650847615067989,3.2133252335911187,-0.10710451751916111,34.08253709162151,-19.59800866307568,19.676745752309266,20.96271362272599,38.34771873950265,-31.116122100628715,16.62665263898947,15.771905125596067,2.022841015631013,-30.09607757647835,-31.18266162007385,-20.932626180635367,28.143694516589086,-21.471315139267027,-23.396340104062123,-6.522998148287957,3.8334712302083354,20.526180424665544,28.724975987852822,-13.271979380329078,37.24043876671174,-32.531290141396084,-4.8061573765254915,-18.524658459760026,-7.32402394964872,0.6674154763147162,4.927484517111741,-1.7777512816955499,-17.485559950176352,-17.199417335181465,-15.963076586167597,23.03551393125996,-1.6292166913888735
0.08,0.008008008008008008,2.1368016947383786,13.682034914719889,4.651118253175587,3.2133211052151136,-0.10731774460182156,34.08307118485972,-19.59843933365547,19.677213692330408,20.96303031820926,38.34859909397364,-31.11651142191341,16.62690627427041,15.772287311229956,2.02299246032409,-30.09663624726802,-31.183107003723944,-20.933104513662066,28.144021967743964,-21.47189658856568,-23.39715762937596,-6.523115181978025,3.8336099144848097,20.5263606730412,28.725477770853598,-13.27209205842297,37.24115304437065,-32.53197917118833,-4.806310436054115,-18.52519830545468,-7.324053381880291,0.6677109627345784,4.927497933753047,-1.7778193193895733,-17.48580608553529,-17.199696024531256,-15.963167646616348,23.03603121302252,-1.6293893566616062
0.09,0.009009009009009009,2.1371109349213606,13.68221891022506,4.651414339204125,3.2133072943070116,-0.1075610940947517,34.08358460826248,-19.598875446790306,19.677692388233474,20.963332588850655,38.34949538887555,-31.116866999851837,16.627149037424424,15.772679104796035,2.023160081148802,-30.097188226233296,-31.18352647280988,-20.93359117116938,28.144316049570296,-21.4724995784338,-23.39802499863124,-6.523229986031835,3.8337577718914915,20.52650819123551,28.725969605235328,-13.272182574042324,37.24186331361693,-32.53267364861218,-4.806471316154553,-18.525761871203304,-7.324065877732769,0.6680470602800412,4.9274996146593715,-1.7778918711389449,-17.48603720667029,-17.199965011343544,-15.96322562851304,23.036556975950212,-1.6295819466589287
