t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
0.0,0.0,39.50115031942771,11.267640457015577,-16.565378081986672,-0.2932473194814416,-34.25956210080939,14.643375532619855,-37.66492909587842,28.87417140609446,-22.683715888554573,35.288251491186074,10.693133195992885,13.016086842805574,-14.724263645421443,-30.60544736122601,-10.733502179805622,19.58098450734256,-30.809998532217563,-6.441286882502413,-34.10420272526114,27.3303324390086,-9.657020366777836,20.654142780283205,1.855178924012257,16.274144274030267,15.445282475545445,28.171022601717475,33.55644627421684,32.27246354874675,-19.52852476739932,0.8355213507086293,13.518407525155776,12.678821133846101,-30.68688304554222,-0.3823880740916426,-32.04233735771757,-29.9445326423334,-11.489175106420065
0.01,0.001001001001001001,39.501937768676015,11.26786531074867,-16.565710362974983,-0.2932544719848948,-34.26024931950167,14.643665922928692,-37.66568363180941,28.87474762084477,-22.684171627763252,35.28895685943777,10.69334525057693,13.016345936547312,-14.724558665832108,-30.606060798394434,-10.733719810451626,19.581375188930572,-30.810615884213455,-6.441416936400066,-34.10488648494734,27.33087596843161,-9.657213915508695,20.654553227761852,1.8552159012335918,16.274466819519006,15.445589614185666,28.171585944190554,33.55711604015005,32.27310846151941,-19.528917346244565,0.835535724217131,13.51867746136217,12.679074017475983,-30.68749985827261,-0.38239682184605894,-32.04298117941983,-29.945132651974333,-11.489407364869116
0.02,0.002002002002002002,39.50273215260862,11.268091440775615,-16.56606484657814,-0.29327176197103716,-34.26095273236592,14.643937514456793,-37.666418415601164,28.875318766223412,-22.684624185599883,35.28966463633221,10.693561009207642,13.016610897862954,-14.72483843381515,-30.60664634622659,-10.733932432990946,19.581775227616877,-30.811203439939348,-6.44153066430464,-34.10557109008579,27.331394610916337,-9.657453013301689,20.654937724374914,1.855255066240082,16.274776464727456,15.445869893760456,28.172126138487585,33.55776324705493,32.27374403571087,-19.529293462110775,0.8355677337878916,13.518970599560612,12.679361811935692,-30.688109250691216,-0.38241375213734785,-32.04361000343665,-29.94571261055412,-11.489650623601243
0.03,0.003003003003003003,39.50353342920804,11.268318824194544,-16.566441497979696,-0.29329920817632826,-34.261672325657365,14.644190301922238,-37.667133479384844,28.875884888525075,-22.68507355946587,35.29037485759806,10.693780482410519,13.016881728175562,-14.725102968448649,-30.607204031537428,-10.734140011518372,19.582184626004562,-30.81176120935551,-6.4416280789894245,-34.1062565466887,27.331888392462425,-9.657737625234455,20.65529624249308,1.8552964589604932,16.27507323447811,15.446123314128968,28.17264319469625,33.5583878915556,32.27437026427764,-19.529653114705308,0.8356173622073615,13.519286922595226,12.67968453339993,-30.688711240395705,-0.38243888654977115,-32.044223842894304,-29.94627250364702,-11.489904912335621
0.04,0.004004004004004004,39.50434155407758,11.268547439042209,-16.566840283130702,-0.29333682796969474,-34.26240808693902,14.644424279808945,-37.667828852392645,28.87644603333602,-22.685519747905804,35.29108755582377,10.694003681819805,13.017158428657757,-14.725352291020814,-30.607733880711116,-10.734342511611285,19.58260338677823,-30.812289201161416,-6.441709191880685,-34.106942862013135,27.332357335396352,-9.658067719588482,20.655628757278773,1.8553401175281539,16.275357152356353,15.44634987560042,28.173137121415394,33.55898996914682,32.27498714143554,-19.529996302923912,0.8356845926904843,13.519626413295004,12.680042203127538,-30.68930584320743,-0.38247224484579584,-32.04482270845031,-29.946812317572647,-11.490170258960944
0.05,0.005005005005005005,39.50515648043886,11.268777264295839,-16.56726116874429,-0.29338463735253967,-34.263160005080024,14.644639442362035,-37.66850456095887,28.877002245539188,-22.685962750610383,35.29180276046914,10.694230620184014,13.017441000231173,-14.725586425027226,-30.608235919689136,-10.734539900337507,19.583031512701343,-30.812787422780147,-6.441774013054204,-34.10763004456055,27.33280145835658,-9.658443267840687,20.655935246681015,1.8553860782740281,16.275628240709157,15.446549578934942,28.1736079257512,33.559569474181515,32.27559466265119,-19.53032302484651,0.8357694088803022,13.519989054473232,12.680434847462543,-30.689893073168573,-0.38251384497171204,-32.04540660828822,-29.947332039396596,-11.490446689540805
0.06,0.006006006006006006,39.50597815912911,11.269008279875012,-16.567704122290394,-0.2934426509585678,-34.2639280702544,14.644835783583908,-37.66916062852077,28.87755356931886,-22.68640256841925,35.29252049787679,10.694461311371724,13.0177294435659,-14.72580539616861,-30.608710173958865,-10.734732146262992,19.583469006613576,-30.81325588034403,-6.4418225512320975,-34.10831810407645,27.333220776279255,-9.658864244654042,20.656215691430663,1.855434375720012,16.27588652064331,15.446722425344944,28.174055613313694,33.56012639985856,32.27619282463347,-19.530633277732637,0.8358717948474286,13.5203748289264,12.680862497835003,-30.69047294253965,-0.38256370306294946,-32.04597554811253,-29.94783165693123,-11.49073422831884
0.07,0.007007007007007007,39.50680653859804,11.269240466643534,-16.568169111990525,-0.29351088205342607,-34.26471227394017,14.645013297231023,-37.669797075619044,28.87810004816491,-22.68683920332375,35.2932407912837,10.694695770377615,13.018023759079858,-14.72600923234913,-30.60915666854263,-10.734919219459318,19.58391587142834,-30.813694578681577,-6.441854813779921,-34.10900705155011,27.33361530038444,-9.659330627867247,20.656470075036047,1.8554850425724523,16.27613201202315,15.446868416497006,28.17448018821362,33.56066073821097,32.276781625324844,-19.530927058016573,0.8359917350893913,13.520783719432577,12.681325190761637,-30.691045461797376,-0.3826218334490925,-32.04652953114369,-29.948311158736683,-11.491032897723606
0.08,0.008008008008008008,39.50764156490462,11.26947380641135,-16.56865610681269,-0.2935893425341578,-34.26551260891891,14.645171976811403,-37.67041391989811,28.878641724876648,-22.68727265846957,35.29396366083276,10.69493401332878,13.018323946938159,-14.726197963675185,-30.60957542798725,-10.73510109151102,19.584372110130296,-30.814103521305668,-6.441870806704045,-34.10969689921439,27.333985038162915,-9.659842398483459,20.656698383778988,1.8555381097158856,16.27636473346781,15.446987554514271,28.174881653059643,33.56117248009439,32.277361063892535,-19.531204361302144,0.8361292145298429,13.521215708749283,12.681822967846232,-30.691610639632916,-0.3826882486585957,-32.047068558113146,-29.948770534122026,-11.491342718373229
0.09,0.009009009009009009,39.508483181713416,11.269708281936461,-16.569165076466405,-0.2936780429284703,-34.26632906927571,14.645311815582849,-37.671011176106106,28.87917864156622,-22.68770293815933,35.29468912358427,10.695176057491297,13.018630007052398,-14.726371622454758,-30.609966476354007,-10.735277735522732,19.584837725773028,-30.814482710403006,-6.441870534649307,-34.110387660545676,27.334329993363472,-9.660399540658087,20.65690060671121,1.855593606207001,16.27658470234798,15.44707984197936,28.17526000895588,33.561661615175915,32.277931140719616,-19.531465182357206,0.8362842185176398,13.521670779610824,12.682355875779828,-30.6921684829505,-0.38276295942319954,-32.04759262725847,-29.94920977314663,-11.491663709079775
