t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.0,0.0,7.505709218116896,19.66749578184038,20.58953182290073,-17.87494602644843,6.244124842602536,-11.770112987059067,-1.9888209526579566,4.879465246530745,1.7415594536815613,-28.38760971197163
0.01,0.001001001001001001,7.5058585812214105,19.66788654222215,20.589943588429207,-17.875303816735705,6.244248914242252,-11.770351319663224,-1.9888607944064474,4.879560471243615,1.7415933868558506,-28.388178865873346
0.02,0.002002002002002002,7.506015919227699,19.66827737804855,20.590347256649565,-17.875650279504022,6.2443631877352725,-11.770573426442843,-1.9889013659144654,4.87966792639233,1.7416247512200231,-28.388774659876347
0.03,0.003003003003003003,7.5061812298069785,19.668668304525173,20.59074281276684,-17.875985402661115,6.244467663053661,-11.770779297087017,-1.988942669861821,4.879787606095362,1.741653552455706,-28.389397111558
0.04,0.004004004004004004,7.506354511214312,19.66905933709255,20.591130242590154,-17.87630917368711,6.244562340304827,-11.770968922054047,-1.9889847088192925,4.879919504231018,1.7416797963638468,-28.390046239700492
0.05,0.005005005005005005,7.506535762286099,19.66945049142453,20.591509532532644,-17.876621579635604,6.244647219731514,-11.771142292570225,-1.9890274852491867,4.880063614437506,1.7417034888638563,-28.390722064285367
0.06,0.006006006006006006,7.506724982437419,19.669841783426648,20.59188066961142,-17.876922607134926,6.244722301711853,-11.771299400628681,-1.9890710015059536,4.880219930112918,1.7417246359927923,-28.391424606487725
0.07,0.007007007007007007,7.506922171659234,19.670233229234448,20.592243641447503,-17.877212242389504,6.244787586759487,-11.771440238988266,-1.9891152598368493,4.880388444415147,1.741743243904585,-28.392153888670016
0.08,0.008008008008008008,7.507127330515441,19.670624845211798,20.592598436265767,-17.87749047118142,6.244843075523759,-11.771564801172477,-1.9891602623826514,4.880569150261735,1.741759318869306,-28.39290993437549
0.09,0.009009009009009009,7.50734046013978,19.671016647949173,20.592945042894915,-17.877757278872107,6.244888768789974,-11.771673081468448,-1.9892060111784247,4.880762040329643,1.7417728672724764,-28.393692768321213
0.1,0.01001001001001001,7.507561562232584,19.67140865426191,20.593283450767423,-17.87801265040418,6.244924667479718,-11.771765074925963,-1.9892525081543375,4.880967107054954,1.7417838956144196,-28.39450241639076
0.11,0.011011011011011011,7.5077906390573945,19.671800881188435,20.593613649919522,-17.878256570303467,6.244950772651251,-11.771840777356541,-1.989299755136528,4.881184342632512,1.741792410509655,-28.39533890562646
0.12,0.012012012012012012,7.508027693437406,19.672193345988443,20.59393563099117,-17.878489022681162,6.2449670854999635,-11.771900185332564,-1.989347753848021,4.881413739015475,1.7417984186863342,-28.39620226422127
0.13,0.013013013013013013,7.508272728751771,19.672586066141065,20.594249385226036,-17.87870999123615,6.2449736073589035,-11.771943296186443,-1.9893965059096952,4.881655287914814,1.741801926985721,-28.39709252151025
0.14,0.014014014014014014,7.508525748931738,19.672979059342982,20.5945549044715,-17.878919459257496,6.244970339699361,-11.771970108009851,-1.9894460128412983,4.881908980798735,1.7418029423617118,-28.39800970796161
0.15,0.015015015015015015,7.508786758456643,19.673372343506504,20.594852181178645,-17.8791174096271,6.24495728413153,-11.771980619652998,-1.9894962760625143,4.882174808892031,1.741801471880401,-28.398953855167367
0.16,0.016016016016016016,7.509055762349733,19.67376593675761,20.59514120840227,-17.879303824822514,6.244934442405226,-11.771974830723963,-1.9895472968940784,4.882452763175368,1.741797522719687,-28.399924995833565
0.17,0.017017017017017015,7.509332766173828,19.674159857433956,20.59542197980091,-17.879478686919935,6.2449018164106755,-11.771952741588064,-1.9895990765589409,4.882742834384503,1.7417911021689225,-28.40092316377008
0.18,0.018018018018018018,7.509617776026828,19.674554124082796,20.595694489636863,-17.87964197759736,6.24485940817937,-11.7719143533673,-1.9896516161834812,4.88304501300943,1.741782217628607,-28.401948393879984
0.19,0.01901901901901902,7.509910798537044,19.674948755458914,20.59595873277623,-17.879793678137915,6.244807219884983,-11.771859667939827,-1.9897049167987697,4.8833592892934625,1.7417708766101216,-28.40300072214847
0.2,0.02002002002002002,7.510211840858365,19.675343770522453,20.596214704688954,-17.879933769433382,6.244745253844353,-11.771788687939491,-1.9897589793418788,4.883685653232247,1.741757086735507,-28.40408018563135
0.21,0.02102102102102102,7.510520910665259,19.675739188436722,20.596462401448886,-17.88006223198787,6.24467351251853,-11.771701416755423,-1.9898138046572416,4.884024094572711,1.7417408557372838,-28.40518682244308
0.22,0.022022022022022022,7.510838016147596,19.676135028565938,20.596701819733845,-17.880179045921704,6.244591998513894,-11.771597858531667,-1.9898693934980585,4.884374602811941,1.7417221914583156,-28.406320671744325
0.23,0.023023023023023025,7.511163166005295,19.676531310472903,20.5969329568257,-17.880284190975463,6.244500714583318,-11.771478018166874,-1.989925746527753,4.884737167196003,1.7417011018517148,-28.40748177372907
0.24,0.024024024024024024,7.5114963694428,19.676928053916633,20.597155810610452,-17.88037764651424,6.244399663627423,-11.771341901314045,-1.989982864321473,4.885111776718686,1.7416775949807901,-28.408670169611256
0.25,0.025025025025025023,7.5118376361633725,19.677325278849906,20.597370379578326,-17.880459391532067,6.244288848695868,-11.771189514380318,-1.9900407473676414,4.885498420120191,1.7416516790190366,-28.409885901610906
0.26,0.026026026026026026,7.512186976363198,19.677723005416762,20.597576662823887,-17.880529404656556,6.244168272988726,-11.771020864526813,-1.990099396069553,4.885897085885752,1.7416233622501684,-28.411129012939803
0.27,0.02702702702702703,7.512544400725312,19.678121253949918,20.59777466004614,-17.880587664153712,6.244037939857905,-11.770835959668528,-1.9901588107470178,4.88630776224419,1.7415926530681924,-28.41239954778663
0.28,0.028028028028028028,7.512909920413335,19.678520044968113,20.597964371548674,-17.880634147932973,6.243897852808645,-11.770634808474277,-1.9902189916380517,4.886730437166411,1.7415595599775242,-28.41369755130163
0.29,0.029029029029029027,7.513283547065021,19.678919399173388,20.598145798239777,-17.880668833552434,6.243748015501067,-11.77041742036669,-1.9902799389006134,4.887165098363833,1.7415240915931458,-28.415023069580727
0.3,0.03003003003003003,7.513665292785603,19.679319337448273,20.598318941632595,-17.880691698224297,6.243588431751791,-11.770183805522244,-1.9903416526143864,4.887611733286761,1.7414862566408043,-28.41637614964913
0.31,0.031031031031031032,7.514055170140954,19.679719880852897,20.59848380384527,-17.880702718820505,6.243419105535607,-11.769933974871368,-1.9904041327826087,4.888070329122689,1.7414460639572515,-28.41775683944441
0.32,0.03203203203203203,7.514453192150533,19.68012105062202,20.598640387601105,-17.880701871878628,6.243240040987216,-11.769667940098566,-1.990467379333946,4.888540872794555,1.7414035224905255,-28.419165187799038
0.33,0.03303303303303303,7.5148593722801476,19.68052286816196,20.59878869622874,-17.880689133607937,6.243051242403023,-11.769385713642615,-1.990531392124411,4.8890233509589205,1.7413586413002715,-28.420601244422325
0.34,0.03403403403403403,7.51527372443449,19.680925355047453,20.59892873366232,-17.880664479895714,6.2428527142429955,-11.769087308696784,-1.9905961709393278,4.889517750004105,1.7413114295581036,-28.422065059881863
0.35000000000000003,0.035035035035035036,7.515696262949479,19.681328533018377,20.599060504441677,-17.880627886313786,6.242644461132576,-11.768772739209123,-1.9906617154953405,4.890024056048252,1.7412618965480064,-28.423556685584344
0.36,0.036036036036036036,7.516127002584383,19.681732423976428,20.59918401371253,-17.88057932812529,6.242426487864662,-11.76844201988277,-1.9907280254424662,4.890542254937343,1.7412100516667768,-28.42507617375582
0.37,0.037037037037037035,7.51656595851373,19.68213704998165,20.599299267226673,-17.88051878029168,6.242198799401631,-11.768095166176328,-1.9907951003661917,4.891072332243151,1.7411559044245042,-28.42662357742136
0.38,0.03803803803803804,7.517013146318992,19.68254243324889,20.599406271342183,-17.880446217479964,6.241961400877439,-11.767732194304267,-1.990862939789614,4.891614273261135,1.7410994644450906,-28.428198950384104
0.39,0.03903903903903904,7.51746858198006,19.68294859614412,20.599505033023625,-17.880361614070182,6.24171429759976,-11.76735312123737,-1.9909315431756245,4.89216806300829,1.741040741466809,-28.429802347203708
0.4,0.04004004004004004,7.51793228186648,19.683355561180655,20.59959555984227,-17.88026494416314,6.241457495052198,-11.766957964703225,-1.9910009099291341,4.892733686220928,1.7409797453428995,-28.431433823174157
0.41000000000000003,0.04104104104104104,7.518404262728471,19.683763351015266,20.599677859976314,-17.880156181588397,6.241190998896543,-11.76654674318675,-1.991071039399344,4.893311127352412,1.740916486042204,-28.433093434300947
0.42,0.04204204204204204,7.5188845416877,19.684171988444152,20.59975194221109,-17.880035299912496,6.240914814975087,-11.766119475930758,-1.991141930882055,4.893900370570839,1.740850973649838,-28.434781237277623
0.43,0.043043043043043044,7.519373136227829,19.684581496398792,20.5998178159393,-17.879902272447477,6.240628949312995,-11.765676182936563,-1.9912135836220215,4.894501399756667,1.7407832183678997,-28.436497289461645
0.44,0.044044044044044044,7.519870064184822,19.68499189794168,20.59987549116124,-17.879757072259633,6.240333408120734,-11.76521688496461,-1.991285996815345,4.895114198500288,1.740713230516214,-28.438241648849612
0.45,0.04504504504504504,7.520375343737003,19.685403216261914,20.599924978485017,-17.87959967217855,6.240028197796546,-11.764741603535153,-1.9913591696119082,4.895738750099558,1.7406410205331149,-28.440014374051767
0.46,0.04604604604604605,7.520888993394875,19.685815474670658,20.5999662891268,-17.879430044806423,6.239713324928984,-11.764250360928951,-1.9914331011178519,4.896375037557272,1.7405665989762618,-28.441815524265856
0.47000000000000003,0.04704704704704705,7.521411031990684,19.686228696596455,20.59999943491103,-17.879248162527645,6.239388796299495,-11.763743180188005,-1.9915077903980885,4.897023043578589,1.7404899765234914,-28.44364515925024
0.48,0.04804804804804805,7.521941478667732,19.6866429055804,20.60002442827065,-17.879053997518685,6.2390546188850555,-11.763220085116316,-1.9915832364788573,4.897682750568414,1.7404111639737037,-28.44550333929633
0.49,0.04904904904904905,7.52248035286943,19.68705812527116,20.60004128224733,-17.878847521758257,6.2387107998608595,-11.762681100280684,-1.991659438350318,4.898354140628732,1.7403301722477824,-28.447390125200272
0.5,0.050050050050050046,7.523027674328096,19.687474379419854,20.60005001049169,-17.878628707037773,6.238357346603055,-11.762126251011512,-1.9917363949691824,4.8990371955558905,1.7402470123895488,-28.449305578233897
0.51,0.05105105105105105,7.523583463053482,19.687891691874743,20.600050627263517,-17.878397524972115,6.23799426669153,-11.761555563403656,-1.991814105261385,4.899731896837848,1.7401616955667476,-28.45124976011494
0.52,0.05205205205205205,7.5241477393210365,19.6883100865758,20.600043147431986,-17.878153947010695,6.237621567912747,-11.760969064317276,-1.9918925681247894,4.900438225651366,1.740074233072066,-28.45322273297647
0.53,0.05305305305305305,7.524720523659898,19.688729587549094,20.600027586475854,-17.877897944448826,6.23723925826263,-11.76036678137873,-1.9919717824319334,4.901156162859175,1.739984636324184,-28.455224559335573
0.54,0.05405405405405406,7.52530183684061,19.689150218900984,20.600003960483665,-17.87762948843941,6.2368473459494895,-11.759748742981465,-1.9920517470328087,4.90188568900708,1.7398929168688555,-28.457255302061224
0.55,0.055055055055055056,7.525891699862559,19.68957200481218,20.59997228615395,-17.87734855000496,6.236445839397004,-11.759114978286938,-1.9921324607576778,4.90262678432104,1.7397990863800201,-28.4593150243414
0.56,0.056056056056056056,7.526490133941132,19.68999496953159,20.599932580795397,-17.877055100049915,6.23603474724724,-11.758465517225549,-1.9922139224199247,4.903379428704204,1.7397031566609442,-28.461403789649342
0.5700000000000001,0.057057057057057055,7.527097160494588,19.690419137369993,20.599884862327038,-17.87674910937331,6.235614078363718,-11.75780039049758,-1.9922961308189406,4.904143601733908,1.7396051396453922,-28.463521661709027
0.58,0.058058058058058054,7.52771280113064,19.690844532693536,20.5998291492784,-17.876430548681775,6.235183841834524,-11.757119629574158,-1.9923790847430436,4.904919282658637,1.7395050473988243,-28.465668704459805
0.59,0.05905905905905906,7.52833707763275,19.691271179917024,20.59976546078965,-17.876099388602864,6.234744046975464,-11.756423266698206,-1.9924627829724313,4.905706450394951,1.7394028921196236,-28.46784498202018
0.6,0.06006006006006006,7.52897001194612,19.691699103497015,20.59969381661175,-17.875755599698746,6.234294703333255,-11.755711334885426,-1.9925472242821658,4.906505083524373,1.7392986861403497,-28.470050558650744
0.61,0.06106106106106106,7.529611626163398,19.692128327924724,20.599614237106554,-17.875399152480224,6.2338358206887685,-11.75498386792526,-1.9926324074451902,4.907315160290256,1.739192441929018,-28.47228549871626
0.62,0.062062062062062065,7.530261942510068,19.6925588777187,20.599526743246923,-17.875030017421125,6.2333674090603,-11.754240900381868,-1.9927183312353767,4.908136658594604,1.739084172090405,-28.474549866646843
0.63,0.06306306306306306,7.5309209833295485,19.692990777417318,20.599431356616805,-17.874648164973046,6.232889478706888,-11.753482467595106,-1.9928049944306043,4.9089695559948705,1.7389738893673783,-28.476843726898267
0.64,0.06406406406406406,7.531588771067977,19.693424051571043,20.59932809941131,-17.874253565580457,6.2324020401316655,-11.75270860568149,-1.9928923958158669,4.90981382970073,1.7388616066422506,-28.479167143911376
0.65,0.06506506506506507,7.532265328258684,19.693858724734458,20.599216994436745,-17.873846189696177,6.2319051040852536,-11.751919351535166,-1.9929805341864082,4.910669456570819,1.738747336938157,-28.48152018207058
0.66,0.06606606606606606,7.53295067750636,19.694294821458108,20.59909806511065,-17.873426007797235,6.231398681569185,-11.75111474282887,-1.993069408350887,4.911536413109448,1.7386310934204534,-28.483902905661427
0.67,0.06706706706706707,7.5336448414709,19.69473236628007,20.59897133546179,-17.872992990401084,6.230882783839365,-11.750294818014865,-1.9931590171345674,4.912414675463298,1.738512889398139,-28.486315378827268
0.68,0.06806806806806806,7.534347842850937,19.695171383717334,20.59883683013014,-17.872547108082223,6.23035742240957,-11.749459616325884,-1.993249359382536,4.913304219418086,1.7383927383252975,-28.48875766552494
0.6900000000000001,0.06906906906906907,7.53505970436705,19.695611898256903,20.598694574366824,-17.8720883314892,6.229822609054973,-11.74860917777605,-1.9933404339629444,4.914205020395212,1.7382706538025585,-28.49122982947955
0.7000000000000001,0.07007007007007007,7.535780448744652,19.69605393434669,20.598544594034053,-17.871616631361984,6.229278355815703,-11.74774354316177,-1.9934322397702753,4.915117053448389,1.7381466495785793,-28.49373193413826
