t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
0.0,0.0,32.68554279613017,-32.731450254613755,-10.260640935857499,-1.9004178489801484,-24.378171114639855,-2.698314455885066,1.6105691271282854,-20.73568291639405,-8.066711481712625,-17.400160649208786,39.938407427450095,-20.809495817348385,-11.297480711860828,39.00395649647368,32.031967099138036,36.592723733345615,19.97447200301449,20.26744439335909,17.226908687209278,17.014306516207323,4.360297140519364,-9.696253512066958,11.55472921189433,2.4443854210677936,-16.545785644289445,32.73841010419821,-15.57215399393071,-17.90442047368079,-37.305897318953065,-27.735296340844634,27.572792652893146,-8.287196311337773,38.80761837032611,-28.420866412842074,-27.824159841546038,-31.219666861341434
0.01,0.001001001001001001,32.686195487182076,-32.73210488479586,-10.260846594254163,-1.900458286436679,-24.37865995346065,-2.69836868214686,1.610600268229653,-20.73609988499464,-8.066873608743961,-17.400511375797823,39.9392030715294,-20.809913725410098,-11.29770846258854,39.004735075726764,32.03260652432168,36.59345336216199,19.97486936920522,20.267847015795695,17.227250657182925,17.014646418893346,4.360381521833912,-9.696449424616974,11.554959709339874,2.444432665189461,-16.546119647739964,32.739063378752384,-15.572467984950755,-17.904779109986414,-37.306645744059345,-27.735851583507266,27.573342239433074,-8.287362469019518,38.80839203036456,-28.421437491901116,-27.824717269881926,-31.220294327828356
0.02,0.002002002002002002,32.686846022033855,-32.732806771251155,-10.261061635542358,-1.9005141792337488,-24.37912872647639,-2.6984324179737,1.6106148930513875,-20.736534941164972,-8.067039169374564,-17.400854695819902,39.93997639684554,-20.81034859070949,-11.297909842074764,39.00555659633356,32.03329025083548,36.59418772474441,19.97527573065209,20.268264080776422,17.227594274929874,17.01497235992046,4.36047983322665,-9.696657060740565,11.555190884410962,2.4444885651125956,-16.54645246361325,32.73971444626108,-15.572753436931404,-17.905141134966232,-37.30740419864051,-27.73640801972796,27.573886692717096,-8.287526616899749,38.809171354767706,-28.422034781105083,-27.825286688690756,-31.22090645266151
0.03,0.003003003003003003,32.68749443107467,-32.73355589040981,-10.261286042486299,-1.9005855247422119,-24.379577392982288,-2.6985057100736154,1.6106130276107535,-20.73698809695665,-8.067208208727036,-17.401190584036076,39.94072737507706,-20.81080044719335,-11.298084811457999,39.00642101534413,32.03401828323031,36.594926839317544,19.975691087603774,20.26869564242157,17.227939499750498,17.015284297760164,4.360592057813063,-9.696876424026534,11.555422740892991,2.4445531191078893,-16.5467840685458,32.74036327276521,-15.573010347349463,-17.905506534184223,-37.308172674896696,-27.73696562707535,27.574426011592486,-8.28768878156639,38.80995635054612,-28.422658280921755,-27.825868085644846,-31.22150323561074
0.04,0.004004004004004004,32.68814074560995,-32.7343522160673,-10.2615197968043,-1.900672320291661,-24.380005912076946,-2.698588605045826,1.6105947003832095,-20.73745936366945,-8.06738077530542,-17.401519014731786,39.94145598326073,-20.811269330575282,-11.298233330902747,39.007328285165364,32.034790623760514,36.59567072434441,19.976115442651267,20.269141756568683,17.228286289128146,17.015582188873953,4.360718174986423,-9.697107518728677,11.555655282845649,2.444626326740891,-16.547114439233795,32.74100982614843,-15.573238716247413,-17.905875292428046,-37.30895116479979,-27.73752438386472,27.574960195244905,-8.28784899166582,38.81074702646067,-28.423307991599323,-27.82646144905826,-31.222084676055534
0.05,0.005005005005005005,32.68878499786765,-32.73519571937436,-10.261762879154013,-1.9007745631724022,-24.380414242665047,-2.6986811493817875,1.610559942307471,-20.73794875185133,-8.067556921007615,-17.401839961706496,39.94216220379633,-20.811755278341646,-11.29835535959904,39.00827835355127,32.03560727237216,36.59641939852116,19.976548800733152,20.269602480781675,17.228634598730395,17.01586598770266,4.3608581604099825,-9.69735034976721,11.555888514597962,2.4447081888729887,-16.547443552436143,32.7416540761465,-15.573438546240343,-17.90624739370825,-37.30973966009105,-27.73808426916196,27.575489243198515,-8.288007277911552,38.81154339302319,-28.423983913149996,-27.827066767889054,-31.222650772982693
0.06,0.006006006006006006,32.689427221005346,-32.73608636882606,-10.262015269116871,-1.9008922506377848,-24.380802343460193,-2.6987833894667514,1.6105087867910568,-20.738456271298457,-8.067736701138376,-17.402153398262787,39.94284602445189,-20.812258329757952,-11.298450855762313,39.00927116359263,32.03646822669017,36.59717288077172,19.976991169141137,20.270077874360442,17.228984382410253,17.01613564665518,4.361011986008973,-9.697604922730074,11.556122440742824,2.444798707662066,-16.5477713849773,32.74229599435698,-15.573609842523885,-17.906622821257145,-37.310538152278475,-27.73864526278758,27.576013155316264,-8.288163673093786,38.8123454624974,-28.424686045332393,-27.827684031741313,-31.223201524983764
0.07,0.007007007007007007,32.69006744911821,-32.73702413024999,-10.262276945181753,-1.9010253799068906,-24.38117017298791,-2.698895371581833,1.610441269716308,-20.73898193105529,-8.067920174422866,-17.4024592971949,39.943507438369494,-20.812778525875675,-11.298519776633656,39.01030665370602,32.03737348200421,36.59793119024231,19.977442557525876,20.270567998350984,17.22933559220735,17.016391116096475,4.361179619962399,-9.697871243874092,11.556357066130973,2.4448978865628352,-16.548097913749867,32.74293555424929,-15.57375261288314,-17.9070015575274,-37.31134663263388,-27.739207345320846,27.576531931800417,-8.288318212089832,38.813153248899724,-28.42541438763277,-27.82831323086702,-31.223736930252198
0.08,0.008008008008008008,32.690705717247816,-32.73800896679366,-10.262547884727859,-1.9011739481675831,-24.381517689588808,-2.699017141906585,1.6103574294468728,-20.739525739414674,-8.068107403020774,-17.402757630776776,39.94414644407155,-20.813315909539494,-11.298562078480407,39.011384757622224,32.03832303125349,36.59869434629571,19.977902977903078,20.271072915556008,17.229688178349083,17.01663234433498,4.361361026694629,-9.698149320126015,11.556592395864433,2.445005730326841,-16.54842311571696,32.74357273117531,-15.573866867702606,-17.90738358419031,-37.31216509218967,-27.739770498104,27.57704557319325,-8.288470931875404,38.813966768000384,-28.426168939245013,-27.82895435616773,-31.22425698658026
0.09,0.009009009009009009,32.69134206139185,-32.73904083891093,-10.262828064006815,-1.9013379525799166,-24.381844851421896,-2.699148746522071,1.610257306834645,-20.74008770391798,-8.06829845254098,-17.403048370749545,39.94476304546752,-20.813870525394975,-11.298577716597144,39.012505404374075,32.03931686501029,36.59946236850542,19.978372444659893,20.271592690546033,17.23004208925177,17.01685927760931,4.3615561668667855,-9.69843915908341,11.556828435289415,2.4451222450021257,-16.548746967914344,32.744207502380235,-15.573952619977076,-17.90776888213373,-37.31299352173542,-27.740334703246567,27.577554080377947,-8.28862187153677,38.81478603732451,-28.42694969904947,-27.829607399196043,-31.224761691355692
