t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8
0.0,0.0,-5.405136207269133,-13.804297158939344,14.981487289010918,3.4320599948151975,-8.966138051047468,13.112784092049967,-7.041615377078824,-9.31601562912857,13.965564465592681
0.01,0.001001001001001001,-5.405246579918612,-13.804575858524515,14.981784612631012,3.4321264337301933,-8.966317981119515,13.113043277302317,-7.0417580243671045,-9.316203563485551,13.965841101757201
0.02,0.002002002002002002,-5.405346948114587,-13.804849724683516,14.982081204700805,3.4321839114302333,-8.966507184094764,13.113297049842378,-7.041890311984699,-9.316397732225811,13.966123153135387
0.03,0.003003003003003003,-5.405437311593876,-13.8051187671639,14.982377061291945,3.432232425912304,-8.966705656308049,13.113545415763223,-7.042012241700574,-9.31659814690261,13.966410638706963
0.04,0.004004004004004004,-5.405517670108519,-13.805382995733767,14.98267217838799,3.4322719749822617,-8.966913393990884,13.113788381306394,-7.042123815011429,-9.316804819502241,13.96670357767562
0.05,0.005005005005005005,-5.40558802342528,-13.805642420182787,14.982966551883557,3.432302556254821,-8.967130393271121,13.114025952861784,-7.042225033140806,-9.31701776244474,13.967001989469997
0.06,0.006006006006006006,-5.40564837132518,-13.805897050323242,14.983260177583498,3.4323241671535634,-8.967356650172595,13.11425813696758,-7.042315897038183,-9.31723698858466,13.967305893744646
0.07,0.007007007007007007,-5.40569871360303,-13.806146895991088,14.98355305120208,3.432336804910967,-8.96759216061476,13.114484940310266,-7.0423964073780585,-9.317462511211927,13.967615310380978
0.08,0.008008008008008008,-5.405739050066997,-13.806391967047015,14.983845168362176,3.432340466568455,-8.967836920412322,13.114706369724704,-7.042466564559017,-9.317694344052743,13.967930259488188
0.09,0.009009009009009009,-5.405769380538176,-13.806632273377534,14.984136524594476,3.432335148976464,-8.968090925274876,13.114922432194259,-7.042526368702785,-9.317932501270565,13.968250761404166
0.1,0.01001001001001001,-5.405789704850187,-13.806867824896067,14.984427115336693,3.4323208487945362,-8.968354170806515,13.115133134851005,-7.042575819653265,-9.318176997467152,13.968576836696379
0.11,0.011011011011011011,-5.405800022848779,-13.80709863154405,14.984716935932807,3.4322975624914265,-8.968626652505469,13.115338484975982,-7.0426149169755625,-9.318427847683665,13.96890850616274
0.12,0.012012012012012012,-5.405800334391467,-13.807324703292062,14.985005981632296,3.4322652863452374,-8.968908365763703,13.115538489999523,-7.042643659954999,-9.318685067401852,13.969245790832455
0.13,0.013013013013013013,-5.405790639347168,-13.80754605014095,14.985294247589394,3.4322240164435707,-8.969199305866532,13.11573315750164,-7.042662047596099,-9.318948672545275,13.969588711966848
0.14,0.014014014014014014,-5.40577093759587,-13.807762682122975,14.985581728862359,3.432173748683702,-8.969499467992227,13.115922495212482,-7.04267007862157,-9.319218679480628,13.969937291060159
0.15,0.015015015015015015,-5.405741229028308,-13.80797460930298,14.985868420412753,3.432114478772777,-8.969808847211615,13.11610651101284,-7.042667751471266,-9.319495105019092,13.970291549840324
0.16,0.016016016016016016,-5.405701513545663,-13.808181841779549,14.986154317104734,3.43204620222803,-8.970127438487673,13.116285212934734,-7.042655064301132,-9.319777966417783,13.970651510269736
0.17,0.017017017017017015,-5.405651791059276,-13.808384389686207,14.986439413704362,3.431968914377025,-8.97045523667512,13.116458609162056,-7.04263201498213,-9.320067281381245,13.971017194545972
0.18,0.018018018018018018,-5.405592061490377,-13.808582263192617,14.98672370487892,3.431882610357919,-8.970792236520008,13.116626708031268,-7.0425986010991535,-9.320363068063017,13.971388625102504
0.19,0.01901901901901902,-5.40552232476984,-13.80877547250579,14.987007185196244,3.4317872851197486,-8.971138432659302,13.116789518032174,-7.042554819949918,-9.32066534506726,13.971765824609381
0.2,0.02002002002002002,-5.4054425808379465,-13.808964027871319,14.987289849124076,3.4316829334227394,-8.971493819620461,13.11694704780876,-7.042500668543838,-9.320974131450457,13.972148815973885
0.21,0.02102102102102102,-5.405352829644169,-13.80914793957462,14.987571691029418,3.4315695498386396,-8.971858391821012,13.117099306160076,-7.042436143600884,-9.321289446723169,13.97253762234116
0.22,0.022022022022022022,-5.405253071146975,-13.809327217942192,14.987852705177906,3.4314471287510773,-8.972232143568126,13.117246302041213,-7.042361241550423,-9.321611310851859,13.972932267094821
0.23,0.023023023023023025,-5.405143305313644,-13.809501873342885,14.988132885733203,3.4313156643559424,-8.972615069058186,13.117388044564311,-7.042275958530031,-9.321939744260785,13.97333277385752
0.24,0.024024024024024024,-5.4050235321201106,-13.809671916189192,14.9884122267564,3.4311751506617925,-8.973007162376351,13.117524542999659,-7.042180290384301,-9.322274767833951,13.973739166491496
0.25,0.025025025025025023,-5.4048937515508095,-13.809837356938543,14.988690722205433,3.431025581490284,-8.973408417496119,13.117655806776838,-7.042074232663612,-9.32261640291713,13.974151469099098
0.26,0.026026026026026026,-5.404753963598558,-13.809998206094628,14.988968365934515,3.4308669504766294,-8.973818828278883,13.117781845485943,-7.041957780622898,-9.322964671319943,13.97456970602326
0.27,0.02702702702702703,-5.40460416826444,-13.810154474208725,14.989245151693577,3.43069925107008,-8.974238388473498,13.11790266887886,-7.041830929220375,-9.323319595318006,13.974993901847963
0.28,0.028028028028028028,-5.4044443655577155,-13.810306171881045,14.989521073127744,3.4305224765344327,-8.974667091715823,13.118018286870608,-7.041693673116267,-9.323681197655153,13.975424081398655
0.29,0.029029029029029027,-5.404274555495748,-13.810453309762101,14.989796123776795,3.430336619948567,-8.975104931528275,13.118128709540752,-7.041546006671489,-9.324049501545707,13.975860269742643
0.3,0.03003003003003003,-5.404094738103947,-13.810595898554075,14.990070297074668,3.4301416742070074,-8.975551901319381,13.118233947134872,-7.041387923946326,-9.324424530676824,13.976302492189445
0.31,0.031031031031031032,-5.403904913415729,-13.810733949012217,14.990343586348962,3.429937632020511,-8.976007994383325,13.118334010066102,-7.041219418699074,-9.324806309210903,13.976750774291114
0.32,0.03203203203203203,-5.4037050814724985,-13.81086747194625,14.990615984820458,3.4297244859166858,-8.976473203899484,13.118428908916735,-7.041040484384672,-9.325194861788056,13.97720514184252
0.33,0.03303303303303303,-5.403495242323647,-13.810996478221794,14.990887485602668,3.429502228240638,-8.976947522931978,13.118518654439887,-7.04085111415329,-9.325590213528647,13.977665620881604
0.34,0.03403403403403403,-5.403275396026563,-13.811120978761808,14.99115808170138,3.4292708511556453,-8.977430944429205,13.118603257561228,-7.040651300848917,-9.3259923900359,13.978132237689582
0.35000000000000003,0.035035035035035036,-5.403045542646673,-13.811240984548043,14.991427766014237,3.4290303466438594,-8.977923461223385,13.118682729380785,-7.040441037007897,-9.326401417398559,13.978605018791118
0.36,0.036036036036036036,-5.402805682257488,-13.811356506622515,14.991696531330323,3.428780706507042,-8.97842506603009,13.1187570811748,-7.040220314857462,-9.326817322193628,13.979083990954457
0.37,0.037037037037037035,-5.402555814940675,-13.81146755608899,14.99196437032977,3.428521922367326,-8.978935751447782,13.118826324397661,-7.039989126314222,-9.327240131489164,13.979569181191517
0.38,0.03803803803803804,-5.402295940786149,-13.811574144114493,14.992231275583379,3.428253985668012,-8.979455509957349,13.118890470683896,-7.039747462982637,-9.327669872847142,13.980060616757926
0.39,0.03903903903903904,-5.402026059892174,-13.811676281930826,14.992497239552257,3.4279768876743923,-8.979984333921637,13.118949531850228,-7.039495316153459,-9.32810657432639,13.980558325153046
