t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,0.0,-12.830958868355426,2.653375378427482,-39.194251837676205,13.078231679444194,-23.24838415340999,33.60101777733815,-10.31859026214977,19.352535614516523,20.22919003753863,28.611317648782077,-31.017510824547152
0.01,0.001001001001001001,-12.831217102133426,2.653426016965403,-39.195038457242184,13.078493218797549,-23.248850094157167,33.60168678929283,-10.318798245958707,19.352921665308802,20.22959292739282,28.61188918004215,-31.018133708399553
0.02,0.002002002002002002,-12.831466520900081,2.65345347831977,-39.1958276874462,13.078773014392727,-23.24931528871142,33.602346566336394,-10.319010448388436,19.353324384312344,20.229986323487804,28.612445323754972,-31.018736955249363
0.03,0.003003003003003003,-12.831707157980526,2.6534577788736677,-39.1966195726224,13.079071075430594,-23.24977972304693,33.602997112402036,-10.319226860549097,19.353743752463327,20.230370237798674,28.612986085189153,-31.019320538049982
0.04,0.004004004004004004,-12.831939044439482,2.6534389341043494,-39.197414157089106,13.0793874108533,-23.250243383647543,33.60363843044531,-10.319447474000901,19.354179751887923,20.230744683542802,28.613511468301407,-31.01988443004954
0.05,0.005005005005005005,-12.832162209086352,2.6533969585897665,-39.19821148516167,13.079722029345085,-23.25070625750264,33.60427052243969,-10.319672280748673,19.354632365901598,20.231109675177358,28.614021475738465,-31.02042860478411
0.06,0.006006006006006006,-12.832376678479823,2.653331866015177,-39.19901160116549,13.080074939332967,-23.251168332103024,33.60489338937231,-10.31990127323649,19.355101579008235,20.23146522839692,28.614516108838725,-31.020953036070992
0.07,0.007007007007007007,-12.832582476931957,2.6532436691798296,-39.19981454944906,13.08044614898735,-23.251629595436828,33.605507031239654,-10.320134444342369,19.355587376899056,20.231811360131218,28.614995367633703,-31.021457698002084
0.08,0.008008008008008008,-12.832779626511806,2.6531323800037265,-39.200620374397126,13.080835666222526,-23.252090035985404,33.60611144704345,-10.320371787373045,19.356089746451346,20.23214808854295,28.615459250849227,-31.021942564937337
0.09,0.009009009009009009,-12.832968147048515,2.652998009534468,-39.20142912044392,13.081243498697082,-23.252549642719227,33.60670663478658,-10.32061329605881,19.35660867572699,20.232475433025744,28.615907755906395,-31.022407611498284
0.1,0.01001001001001001,-12.833148056133933,2.6528405679541756,-39.20224083208648,13.08166965381421,-23.253008405093826,33.60729259146909,-10.320858964548425,19.35714415397081,20.232793414202217,28.616340878922312,-31.022852812561645
0.11,0.011011011011011011,-12.833319369124736,2.652660064586499,-39.20305555389812,13.082114138721924,-23.25346631304568,33.60786931308427,-10.321108787404102,19.35769617160873,20.233102053922142,28.616758614710594,-31.023278143253023
0.12,0.012012012012012012,-12.833482099144044,2.6524565079037092,-39.2038733305419,13.082576960313185,-23.25392335698816,33.60843679461486,-10.321362759596548,19.35826472024571,20.233401375260748,28.61716095678163,-31.023683578940684
0.13,0.013013013013013013,-12.83363625708255,2.652229905533878,-39.20469420678437,13.083058125225925,-23.254379527807448,33.608995030029284,-10.321620876500079,19.35884979266352,20.233691402517113,28.61754789734262,-31.024069095229404
0.14,0.014014014014014014,-12.833781851599147,2.6519802642681434,-39.20551822750922,13.083557639842986,-23.254834816858477,33.60954401227801,-10.321883133887798,19.359451382818314,20.233972161212694,28.61791942729741,-31.024434667954406
0.15,0.015015015015015015,-12.833918889121065,2.651707590068071,-39.206345437731294,13.084075510291964,-23.25528921596087,33.61008373328995,-10.322149527926834,19.360069485837997,20.234243678089946,28.61827553624603,-31.024780273175388
0.16,0.016016016016016016,-12.834047373843513,2.651411888073102,-39.20717588261048,13.084611742444958,-23.25574271739489,33.610614183969,-10.322420055173641,19.36070409801941,20.23450598111108,28.6186162124841,-31.025105887170625
0.17,0.017017017017017015,-12.834167307728816,2.6510931626081042,-39.208009607465925,13.085166341918239,-23.256195313897372,33.61113535419061,-10.322694712569366,19.361355216825324,20.234759099456937,28.618941443001916,-31.025411486431153
0.18,0.018018018018018018,-12.83427869050507,2.650751417191015,-39.20884665779031,13.08573931407182,-23.256646998657683,33.611647232798475,-10.322973497435266,19.36202284088122,20.23500306352595,28.619251213483384,-31.025697047655036
0.19,0.01901901901901902,-12.834381519664289,2.6503866545405903,-39.20968707926425,13.08633066400895,-23.257097765313688,33.61214980760128,-10.32325640746819,19.362706969971896,20.235237904933264,28.61954550830468,-31.02596254774173
0.2,0.02002002002002002,-12.834475790460067,2.6499988765842546,-39.21053091777087,13.086940396575505,-23.257547607947696,33.61264306536953,-10.323543440736113,19.363407605037857,20.235463656509914,28.61982431053271,-31.02620796378652
0.21,0.02102102102102102,-12.83456149590473,2.64958808446606,-39.21137821941052,13.087568516359314,-23.257996521082436,33.61312699183253,-10.323834595673736,19.364124748171516,20.235680352302182,28.62008760192335,-31.02643327307502
0.22,0.022022022022022022,-12.834638626766006,2.6491542785547533,-39.21222903051566,13.08821502768938,-23.25844449967701,33.61360157167534,-10.324129871078124,19.3648584026132,20.23588802757102,28.620335362919437,-31.026638453077823
0.23,0.023023023023023025,-12.834707171563187,2.6486974584519594,-39.21308339766589,13.088879934635036,-23.258891539122875,33.61406678853591,-10.324429266104413,19.36560857274695,20.236086718791594,28.62056757264857,-31.02682348144515
0.24,0.024024024024024024,-12.834767116562798,2.648217623000481,-39.213941367703164,13.089563241005015,-23.2593376352398,33.61452262500223,-10.324732780261558,19.366375264096106,20.236276463652963,28.620784208920675,-31.02698833600165
0.25,0.025025025025025023,-12.834818445773768,2.6477147702927173,-39.21480298774715,13.090264950346427,-23.259782784271856,33.61496906260964,-10.325040413408141,19.367158483318715,20.23645730105784,28.620985248225338,-31.027132994741255
0.26,0.026026026026026026,-12.834861140942106,2.647188897679211,-39.21566830521081,13.09098506594368,-23.26022698288339,33.615406081838145,-10.325352165748223,19.367958238202707,20.236629271122467,28.62117066572894,-31.027257435822122
0.27,0.02702702702702703,-12.834895181545068,2.6466400017773197,-39.216537367816116,13.091723590817312,-23.260670228154986,33.6158336621099,-10.32566803782725,19.368774537660887,20.236792415176616,28.621340435271556,-31.02736163756167
0.28,0.028028028028028028,-12.834920544784838,2.6460680784800235,-39.21741022360999,13.092480527722739,-23.26111251757948,33.616251781786715,-10.325988030527997,19.369607391725697,20.236946775763673,28.621494529363652,-31.027445578431685
0.29,0.029029029029029027,-12.8349372055817,2.6454731229648667,-39.21828692098041,13.09325587914895,-23.261553849057915,33.616660418167676,-10.326312145066577,19.37045681154378,20.23709239664084,28.62163291918254,-31.027509237053543
0.3,0.03003003003003003,-12.834945136566711,2.6448551297030423,-39.21916750867275,13.09404964731712,-23.26199422089553,33.617059547486875,-10.326640382988472,19.371322809370323,20.237229322779434,28.621755574568642,-31.02755259219347
0.31,0.031031031031031032,-12.834944308073878,2.644214092468621,-39.22005203580627,13.09486183417915,-23.26243363179776,33.617449144911205,-10.326972746164632,19.372205398563196,20.23735760036529,28.62186246402151,-31.027575622757933
0.32,0.03203203203203203,-12.834934688131824,2.643550004347932,-39.22094055189087,13.09569244141614,-23.262872080866206,33.617829184538245,-10.327309236787599,19.37310459357686,20.237477276799247,28.621953554695665,-31.027578307789085
0.33,0.03303303303303303,-12.834916242454963,2.642862857749097,-39.22183310684404,13.096541470436804,-23.263309567594636,33.61819963939427,-10.327649857367687,19.374020409956046,20.23758840069775,28.622028812396177,-31.027560626460314
0.34,0.03403403403403403,-12.83488893443416,2.6421526444117256,-39.222729751008,13.097408922375815,-23.26374609186497,33.618560481432304,-10.327994610729197,19.374952864329252,20.23769102189354,28.622088201574066,-31.027522558071865
0.35000000000000003,0.035035035035035036,-12.834852725126899,2.641419355416774,-39.22363053516713,13.098294798092086,-23.264181653943265,33.61891168153033,-10.328343500006671,19.375901974401962,20.237785191436416,28.622131685321467,-31.02746408204656
0.36,0.036036036036036036,-12.834807573246936,2.6406629811965776,-39.22453551056556,13.099199098166995,-23.264616254475712,33.619253209489536,-10.32869652864119,19.376867758949672,20.23787096159411,28.622159225366595,-31.027385177925584
0.37,0.037037037037037035,-12.834753435153454,2.6398835115450545,-39.225444728925034,13.100121822902555,-23.265049894484626,33.61958503403272,-10.329053700376715,19.377850237810666,20.237948385853233,28.622170782068487,-31.02728582536438
0.38,0.03803803803803804,-12.834690264839704,2.639080935628093,-39.22635824246304,13.101062972319518,-23.265482575364437,33.61990712280272,-10.329415019256452,19.37884943187857,20.238017518920312,28.622166314411537,-31.027166004128613
0.39,0.03903903903903904,-12.834618013921148,2.638255241994126,-39.22727610391115,13.102022546155442,-23.26591429887768,33.62021944236105,-10.329780489619266,19.379865363094655,20.238078416722885,28.622145779999812,-31.027025694090213
