t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
0.0,0.0,10.207982428960973,-29.623718691833076,18.240036351778837,30.598728618500854,-5.246487324853597,0.4488068948408763,-21.535389119177957,32.651777216685865,-30.396557291171785,26.001689544778056,12.57838141984765,-28.541889944366137,-25.926720198174255,-5.608605885867802,-4.953961027667129,26.153691850610905,7.049452748305484,33.20889051402253,19.79297497358081,38.97361188297592,33.175816469582266,-37.56947647483849,-10.190478688949344,-31.12668082538677,14.044360550443454,33.503537142199654,11.593091492805804,-26.945699503398476,36.94043853534621,-10.339632882545484,-24.785902904310632,39.200803841216555,-21.65649178236117,18.63079413967837,11.998344902970562,-32.37034576574189,-0.647074406881365,-31.299061623884892,-35.16827143950184,-26.234863665184843,-15.330127256046008,-11.71199774537,15.547520114444099
0.02,0.001001001001001001,10.208385112179265,-29.62490937816844,18.240760320361233,30.59995004008457,-5.246702874885883,0.44882155004409047,-21.536251543001704,32.65308242481763,-30.39777836202999,26.002724558053288,12.578879484532287,-28.54303566904582,-25.927761594530637,-5.608834260020735,-4.954162975463579,26.154733239870136,7.049734517229615,33.210218052366955,19.793763908964007,38.97516737585174,33.17714065026728,-37.57097935841141,-10.190887819807937,-31.127926141961822,14.044916331951717,33.504876791339214,11.59355256299037,-26.94678192039874,36.941912693818026,-10.340048639021328,-24.786895495098015,39.20236894466181,-21.657360052799863,18.63153750392935,11.998824383268806,-32.37164218391908,-0.6471023632981411,-31.300319343686045,-35.169682136803665,-26.23591360241795,-15.330746708528077,-11.712471895028749,15.548141057809016
0.04,0.002002002002002002,10.208786056373228,-29.626121161756114,18.241491712032445,30.601191722792514,-5.246904905805113,0.4488217827868736,-21.53711479019581,32.65433843571025,-30.39902085179049,26.00374927599447,12.5794368650191,-28.544205016453155,-25.928784520067943,-5.609059965998644,-4.954389122119642,26.155756708676577,7.050046269005735,33.21149127107562,19.794547507138848,38.97672964103938,33.178403930875994,-37.572410841853596,-10.191351179503075,-31.129150547463063,14.045443092504502,33.5061182573823,11.594027396043547,-26.947856264348815,36.94339509161778,-10.340489971651296,-24.787863522726035,39.20391173545523,-21.65820416056471,18.632332904454294,11.999385904483384,-32.37297235779694,-0.6470686752626107,-31.30156807354472,-35.171132490285494,-26.236888611465773,-15.331384510452178,-11.712957170811224,15.548790337517167
0.06,0.003003003003003003,10.209185264802324,-29.62735384391429,18.24223064981999,30.602453579572657,-5.247093242195102,0.4488077312411913,-21.537979181155283,32.655544979175424,-30.400284451056205,26.004763665831113,12.58005348625099,-28.54539795608162,-25.92978893794745,-5.60928286730804,-4.954639353357926,26.156762196448867,7.050387973800203,33.21271012098191,19.795325729160773,38.9782985073914,33.179606240156424,-37.5737709995738,-10.191868779442892,-31.130353953122302,14.045940775064267,33.507261544149515,11.59451595614016,-26.948922725906925,36.944885719080844,-10.340956937999142,-24.78880691496776,39.20543231391076,-21.659024230585576,18.633180063552413,12.00002953951648,-32.37433645773035,-0.6469732304937102,-31.3028074389458,-35.172622643491486,-26.237788587800324,-15.33204074391516,-11.713453303741039,15.549467930747268
0.08,0.004004004004004004,10.209582739424967,-29.628607242048055,18.242977271184923,30.60373552555466,-5.247267715581176,0.4487795379978686,-21.538845038958396,32.65670180621616,-30.401568848324597,26.00576769689145,12.580729268985706,-28.546614460255267,-25.930774806769783,-5.609502827494953,-4.954913556690216,26.15774963723697,7.050759583051923,33.213874550054626,19.79609853657488,38.97987379675269,33.18074751240058,-37.57505989411148,-10.192440632528584,-31.131536266629844,14.046409323273986,33.50830665713919,11.595018214750146,-26.94998148476293,36.94638457032885,-10.34144960091749,-24.789725597965855,39.20693077920966,-21.659820390350276,18.634078695425703,12.000755367644183,-32.3757346530062,-0.6468159200324068,-31.30403705361242,-35.17415275483115,-26.23861342737138,-15.332715501392927,-11.713960023376233,15.550173812975286
0.1,0.005005005005005005,10.209978480860498,-29.629881189679107,18.2437317280183,30.605037478096815,-5.247428164323619,0.44873735006145493,-21.539712689663137,32.65780868905408,-30.40287373000849,26.006761340637652,12.581464129874082,-28.54785450417358,-25.931742080565574,-5.609719710157448,-4.955211621453569,26.158718959712804,7.0511610295989495,33.21498450331753,19.796865891428972,38.9814553239789,33.181827687457115,-37.576277575899084,-10.1930667530894,-31.132697392048723,14.046848681494975,33.50925360334201,11.59553415066337,-26.951032709760582,36.94789164330623,-10.341968028532389,-24.790619496204993,39.20840722940827,-21.660592769980767,18.6350285063305,12.001563474516097,-32.377167111839356,-0.6465966383047521,-31.305256519581878,-35.175722997606314,-26.239363026575646,-15.333408885828772,-11.714477057785668,15.550907957967043
0.12,0.006006006006006006,10.2103724883506,-29.63117553646752,18.244494186637485,30.60635935683374,-5.247574433512897,0.4486813188471757,-21.54058246260178,32.65886542114939,-30.404198780459367,26.007744570701615,12.582257981529837,-28.54911806595855,-25.932690708784214,-5.609933378955919,-4.955533438844385,26.159670087167378,7.051592227817008,33.21603992277854,19.79762775628652,38.98304289695869,33.18284671074366,-37.57742408303878,-10.19374715681871,-31.13383722972949,14.04725879484695,33.51010239107403,11.596063750017338,-26.952076559015726,36.94940693981754,-10.342512294229577,-24.791488532485662,39.20986176144371,-21.661341502309032,18.636029194733176,12.0024539521445,-32.37863400136827,-0.6463152831850274,-31.306465427292277,-35.1773335600407,-26.24003728222917,-15.334121010730172,-11.715004133528346,15.55167033776947
0.14,0.007007007007007007,10.210764759720078,-29.63249014822558,18.245264827782346,30.6077010837249,-5.24770637486672,0.44861160018002766,-21.541454690673948,32.659871817213805,-30.405543681993183,26.008717362921306,12.583110732591035,-28.550405126704,-25.933620636280654,-5.610143697621268,-4.955878901950507,26.160602937514494,7.052053073769898,33.21704074736859,19.79838409423956,38.984636316639886,33.18380453325895,-37.57849944109362,-10.194481860711136,-31.134955676225466,14.047639609250309,33.51085302982808,11.596607006327861,-26.953113180030403,36.95093046556588,-10.343082476642458,-24.792332627899285,39.211294471137116,-21.66206672295288,18.637080451470034,12.003426898882987,-32.38013548765003,-0.6459717560589299,-31.307663355679807,-35.17898464531198,-26.24063609154304,-15.334852000274198,-11.71554097563577,15.55246092270052
0.16,0.008008008008008008,10.211155291336931,-29.633824906923646,18.246043846611368,30.609062583103952,-5.247823846628951,0.44852835429607163,-21.54232971063859,32.660827713216314,-30.406908114918775,26.00967969537772,12.58402228777319,-28.551715670527123,-25.93453180330023,-5.610350529961,-4.9562479057813835,26.161517423301007,7.052543445371675,33.21798691289025,19.799134868921502,38.986235377059415,33.18470111159478,-37.57950366289293,-10.195270883000791,-31.13605262420837,14.047991071470573,33.511505530143694,11.597163920522728,-26.954142709802962,36.95246223019208,-10.343678659641736,-24.793151701804565,39.2127054531948,-21.662768570391748,18.63818195991145,12.004482419394467,-32.38167173565497,-0.645565961886755,-31.308849872286704,-35.18067647158617,-26.241159352102347,-15.335601989421649,-11.71608730759745,15.553279681337703
0.18,0.009009009009009009,10.211544078071686,-29.635179710688035,18.246831452697734,30.610443781728907,-5.247926713470384,0.44843174584597884,-21.543207863405176,32.6617329663822,-30.408291757568886,26.01063154843244,12.584992547914123,-28.553049684622255,-25.935424145461536,-5.610553739863325,-4.956640347296326,26.162413451723697,7.053063202560564,33.21887835197603,19.79988004451989,38.9878398653773,33.18553640794792,-37.58043674835186,-10.196114243100602,-31.137127962384312,14.048313129164988,33.512059903495654,11.597734500978406,-26.955165274934203,36.95400224731496,-10.344300932326691,-24.793945671805005,39.214094801207146,-21.66344718604267,18.639333396130354,12.005620624608438,-32.383242909260744,-0.6450978092665344,-31.310024533379785,-35.182409272054315,-26.241606961848497,-15.33637112404006,-11.71664285134965,15.554126580505242
