t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.0,0.0,30.196065857444946,-27.735612483858855,-37.465630501059856,-22.015879898855534,-40.83604953248442,33.743469044322524,22.81065628237055,15.279752950571275,-29.4680118489331,19.618116776850062,-10.587285140602852,34.63926382783584,-24.185759916800208,1.8364938566957356,32.90809295525842,-23.96337351352333,25.86337755081646,-11.9607840089853,21.010087774750307,2.458848086688066,-10.38079489406829
0.02,0.001001001001001001,30.197271786620384,-27.736726127389385,-37.46713176608791,-22.0167665486459,-40.83768872132187,33.744815761664064,22.811564186757224,15.280361845019211,-29.469190929041456,19.61890012748299,-10.587710623088979,34.64064358222903,-24.186731170667002,1.83656220284375,32.909404130885456,-23.964333560952635,25.864408507663907,-11.961266417347042,21.01092814596525,2.4589424256616317,-10.381213613818272
0.04,0.002002002002002002,30.19840506315236,-27.737874327836508,-37.468560881134145,-22.0176709846513,-40.83939732971686,33.74618702789225,22.812469974828737,15.28093850506107,-29.47034060700782,19.619728935911777,-10.588121464234758,34.64199651832941,-24.187651628716246,1.8366673309383843,32.9107106250562,-23.965274605209345,25.865461846938512,-11.961737487072357,21.01176369597917,2.4590313072745067,-10.381688291350585
0.06,0.003003003003003003,30.199465870372595,-27.739057181521005,-37.46991776201439,-22.018593163811857,-40.84117535629233,33.747582831768874,22.81337364953885,15.28148291142519,-29.47146090060472,19.620603384588897,-10.588517665682438,34.64332254563021,-24.188521180804504,1.8368091694094144,32.912012218397074,-23.966196550422364,25.86653746468663,-11.962197177340853,21.0125942987284,2.4591146809360658,-10.382218862555302
0.08,0.004004004004004004,30.20045437037943,-27.740274791803163,-37.471202320741014,-22.019533049401257,-40.84302280006229,33.749003165748256,22.814275211847736,15.281995047560303,-29.472551824431804,19.621523671177453,-10.588899232164323,34.64462157053352,-24.18933972411946,1.8369876503504103,32.91330869721384,-23.967099302696123,25.867635261408115,-11.962645443391873,21.013419825643307,2.4591925013956017,-10.382805260014226
0.1,0.005005005005005005,30.20137070407161,-27.74152726908675,-37.47241446544944,-22.020490611001367,-40.844939660290976,33.75044802594959,22.815174660733348,15.282474899628363,-29.473613389899164,19.62249000853594,-10.5892661715209,34.64589349629868,-24.190107163173685,1.8372027094418506,32.91459985348537,-23.967982770124895,25.868755142029514,-11.963082236536293,21.014240145631895,2.4592647287270077,-10.383447413017254
0.12,0.006006006006006006,30.20221499117719,-27.742814730822612,-37.47355410033071,-22.02146582447663,-40.846925936344036,33.751917412129764,22.816071993200783,15.282922456497635,-29.474645605210007,19.623502624703175,-10.589618494720646,34.64713822299064,-24.1908234097977,1.8374542858726572,32.915885484856105,-23.96884686280789,25.869897015875782,-11.963507504169188,21.015055125065864,2.4593313283142,-10.384145247571931
0.14,0.007007007007007007,30.20298733027748,-27.744137301511834,-37.474621125570195,-22.022458671948197,-40.848981627531735,33.75341132765663,22.81696720428964,15.283337709736012,-29.47564847534266,19.624561762883165,-10.589956215881468,34.648355647428254,-24.191488383132416,1.837742322260178,32.917165394627304,-23.96969149286517,25.871060796640585,-11.96392118978339,21.015864627769222,2.459392270837301,-10.38489868640625
0.16,0.008008008008008008,30.203687798825964,-27.745495112708376,-37.47561543729246,-22.023469141767794,-40.85110673294414,33.75492977948268,22.81786028707938,15.283720653604579,-29.476622002031863,19.625667681429743,-10.590279352293804,34.64954566313253,-24.192102009621017,1.838066764568642,32.91843939174706,-23.970516574454322,25.87224640235522,-11.96432323298397,21.01666851500952,2.459447532259604,-10.385707648964724
0.18,0.009009009009009009,30.204316453162107,-27.746888303021148,-37.47653692751237,-22.024497228491178,-40.85330125127813,33.756472778119125,22.818751232692716,15.284071285051416,-29.47756618374936,19.626820653830737,-10.5905879244453,34.65070816027488,-24.19266422300034,1.8384275620261161,32.91970729079926,-23.971322023787966,25.87345375535622,-11.964713569503699,21.01746664549176,2.4594970938153407,-10.386572051397732
