t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
0.0,0.0,30.537136340504922,-46.04239122612733,-8.557900352769506,-43.09938680638338,1.3596967837470981,21.592756630291944,5.27122715456276,-31.828778960472572,20.761786149255382,27.683157137525743,8.12193869898683,-5.158802857683802,24.055298108279402,-17.351456096399364,20.837923069682585,21.27121639206858,26.18251818361402,-0.9420987599258975,-32.98677285016812,24.1948626085333,-7.9762560177400434,-30.601022615003615,-10.192640638767237,0.7197222874393869,-16.69306917271933,5.1538271799973865,-25.4203582648776,23.02948504963484,1.1411833123550077,-25.47243785152246,12.031540813894065,17.717412665073315,-22.8914987645522,2.9233963595346815,22.3836309265542,-1.703399493978574,-25.751024576080365,11.580922099410907,-2.551739976192034,30.03321461059467
0.02,0.001001001001001001,30.53835518327391,-46.04423877495903,-8.558243358594307,-43.10111424749294,1.3597468418459864,21.59361501091502,5.271434923200288,-31.83005277431901,20.76261484650281,27.684258466229544,8.122259005629251,-5.159010484385268,24.05625866157525,-17.352152622565857,20.838755642960013,21.27206197571357,26.183561640810982,-0.9421408756740962,-32.98809846225731,24.195824357382666,-7.976578906328871,-30.60225187215632,-10.193049913214658,0.7197482883164797,-16.693741303022584,5.154027144176609,-25.42138076525192,23.030403110660135,1.141225277022618,-25.47346092831454,12.032019493718744,17.718121106045018,-22.892414882075407,2.9235129971863656,22.384520599147454,-1.703471244326747,-25.75205879636804,11.58138342271843,-2.5518425743008084,30.034412070754172
0.04,0.002002002002002002,30.53959283993956,-46.046121835768425,-8.558574595451667,-43.10283607840121,1.3597729185174603,21.59450203842551,5.271673059493222,-31.831392866751212,20.7634866207897,27.685394900150875,8.122574498180532,-5.159277368086833,24.0571919915932,-17.35284146662837,20.839587636494795,21.27287107306273,26.184613734580324,-0.9421971163459975,-32.98939485616701,24.196770135305375,-7.97691759702944,-30.603485271568175,-10.19338974298123,0.7197987806462601,-16.6944517420631,5.154241751648664,-25.422358098791822,23.031345194720444,1.1412934285726652,-25.474462069800385,12.032466526657316,17.71879666021293,-22.893258111900135,2.923676141379198,22.385405661253305,-1.703538089799371,-25.753127692114987,11.581793566611653,-2.5519693239333914,30.035562045524653
0.06,0.003003003003003003,30.540849232717164,-46.0480403763661,-8.5588940194596,-43.10455226855493,1.3597749629270828,21.595417856430444,5.271941650114111,-31.832799388735566,20.764401431662904,27.686566582480964,8.122885255536763,-5.159603535672316,24.05809795798052,-17.353522629304994,20.840419159917808,21.27364374156165,26.18567437960482,-0.9422675009387541,-32.99066194875089,24.197700045006915,-7.977272012387783,-30.604722813456203,-10.19366018301018,0.719873712778946,-16.695200526510565,5.154471105482137,-25.423290320783046,23.032311458301727,1.1413877199341689,-25.475441394808577,12.032881746721653,17.719439367257696,-22.89402851638109,2.9238858410821233,22.386286157059843,-1.7036000585113615,-25.75423110663535,11.582152432821538,-2.552120267579521,30.03666435064346
0.08,0.004004004004004004,30.542124281597776,-46.04999437140057,-8.559201591956962,-43.10626279177411,1.359752920066109,21.596362619750607,5.272240779363112,-31.834272497703363,20.765359235131946,27.68777366072317,8.123191365064615,-5.159989011297991,24.05897641727461,-17.354196104904457,20.841250324855107,21.27438004403717,26.186743493271887,-0.9423520536356353,-32.99189966375212,24.198614180268418,-7.977642077544653,-30.60596449688863,-10.19386127870907,0.7199730339474434,-16.695987694516475,5.154715296195924,-25.424177488848596,23.033302058138744,1.1415080895461596,-25.476399031832422,12.03326499154316,17.720049259404043,-22.894726141729457,2.92414216142415,22.38716213291373,-1.7036571806569771,-25.755368879830307,11.58245992805746,-2.5522954436020817,30.037718808186142
0.1,0.005005005005005005,30.5434179043327,-46.051983802269824,-8.559497279505036,-43.107967626291874,1.3597067307417687,21.5973364944646,5.272570529144215,-31.835812357464555,20.766359983724314,27.689016286710476,8.123492922571065,-5.160433816422919,24.059827222897162,-17.354861881352903,20.842081244916248,21.275080048700747,26.187820995680244,-0.942450803805751,-32.99310793179335,24.199512625937643,-7.9780277202194005,-30.607210319788535,-10.19399306599551,0.7200966942401746,-16.69681328571297,5.154974401726577,-25.425019662925443,23.03431715116315,1.1416544613776318,-25.477335119074517,12.033616102397241,17.720626361419495,-22.895351017960163,2.9244451837380034,22.388033637253933,-1.7037094885413944,-25.75654084823118,11.582715963995488,-2.5524948861906016,30.03872524659064
0.12,0.006006006006006006,30.54473001641512,-46.05400865702783,-8.559781053889317,-43.1096667547952,1.359636331567668,21.59833965795439,5.272930978938959,-31.83741913812079,20.767403626545622,27.690294616623675,8.123790032275135,-5.160937969836151,24.06065022514707,-17.35551994021666,20.842912035684044,21.27574382915488,26.18890680964453,-0.9425637860090508,-32.99428669036768,24.200395457917367,-7.978428870692292,-30.608460278936704,-10.194055571342457,0.7202446445720387,-16.69767734120795,5.155248487389853,-25.42581690524751,23.035356894449375,1.141826744954303,-25.478249804493856,12.03393492422389,17.72117069060955,-22.895903158843588,2.9247950056103953,22.388900720548634,-1.7037570166142302,-25.757746845043894,11.582920457265516,-2.5527186253084806,30.03968350067921
0.14,0.007007007007007007,30.546060531058842,-46.056068930286095,-8.560052892121448,-43.11136016446642,1.3595416549543151,21.599372298952318,5.273322205777607,-31.83909301597753,20.768490109344626,27.691608811010234,8.124082806781608,-5.161501487680798,24.06144527119207,-17.35617025672104,20.84374281470578,21.27637146440263,26.190000860697896,-0.9426910400065935,-32.99543588383077,24.2012627431512,-7.978845461785249,-30.60971436997375,-10.194048811823082,0.7204168366535032,-16.698579903576523,5.155537605836479,-25.426569280334878,23.036421445158187,1.1420248353921816,-25.479143245855425,12.034221305644405,17.7216822568093,-22.896382561861564,2.925191740938879,22.389763435235174,-1.7037998015050198,-25.758986700194882,11.583073329437317,-2.5529666866339564,30.040593411678074
0.16,0.008008008008008008,30.547409359174143,-46.058164623110066,-8.56031277644136,-43.113047847025584,1.3594226290997862,21.600434617589404,5.273744284207744,-31.840834173455082,20.769619374583094,27.6929590348038,8.124371367056723,-5.162124383474946,24.0622122050591,-17.356812799765216,20.84457370148588,21.27696303886023,26.191103077092638,-0.9428326107760805,-32.99655546339401,24.202114539606807,-7.979277428841016,-30.61097258740149,-10.193972795155224,0.7206132229578235,-16.69952101684879,5.155841797002087,-25.427276854989273,23.037510960477874,1.14224861343795,-25.480015610782296,12.034475098974255,17.7221610623715,-22.896789208167633,2.925635519995284,22.390621835662994,-1.703837882060659,-25.760260240378397,11.583174507005563,-2.5532390914948246,30.041454827234872
0.18,0.009009009009009009,30.548776409340718,-46.06029574291044,-8.560560694319609,-43.11472979877361,1.359279177980541,21.60152682544493,5.274197286260265,-31.84264279899839,20.770791361510618,27.694345457344323,8.124655842405785,-5.1628066681294085,24.062950867623496,-17.35744753193317,20.845404817480023,21.27751864237283,26.192213389798777,-0.9429885485326497,-32.99764538711885,24.202950896256514,-7.97972470970074,-30.612234924583575,-10.193827519745392,0.7208337566863852,-16.700500726493964,5.156161088051347,-25.42793969829574,23.038625597562888,1.1424979455161581,-25.480867076810203,12.034696160232143,17.72260710215116,-22.89712306255145,2.926126489495687,22.391475978039452,-1.7038712993848184,-25.761567289105276,11.583223921373826,-2.553535856796917,30.04226760143394
