t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43
0.0,0.0,5.608915381386065,7.761597120380544,24.31423244965584,-27.354671076363292,9.718633945768342,26.46083884356412,-17.55405264044086,-36.301239675483146,38.170445745108935,-12.09399201906943,-1.8121545025341077,-5.998003145051514,20.380190299813556,9.20000808684715,-3.1017690720007978,2.511572823150206,-6.417727836246698,-3.9191584042304792,15.511347271053728,-37.34954270209687,0.42016521693247244,-32.16837691249668,7.424820055606231,3.9067273275785155,-5.794020968871988,-18.148749329763948,-12.92150868083333,37.6123319457056,18.384843739996683,28.3662743858613,32.81036561368808,3.2633787054533356,29.612064834588086,-26.010446807708977,-15.551309054978102,-34.502195070433494,-14.808916297114154,33.08580509285709,33.794705837928895,-33.768841530943575,-24.944639627833226,-18.234597694131917,-25.907144844678445,29.855955715524427
0.03,0.001001001001001001,5.609249154686619,7.762062336673361,24.31568836958359,-27.35632169615605,9.719212289541533,26.46241913810131,-17.555110393736673,-36.30342366854017,38.17273347505371,-12.094722965371497,-1.8122634275592826,-5.998369303126495,20.381409369082085,9.200551615039036,-3.1019621492729894,2.511720933713264,-6.41811748260762,-3.919398605952714,15.512268979513877,-37.35178805250182,0.420187152768411,-32.170312393346656,7.425260734104376,3.9069584757962197,-5.794371874232507,-18.149847216697925,-12.922292676214237,37.61457978966877,18.385938063541744,28.367975403607787,32.81233253999077,3.2635711072628375,29.613832792687035,-26.012008161011277,-15.552247206646745,-34.504268932218366,-14.809808034437363,33.08778808475193,33.79672865609114,-33.77087074154976,-24.946143574374638,-18.235694292183926,-25.908705785573787,29.857742717197247
0.06,0.002002002002002002,5.609578931945424,7.762518971548214,24.317162074136352,-27.357968392310582,9.719700814014631,26.463962228311402,-17.556151338974075,-36.30564815644714,38.17503245553719,-12.095459347844834,-1.8123716272116688,-5.998695639619871,20.38267821596923,9.200930442389978,-3.1021508456904554,2.511908406818349,-6.418558157075835,-3.919740176884446,15.513175840054839,-37.353988605488134,0.42026230013724614,-32.17211654844326,7.425812202045838,3.9071949572632585,-5.794787199361689,-18.150947060314852,-12.923092670597361,37.61687481938261,18.38699298217546,28.369593268382474,32.81435903285277,3.2637357607440016,29.61563057000274,-26.013489390443777,-15.553174879720764,-34.506330081162425,-14.810645643818468,33.089776480357884,33.798739115545224,-33.773038101493555,-24.947648918038816,-18.236776121576526,-25.91022482081702,29.859546398864598
0.09,0.003003003003003003,5.60990473082568,7.762967171817729,24.318653164883024,-27.359611383677343,9.720099373481542,26.465468208521283,-17.557175296781384,-36.30791264311761,38.177342374791834,-12.096201179251644,-1.8124791871289894,-5.998982350614709,20.383996845308182,9.201144867847717,-3.1023352351227085,2.512135252563154,-6.419049839150787,-3.9201830427735675,15.514068244702816,-37.35614441080442,0.4203908366273517,-32.17378922809214,7.4264747292181275,3.9074367112056967,-5.7952669950178155,-18.152048890102932,-12.923908528963608,37.61921661304965,18.38800848226375,28.371128184852854,32.8164449346901,3.2638728000670194,29.617458371271756,-26.014890190719832,-15.554092108252535,-34.50837863940851,-14.811429144913586,33.09177027330521,33.80073727021431,-33.77534430975311,-24.949155536251638,-18.23784335757039,-25.91170205486455,29.861366655969185
0.12,0.004004004004004004,5.610226565875062,7.7634070801336,24.320161244687345,-27.361250899172834,9.720407814201561,26.46693720350971,-17.558182075334418,-36.31021661914979,38.17966293834082,-12.09694846379064,-1.8125861958066072,-5.99922964654887,20.385365249009798,9.201195184137942,-3.102515396379691,2.5124014602536904,-6.419592483530774,-3.920727157705319,15.514946553497548,-37.35825551072675,0.42057297973538427,-32.1753303010706,7.427248609505044,3.907683679832832,-5.7958112940127755,-18.153152726476776,-12.924740098370473,37.62160475966942,18.38898457010231,28.3725803481059,32.81859006704892,3.263982353620263,29.619316392318364,-26.01621026657208,-15.554998941192114,-34.51041472715345,-14.812158579577545,33.093769466050375,33.802723160648966,-33.77779009965231,-24.950663281701704,-18.238896169692076,-25.913137589441117,29.863203387918016
0.15,0.005005005005005005,5.610544448456933,7.7638388350315015,24.32168591782012,-27.362887178067247,9.720625974498452,26.468369368305076,-17.559171470217205,-36.312559561733984,38.18199386914389,-12.09770119715511,-1.8126927446504784,-5.999437752208564,20.386783405898935,9.201081678269796,-3.1026914132193038,2.5127069982959944,-6.4201860201084795,-3.921372504163496,15.515811094598956,-37.36032194000474,0.42080898693420865,-32.17673965438529,7.428134160754132,3.907935808280892,-5.796420111346533,-18.154258580852893,-12.925587208071128,37.62403885908048,18.38992127189002,28.373949943555843,32.820794230496375,3.264064544063281,29.621204820140417,-26.01744933256349,-15.555895442248879,-34.51243846260471,-14.812834011966538,33.09577406964661,33.80469681376635,-33.78037623852327,-24.952171982411564,-18.23993472166704,-25.91453152358875,29.865056497974592
0.18,0.006006006006006006,5.610858386686149,7.764262570985655,24.32322679007259,-27.364520470293694,9.720753684871319,26.46976488797211,-17.560143264299146,-36.31494093455558,38.184334907755115,-12.098459366589042,-1.812798928038059,-5.999606906699403,20.388251281525427,9.200804632115322,-3.102863374361255,2.513051814072925,-6.420830353945996,-3.922119093078723,15.516662164381831,-37.362343725798134,0.42109915576766,-32.17801719305152,7.429131724611823,3.908193044543261,-5.797093444320434,-18.15536645571204,-12.926449669640084,37.62651852199605,18.390818633718037,28.375237146855817,32.823057204501346,3.264119488363827,29.623123832986884,-26.01860711287947,-15.556781689768707,-34.51444996194402,-14.813455528639627,33.09778410349587,33.80665824257644,-33.783103527362016,-24.95368144181471,-18.240959171349587,-25.91588395371198,29.866925893141907
0.21,0.007007007007007007,5.611168385369543,7.764678418473028,24.32478346887112,-27.3661510367791,9.720790768117473,26.471123977387144,-17.561097227629016,-36.31736018769403,38.18668581249256,-12.099222950941176,-1.8129048433873192,-5.9997373633949485,20.389768827949396,9.200364323062164,-3.10303137350713,2.513435833805831,-6.4215253652294075,-3.9229669638639364,15.517500027518569,-37.36432088760406,0.42144382397244995,-32.1791628398947,7.430241666325629,3.908455339387305,-5.7978312726291055,-18.15647634464821,-12.927327277105245,37.62904337003342,18.391676721574605,28.376442123813042,32.825378747305464,3.26414729781889,29.625073600427182,-26.019683341100915,-15.557657776626854,-34.516449339297786,-14.814023238659127,33.099799595082075,33.8086074458952,-33.785972800475335,-24.955191438838238,-18.241969670649464,-25.917194973619406,29.868811484036566
0.24,0.008008008008008008,5.611474445951143,7.765086504047127,24.326355563393435,-27.36777914979699,9.720737039467508,26.472446881001623,-17.562033117346342,-36.31981675751807,38.189046359619695,-12.099991920716883,-1.8130105912340406,-5.999829389862754,20.39133598350068,9.199761024738839,-3.103195509366563,2.5138589624008962,-6.4222709092030765,-3.92391618443711,15.518324917049902,-37.36625343717486,0.42184336962751157,-32.18017653537403,7.431464374512614,3.908722646257862,-5.798633558430756,-18.157588232404116,-12.928219807086274,37.63161303573753,18.39249562136557,28.37756503030735,32.827758595784445,3.264148078059707,29.62705428341228,-26.0206777599581,-15.55852381013668,-34.51843670671444,-14.814537273689812,33.10182057968506,33.810544408044485,-33.78898492511682,-24.956701727991128,-18.242966365454915,-25.918464674561637,29.870713184754287
0.27,0.009009009009009009,5.611776566462241,7.7654869504213355,24.32794268468654,-27.369405093342277,9.720592306732845,26.4737338725935,-17.562950677610615,-36.322310066577536,38.19141634353857,-12.100766238127763,-1.8131162753175902,-5.999883267767859,20.392952672512063,9.198995007811938,-3.1033558856893944,2.514321083279994,-6.423066816083851,-3.9249668512311224,15.519137034443672,-37.368141378426714,0.42229821133106127,-32.18105823742865,7.43280026089332,3.9089949211674346,-5.799500246395713,-18.158702094893048,-12.929127018939102,37.634227162598926,18.393275438950536,28.378606012212703,32.83019646530002,3.264121929040735,29.629066034327685,-26.021590121065113,-15.5593799119744,-34.52041217414845,-14.814997788096841,33.10384710007496,33.81246909853879,-33.792140801109994,-24.958212039458076,-18.243949395551983,-25.91969314526567,29.87263091272704
0.3,0.01001001001001001,5.612074741476392,7.765879876561763,24.32954444578667,-27.37102916352823,9.720356370465963,26.47498525500602,-17.563849639548938,-36.324839523492145,38.19379557699466,-12.101545857138918,-1.8132220026753862,-5.999899292753752,20.394618805026045,9.198066540854638,-3.1035126113036915,2.5148220581958984,-6.423912890955478,-3.9261190891905633,15.519936549641647,-37.369984707338986,0.4228088084056425,-32.181807921346326,7.434249759990193,3.9092721225731095,-5.8004312637331035,-18.159817899206875,-12.930048654906544,37.63688540506647,18.394016300194625,28.379565205321466,32.83269204954264,3.264068945012529,29.631108997038268,-26.022420184634637,-15.560226218120048,-34.52237584945124,-14.815404959042217,33.105879206186614,33.81438147175862,-33.79544136045624,-24.95972207919894,-18.244918894539925,-25.920880471965717,29.874564588572163
0.32999999999999996,0.011011011011011011,5.612368962069458,7.766265397789551,24.33116046184134,-27.37265166900582,9.720029024133607,26.476201359873457,-17.56472972122269,-36.32740452283752,38.19618389129316,-12.102330723513875,-1.81332788374629,-5.99987777430076,20.39633427647484,9.196975891285923,-3.1036658001595,2.515361727031737,-6.424808913643597,-3.927373051755145,15.520723601094453,-37.37178341184444,0.4233756611313992,-32.182425579654584,7.4358133287894805,3.909554211240209,-5.801426520195604,-18.160935603610124,-12.930984440274893,37.63958742855496,18.394718351035774,28.380442735271103,32.83524502036528,3.263989214478504,29.633183306925066,-26.023167719172655,-15.561062878814866,-34.52432783836881,-14.815758986579526,33.10791695477356,33.81628146661056,-33.79888756692534,-24.9612315290538,-18.245874989742585,-25.922026738430553,29.876514135933707
0.36,0.012012012012012012,5.612659215784826,7.766643625892599,24.33279035023384,-27.374272931405525,9.719610054303264,26.477382547333278,-17.565590627613886,-36.33000444502886,38.19858113652667,-12.103120774857146,-1.8134340324831821,-5.999819035561863,20.398098967333272,9.195723326379904,-3.1038155713781905,2.515939907584583,-6.425754638571728,-3.928728920829269,15.521498295784658,-37.373537471710286,0.4239993110078126,-32.182911222034164,7.43749144636547,3.9098411500926673,-5.802485908062254,-18.162055157519976,-12.931934083536438,37.64233290944792,18.39538175756743,28.381238717473042,32.83785502760844,3.263882820135513,29.63528909091405,-26.02383250115272,-15.56189005853531,-34.5262682445462,-14.816060093746655,33.109960409041165,33.81816900617399,-33.80248041562613,-24.96274004685377,-18.246817802115686,-25.923132025987343,29.878479481316337
0.39,0.013013013013013013,5.612945486603914,7.767014669246637,24.334433730710337,-27.375893285801887,9.719099240843166,26.478529205724136,-17.566432050631875,-36.33263865620258,38.20098718181407,-12.103915940654451,-1.8135405664749957,-5.99972341317591,20.399912742744327,9.194309114344643,-3.1039620493072593,2.516556395333123,-6.426749794598781,-3.9301869067371746,15.522260709238118,-37.37524685841019,0.42468034104411634,-32.183264875254615,7.439284613465857,3.910132904050101,-5.803609302099362,-18.163176501472048,-12.932897276557886,37.64512153509585,18.39600670613659,28.381953257043357,32.84052169891685,3.263749838798205,29.63742646749697,-26.02441431466927,-15.56270793598395,-34.52819716953868,-14.816308526656075,33.11200963825849,33.820043997334515,-33.80622093255478,-24.964247266537637,-18.247747446149916,-25.924196413542035,29.880460553912123
0.42,0.014014014014014014,5.613227754922107,7.767378632945605,24.336090225509867,-27.377513081200856,9.718496357136175,26.47964175126912,-17.567253669141152,-36.33530650809631,38.20340191555031,-12.104716142310638,-1.8136476070785124,-5.999591257058211,20.401775452116958,9.192733525469853,-3.104105363580428,2.51721096318936,-6.427794084838645,-3.93174724816297,15.523010885523641,-37.37691153498728,0.425419376078588,-32.18348658313162,7.4411933520569224,3.910429439851526,-5.804796559499574,-18.164299567071836,-12.933873694754602,37.64795300381007,18.396593403456976,28.382586448734973,32.84324463954798,3.263590341307089,29.6395955467443,-26.024912951069425,-15.563516704097468,-34.5301147128298,-14.81650455458225,33.11406471734842,33.821906330404154,-33.810110174118144,-24.96575279827453,-18.248664029769845,-25.925219977596278,29.88245728542052
