t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0.0,0.0,-23.418919687949305,-3.428438348504553,10.356467363804502,-24.442676199005465,35.72440272413183,-34.16625720428515,10.722573792601905,-20.391058177399255,-1.1225200161754245,-9.348365676270038,-10.494418408801861,35.374254796477764,-23.048891800004434,21.780602964073847,7.743227012148767,16.752357887068097,-36.61904378363509,-35.08698556403335,-26.422713224922006,23.167848714859964,34.09330888215495,6.531786321315081,-32.74280709495658,-37.297139949820334,10.298209737416444,25.170186934994042,28.803431729984236,35.74574022193142,5.876470830674896,12.055595536199753
0.03,0.001001001001001001,-23.42032895611085,-3.4286443625164784,10.357082859114536,-24.444144556416962,35.726543480648225,-34.16830968367887,10.723210764365847,-20.39228435300424,-1.1225960114521703,-9.348928562201179,-10.495054051277407,35.376369809505974,-23.0502798089835,21.78190820507156,7.743689951772308,16.75335615299443,-36.62124478271615,-35.089095693608506,-26.4242990374291,23.169234372006535,34.095354460548236,6.532170693404036,-32.74477306844592,-37.29938064367183,10.298819602018565,25.171689666564134,28.805156359470782,35.7478771444722,5.876820023078958,12.056310340551484
0.06,0.002002002002002002,-23.421633675542587,-3.4288079513101266,10.357725502006845,-24.44557558762298,35.72866839573272,-34.17035151988681,10.723801485933274,-20.393515897512966,-1.1227773234044784,-9.34949133003255,-10.4956512390144,35.37857274500894,-23.05162244020901,21.783270433818362,7.744226337386408,16.754373703789305,-36.62342939106458,-35.09113871231389,-26.42601265897947,23.17058130940372,34.09736203126155,6.5326100461718495,-32.746754966109,-37.30167898119885,10.299490178189442,25.173184582354654,28.806869489294982,35.74997547216901,5.877047379931711,12.056912895823585
0.09,0.003003003003003003,-23.4228343127277,-3.4289290466706697,10.35839512749748,-24.44696954089077,35.730777723555406,-34.17238240531889,10.724346294966988,-20.39475247497297,-1.1230638533252504,-9.350053565250247,-10.496209822793602,35.38086339601299,-23.05291996623688,21.78468968291989,7.744836191729093,16.7554105887499,-36.6255979121622,-35.09311434700122,-26.42785371256903,23.171889662043185,34.09933110644145,6.533104440522717,-32.74875236223808,-37.304034650306974,10.300221471623033,25.174671310590597,28.808570791023676,35.75203489770572,5.877152611849537,12.057402989307484
0.12,0.004004004004004004,-23.423931272629623,-3.4290075712156574,10.359091559675084,-24.448326668785022,35.73287170986871,-34.17440204784153,10.724845510014957,-20.39599376158466,-1.1234555024869783,-9.350614858851495,-10.496729639355195,35.383241537285734,-23.054172647910224,21.786165984232454,7.745519534296602,16.756466827001336,-36.62775063404769,-35.09502233173875,-26.42982181289398,23.173159564664978,34.10126123937663,6.533653930984725,-32.750764842626694,-37.30644732991639,10.30101346527147,25.176149478893333,28.810259942568376,35.75405511989744,5.877135433717489,12.05778039820923
0.15,0.005005005005005005,-23.424924898738286,-3.429043438246942,10.359814611685879,-24.449647228257458,35.734950591978254,-34.17641017083952,10.72529943050874,-20.397239445477258,-1.1239521717447942,-9.351174807577477,-10.497210511368069,35.38570692502436,-23.055380734259064,21.787699368870058,7.746276381232135,16.757542407299752,-36.62988782954096,-35.09686240780326,-26.43191656582432,23.17439115150454,34.10315202437872,6.534258565655047,-32.75279200456016,-37.308916690152486,10.301866119185119,25.177618714376322,28.811936628251484,35.75603584372152,5.876995565150634,12.05804488964216
0.18,0.006006006006006006,-23.4258154730808,-3.4290365516071892,10.360564085696009,-24.450931480729533,35.73701459870617,-34.178406513276045,10.725708336755398,-20.39848922650574,-1.1245537611270446,-9.351733014137004,-10.497652247396042,35.38825929651002,-23.05654446239857,21.78928986720405,7.747106745210951,16.758637287838045,-36.632009756456455,-35.09863432366236,-26.434137567852574,23.175584556040977,34.10500309666544,6.534918386153401,-32.75483345681975,-37.31144239254226,10.302779370320332,25.179078643744827,28.813600538860616,35.757976780334936,5.876732730993834,12.058196220631022
0.21,0.007007007007007007,-23.426603216195844,-3.4289868055409776,10.36133977283162,-24.452179692168286,35.739063950346434,-34.18039082975067,10.726072489922503,-20.39974281606925,-1.1252601694139786,-9.352289087421145,-10.498054641861254,35.39089836972885,-23.057664057425562,21.790937508855464,7.7480106353217595,16.759751396054874,-36.63411665780588,-35.1003378349471,-26.43648440551866,23.17673991074662,34.106814132246384,6.535633427583982,-32.756888819700606,-37.31402409021629,10.303753132315247,25.18052889339964,28.81525137169096,35.759877647077715,5.876346661860167,12.058234138127958
0.24,0.008008008008008008,-23.427288287071182,-3.428894084560497,10.36214145309711,-24.45339213315543,35.74109885861181,-34.18236289055502,10.726392132015937,-20.400999936951592,-1.1260712937051764,-9.352842642709007,-10.49841747500501,35.39362384296007,-23.05873973231297,21.792642322679917,7.748988056944346,16.76088462844746,-36.63620876199042,-35.101972704415076,-26.438956654811815,23.17785734683794,34.10858484781149,6.536403718506065,-32.75895772504348,-37.31666142811641,10.304787295233963,25.181969089544804,28.81688883057568,35.76173816746227,5.8758370947081575,12.058158379040739
0.27,0.009009009009009009,-23.427870783043733,-3.4287582633159057,10.362968895272035,-24.454569078949664,35.743119526571945,-34.184322481726056,10.726667485850164,-20.402260323184343,-1.1269870289763892,-9.353393301864768,-10.498740512846357,35.3964353943319,-23.05977168780194,21.79440433674508,7.750039011623417,16.762036850388863,-36.63828628298264,-35.10353870190405,-26.441553880550597,23.1789369940279,34.11031500062242,6.53722928091348,-32.76103981628038,-37.319354043208875,10.305881725279514,25.183398858299352,28.818512625904365,35.76355807114836,5.875203773457883,12.057968670273691
