t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
0.0,0.0,5.744221254608909,-0.6313423611721098,-32.980709573570124,-31.27001382525406,26.178434947096395,9.43694779179283,-35.38246837044567,22.641286765238327,11.815595042616225,5.188690986077657,26.574626134934146,13.378810365102183,-17.928736829980238,-14.07003831125397,-9.058151926263765,-9.92491253170171,-20.659566452526782,2.8492246806977892,8.94767838755976,14.561509464214172,-41.96058938259816,30.082073406567474,-17.761985902162195,28.692710408521013,22.93789863230621,11.481668628967158,-20.48936852156885,7.2502441398120725,25.118239946474702,21.948435936960344,33.20885215395764,-26.516437809039257,-6.079639095635024,16.539232362063945,-26.014011051904703,16.248538394327834,32.74668768484784,11.039017227516014,29.16075129802613,-37.725894788279106,-21.493050001441663,-29.45048787369293,11.249020487771736,-9.069983381954719,-32.5498456691344
0.03,0.001001001001001001,5.744558066545394,-0.6313886444626134,-32.98269756701593,-31.27189919701223,26.180000648008257,9.437512084830558,-35.384599460581946,22.642642000993405,11.816301973045027,5.188998578472696,26.576212211314385,13.379604347360397,-17.92982075580566,-14.070885430844454,-9.05870392180372,-9.925513879528907,-20.66080932542299,2.8493942435262487,8.948208342153064,14.56238089266616,-41.96311217305953,30.08386952959783,-17.76305419139471,28.694422715573182,22.93927319515046,11.482356738371777,-20.490606398281695,7.250674759972904,25.11974382495557,21.94974593283409,33.21083909619746,-26.51803704061748,-6.080007713929727,16.540219954731068,-26.01557516706977,16.24951076852865,32.74864631138556,11.039671087671321,29.162499061237234,-37.72816163917139,-21.49434898231135,-29.452259630069573,11.249691701845963,-9.070531788526537,-32.55180229157938
0.06,0.002002002002002002,5.744720377589759,-0.6315184759849013,-32.98470836772982,-31.273798560045417,26.181563612291043,9.43814733222555,-35.38680264269512,22.643957645608996,11.81695327391794,5.189329956082715,26.57775247362065,13.380412297535443,-17.930878723841055,-14.071757862378687,-9.059197927450255,-9.926035551175922,-20.66193973948707,2.8495537517148013,8.948741742265371,14.563232372876332,-41.965571342202445,30.085707664867936,-17.764113734064463,28.696213201278173,22.940696259586474,11.483036228427988,-20.491820802060236,7.25108183068176,25.121167758682855,21.95120314041652,33.21278451301189,-26.51964296959484,-6.080340573308808,16.54122794886847,-26.01718676657655,16.250441135243655,32.75059892739358,11.040211852338368,29.16426067127056,-37.730367458353,-21.49559589356233,-29.453994962041456,11.25032684957815,-9.071074271721058,-32.55381332462246
0.09,0.003003003003003003,5.744708115956543,-0.6317318975740482,-32.986741201551695,-31.275711925229583,26.18312405121946,9.438853718115574,-35.389078165033794,22.645233581860154,11.817549029674364,5.189684836077733,26.579247076113006,13.381234176267121,-17.931910780900466,-14.072655780118094,-9.059633749305899,-9.926477279977405,-20.662957548361607,2.849703102817206,8.949278589802326,14.564064191953292,-41.96796714780011,30.08758769764272,-17.765164749565404,28.698082092885365,22.942167892955137,11.483706810022705,-20.493011659161112,7.251465238638685,25.122511727963456,21.95280778782154,33.214688766815534,-26.521255435361844,-6.080637757104483,16.542256148226407,-26.018845812292245,16.251329440427234,32.752545615653894,11.04063918486082,29.16603613400012,-37.7325126036622,-21.496790418279964,-29.455694153045282,11.250925825953663,-9.071610701703044,-32.555879199216704
0.12,0.004004004004004004,5.7445211701053545,-0.6320289296122948,-32.98879529954072,-31.277639314486468,26.18468217044568,9.439631456733746,-35.39142626137662,22.646469711151543,11.818089322314034,5.190062928807003,26.58069618157217,13.382069942019294,-17.932916969218084,-14.073579355627645,-9.060011204481475,-9.926838789794958,-20.66386265791141,2.8498422072341807,8.949818900312813,14.564876654157636,-41.97029984010078,30.08950947941055,-17.766207454490427,28.700029655173964,22.943688145786453,11.484368184127907,-20.494178901114434,7.251824865239746,25.1237756944309,21.954560085229584,33.21655220937088,-26.52287429821515,-6.080899355694991,16.543304376416117,-26.020552278385733,16.25217565773701,32.75448646252671,11.04095279887262,29.16782545916744,-37.73459744292716,-21.49793224728305,-29.457357488647354,11.251488538671742,-9.07214093799559,-32.558000361631656
0.15,0.005005005005005005,5.744159389045535,-0.6324095709113089,-32.990869898272216,-31.27958076082352,26.186238170182996,9.440480792300335,-35.393847151027366,22.647665953585893,11.818574231502707,5.190463937722215,26.58209996121853,13.382919550957517,-17.933897326473087,-14.074528757813985,-9.060330121042808,-9.927119794991608,-20.664655026358876,2.8499709882692903,8.950362702992237,14.565670081065083,-41.972569661720186,30.091472827730176,-17.767242062706128,28.702056190259906,22.945257051573314,11.48502004200469,-20.495322464743094,7.252160586555451,25.124959601002427,21.95646022433518,33.21837518176757,-26.524499439424428,-6.081125466517606,16.544372477034177,-26.022306151209317,16.252979788586867,32.75642155801027,11.041152458428922,29.169628660222212,-37.736622353760616,-21.499021079113668,-29.45898525653921,11.25201490821722,-9.072664829449852,-32.56017727319276
0.18,0.006006006006006006,5.743622582739812,-0.6328737985830455,-32.99296424011448,-31.281536308373603,26.18779224538779,9.441401998904043,-35.39634103879409,22.648822248042705,11.81900383468658,5.19088755930854,26.583458594632045,13.383782956827357,-17.934851885821164,-14.075504152968534,-9.06059033797073,-9.927320000396211,-20.66533466443882,2.850089382190606,8.950910040682293,14.56644481173525,-41.97477684752991,30.0934775260685,-17.768268785424755,28.704162037384148,22.946874626529446,11.48566206540151,-20.496442292184934,7.252472273298418,25.12606337183155,21.958508377734795,33.220158014409684,-26.526130761289863,-6.081316194100931,16.545460313769166,-26.02410742916628,16.253741862195305,32.75835099580551,11.041237978133204,29.171445754161578,-37.738587723365804,-21.500056620028268,-29.460577746529797,11.252504867919871,-9.07318221421823,-32.56241041000118
0.21,0.007007007007007007,5.742910522608084,-0.6334215678995005,-32.99507757348548,-31.28350601243447,26.18934458593992,9.442395380371957,-35.39890811495262,22.649938552267102,11.81937820721555,5.191333483023845,26.58477226967295,13.384660110833645,-17.935780675932683,-14.076505704815649,-9.0607917051348,-9.927439101257999,-20.66590163557282,2.8501973382980332,8.951460969867084,14.567201202886073,-41.976921624541525,30.095523323629802,-17.76928783127337,28.706347572681235,22.948540869331538,11.48629392674658,-20.497538330917823,7.252759790780254,25.127086912256196,21.9607046982547,33.221901027010986,-26.52776818719015,-6.081471650116502,16.546567770490306,-26.025956122563972,16.254461935628875,32.760274873385626,11.041209223260985,29.173276761367955,-37.740493948353226,-21.501038583990326,-29.46213525053411,11.252958364001463,-9.073692919731348,-32.56470026263329
0.24,0.008008008008008008,5.742022942132766,-0.6340528121417537,-32.99720915308931,-31.285489939507983,26.19089537682148,9.443461270127282,-35.40154855519431,22.651014842968628,11.81969742247542,5.19180139124641,26.586041182403296,13.385550961520872,-17.936683721037518,-14.07753357456587,-9.060934083281197,-9.927476783191441,-20.666356056063027,2.8502948189961823,8.952015560665417,14.567939629073832,-41.979004211786396,30.097609935176965,-17.77029940636022,28.708613208926902,22.950255760845696,11.486915289334293,-20.49861053378755,7.2530229988576735,25.128030108742475,21.963049318218815,33.223604528597896,-26.529411661620827,-6.081591953449714,16.54769475131772,-26.02785225345223,16.255140093840403,32.762193292070585,11.041066109880466,29.175121705445328,-37.7423414345678,-21.501966692664812,-29.463658062558352,11.253375355610604,-9.074196762679225,-32.567047335818806
0.27,0.009009009009009009,5.740959537567427,-0.6347674424387953,-32.99935824013242,-31.287488167339152,26.192444798293984,9.444600031033824,-35.404262520558255,22.652051115929826,11.81996155202919,5.192290959231468,26.587265537009266,13.386455454654977,-17.93756104097647,-14.078587920974382,-9.061017344035228,-9.927432722111655,-20.66669809530515,2.850381799872604,8.952573896819134,14.56866048287879,-41.981024820190974,30.0997370408455,-17.771303714338362,28.710959395263306,22.95201926383834,11.48752580750564,-20.499658859038572,7.253261751867828,25.128892828824256,21.96554234865651,33.22526881752008,-26.53106115022267,-6.081677230290094,16.548841180673936,-26.02979585544676,16.255776449701653,32.7641063571066,11.040808604970282,29.176980613053892,-37.7441305969258,-21.502840675414745,-29.465146478681508,11.253755814845482,-9.074693548996988,-32.569452148096744
