t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
0.0,0.0,9.986437589259042,-31.439002606503603,-15.027958540212213,5.391032856023813,-8.17509512042066,2.165880862238954,-36.32439693332403,-25.46386075574212,-25.894910169494693,21.8857468388922,-6.818700384554297,-0.16500516168366353,18.81079483423071,15.047528402799383,13.584719823708825,19.719097467196324,26.252385799184125,21.549553059220298,-18.929578378404607,15.5281302993712
0.03,0.001001001001001001,9.987027869373957,-31.44089099580408,-15.028860859402775,5.391352842595698,-8.17559492979813,2.1660098827528964,-36.326582219280205,-25.465393647572043,-25.896468477028268,21.88705225850503,-6.81911663905717,-0.1650187379696813,18.811921266786303,15.048429823922667,13.585528112592316,19.720272043938817,26.253956546995607,21.550839689120444,-18.93072175488392,15.529057705997516
0.06,0.002002002002002002,9.987562824939342,-31.442793052453084,-15.029720053858261,5.391704313259782,-8.176088545067227,2.166137906933922,-36.328738350566184,-25.466963403497754,-25.897973218387275,21.888369830770127,-6.819513309877212,-0.16501856772418474,18.81301801731308,15.049341281705932,13.586339460957587,19.72145066415465,26.255521383576944,21.552078208390345,-18.93189097671138,15.529975367925832
0.09,0.003003003003003003,9.988042477907197,-31.444708464187386,-15.030536239896586,5.392087135019197,-8.176575989679856,2.1662650913588863,-36.330865278650194,-25.46856994391983,-25.899424366825073,21.889699704178632,-6.819890619446368,-0.16500487097396913,18.814084720905235,15.050262953188161,13.587153913821972,19.722633424929498,26.257080194218805,21.553268703901495,-18.933086081140146,15.530883317075318
0.12,0.004004004004004004,9.98846685079352,-31.44663691980447,-15.031309525114393,5.392501173025618,-8.177057286832145,2.166391583929471,-36.33296295763116,-25.470213181682503,-25.900821901036863,21.891042024437347,-6.820248787633478,-0.16497787311176967,18.815121022353456,15.05119500960838,13.587971515379392,19.723820421611453,26.258632865811315,21.554411262845356,-18.934307100986793,15.531781585823254
0.15,0.005005005005005005,9.988835966677623,-31.448578109334544,-15.032040008420202,5.392946290496479,-8.177532459495259,2.166517523949395,-36.33503134414884,-25.47189302202777,-25.90216580514339,21.89239693454074,-6.820588031820043,-0.16493780483270576,18.816126576169026,15.05213761646264,13.58879230898178,19.725011747778986,26.260179286866933,21.555505972674485,-18.935554064659975,15.53267020706962
0.18,0.006006006006006006,9.989149849202727,-31.450531724210176,-15.032727780066859,5.39342234863375,-8.178001530446084,2.166643042198683,-36.33707039729638,-25.47360936255062,-25.90345606867457,21.89376457484298,-6.820908566974563,-0.16488490206837572,18.81710104660665,15.05309093356044,13.589616337120859,19.72620749520761,26.261719347542325,21.556552921045743,-18.936826996189144,15.53354921429998
0.21,0.007007007007007007,9.989408522577863,-31.452497457433438,-15.033372921683293,5.39392920654432,-8.178464522297775,2.166768261005024,-36.339080078535304,-25.475362093155415,-25.904692686553158,21.895145083129997,-6.821210605725403,-0.16481940591867505,18.81804410768605,15.054055115080617,13.59044364141031,19.727407753835134,26.263252939659196,21.557552195765602,-18.9381259152533,15.53441864164662
0.24,0.008008008008008008,9.989612011581075,-31.45447500374044,-15.033975506305577,5.394466721162013,-8.178921457530164,2.16689329431224,-36.341060351612924,-25.477151096013642,-25.90587565907858,21.896538594691645,-6.821494358432186,-0.16474156258141157,18.81895544321238,15.055030309626684,13.591274262568337,19.72861261172554,26.264779956724126,21.558503884737647,-18.939450837209765,15.53527852394797
0.27,0.009009009009009009,9.989760341563949,-31.45646405976315,-15.034535598407272,5.395034747171263,-8.17937235852002,2.167018247745892,-36.34301118248224,-25.47897624552307,-25.907004991910995,21.89794524239393,-6.821760033255668,-0.1646516232797908,18.819834746795493,15.056016660281696,13.59210824040061,19.729822155031453,26.266300293947346,21.559408075912287,-18.940801773122995,15.536128896806247
0.3,0.01001001001001001,9.989853538457446,-31.458464324188352,-15.035053253929087,5.3956331369324975,-8.17981724757117,2.1671432186760584,-36.34493253922433,-25.48083740826851,-25.90808069605573,21.89936515675138,-6.822007836226096,-0.16454984418784502,18.820681721868066,15.057014304662617,13.592945613783622,19.731036467955175,26.267813848260474,21.560264857238757,-18.942178729793387,15.536969796643373
0.32999999999999996,0.011011011011011011,9.989891628779068,-31.460475497913688,-15.035528520307835,5.396261740409247,-8.180256146944467,2.167268296277308,-36.346824391973215,-25.482734442984246,-25.90910278784814,21.900798465999532,-6.8222379713100105,-0.16443648635387936,18.82149608170268,15.058023374974244,13.59378642064845,19.73225563270829,26.269320518333213,21.561074316619425,-18.943581709786113,15.537801260755094
0.36,0.012012012012012012,9.98987463964134,-31.462497284200605,-15.035961436504701,5.39692040509704,-8.180689078887582,2.1673935615859072,-36.34868671284328,-25.484667200518327,-25.91007128893902,21.902245296167603,-6.822450640475491,-0.16431181562200822,18.82227754942782,15.05904399806267,13.594630697964927,19.733479729469796,26.270820204588986,21.561836541866484,-18.945010711459943,15.538623327363352
0.39,0.013013013013013013,9.989802598761615,-31.464529388824158,-15.036352033032815,5.397608975954112,-8.181116065664627,2.1675190875542905,-36.350519475859215,-25.486635523798782,-25.910986226280613,21.90370577115131,-6.822646043755804,-0.16417610255185525,18.823025858042882,15.060076295468354,13.59547848172622,19.734708836342737,26.272312809219496,21.562551620661026,-18.946465728996067,15.53943603566686
0.42,0.014014014014014014,9.989675534473214,-31.466571520219528,-15.03670033198415,5.398327295333973,-8.181537129585598,2.167644939102834,-36.35232265688845,-25.48863924780192,-25.911847632113357,21.905180012785898,-6.822824379311457,-0.16402962233649007,18.82374075043217,15.061120383478782,13.596329806933845,19.735943029309357,26.27379823619822,21.56321964051459,-18.94794675242687,15.5402394258899
0.44999999999999996,0.015015015015015015,9.989493475737866,-31.468623389625172,-15.037006347055748,5.399075202919886,-8.181952293035605,2.1677711731689637,-36.35409623357621,-25.490678199522854,-25.912655543953356,21.90666814091939,-6.822985843490626,-0.16387265471867488,18.824421979377924,15.062176373180753,13.5971847075831,19.737182382184706,26.275276391292827,21.563840688733148,-18.949453767664696,15.541033539329343
0.48,0.016016016016016016,9.989256452159477,-31.47068471122251,-15.037270083575276,5.399852535661297,-8.182361578503894,2.1678978387536434,-36.35584018528309,-25.49275219794836,-25.913410004580733,21.908170273486036,-6.8231306308879445,-0.16370548390549333,18.825069307572427,15.063244370512319,13.598043216648925,19.738426966568706,26.276747182076495,21.564414852383642,-18.950986756530554,15.541818418399856
0.51,0.017017017017017015,9.9889644939992,-31.472755202272033,-15.03749153852595,5.400659127712266,-8.18276500861263,2.1680249769652744,-36.3575544930252,-25.49486105403219,-25.914111062028876,21.909686526580018,-6.823258934401639,-0.1635283984814349,18.825682507629164,15.06432447631438,13.598905366072191,19.73967685179663,26.278210517938145,21.564942218263035,-18.952545696782746,15.542594106677353
0.54,0.018018018018018018,9.988617632191815,-31.47483458324576,-15.037670700570796,5.401494810371953,-8.18316260614543,2.168152621061054,-36.35923913941684,-25.497004570672985,-25.91475876957465,21.911217014529406,-6.823370945288984,-0.16334169132000653,18.82626136209307,15.065416786381977,13.599771186746437,19.740932104888007,26.27966631009157,21.565422872869927,-18.954130562145433,15.543360648940624
0.57,0.01901901901901902,9.988215898363396,-31.476922577955943,-15.037807550076309,5.402359412027209,-8.183554394075617,2.1682807964858344,-36.36089410861584,-25.49918254269493,-25.91535318572964,21.91276184997037,-6.823466853220076,-0.163145659493944,18.826805663449917,15.066521391515282,13.600640708505031,19.742192790493874,26.281114471583454,21.56585690237879,-18.955741322337108,15.5441180912112
0.6,0.02002002002002002,9.987759324850266,-31.47901891367996,-15.037902059135488,5.403252758097319,-8.183940395594192,2.1684095209085217,-36.36251938627135,-25.501394756831225,-25.915894374232455,21.91432114392167,-6.823546846329897,-0.16294060418409448,18.827315214134785,15.06763837757033,13.60151396010878,19.743458970842415,26.282554917300267,21.566244392616778,-18.957377943098926,15.544866480791416
0.63,0.02102102102102102,9.987247944719218,-31.48112332128125,-15.037954191590295,5.40417467098096,-8.184320634137471,2.168538804256065,-36.36411495947433,-25.503640991710576,-25.916382404042164,21.91589500585942,-6.823611111268659,-0.16272683058704204,18.827789826539675,15.068767825509484,13.602390969233985,19.744730705682905,26.28398756397406,21.566585429043197,-18.959040386222938,15.54560586630071
0.6599999999999999,0.022022022022022022,9.986681791789003,-31.48323553532631,-15.037963903053528,5.405124970005425,-8.18469513341439,2.1686686487450797,-36.365680816710494,-25.505921017846738,-25.916817349332856,21.91748354379216,-6.823659833250405,-0.16250464782154658,18.828229323020263,15.069909811451693,13.603271762460931,19.746008052227964,26.28541233018711,21.566880096731612,-18.960728609580134,15.546336297710118
0.69,0.023023023023023025,9.98606090065306,-31.485355294197582,-15.037931140930159,5.40610347137817,-8.185063917433437,2.1687990489111484,-36.367216947815926,-25.50823459763133,-25.917199289489417,21.9190868643362,-6.823693196099863,-0.1622743688338671,18.828633535901766,15.071064406722513,13.604156365262837,19.747291065094075,26.286829136375452,21.567128480354622,-18.96244256714834,15.547057826375035
0.72,0.024024024024024024,9.98538530670347,-31.48748234020222,-15.037855844438122,5.407109988140733,-8.185427010529185,2.168929991635857,-36.36872334393521,-25.51058148532997,-25.917528309104508,21.920705072791304,-6.823711382297528,-0.16203631030203913,18.82900230748397,15.072231677903964,13.605044801995241,19.748579796240364,26.288237904831256,21.56733066417131,-18.96418220903991,15.547770505066175
0.75,0.025025025025025023,9.984655046156137,-31.489616419676654,-15.037737944628612,5.408144330125096,-8.185784437388397,2.169061456171606,-36.37019999748214,-25.51296142708189,-25.91780449797676,21.922338273216628,-6.823714573022954,-0.16179079253917608,18.829335490045374,15.073411686884205,13.60593709588585,19.74987429490559,26.289638559704066,21.56748673201737,-18.96594748152919,15.548474387998807
0.78,0.026026026026026026,9.983870156077144,-31.491757283086873,-15.037577364405898,5.409206303912538,-8.18613622307568,2.169193414164254,-36.37164690210301,-25.515374160903157,-25.918027951110265,21.92398656850703,-6.823702948196254,-0.16153813939586298,18.829632945846445,15.07460449090706,13.606833269024813,19.751174607543327,26.291031027000894,21.56759676729796,-18.967738327079733,15.549169530860226
0.8099999999999999,0.02702702702702703,9.9830306744103,-31.4939046851244,-15.037374018546675,5.410295712795034,-8.186482393058641,2.169325829673643,-36.37306405264244,-25.517819416693563,-25.91819876871528,21.925650060469646,-6.823676686517772,-0.1612786781617115,18.82989454713203,15.075810142621428,13.607733342355479,19.752480777755288,26.292415234585157,21.567660852983185,-18.969554684371257,15.549855990835498
0.84,0.028028028028028028,9.98213664000583,-31.49605838479786,-15.037127813718996,5.41141235673927,-8.18682297323253,2.1694586591920566,-36.37445144511177,-25.520296916247357,-25.918317056210228,21.927328849900817,-6.8236359655059315,-0.16101273946614345,18.830120176132827,15.077028690130584,13.60863733566557,19.753792846222815,26.293791112174457,21.56767907160636,-18.971396488326295,15.55053382663148
0.87,0.029029029029029027,9.981188092650198,-31.498218145520138,-15.036838648500806,5.412556032353314,-8.187157989944321,2.169591851660669,-36.37580907666,-25.52280637326793,-25.918382924224982,21.92902303666331,-6.823580961533224,-0.16074065717847,18.830309725065952,15.078260177041383,13.609545267578829,19.75511085063643,26.295158591337202,21.567651505264916,-18.973263670136507,15.551203098499133
0.8999999999999999,0.03003003003003003,9.980185073097035,-31.500383735191047,-15.036506413398111,5.413726532856024,-8.1874874700162,2.169725348484036,-36.37713694554727,-25.525347493386494,-25.91839648860537,21.93073271976386,-6.823511849860341,-0.16046276830733255,18.830463096134597,15.079504642513406,13.610457155547099,19.75643482562349,26.296517605488063,21.567578235624033,-18.975156157288655,15.551863868254138
0.9299999999999999,0.031031031031031032,9.979127623099151,-31.502554926275465,-15.036130990862809,5.414923648049221,-8.187811440768424,2.1698590835426845,-36.37843505112089,-25.527919974184957,-25.91835787041897,21.932457997431047,-6.823428804668413,-0.16017941289957097,18.830580201526686,15.080762121308068,13.611373015842862,19.75776480267385,26.29786808988226,21.567459343922955,-18.97707387359016,15.552516199295829
0.96,0.03203203203203203,9.978015785441599,-31.504731495876925,-15.03571225531023,5.4161471642927115,-8.188129930041528,2.169992983203861,-36.379703393793854,-25.53052350522301,-25.91826719596212,21.93419896719346,-6.823331999089355,-0.1598909339385834,18.830660963412594,15.082032643837683,13.612292863552213,19.759100810063554,26.299209981608684,21.567294910983996,-18.979016739194265,15.553160156624468
