t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
0.0,0.0,-23.51274834737365,33.6054623270328,14.49161381887246,7.550867235941239,-34.27045888943336,-15.749120604286592,-10.278492739252227,24.566873420713474,23.749611157319453,3.273759883455289,-35.992505675096965,9.953235712521945,11.007752747981991,-0.16443987514661845,34.39645992398838,-17.914200682703342,2.294248291424011,6.111048407435452,20.33509420363156,-23.56115087222806,30.32708650012948,13.16382978634795,-38.192333212285384,-10.138370131487717,19.51131587913947,-10.108135930809294,-10.783006488466054,-1.7973101466582002,-9.669421899111997,-14.796815989237425,-33.03356637177649,8.774015131169474,29.534546816066385
0.03,0.001001001001001001,-23.514162933330308,33.60747438511406,14.492475680271303,7.55131621378957,-34.27252343879987,-15.750067319458234,-10.279115208085695,24.56834691630096,23.75103594657662,3.2739555616047546,-35.994674720357544,9.953830428311075,11.008404708921208,-0.16445404211575082,34.39851440850126,-17.915275804628976,2.2943775787630964,6.111412688224143,20.336308098810054,-23.562572443330055,30.32889718563049,13.164614279311268,-38.19462765947977,-10.13897885867321,19.51247878278266,-10.108748702185078,-10.783654461158624,-1.7974237441290326,-9.670008283252464,-14.797705536162598,-33.0355504527961,8.77453304542892,29.5363110874193
0.06,0.002002002002002002,-23.515514773329876,33.609388504801046,14.493351226423815,7.551799674286711,-34.274620722739755,-15.751005683930067,-10.279782247137653,24.569773046607953,23.752511022827253,3.2740489205946757,-35.996791069952415,9.95440908111731,11.009016358475856,-0.16446822799357852,34.40055427108841,-17.916255950590322,2.2945707814794507,6.111799091889179,20.33753429325643,-23.563929475866225,30.330671932914846,13.165426844185287,-38.19691292957071,-10.139577585578575,19.513639780303805,-10.109379921123773,-10.784182767037304,-1.797609860339189,-9.670597651792425,-14.798694536802097,-33.037538570604625,8.775037907655193,29.538072624298795
0.09,0.003003003003003003,-23.516803456451182,33.61120397452961,14.494240552583825,7.5523176765679905,-34.27675083766637,-15.751935755027306,-10.280493951897483,24.571151970403125,23.754036608012598,3.2740399971225287,-35.99885441212007,9.954971722730784,11.009587641355864,-0.16448243021305134,34.40257973060611,-17.917141142251737,2.2948280601390443,6.112207731746317,20.338772586453068,-23.565222068695242,30.332410796476644,13.166267441175144,-38.19918954763104,-10.140166508669486,19.514798867499962,-10.110029559862856,-10.784591356533728,-1.7978684953830402,-9.671189975813244,-14.799783016820085,-33.039530394612456,8.775529561441639,29.539831378621553
0.12,0.004004004004004004,-23.518028587226933,33.61292015123728,14.49514375796002,7.552870283212176,-34.27891389381973,-15.752857593067457,-10.281250387479629,24.57248386149466,23.755612919900777,3.273928805024113,-36.000864454037256,9.955518405955704,11.010118483979902,-0.1644966552512937,34.40459099215362,-17.917931382037068,2.295149585229922,6.112638741126586,20.34002278850199,-23.56645031387764,30.334113822797235,13.167136029148471,-38.20145803969481,-10.14074581397959,19.515956047281176,-10.110697593500792,-10.784880196494052,-1.798199700081355,-9.671785223794554,-14.800970997736759,-33.041525607832504,8.77600786405332,29.541587288671895
0.15,0.005005005005005005,-23.51918978585292,33.61453646027113,14.496060945596628,7.553457560231884,-34.28111001511579,-15.75377126131686,-10.28205158855479,24.57376890882179,23.757240172070645,3.2737153349893195,-36.00282092183623,9.956049184597086,11.010608794473988,-0.16451091870573414,34.40658824697484,-17.918626652863914,2.295535537251112,6.113092273414523,20.341284720159827,-23.56761429646342,30.335781050372518,13.168032565648948,-38.203718933028206,-10.141315677054761,19.517111329769495,-10.111383999933567,-10.785049270169644,-1.7986035760987347,-9.672383361677712,-14.802258496782153,-33.0435239069128,8.776472686418723,29.543340279122205
0.18,0.006006006006006006,-23.52028668837869,33.61605239528584,14.496992222260106,7.554079577066009,-34.28333933898577,-15.75467682595505,-10.282897559292696,24.575007316534897,23.758918573894814,3.2733995543224643,-36.004723560619176,9.956564113450359,11.01105846266806,-0.16452524537161076,34.40857167235473,-17.919226917902577,2.2959861068031127,6.113568502108788,20.342558212879045,-23.56871409428457,30.337412509734243,13.168957006911366,-38.20597275640319,-10.14187626289374,19.51826473240934,-10.112088759789808,-10.785098577242033,-1.799080276078388,-9.672984352924816,-14.803645526741136,-33.04552500217199,8.776923913119663,29.54509026104983
0.21,0.007007007007007007,-23.52131894687998,33.61746751813384,14.497937698331613,7.554736406573885,-34.285602016205274,-15.75557435604683,-10.283788273316373,24.576199304064165,23.760648330521825,3.272981406747026,-36.00657213447009,9.957063248293894,11.011467360090448,-0.16453966932094055,34.41054143151043,-17.919732120359853,2.2965014946800117,6.114067620905276,20.343843108855435,-23.56974977775274,30.339008223465367,13.169909307878115,-38.20822004037408,-10.142427725884982,19.51941628008923,-10.112811856364402,-10.785028133882621,-1.7996300037944413,-9.673588158573175,-14.805132095789578,-33.04752861763772,8.777361442379535,29.546837131950404
0.24,0.008008008008008008,-23.52228622961321,33.6187814587492,14.498897487705054,7.5554281250309305,-34.287898210713315,-15.75646392352197,-10.28472367366789,24.57734510617676,23.762429642857477,3.272460812254706,-36.008366426464264,9.957546645884532,11.011835339960221,-0.16455423398304989,34.412497673476906,-17.92014218328792,2.2970819119632684,6.114589843802797,20.345139261081833,-23.570721409662262,30.340568206209383,13.170889422217023,-38.210461317557225,-10.142970209739518,19.520566005274976,-10.113553275550542,-10.784837972847539,-1.8002530143219195,-9.674194737285081,-14.806718207321701,-33.0495344910878,8.777785186050071,29.548580775747492
0.27,0.009009009009009009,-23.523188221152278,33.61999391502664,14.499871707690465,7.556154812125572,-34.290228099420965,-15.757345603162486,-10.285703672785573,24.57844497302255,23.764262707545278,3.271837666998801,-36.01010623867561,9.95801436395616,11.0121622371774,-0.16456899222677215,34.414440532987044,-17.92045700941857,2.2977275801171935,6.115135405231458,20.34644653340807,-23.571629044998662,30.34209246467363,13.171897302340469,-38.21269712291406,-10.14350384741964,19.521713948154353,-10.114313005770107,-10.784528143607986,-1.8009496142244679,-9.674804045392827,-14.808403859768605,-33.05154237409424,8.778195069596736,29.550321062798453
0.3,0.01001001001001001,-23.52402462250792,33.62110465269715,14.500860478922547,7.556916550957252,-34.292591872009574,-15.758219472597444,-10.286728152492756,24.57949917016828,23.766147716946048,3.2711118432319495,-36.01179139218195,9.958466461221393,11.012447868311028,-0.1645840064444285,34.41637013034608,-17.92067648102314,2.2984387310861516,6.1157045602038655,20.347764800607127,-23.572472730752914,30.343580997626518,13.172932899425655,-38.2149279940377,-10.144028761063238,19.52286015679343,-10.115091037902316,-10.78409871251632,-1.8017201617598315,-9.675416036938884,-14.810189046407979,-33.05355203206998,8.77859103208284,29.552057849896485
