t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
0.0,0.0,38.032578048255104,2.4663326975102944,-17.235295395212628,-20.040026084332602,5.8812077144630655,-0.6349334089057246,-22.10885532166341,39.62440746073208,33.388513979418995,-23.42932690727902,-18.260817600936893,-16.27179323270767,32.09639351524029,3.880404115414898,4.779932950671035,-3.0254246615797347,38.22886606611857,-27.864589534388625,42.95923679208167,-12.000874622973576,-12.42612577602309,-6.653999853881599,-19.473446109075514,4.903883444921176,-21.063016266575442,19.719461519561584,-21.099640434020984,6.052108189936926,21.30902003807701,-14.829494692554242,-9.390118479147972,18.32204151850183,13.617363972754356,-12.909626234221315,-16.433565569997814,-28.094642397109485
0.03,0.001001001001001001,38.03485234924902,2.4664743536887257,-17.236330726791486,-20.041232905103843,5.8815583523762145,-0.6349726257055655,-22.110186799161802,39.62678441395502,33.390516578670116,-23.430739466019983,-18.26191443342316,-16.272774672398725,32.09831483875544,3.880631545877727,4.78021398659306,-3.025606214004012,38.231159563350644,-27.866266779916053,42.961812258156115,-12.001596329124999,-12.426878353213356,-6.654401775011531,-19.47461555637952,4.9041755612703115,-21.064287232006276,19.720644510389388,-21.100910926886677,6.052469860177229,21.310294602477448,-14.830386041536848,-9.390683284036614,18.32313765681,13.618173795628874,-12.91040498416614,-16.434553941192974,-28.096331740274234
0.06,0.002002002002002002,38.03714245690253,2.4665105461105705,-17.237433996972797,-20.042335140895595,5.881909629337694,-0.6349244505779162,-22.111537543981598,39.629198386523434,33.392460127215216,-23.43212373762443,-18.26302822425806,-16.273730998770905,32.10031821406769,3.8808587347517713,4.780534946511945,-3.0258471731895997,38.23347937401184,-27.867953775926303,42.96437930136242,-12.00233949912756,-12.42755037719005,-6.654794834493799,-19.475798039465356,4.904416582003833,-21.065579310635634,19.72178097080585,-21.102174429003156,6.052834971233428,21.311605477099313,-14.83124485447921,-9.391257698162189,18.324179178908963,13.618942715547849,-12.91117466638837,-16.435510702669824,-28.09807271751046
0.09,0.003003003003003003,38.03944875579157,2.4664411721279,-17.23860535243173,-20.043332699985676,5.882261415445898,-0.634788792166812,-22.11290757156545,39.63164980259808,33.394344717706765,-23.433479844618983,-18.264158867308257,-16.274662102990646,32.102403562987035,3.88108569089259,4.780895898160644,-3.0261475231581008,38.235825814386764,-27.869650897941654,42.966938034569054,-12.003104088728511,-12.428141285402868,-6.655179045082259,-19.476993551795474,4.90460626192206,-21.066892766968294,19.72287088369792,-21.103431401833745,6.053203736473783,21.312952764545916,-14.832071093598996,-9.391841637839766,18.32516595450818,13.619671169032037,-12.911935531329137,-16.436436083919645,-28.09986605510866
0.12,0.004004004004004004,38.04177165767844,2.466266090524822,-17.23984495740637,-20.04422551366585,5.88261360805854,-0.6345655465988769,-22.114296901432596,39.63413910282276,33.39617043507932,-23.43480789676467,-18.26530624280601,-16.275567893081604,32.10457080234919,3.881312422781324,4.781296907303459,-3.0265072522224825,38.23819920586156,-27.871358525875323,42.969488578909264,-12.00389005337582,-12.428650521135646,-6.65555442261358,-19.47820207811722,4.904744349188112,-21.068227874829716,19.723914234589902,-21.104682298913254,6.053576374772589,21.314336563656674,-14.832864717853237,-9.392435020253421,18.326097863205362,13.620359597001153,-12.912687821441143,-16.43733030440082,-28.10171250992329
0.15,0.005005005005005005,38.04411160168243,2.465985121767899,-17.24115299355458,-20.045013535969048,5.882966131800586,-0.6342545975040452,-22.115705557192513,39.63666674446491,33.39793735652034,-23.436107990961773,-18.266470217321682,-16.27644829397298,32.10681984401454,3.8815389384706656,4.781738037736651,-3.0269263529795367,38.24059987469462,-27.873077044223297,42.97203106388185,-12.00469734803294,-12.42907753344145,-6.655920986039798,-19.479423594474103,4.904830585183352,-21.06958491739853,19.724911011537493,-21.105927566087516,6.053953110610508,21.315756969429486,-14.833625682958763,-9.393037763491835,18.32697479438255,13.621008444917967,-12.913431771264298,-16.43819357351849,-28.103612869637125
0.18,0.006006006006006006,38.04646905444931,2.4655980482743542,-17.242529659807538,-20.04569674341248,5.883318938579439,-0.6338558160406753,-22.117133566559612,39.63923320155936,33.399645551437644,-23.43738021115357,-18.267650643733738,-16.277303247551405,32.109150594853844,3.88176524552769,4.782219351282795,-3.0274048223040735,38.24302815178321,-27.87480684225981,42.97456562744938,-12.005525926989025,-12.429421777082938,-6.6562787574588915,-19.48065806821498,4.904864704363775,-21.070964187244375,19.725861205036345,-21.1071676417609,6.054334174181995,21.317214072937926,-14.834353941410273,-9.39364978658431,18.327796647106624,13.621618162948614,-12.914167607496248,-16.439026090607364,-28.105567953028544
0.21,0.007007007007007007,38.04884451031941,2.4651046146991535,-17.24397517221957,-20.046275134756897,5.883672007607472,-0.6333690609252987,-22.11858096136895,39.64183896505475,33.40129508142339,-23.438624628229018,-18.26884736119624,-16.278132712716424,32.1115629567206,3.8819913509735127,4.782740907778897,-3.0279426613449205,38.245484372425715,-27.8765483142365,42.977092416133594,-12.006375743664425,-12.429682712478366,-6.656627762143331,-19.48190545800121,4.9048464341174025,-21.072365986371114,19.726764807945273,-21.108402957152016,6.054719801509838,21.318707961243177,-14.835049442496162,-9.394271009537226,18.32856333003445,13.622189206139026,-12.914895549057702,-16.439828044917743,-28.107578610240992
0.24,0.008008008008008008,38.05123849149407,2.4645045282421827,-17.245489763813882,-20.046748730782152,5.884025345431986,-0.6327941784672915,-22.120047777593022,39.64448454296274,33.402886000214416,-23.439841299924403,-18.270060195103937,-16.278936665439574,32.1140568264099,3.8822172612197194,4.78330276505824,-3.0285398755227986,38.24796887607881,-27.878301859585214,42.97961158510798,-12.007246750411287,-12.429859805653635,-6.656968028566558,-19.4831657138118,4.904775494622726,-21.073790626265403,19.72762181542421,-21.10963393655779,6.055110234566901,21.320238717300644,-14.835712132312244,-9.394901353370946,18.329274761322832,13.622722034607346,-12.915615807152477,-16.440599615604775,-28.10964572305396
0.27,0.009009009009009009,38.053651548200094,2.4637974589768628,-17.2470736844238,-20.047117574079266,5.884378985972614,-0.6321310026087978,-22.121534055359692,39.64717046050955,33.40441835364884,-23.441030270724056,-18.271288957055,-16.279715098827033,32.116632095603784,3.8824429820015154,4.7839049789259915,-3.02919647453015,38.2504820061091,-27.880067883124497,42.9821232982873,-12.008138898309118,-12.42995252820077,-6.657299588427355,-19.484438776946547,4.904651598708279,-21.07523842795063,19.72843222488706,-21.110860997626094,6.0555057214051216,21.321806419861122,-14.836341953773477,-9.395540740157202,18.32993086854343,13.62321711375217,-12.916328585322173,-16.441340971721015,-28.1117702051546
