t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46
0.0,0.0,6.367305657050952,14.706995140261796,-8.44907469088877,-26.1253300476186,16.525062385974746,-13.81940229911396,2.2797905642874556,-0.9161165423664185,6.321051137906036,18.094119247820437,43.5785311859328,13.675435021407953,-9.874071186521064,-8.923047856408576,27.12605351811675,37.301938466428986,34.032581214459725,-1.927142850169393,-16.751721580322947,14.87537740359774,-33.593533596666035,0.39940743840328313,33.108200086142766,14.09436363478762,-9.244070919918551,22.845948966148516,-26.367119055912276,-17.19107510755838,-32.670595484925144,13.129424604719915,13.204596129211174,-33.25959007296998,-24.38853321687838,13.348178804749141,11.498777734783577,0.28597881995794233,-12.016757857786734,-20.527061659955177,-24.465869879606448,-18.36786580660585,33.697766030601066,-2.777853006239674,-31.96698276372477,-8.84054261488825,14.628278652758716,-19.850764337885565,0.7171491195832324
0.04,0.001001001001001001,6.367803518418349,14.708168957175882,-8.449755760436835,-26.12742815497599,16.526375513900508,-13.820515392010199,2.279961293561732,-0.916198586063822,6.321556525445419,18.095561245347938,43.58201524396823,13.676525925286013,-9.874873355693735,-8.923762612353164,27.12821695863143,37.30491971312655,34.035300159400634,-1.9273032839369255,-16.753062472806516,14.876556562552764,-33.596233379460905,0.39943907950244467,33.110846519890394,14.095487117984904,-9.244817097807998,22.847764938613075,-26.369240518194296,-17.192462884033077,-32.673218548428025,13.13047009221459,13.205647772025214,-33.262258867100066,-24.390486270139792,13.349234479625311,11.49968538311856,0.2860009857201626,-12.017722500770077,-20.528706420487797,-24.467830475290764,-18.369337983790068,33.70046093151136,-2.7780802749688824,-31.9695444163594,-8.841259442655128,14.629439388237172,-19.852356461967023,0.7172053846332318
0.08,0.002002002002002002,6.368252888258568,14.709336706271596,-8.450522621491219,-26.12951590798361,16.527598131126393,-13.821598428388205,2.2800492781397335,-0.9162062146051999,6.321952001521925,18.096893181199615,43.58540801521938,13.677609457680818,-9.875626428689431,-8.924331876618115,27.13024970902925,37.30789807610435,34.03797873830732,-1.9275328174954696,-16.754351492477607,14.877714607081092,-33.59899391386399,0.39947076539083726,33.11335587084919,14.096505358656463,-9.245399175930322,22.849576780131944,-26.371218377742675,-17.193828143764907,-32.67576863417422,13.131479385544914,13.206688279362934,-33.26486563737167,-24.392456179598177,13.35022137296014,11.500749868424299,0.2861294103249146,-12.018678834171622,-20.53027364314333,-24.469691873979006,-18.370851398884206,33.703148996282096,-2.7782623327460363,-31.972125769664704,-8.842023772919084,14.630538874193418,-19.85385009634495,0.7173563501479483
0.12,0.003003003003003003,6.368653852977484,14.710498693473927,-8.451375588199888,-26.131593645927904,16.528730660990306,-13.822651930023,2.2800542853273926,-0.916139688935044,6.322237502357313,18.098114506718456,43.58870984702716,13.678685668394005,-9.876330136500258,-8.924755938350279,27.13215205524487,37.31087341235394,34.04061660018528,-1.9278320375520928,-16.755588110700597,14.878851924423488,-33.6018157600159,0.39950258555299384,33.11572942162428,14.097418704999813,-9.245817591877874,22.851384266049095,-26.37305246008394,-17.19517076389344,-32.67824555684759,13.132452531402636,13.207717787136751,-33.26741044092926,-24.3944428598033,13.351139688631989,11.501970884085702,0.2863645101260435,-12.019626802849672,-20.53176379514872,-24.47145374611051,-18.3724060490939,33.705830531720046,-2.778399234162534,-31.974727297076033,-8.842835729700347,14.631576989805678,-19.855245298804242,0.7176020821390439
0.16,0.004004004004004004,6.369006512611199,14.711655217658208,-8.452314966275482,-26.133661657879706,16.529773478144627,-13.823676384799823,2.2799760900554573,-0.9159992488505653,6.322413069519969,18.09922470756814,43.59192108307007,13.679754586671347,-9.876984222005229,-8.92503499439478,27.13392426691336,37.3138455898438,34.04321336598073,-1.9282014998693855,-16.756771829464835,14.879968847807564,-33.60469945279439,0.3995346134264519,33.11796838657371,14.09822749693514,-9.246072773843421,22.853187222731037,-26.374742614110424,-17.196490643781914,-32.680649131675956,13.133389547473927,13.208736442831196,-33.26989333238791,-24.396446265883338,13.351989623900892,11.503348132585998,0.28670666830372155,-12.020566389230664,-20.533177333833464,-24.473115787109332,-18.374001943929095,33.70850585456301,-2.7784910001200522,-31.977349466187064,-8.843695453653176,14.632553618312306,-19.856542144261564,0.7179426430210792
0.2,0.005005005005005005,6.36931098050912,14.712806570678444,-8.453341053053503,-26.13572018280005,16.530726908727214,-13.824672247062553,2.2798144748387075,-0.9157851132149695,6.3224788492668305,18.100223303347764,43.59504206207893,13.680816221208415,-9.877588439907429,-8.925169148966006,27.13556659734377,37.316814487528234,34.04576862881853,-1.9286417293438471,-16.75790218112384,14.881065656636231,-33.60764550215792,0.3995669066104602,33.12007391213776,14.09893206602919,-9.246165141319969,22.85498552732919,-26.376288711036594,-17.19778770468048,-32.68297917433692,13.134290422547867,13.209744405588356,-33.272314363557705,-24.39846639280586,13.352771369511677,11.504881324889203,0.28715623497293064,-12.0214976129664,-20.534514706468702,-24.47467771693514,-18.37563910507487,33.71117529135516,-2.7785376180388304,-31.979992738945143,-8.844603102409712,14.633468647088058,-19.857740724405375,0.7183780917311402
0.24,0.006006006006006006,6.3695673830395,14.713953037399921,-8.454454137562932,-26.137769409643525,16.531591230513996,-13.825639937938398,2.279569229787717,-0.9154974801587112,6.322435091893606,18.101109847247965,43.598073116633294,13.681870560165171,-9.878142556689767,-8.925158413273596,27.13707928348251,37.319779995360015,34.04828195422782,-1.9291532200495278,-16.75897872815327,14.882142576659353,-33.61065439342946,0.39959950706442643,33.12204707709457,14.09953273539937,-9.246095105802963,22.856779107602602,-26.377690643439614,-17.199061889406288,-32.68523550086687,13.135155116654664,13.210741846246243,-33.2746735831951,-24.400503274679526,13.353485109842898,11.506570179754316,0.2877135272516444,-12.02242053064717,-20.535776350112616,-24.47613927964969,-18.377317566272477,33.71383917829955,-2.7785390419647262,-31.982657571826717,-8.845558850905874,14.634321967709335,-19.858841147351956,0.7189084838516565
0.28,0.007007007007007007,6.369775859317719,14.715094895736092,-8.455654500608826,-26.13980947745872,16.532366673053676,-13.826579845638603,2.2792401526740687,-0.9151365272678154,6.3222821510946385,18.101883925749753,43.601014572037776,13.682917571189499,-9.878646350589833,-8.92500270510261,27.138462545866577,37.32274201430578,34.05075288035523,-1.9297364352467559,-16.76000106292811,14.883199780128418,-33.61372658752137,0.39963244129655506,33.12388889273977,14.100029819597989,-9.245863071494897,22.85856794180057,-26.37894832438587,-17.20031316204028,-32.68741792757308,13.135983561233616,13.211728947330288,-33.27697103678127,-24.402556984095767,13.354131023101134,11.508414422981746,0.28837882928873654,-12.023335235570437,-20.53696269146193,-24.47750024299937,-18.379037373210636,33.71649786108814,-2.778495192576795,-31.985344415992227,-8.846562891689313,14.635113476009192,-19.85984353731726,0.7195338717361706
0.32,0.008008008008008008,6.36993656095748,14.716232416689678,-8.456942414866512,-26.14184047548523,16.533053417785027,-13.827492325734966,2.2788270490498532,-0.914702411758382,6.322020483333156,18.102545158367327,43.60386674527696,13.683957201449676,-9.879099611594366,-8.924701848347166,27.1397165885667,37.32570045636303,34.053180918165694,-1.9303918073558515,-16.760968807519415,14.884237385934037,-33.61686252110219,0.39966572054305033,33.12560030298827,14.100423624476457,-9.245469436012188,22.860352058604832,-26.38006168664485,-17.20154150764055,-32.689526270949244,13.13677565933088,13.212705902998142,-33.27920676632751,-24.40462763150986,13.3547092815602,11.510413786592506,0.2891523922516389,-12.024241857564773,-20.538074146709075,-24.478760398014217,-18.38079858342708,33.719151694709836,-2.7784059570967545,-31.98805371741974,-8.847615435209473,14.635843072122935,-19.860748034304343,0.7202543046377352
0.36,0.009009009009009009,6.370049651845046,14.717365864398015,-8.45831814498702,-26.14386244324689,16.533651598137258,-13.828377701411961,2.2783297324222116,-0.9141952706364106,6.321650647222073,18.10309319743614,43.60662994404731,13.684989377675738,-9.879502141453738,-8.924255572496929,27.140841599120353,37.32865524457785,34.05556555163081,-1.9311197378957987,-16.761881613511015,14.885255459726084,-33.62006260670634,0.3996993409381906,33.12718218439611,14.100714447029082,-9.244914591094027,22.86213153713108,-26.381030681991497,-17.202746931972168,-32.69156034759425,13.137531285827098,13.213672918937837,-33.2813808102078,-24.406715364660613,13.35522005184485,11.512568007940787,0.29003443427376985,-12.025140562868781,-20.53911112140455,-24.479919558623756,-18.38260126622028,33.721801043236646,-2.7782711891013236,-31.99078591701671,-8.848716710089738,14.636510660525103,-19.861554793806036,0.7210698288395415
0.4,0.01001001001001001,6.370115307936575,14.718495496182598,-8.459781947713452,-26.145875370640823,16.534161299613828,-13.829236263694291,2.2777480244836013,-0.9136152208420926,6.321173302914915,18.1035277279474,43.60930446586488,13.686014006209746,-9.879853753716814,-8.923663512075931,27.141837748454723,37.33160631306247,34.057906237904795,-1.931920597387923,-16.762739161836524,14.886254014016306,-33.623327232787474,0.39973328367551186,33.128635346100644,14.100902575216022,-9.244198923312775,22.86390650698955,-26.38185528059786,-17.203929461253423,-32.693519974134595,13.138250287694927,13.214630212219284,-33.28349320301822,-24.408820368028152,13.355663495258515,11.5148768287605,0.2910251403617509,-12.026031554064804,-20.540074010323778,-24.48097756129001,-18.38444550257122,33.724446279588335,-2.77809070823803,-31.993541450709177,-8.849866963381682,14.63711615005864,-19.86226398652241,0.7219804877873046
0.44,0.011011011011011011,6.37013371707852,14.71962156260284,-8.461334072008015,-26.147879198022004,16.534582559860045,-13.830068271649646,2.277081755398397,-0.9129623593777336,6.320589211505875,18.103848467430154,43.611890597247445,13.68703097306491,-9.880154273786513,-8.92292520603332,27.142705190799578,37.334553607011735,34.06020240748802,-1.9327947252246958,-16.763541162636947,14.887233008263241,-33.626656763716504,0.39976751516027004,33.129960529677064,14.100988287764812,-9.243322814785278,22.865677148404618,-26.382535470514565,-17.205089141918368,-32.69540496715052,13.138932484286537,13.215578011099016,-33.28554397546326,-24.41094286232922,13.3560397681547,11.517339994146448,0.2921246622624279,-12.026915070067213,-20.54096319733773,-24.481934264658005,-18.38633138507501,33.72708778527563,-2.777864299844726,-31.99632074950771,-8.851066460801393,14.637659453957081,-19.862875798092485,0.7229863222228573
0.48,0.012012012012012012,6.370105078851036,14.720744307514055,-8.462974759189494,-26.149873816283016,16.534915368714767,-13.830873952566519,2.2763307641463526,-0.9122367634184757,6.319899234437472,18.104055165882073,43.61438861297009,13.688040143993545,-9.880403538996308,-8.92204009708575,27.143444063590078,37.33749708271776,34.06245346437806,-1.9337424295038697,-16.764287355139214,14.888192348939272,-33.63005153972516,0.39980198715328547,33.13115840890969,14.100971853949721,-9.242286643884333,22.867443692393305,-26.383071257242374,-17.20622604039566,-32.69721514310606,13.139577667651123,13.216516554777966,-33.28753315426872,-24.41308310404945,13.356349022351592,11.519957251470876,0.2933331182897076,-12.027791386165156,-20.54177905528636,-24.482789549223984,-18.38825901788211,33.729725950122116,-2.777591714472673,-31.99912423954939,-8.85231548694783,14.638140489860527,-19.86339042883955,0.7240873703183279
0.52,0.013013013013013013,6.370029604434243,14.72186396812965,-8.464704243080996,-26.151859066928754,16.53515966824648,-13.831653502106859,2.2754948989233776,-0.9114384904049917,6.319104332913742,18.104147605750043,43.61679877539306,13.68904136456382,-9.880601398707883,-8.921007531011263,27.144054487359455,37.34043670758204,34.064658786208305,-1.9347639868282243,-16.76497750755589,14.889131889579668,-33.63351187679605,0.3998366369062048,33.13222958947619,14.100853533348097,-9.241090785949353,22.86920642100272,-26.38346266339385,-17.207340242903715,-32.69895031828323,13.140185602882475,13.217446093112,-33.289460762120825,-24.415241385012138,13.356591405589477,11.522728349236095,0.2946505931112187,-12.028660814119645,-20.542521945853817,-24.483543317021656,-18.390228516648854,33.7323611719649,-2.7772726673126873,-32.0019523421151,-8.853614345503173,14.63855917982625,-19.86380809352941,0.725283667810203
0.56,0.014014014014014014,6.369907516497159,14.722980775087573,-8.4665227501678,-26.153834742145783,16.53531535277393,-13.832407084433353,2.2745740175999987,-0.9105675781173349,6.318205567316387,18.104125601961535,43.61912133386108,13.690034460245275,-9.880747714430058,-8.919826755894622,27.144536565621575,37.343372460124314,34.06681772437415,-1.93585964207129,-16.765611417006337,14.890051430813442,-33.63703806650018,0.3998713872881501,33.133174608543,14.1006335755727,-9.239735613995128,22.870965667606516,-26.383709728444824,-17.208431855262155,-32.700610308720705,13.140756028496636,13.218366886274831,-33.291326817631315,-24.417418031983154,13.356767062030537,11.52565303586408,0.29607713749479647,-12.029523702314922,-20.54319221944435,-24.4841954913266,-18.392240008496874,33.734993856333936,-2.7769068375234687,-32.00480547362143,-8.85496335941509,14.638915450334709,-19.864129021140688,0.7265752481324965
0.6,0.015015015015015015,6.369739049109051,14.72409495252101,-8.468430499765239,-26.155800584866117,16.535382268871576,-13.83313483231113,2.2735679882377893,-0.9096240447291268,6.3172040966208005,18.10398900200783,43.62135652417329,13.691019236503045,-9.880842359959084,-8.91849692132424,27.144890384743324,37.346304329987575,34.06892960414663,-1.9370296081094962,-16.76618890945952,14.890950720375905,-33.640630375782926,0.39990614690365406,33.13399393427037,14.100312219978894,-9.238221499417358,22.872721817260516,-26.383812508575197,-17.20950100271962,-32.70219493015708,13.141288656839661,13.219279204372842,-33.29313133532807,-24.419613406311523,13.356876132800616,11.528731058423874,0.29761276801478387,-12.030380435964059,-20.543790215057484,-24.48474601637907,-18.39429363198101,33.73762441611008,-2.776493867460865,-32.007684045586295,-8.856362871060846,14.639209232291782,-19.864353454646363,0.7279621425481686
0.64,0.016016016016016016,6.36952444767289,14.725206718133391,-8.470427704196563,-26.15775628882515,16.535360215359905,-13.83383684718363,2.2724766896639657,-0.9086078888412742,6.3161011778084575,18.103737686080027,43.62350456812314,13.69199547890077,-9.880885221540328,-8.917017077540965,27.145116013806756,37.34923231793871,34.07099372477371,-1.9382740655212847,-16.766709839698706,14.891829453102739,-33.644289046699456,0.39994081020171346,33.134687965225176,14.099889695345407,-9.2365488126935,22.874475307117706,-26.383771076598265,-17.210547829798017,-32.70370399797916,13.141783174525484,13.220183327011265,-33.29487432567068,-24.4218279036054,13.356918756572467,11.531962161297796,0.299257466718129,-12.031231437368797,-20.544316260161196,-24.48519485712536,-18.396389537065218,33.74025327116156,-2.776033361806439,-32.010588464567604,-8.857813242393156,14.639440461028043,-19.864481650805548,0.729444380277856
0.68,0.017017017017017015,6.369263968880572,14.726316283277699,-8.472514568980749,-26.159701498613522,16.535248943280827,-13.834513199222382,2.2713000121042515,-0.9075190894944134,6.314898165271653,18.103371567258794,43.625565673107744,13.692962953212122,-9.8808761980513,-8.915386174539208,27.145213504460973,37.35215643586419,34.07300935956895,-1.9395931622538058,-16.767174091308185,14.892687270905457,-33.64801429610069,0.3999752575757189,33.135257029699964,14.09936621952727,-9.234717924077232,22.87622662690292,-26.383585521977576,-17.211572500153352,-32.70513732717557,13.142239242903843,13.22107954281104,-33.296555795090576,-24.424061953443168,13.356895070190042,11.535346084787484,0.3010111807502437,-12.03207716623365,-20.54477067056145,-24.485541998977805,-18.398527885105874,33.7428808479589,-2.7755248865933386,-32.01351913207406,-8.859314855067662,14.639609076295871,-19.864513879964477,0.7310219886248892
0.72,0.018018018018018018,6.368957880689475,14.72742385304016,-8.474691293030315,-26.1616358097226,16.535048155858174,-13.835163927350402,2.270037857874014,-0.9063576061592907,6.313596510206204,18.102890591758772,43.6275400318062,13.693921405540925,-9.880815201205923,-8.913603061121027,27.14518289076364,37.355076706760514,34.07497575598778,-1.940987013257918,-16.767581576682193,14.893523762728117,-33.65180631527089,0.4000093554539472,33.13570138493641,14.098741999079355,-9.23272920428472,22.877976319447512,-26.383255950930046,-17.21257519645324,-32.70649473229589,13.14265649855821,13.221968148875641,-33.29817574605497,-24.426316019119405,13.356805209333281,11.538882563660911,0.30287382194057083,-12.03291812003432,-20.545153750266522,-24.485787447593587,-18.400708848841923,33.74550757916783,-2.774967968127052,-32.016476444447214,-8.860868110551896,14.63971502226519,-19.864450425865606,0.7326949930954845
0.76,0.01901901901901902,6.368606462319894,14.728529626328326,-8.476958068859195,-26.16355876858335,16.53475750844337,-13.835789039238884,2.268690142127576,-0.9051233787042998,6.312197759987305,18.102294739228512,43.6294278219267,13.694870562449786,-9.88070215577989,-8.91166648390406,27.145024189012055,37.35799316471886,34.07689213569123,-1.9424557000922897,-16.767932237056183,14.894338464485132,-33.65566526951793,0.40004295638022597,33.136021216251564,14.098017228848791,-9.230583025170564,22.879724981284507,-26.382782486613834,-17.21355612027136,-32.7077760274158,13.143034553833637,13.222849450206988,-33.29973417715408,-24.428590597425572,13.356649309222872,11.542571325641587,0.304845266347783,-12.033754834440524,-20.545465791344242,-24.485931228672438,-18.4029326123911,33.74813390322008,-2.7743620917982623,-32.0194607927139,-8.862473430215598,14.639758247518667,-19.864291585463654,0.7344634175129057
0.8,0.02002002002002002,6.36821000427285,14.729633795963622,-8.479315082800808,-26.165469872598244,16.5343766084463,-13.83638851127683,2.267256793665487,-0.9038163273394181,6.310703557523363,18.101584023106838,43.63122920602225,13.695810131097204,-9.880536999856876,-8.909575086284345,27.144737397563738,37.36090585490381,34.078757694597165,-1.9439992704975062,-16.7682260425605,14.895130858980048,-33.659591297717554,0.4000758990842992,33.13621663606506,14.097192091534437,-9.228279760391231,22.881473263304652,-26.382165269399227,-17.21451549199903,-32.70898102610848,13.143372997394334,13.223723759069541,-33.30123108321083,-24.43088621846528,13.356427505364366,11.54641208984129,0.3069253537645098,-12.034587883793296,-20.545707073770345,-24.485973387773285,-18.40519937125155,33.750760263861636,-2.7737067007845764,-32.0224725624081,-8.864131255402205,14.639738705047165,-19.86403766874738,0.7363272841242945
0.84,0.02102102102102102,6.367768808367689,14.730736548778383,-8.48176251523645,-26.167368570165905,16.533905015251378,-13.836962288513227,2.265737755799428,-0.9024363525358053,6.309115640582291,18.100758491036466,43.63294433137502,13.696739799383083,-9.880319685095303,-8.907327407355394,27.144322496646357,37.36381483352576,34.08057160291898,-1.9456177379411648,-16.768462992296605,14.895900375805152,-33.663584511812665,0.4001080085413432,33.136287682825625,14.096266757211358,-9.225819786053474,22.883221871473985,-26.381404457220555,-17.21545355077425,-32.710109541422725,13.14367139481083,13.224591394301513,-33.302666455412336,-24.433203445504063,13.356139934330956,11.550404565137724,0.3091138871814588,-12.035417881636944,-20.54587786526585,-24.485913990149946,-18.40750933230794,33.753387109678044,-2.773001194637493,-32.02551213336121,-8.865842047481348,14.639656352246233,-19.8636889985658,0.738286613698765
0.88,0.022022022022022022,6.36728318779886,14.731838065717454,-8.484300540834255,-26.16925426069809,16.533342240118763,-13.837510284571344,2.264132987274292,-0.9009833349203615,6.3074358410844455,18.09981822533572,43.63457332994957,13.697659236102599,-9.880050177015308,-8.904921880785093,27.14377944815699,37.36672016780696,34.0823330051918,-1.947311081135048,-16.768643114435868,14.896646391221768,-33.66764499626905,0.40013909601999226,33.13623431983507,14.095241382818184,-9.22320348134507,22.884971567613487,-26.38050022600689,-17.21637055442847,-32.71116138586793,13.143929289176429,13.225452680572108,-33.30404028146229,-24.435542874853656,13.35578673458423,11.554548448498684,0.31141063221075677,-12.036245481305732,-20.545978421121323,-24.48575312060588,-18.409862713841278,33.75601489359641,-2.7722449277505294,-32.02857987945976,-8.867606287882134,14.639511150914469,-19.863245910457547,0.7403414256152524
0.92,0.023023023023023025,6.36675346721119,14.732938521944392,-8.486929328798904,-26.171126294628614,16.532687746070724,-13.838032381534662,2.2624424632468503,-0.8994571351445757,6.305666084356092,18.098763343529154,43.63611631841513,13.698568091108315,-9.879728455305461,-8.90235683365234,27.143108195450566,37.36962193594103,34.084041020286136,-1.9490792435255504,-16.768766466340985,14.897368228021115,-33.67177280748872,0.40016895911814515,33.13605643396797,14.094116111604997,-9.220431229145008,22.886723170241584,-26.379452770189072,-17.217266779451556,-32.71213637140658,13.144146201752635,13.226307947583537,-33.30535254575346,-24.437905135790785,13.355368047331995,11.558843423254359,0.3138153164682957,-12.037071376565494,-20.54600898400576,-24.485490883368104,-18.412259745541363,33.75864407236349,-2.7714372077039675,-32.03167616836939,-8.869424478107016,14.639303067254533,-19.862708752481986,0.7424917379384929
0.96,0.024024024024024024,6.366179982792938,14.734038086952339,-8.489649043132424,-26.17298397341373,16.531940947763015,-13.838528429803928,2.260666176320267,-0.8978575937270485,6.303808388337039,18.097593998937917,43.637573398237635,13.69946599548052,-9.879354514148746,-8.899630485245641,27.142308663117383,37.37252022704594,34.085694741409036,-1.9509221327586277,-16.768833134710036,14.898065155365577,-33.67596797318235,0.40019738178572795,33.13575383428528,14.092891072539297,-9.217503416610015,22.888477555480197,-26.378262303280305,-17.218142520975366,-32.71303430945432,13.144321632643184,13.227157529216504,-33.306603229559286,-24.440290890510546,13.354884017422306,11.563289157319584,0.31632762891482064,-12.037896302310283,-20.545969783757723,-24.48512740198026,-18.414700668520915,33.76127510599948,-2.7705772934812067,-32.03480136122409,-8.871297139726012,14.63903207187759,-19.86207788505073,0.7447375674813945
