t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
0.0,0.0,13.91130843757798,-23.919489593079042,8.175969452353067,-6.620660122544411,16.76282946573898,25.970356023353137,-17.95279927453849,-6.32710443603123,12.983550724103015,-36.46335493017643,-3.569981984419807,22.33081031677713,-8.813371899751235,24.876357836384503,24.43829188728392,-44.32955337578748
0.04,0.001001001001001001,13.912410638752519,-23.921414583505094,8.176613182367946,-6.621194450840837,16.764158198921876,25.972421925432474,-17.954240469354502,-6.327614455830034,12.984586510284426,-36.46627997063925,-3.5702740422011794,22.33259176015961,-8.814081423501754,24.87833836175906,24.44024630201707,-44.33310895657871
0.08,0.002002002002002002,13.913458829853552,-23.923392056024124,8.17723234431153,-6.621742677362111,16.765447039766578,25.974465987638954,-17.955734888430637,-6.328068337805069,12.985650268764003,-36.469360332681454,-3.5705133404308667,22.334357325483598,-8.81475281095401,24.880328310598046,24.442292199153375,-44.33650933463774
0.12,0.003003003003003003,13.914452500042996,-23.92542197477121,8.177826704587245,-6.6223046071933584,16.766695977864845,25.97648766977707,-17.95728237601155,-6.328466214883333,12.986741788347004,-36.47259500011154,-3.570699737634877,22.33610711824205,-8.815386336953347,24.8823277864245,24.444429529621203,-44.339754300104076
0.16,0.004004004004004004,13.915391133248077,-23.927504303552894,8.178396018400209,-6.622880033274463,16.76790500401114,25.97848642678442,-17.95888276970757,-6.328808222837371,12.987860850147042,-36.4759829007285,-3.570833100120908,22.337841236755857,-8.815982273646998,24.88433688626758,24.446658237863037,-44.342843662365034
0.2,0.005005005005005005,13.916274208580559,-23.92963900594924,8.178940030076621,-6.623468736395764,16.769074110140746,25.980461708500243,-17.96053590041531,-6.3290945006051835,12.98900722752453,-36.47952290590498,-3.5709133018368338,22.33955977224495,-8.816540890499684,24.88635570027943,24.448978260910096,-44.345777249406574
0.24,0.006006006006006006,13.917101200774697,-23.931826045388828,8.179458473399027,-6.624070485196287,16.770203289272754,25.98241295946023,-17.962241592199764,-6.329325190626677,12.990180686022681,-36.4832138301018,-3.570940224236509,22.341262808899632,-8.817062454307045,24.888384311342175,24.451389527411493,-44.348554907282164
0.28,0.007007007007007007,13.917871580643796,-23.9340653851965,8.179951071957163,-6.624685036164867,16.77129253545794,25.984339618718955,-17.96399966213785,-6.329500439195776,12.991380983301129,-36.48705443031806,-3.570913756152878,22.342950423952235,-8.81754722920679,24.890422794665824,24.45389195661913,-44.35117649969983
0.32,0.008008008008008008,13.918584815555226,-23.93635698861379,8.180417539514064,-6.625312133644547,16.772341843731603,25.986241119701305,-17.965809920123256,-6.329620396827226,12.992607869067275,-36.49104340548089,-3.5708337936783594,22.34462268774927,-8.81799547668742,24.892471217378016,24.456485457329688,-44.353641907727344
0.36,0.009009009009009009,13.919240369923791,-23.938700818791883,8.180857580387073,-6.625951509840667,16.773351210071407,25.98811689008418,-17.967672168632635,-6.329685218637054,12.993861085005447,-36.495179395779644,-3.5707002400524845,22.346279663824195,-8.818407455594407,24.89452963810654,24.4591699267851,-44.355951029615355
