t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
0.0,0.0,-39.04713483522395,-5.1828507880352825,-36.8020802481955,-1.5169409291860048,26.921557005978276,-14.318980335527439,30.337809092891643,-30.818234148715202,-28.17712944424739,21.3172802054124,11.7205136655935,16.061056770033602,1.7948184018210838,-3.436375519641265,30.182501944042,-11.064189732623808,0.9355616576296475,13.979457321640371,-7.064835111271533,9.589657689642538,6.0692614022581886,-4.893627180897919,31.366311691408207,17.93170773637684,32.48118269622011,29.400772822194043,-15.33789738777435,13.694264939276227,-35.93828051820937,-24.695530568932487,16.29039324971522,18.50887547050623,-17.307905377131345,34.66480942750199,-40.20451571448652,-13.08688848492273,-25.074925793237135,-6.1203380427026906
0.04,0.001001001001001001,-39.050258934219,-5.183268064720301,-36.805032185932504,-1.5170635195393567,26.923702937738884,-14.320126531158753,30.340224045684153,-30.820711927885977,-28.179390163286122,21.318977588663586,11.721441696467506,16.06233204186347,1.7949567385014364,-3.436660090775246,30.184911226087483,-11.065086505563125,0.9356279332213172,13.980571048076587,-7.0654110914600015,9.590420080807977,6.069745749939898,-4.894022753769508,31.368815779889943,17.933132945306212,32.48377292330915,29.403122354197905,-15.339134579324126,13.695350598246876,-35.94116054360868,-24.697512627970852,16.29168647633933,18.51035058376519,-17.309299347215703,34.667581622666155,-40.207738203674715,-13.087940894690226,-25.07693487935593,-6.120838497442709
0.08,0.002002002002002002,-39.05329355730015,-5.183735537580078,-36.80801233526208,-1.5172356269532137,26.92573124120191,-14.321300411561987,30.342789704729185,-30.82315366269486,-28.181717393623877,21.320464852536947,11.722385863171988,16.063625753223388,1.7951089390363348,-3.437072197051592,30.187403491193407,-11.066011253940555,0.9356542475153314,13.981708948282796,-7.0660572469477225,9.591113999443325,6.070309690704702,-4.894332515514559,31.37117475663176,17.9345427816948,32.486390849293485,29.40550633397762,-15.340400996994711,13.69647739495651,-35.944089778387934,-24.69930001262014,16.29294671768065,18.511782836250124,-17.310778953997776,34.670440788192,-40.21082395543204,-13.088716345821759,-25.079061964959664,-6.12133241389136
0.12,0.003003003003003003,-39.0562382176733,-5.18425338568281,-36.81102090970186,-1.517457279344289,26.927641136843217,-14.322502176184164,30.34550678386557,-30.825559601135822,-28.18411126356236,21.321742254474902,11.723346330633513,16.06493831107714,1.795275019743944,-3.437612094809746,30.18997853134788,-11.066963927467766,0.9356405378749189,13.982871267290676,-7.066774153597343,9.591740182089024,6.070953300843434,-4.894556174054454,31.373388826507163,17.935937310235072,32.48903616996883,29.40792491736497,-15.341696593106013,13.697645308166548,-35.94706820569761,-24.70089259102412,16.29417372397711,18.513172186293044,-17.312343962172545,34.67338739028766,-40.21377309176509,-13.089214941775499,-25.081307496373867,-6.1218203945757335
0.16,0.004004004004004004,-39.05909241576346,-5.18482178725015,-36.81405813606588,-1.5177284845065715,26.92943180889971,-14.323732009686678,30.348376048757775,-30.82792997322357,-28.1865719296021,21.322810055190427,11.724323255382597,16.066270151193724,1.7954549750790123,-3.438280113688255,30.192636147763515,-11.067944474409632,0.9355867721772346,13.984058224911186,-7.067562336741471,9.592299349150073,6.071676688560961,-4.894693496946452,31.375458227621316,17.93731661965214,32.491708585523604,29.410378255138276,-15.343021321950715,13.698854308231393,-35.95009584083723,-24.702290272406177,16.295367240279266,18.51451860301787,-17.313994141449236,34.676421923643176,-40.21658573801141,-13.089436823865393,-25.08367188016812,-6.122303034420554
0.2,0.005005005005005005,-39.061855639248755,-5.1854409195368625,-36.81712425348916,-1.5180492302593642,26.931102404571003,-14.324990081997857,30.351398316651053,-30.83026499036241,-28.189099576170744,21.323668517650372,11.725316785329891,16.067621738608587,1.795648777623144,-3.4390766567249735,30.195376151042392,-11.068952841576165,0.9354929484935726,13.98527001571001,-7.068422271782472,9.592792205347944,6.072479994051836,-4.894744311539994,31.377383231041698,17.938680822735318,32.49440779979891,29.412866493048096,-15.34437514002774,13.700104356932513,-35.95317273082152,-24.70349300644875,16.296527006472203,18.51582206589623,-17.315729266554403,34.67954491163648,-40.21926202217505,-13.0893821709363,-25.086155482698764,-6.122780921109766
0.24,0.006006006006006006,-39.06452736313728,-5.186110958651832,-36.820219512430015,-1.5184194845878274,26.932652033368147,-14.326276548358193,30.35457445607967,-30.83256484473814,-28.191694415356448,21.324317906186074,11.726327059543792,16.06899356807996,1.7958563780993595,-3.4400022004314863,30.19819836134143,-11.069988974254905,0.9353590947667996,13.986506808934907,-7.069354384760324,9.593219440154884,6.073363389547876,-4.894708505186495,31.37916414066648,17.940030056361245,32.497133519562844,29.415389771829815,-15.345758006314053,13.701395407270255,-35.95629895386282,-24.704500782862326,16.297652757303812,18.517082564352055,-17.317549117124553,34.68275690654252,-40.221802074316926,-13.089051199459467,-25.088758629545367,-6.123254635433277
0.28,0.007007007007007007,-39.06710704988787,-5.186832079319849,-36.8233441736484,-1.5188391957758005,26.934079766611948,-14.32759154935788,30.357905386525015,-30.834829708732386,-28.194356686646262,21.32475848572989,11.727354208029567,16.070386164540594,1.7960777054109398,-3.4410572948412597,30.201102608538104,-11.071052816083979,0.9351852684866244,13.987768748395233,-7.070359052888038,9.593581728210543,6.074327079337407,-4.894586025503293,31.380801293231364,17.941364481508383,32.499885453798974,29.417948227203308,-15.34716988257578,13.70272740321358,-35.959474618768986,-24.70531363114521,16.29874422241969,18.518300097414947,-17.319453477488697,34.6860584897457,-40.22420602599999,-13.088444164048253,-25.09148160484084,-6.123724751618831
0.32,0.008008008008008008,-39.06959414957565,-5.187604454583624,-36.82649850715858,-1.5193082925307202,26.935384637083807,-14.328935210966396,30.36139207802002,-30.83705973435887,-28.197086656669615,21.32499052117628,11.728398351510132,16.071800083544964,1.7963126667046563,-3.4422425635307214,30.20408873239634,-11.072144308866058,0.934971556363209,13.989055952293926,-7.071436605054526,9.59387972972092,6.075371299755676,-4.8943768806920485,31.38229505845518,17.942684283262704,32.502663313008476,29.420541989859792,-15.348610733719731,13.704100279407992,-35.96269986425617,-24.705931620535125,16.299801126404983,18.519474673422433,-17.321442136341233,34.68945027195515,-40.2264740097893,-13.087561358393293,-25.094324650495786,-6.124191837648986
0.36,0.009009009009009009,-39.07198810010317,-5.188428255445467,-36.829682791154205,-1.5198266841004822,26.936565638832388,-14.330307644553884,30.365035550696177,-30.839255052721384,-28.19988461894685,21.32501427686591,11.72945960120862,16.07323591171208,1.7965611474585965,-3.4435587036121778,30.207156582732473,-11.073263392323524,0.9347180739995214,13.99036851301243,-7.07258732229505,9.59411409083954,6.076496319145712,-4.894081139911571,31.383645839323997,17.943989670814318,32.50546680852559,29.42317118543614,-15.35008052818662,13.705513960841948,-35.96597485817554,-24.70635486015343,16.30082318883341,18.52060630977109,-17.323514886305652,34.69293289342288,-40.22860615880689,-13.086403116615585,-25.097287965317967,-6.124656455563162
0.4,0.01001001001001001,-39.074288327458106,-5.189303650448097,-36.83289731090378,-1.5203942603821297,26.93762172713982,-14.33170894690411,30.368836874268975,-30.841415773493214,-28.2027508936429,21.32483001619128,11.730538058632984,16.074694267163874,1.7968230115949027,-3.4450064856971614,30.210306019581264,-11.074410003795203,0.9344249655627275,13.991706496849028,-7.073811438229715,9.594285444030778,6.077702437788688,-4.893698933704703,31.3848540725131,17.94528087744482,32.50829565184577,29.42583593447679,-15.351579238387353,13.706968362472086,-35.96929979665282,-24.706583499342454,16.301810124323584,18.521695032716586,-17.325671523389502,34.69650702416419,-40.23060260634142,-13.084969815035246,-25.100371704028394,-6.1251191617447445
0.44,0.011011011011011011,-39.076494246018086,-5.190230805194073,-36.836142357614506,-1.5210108920222811,26.93855181865158,-14.333139200218863,30.372797167457428,-30.84354198441813,-28.205685827326143,21.32443800132223,11.73163381536288,16.076175799959167,1.7970981016178382,-3.4465867538284947,30.21353691336188,-11.075584077875085,0.9340924034548188,13.99306994371122,-7.075109139470763,9.594394408415168,6.078989987802588,-4.893230454478532,31.38592022894569,17.94655816050502,32.51114955396602,29.4285363523836,-15.353106841183953,13.70846338880771,-35.97267490313955,-24.706617728196278,16.302761642602817,18.522740877222656,-17.327911846331183,34.70017336418027,-40.2324634855124,-13.08326187435292,-25.103575976175946,-6.125580507193201
0.48,0.012012012012012012,-39.078605258903515,-5.191209881803338,-36.83941822726214,-1.5216764305092427,26.93935479167456,-14.334598472113651,30.376917597332966,-30.84563375083309,-28.20868979273248,21.323838493049664,11.732746952839134,16.07768119252305,1.7973862387776987,-3.4483004253790317,30.21684914504388,-11.076785545993525,0.9337205879825748,13.994458866762816,-7.076480565999699,9.594441590096569,6.080359333007763,-4.892675957036853,31.386844814486597,17.94782180138284,32.514028224736705,29.431272549353857,-15.354663318416803,13.70999893345494,-35.97610042737477,-24.706457778284882,16.30367744857843,18.523743886859016,-17.330235655839143,34.70393264368234,-40.23418892898882,-13.081279762240028,-25.106900844953035,-6.12604103778117
0.52,0.013013013013013013,-39.08062075837887,-5.192241038308445,-36.84272521938475,-1.5223907082567816,26.940029486648342,-14.336086815604613,30.381199378592676,-30.84769111521306,-28.211763188534754,21.323031750745905,11.733877542156188,16.079211160071527,1.7976872232611685,-3.4501484909147164,30.22024260631319,-11.078014335941528,0.9333097470268634,13.995873252026575,-7.077925811515568,9.594427582470978,6.081810868757721,-4.892035759163442,31.387628370768958,17.949072105460964,32.516931372224164,29.434044630306843,-15.356248657480082,13.711574878621096,-35.979576644255715,-24.70610392357148,16.304557242416625,18.52470411374827,-17.332642753724155,34.70778562331696,-40.23577906876199,-13.079023996333131,-25.11034632591526,-6.126501294496483
0.56,0.014014014014014014,-39.0825401263031,-5.1933244279870765,-36.846063635837815,-1.5231535386795638,26.940574706795,-14.33760426908662,30.385643772751575,-30.849714096738527,-28.214906439117588,21.32201803243983,11.735025643857904,16.08076645103117,1.7980008344088134,-3.452132014019264,30.2237171997381,-11.079270371338811,0.9328601357111945,13.997313057943263,-7.079444923755992,9.594352966516777,6.083345021733235,-4.8913102422543355,31.388271476151168,17.95030940206397,32.51985870208334,29.436852694799306,-15.357862851947358,13.713191094579855,-35.9831038526161,-24.70555648152243,16.305400719628857,18.52562161856176,-17.335132941925462,34.71173309439185,-40.237234035972264,-13.076495147626783,-25.11391238560865,-6.1269618136690385
0.6,0.015015015015015015,-39.08436273462952,-5.194460198631524,-36.84943377950841,-1.5239647162602954,26.940989218953284,-14.339150856302549,30.390252087248214,-30.85170269088649,-28.218119994357735,21.320797595005132,11.736191307737247,16.082347847453452,1.798326830960468,-3.4542521310774363,30.227272838935345,-11.080553571046458,0.9323720360693522,13.998778214888162,-7.081037904792802,9.594218311066173,6.084962249697645,-4.890499851996912,31.388774746800994,17.951534044394563,32.52280991693958,29.439696836930274,-15.359505902249493,13.714847439097861,-35.986682373910504,-24.704815814408924,16.306207571165647,18.52649647056442,-17.337706021431718,34.715775879101756,-40.23855396078936,-13.07369384425822,-25.11759894010856,-6.12742312718247
0.64,0.016016016016016016,-39.086087945955526,-5.195648491754925,-36.852835952985735,-1.5248240166086309,26.941271754603317,-14.340726586303754,30.395025674457667,-30.853656869045903,-28.221404329410078,21.319370694459938,11.737374572640364,16.0839561654234,1.7986649513293473,-3.4565100510135305,30.23090944873629,-11.081863848525156,0.9318457567118495,14.000268624646148,-7.08270471130438,9.594024173057555,6.08666304121095,-4.88960509909323,31.38913883790323,17.952746409458516,32.525784715778734,29.442577145235692,-15.361177816407166,13.716543756823516,-35.990312550803424,-24.703882330799253,16.306977483517667,18.52732874770859,-17.340361791097777,34.719914830753396,-40.23973897234598,-13.070620775676096,-25.12140585347492,-6.127885762670512
0.68,0.017017017017017015,-39.08771511412238,-5.196889441734121,-36.85627045718566,-1.5257311965119442,26.941421011088426,-14.342331453401835,30.399965930605518,-30.855576578158775,-28.224759944499386,21.317737586375927,11.738575466275684,16.085592255462092,1.7990149139057603,-3.458907054981366,30.234626965353286,-11.083201111140127,0.9312816324908708,14.001784159846583,-7.0844452548270604,9.593771097768474,6.088447915300082,-4.888626560024631,31.389364444986654,17.953946897977918,32.52878279334455,29.445493702573426,-15.36287861082042,13.71827987863875,-35.99399474566144,-24.7027564872401,16.30771013882391,18.5281185367768,-17.34310004635863,34.72415083398899,-40.24078919872428,-13.067276697184335,-25.12533293612909,-6.1283502436979465
