t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
0.0,0.0,-31.860209702443093,1.8587825527038138,-12.425694265625072,18.899279474834312,31.86830710471242,-9.74637576406265,-13.987021217219183,19.379570014235355,8.674736353552104,-6.24645921178533,-27.05846251212491,-12.22538962982053,33.58386487601922,23.818532990865403,31.268483060460916,-5.950200937812468,9.75206898317454,26.819872161535297,-12.767621043743944,16.19384938308786,-15.96336078936088,-23.948158519592127,27.053709075762754,12.289634992644332,7.9594231896507255,-16.071277698752827,-30.170574969336517,-19.592667135834347,33.36297096761151,27.943936337069175,-31.20353632757168,-29.826033017780464,-30.472405313558646,-29.196520290279413,31.276256438157912
0.04,0.001001001001001001,-31.862767048706043,1.8589206208231712,-12.42668874824565,18.90078168665935,31.870847468299036,-9.747161165599477,-13.988146319636797,19.381109414472053,8.67542108794611,-6.2469664530248075,-27.06063831742829,-12.226371361855236,33.58655146636564,23.820431859214672,31.27097209725109,-5.9506777855783675,9.752836838682269,26.822008400149315,-12.76864869355368,16.19513252449505,-15.964645560331787,-23.95008346401384,27.055871686716245,12.29061266942853,7.960048411774597,-16.072572560161607,-30.173000156730517,-19.5942417877879,33.365629253214586,27.94616163336055,-31.206034382428253,-29.82842908875123,-30.47485167998237,-29.19885967923189,31.27875674356905
0.08,0.002002002002002002,-31.865304597958055,1.8590085159949057,-12.427636508088225,18.902482508908946,31.87345480471188,-9.748009199706031,-13.989226886955466,19.382724572733526,8.675910776758837,-6.247347865373247,-27.062780793095055,-12.22741692128032,33.589149122428765,23.822222865196757,31.273496244855817,-5.951140519179296,9.753656361512775,26.82401126943953,-12.769535520114145,16.196326298937972,-15.966002548370394,-23.951949114785716,27.058004082334826,12.291670003466603,7.960585696649245,-16.0740417148667,-30.175430448349335,-19.595655408870634,33.36813850800077,27.948374890895835,-31.208498174643832,-29.83085596696645,-30.477332100935776,-29.201140842613334,31.281398218698595
0.12,0.003003003003003003,-31.867822846428304,1.8590462846928388,-12.428537688405214,18.904381925972267,31.87612866498102,-9.748919955520398,-13.990262604805318,19.384415350267,8.676205498223078,-6.247603674958866,-27.06489019394425,-12.22852626249344,33.59165780789991,23.823906048308693,31.27605535806179,-5.951588894872351,9.754528243549409,26.825880425785144,-12.770281910825581,16.197431071723543,-15.967431747607195,-23.95375536148402,27.060106600569544,12.29280713946968,7.961035008585704,-16.075685245386868,-30.17786568579738,-19.59690798958184,33.37049906000199,27.95057574368584,-31.210927296914093,-29.83331366267006,-30.47984556942176,-29.203364063949568,31.284180032662643
0.16,0.004004004004004004,-31.870322275188006,1.8590339178167727,-12.429392405559511,18.906479943543598,31.87886861741739,-9.749893510987452,-13.991253147944644,19.386181616510957,8.676305320088021,-6.247734097567372,-27.066966745730415,-12.229699256877872,33.59407748549962,23.825481461713515,31.278649335416173,-5.952022642926766,9.75545317116239,26.827615525578494,-12.770888204710008,16.198447153348702,-15.968933201412367,-23.95550210337703,27.062179486958698,12.294024251778797,7.961396309447202,-16.077503259131085,-30.180305724419327,-19.597999497691955,33.37271119219517,27.95276379119685,-31.213321322862924,-29.835802229108566,-30.482391042867153,-29.205529637101638,31.28710133516532
0.2,0.005005005005005005,-31.872803350026892,1.858971350861882,-12.430200749020175,18.908776587517742,31.88167424746762,-9.750929932984596,-13.992198180081608,19.38802324880483,8.67621029902891,-6.247739338520785,-27.06901064549581,-12.23093569281394,33.59640811668409,23.826949171927,31.28127811890013,-5.9524414676200825,9.756431825609644,26.829216224453173,-12.771354691588794,16.199374799228092,-15.97050700216217,-23.957189248591355,27.064222894187925,12.29532154428453,7.961669558755008,-16.07949588752708,-30.182750432828776,-19.598929877931834,33.37477514201052,27.954938598520428,-31.215679806789783,-29.838321761842668,-30.48496744309685,-29.20763786599192,31.290161256047167
0.24,0.006006006006006006,-31.875266521310696,1.858858464145779,-12.430962781363828,18.911271902659966,31.88454515754551,-9.752029277436959,-13.993097353628649,19.38994013205046,8.67592048019047,-6.247619592601859,-27.071022061877734,-12.232235275707936,33.59864966136144,23.828309258551805,31.283941693626456,-5.952845047246097,9.757464883404253,26.830682176636667,-12.771681611345048,16.20021420940246,-15.972153291024412,-23.95881671334146,27.066236881645743,12.296699250299973,7.961854713871083,-16.08166328509054,-30.185199692448286,-19.599699051713856,33.37669110094399,27.957099696544496,-31.218002283440672,-29.840872398049953,-30.487573656346857,-29.209689064374945,31.2933589048428
0.28,0.007007007007007007,-31.877712223818733,1.8586950830925892,-12.431678538281679,18.91396595104965,31.88748096683959,-9.753191589421915,-13.993950309389964,19.391932158324163,8.675435896864862,-6.247375044023756,-27.07300113537152,-12.233597628039464,33.60080207761788,23.82956181405908,31.286640087560656,-5.953233034134061,9.758553016648467,26.832013034428115,-12.771869153268202,16.200965528226586,-15.973872257762569,-23.96038442122302,27.068221414973053,12.298157632386626,7.961951730258321,-16.08400562843357,-30.18765339706084,-19.600306916884513,33.378459214271494,27.95924658212651,-31.220288267803152,-29.84345431581799,-30.49020853331778,-29.211683555652233,31.29669337035088
0.32,0.008008008008008008,-31.880140876560837,1.8584809785736445,-12.432348028592147,18.91685881029643,31.890481311096146,-9.754416903262786,-13.994756676182464,19.393999226438257,8.674756570305211,-6.247005866444647,-27.07494797854971,-12.235022289428478,33.602865321453656,23.830706943617642,31.2893733712646,-5.9536050546787305,9.759696893334215,26.8332084478018,-12.771917455478548,16.20162884403557,-15.975664140558035,-23.96189230257088,27.070176365605594,12.299696982132634,7.961960561819228,-16.086523115211076,-30.190111452372737,-19.60075334750833,33.380079580863175,27.96137871826954,-31.222537254925907,-29.846067733427155,-30.492870889270176,-29.21362167273043,31.300163720219302
0.36,0.009009009009009009,-31.88255288257278,1.8582158673046765,-12.432971234259213,18.919950571527174,31.893545842376984,-9.755705242611679,-13.995516070390405,19.396141241450657,8.673882509676096,-6.246512223027052,-27.076862676237972,-12.236508716723487,33.60483934652895,23.831744764970665,31.292141657661812,-5.953960709380941,9.760897177610131,26.834268064137206,-12.771826604430052,16.202204188788347,-15.977529225849912,-23.963340293882293,27.072101510308595,12.301317619882793,7.961881161313918,-16.08921596300345,-30.192573775587917,-19.601038193683056,33.38155225309619,27.963495534302073,-31.2247487197634,-29.848712908622318,-30.495559504163236,-29.21550375792208,31.303769000548552
