t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
0.0,0.0,-27.872336223374376,-22.802629458521782,3.5215664646456326,36.95041874696078,21.058180956863822,17.13153777042167,-28.497870918525052,5.431907964603787,-13.68777571020556,27.280038947487352,-3.937367772297369,-0.11961470856695314,-12.73051748858297,-17.585879152273222,-1.2951421676740809,-5.071293682206003,8.933818036884968,40.211402735186454,15.601877153051005,17.494050447772935,-18.701996090104714,-14.367187990633411,2.215335245393366,-27.746438724807994
0.04,0.001001001001001001,-27.8745742745824,-22.804454712691776,3.5218466125839636,36.95337263697281,21.059854783912797,17.13290788641522,-28.50015504090777,5.432337632147357,-13.688872328596474,27.282218588431586,-3.9376873176176805,-0.11962593976057007,-12.73154260899052,-17.587287988264155,-1.2952504399018465,-5.071707700585876,8.934526252427917,40.21461103775377,15.603120044312124,17.495441707095686,-18.70349523729768,-14.368338820653625,2.2155103087370174,-27.748670699441593
0.08,0.002002002002002002,-27.876923907933993,-22.806313953291266,3.522093585506666,36.95630613315867,21.061605023055545,17.134221232557245,-28.502376037019438,5.432784539275147,-13.689964890618178,27.28437951394439,-3.938065504078829,-0.11954680736792865,-12.732560739867782,-17.588672995046764,-1.2953920464591249,-5.072164714489739,8.935321657837259,40.21786751548252,15.604435866620506,17.496818095344878,-18.705008927963153,-14.369530863166462,2.215769295233463,-27.750996689215345
0.12,0.003003003003003003,-27.879384724782593,-22.808207763618576,3.5223074865551687,36.95921947541894,21.06343191529122,17.13547784353852,-28.504533525806867,5.433248774126002,-13.691053571548236,27.286522007256565,-3.93850264872351,-0.1193776678944045,-12.733572127756144,-17.59003394956944,-1.2955670283621503,-5.072664942507601,8.936204388299972,40.221172063103964,15.605824404939836,17.498179698010137,-18.706536886775634,-14.370764144759816,2.216112013102698,-27.753416706039765
0.16,0.004004004004004004,-27.881956285262138,-22.810136736138798,3.5224884377249928,36.962112913565946,21.065335713583593,17.136677730947806,-28.50662716393574,5.433730417914456,-13.692138553960929,27.288646345100624,-3.9389990839363964,-0.11911886992780002,-12.734577021734788,-17.5913706172015,-1.2957754408613875,-5.073208599491417,8.937174581394993,40.22452457712759,15.607285422338387,17.499526595453553,-18.708078823509805,-14.372038690248102,2.2165382864872,-27.755930753932063
0.2,0.005005005005005005,-27.884638107741715,-22.812101472783862,3.522636580032664,36.9649867074652,21.067316682304483,17.137820883247734,-28.508656645842226,5.4342295451857465,-13.693220027710256,27.290752797739998,-3.9395551575946337,-0.11877075420175295,-12.735575673604918,-17.59268275182821,-1.2960173533304498,-5.073795896613821,8.938232376971635,40.227924955766426,15.608818659867927,17.50085886314425,-18.709634433079085,-14.373354522525258,2.2170479552284656,-27.758538828600066
0.24,0.006006006006006006,-27.88742966824618,-22.81410258525846,3.5227520736747366,36.96784112717752,21.06937509664382,17.138907265756654,-28.51062170377161,5.434746224074594,-13.69429818990842,27.2928416290039,-3.940171233219339,-0.11833365366379829,-12.736568338081469,-17.593970095966338,-1.2962928491444974,-5.074427041428283,8.939377917011004,40.23137309886306,15.610423836447428,17.502176571895266,-18.711203395576852,-14.374711662408046,2.217640874622894,-27.761240916999313
0.28,0.007007007007007007,-27.890330399844498,-22.816140695351976,3.5228350981787924,36.97067645310197,21.071511241986407,17.139936820636528,-28.512522107803722,5.435280516568218,-13.695373244899534,27.29491309632759,-3.9408476901281437,-0.11780789354771076,-12.737555272992342,-17.595232380900587,-1.2966020255479673,-5.07510223793093,8.940611345470272,40.2348689078164,15.612100648752541,17.50347978810257,-18.712785376320493,-14.376110128469511,2.218316915157582,-27.76403699686319
0.32,0.008008008008008008,-27.893339692007753,-22.818216435256538,3.522885852546257,36.97349297611982,21.07372541325539,17.140909466887113,-28.51435766586498,5.435832478774112,-13.696445404228331,27.296967450797894,-3.9415849235888274,-0.11719379144976734,-12.738536739485223,-17.596469326841476,-1.2969449935114707,-5.075821686624323,8.941932808109607,40.23841228550925,15.61384877111185,17.504768573986006,-18.714380025898507,-14.377549936862408,2.21907596222658,-27.766927036206006
0.36,0.009009009009009009,-27.896456889939,-22.82033044789134,3.5229045553868445,36.97629099773968,21.076017914222508,17.141825100346693,-28.516128223726653,5.4364021611930875,-13.697514886603594,27.29900493720371,-3.9423833449740706,-0.11649165740858035,-12.739513002242008,-17.59768064310511,-1.2973218775776807,-5.076585584583465,8.943342452301628,40.2420031362368,15.615667855410978,17.506042987831965,-18.71598698022087,-14.379031101132458,2.219917915828162,-27.769910992798955
