Time,x,y
2.352,-0.229108927,0.236496919
2.39,-0.21699093,0.237720474
2.429,-0.202733667,0.239201949
2.466,-0.186000757,0.240986422
2.504,-0.168354846,0.24290858
2.543,-0.148148773,0.245144392
2.581,-0.127143732,0.247490451
2.619,-0.105082437,0.249959506
2.657,-0.082156088,0.252511198
2.695,-0.058492663,0.255110742
2.733,-0.034156277,0.257733195
2.771,-0.009156089,0.260367455
2.809,0.016537241,0.263017304
2.847,0.042970591,0.26569972
2.885,0.070186999,0.268440853
2.923,0.098206436,0.271270592
2.961,0.127013184,0.27421685
2.998,0.156554698,0.277301389
3.036,0.185945485,0.280450142
3.074,0.216671286,0.283837297
3.112,0.247830986,0.287377265
3.149,0.278482508,0.290965921
3.187,0.310190624,0.294793577
3.225,0.342059512,0.298766775
3.263,0.374040536,0.302894241
3.301,0.406102524,0.30719186
3.339,0.438225539,0.311681264
3.377,0.470393296,0.316387222
3.415,0.502587333,0.321335566
3.453,0.534783746,0.326547176
3.491,0.56695554,0.332029942
3.528,0.59907858,0.337774401
3.567,0.631135481,0.343753649
3.605,0.66311625,0.349926162
3.643,0.695017653,0.356240912
3.681,0.726842783,0.36264417
3.719,0.75859965,0.369085879
3.757,0.790298123,0.37552438
3.795,0.821946245,0.381928381
3.834,0.854378506,0.38844069
3.872,0.885930723,0.394706719
3.91,0.91743012,0.400873183
3.948,0.948868694,0.406914988
3.986,0.980237182,0.412801226
4.024,1.011525935,0.418494308
4.062,1.042726097,0.423950235
4.1,1.0738319,0.42912036
4.138,1.104841301,0.433954751
4.176,1.13575598,0.438408175
4.214,1.166579542,0.442447222
4.251,1.19650787,0.445965346
4.289,1.22716109,0.449152245
4.327,1.257729888,0.451920651
4.364,1.288214976,0.454292992
4.402,1.31781666,0.456246602
4.44,1.348132387,0.457909484
4.478,1.378358695,0.459239895
4.515,1.407703891,0.460223353
4.553,1.437755765,0.460918251
4.591,1.467719547,0.461302566
4.629,1.497585975,0.461386009
4.667,1.527371907,0.461183928
4.704,1.557179087,0.460732367
4.742,1.58643445,0.460116951
4.78,1.617066134,0.459404881
4.817,1.647901315,0.458759597
4.855,1.681137871,0.458298232
4.893,1.716488127,0.458200465
4.931,1.75433851,0.458611373
4.969,1.794845159,0.459645861
5.007,1.837920639,0.461384578
5.045,1.883269877,0.463877413
5.083,1.930432807,0.467148422
5.121,1.978842493,0.471199875
5.159,2.027912848,0.476016201
5.197,2.077125637,0.48156977
