x,a,b,rrate,t,Time
-1.8608058531117018,1.0,4.0,-6.387795268924306,0.0,0
-1.8608058531117018,1.002002002002002,4.006998990982975,-6.3807962779413305,0.01,1
-1.8609160707255519,1.004004004004004,4.013981949917886,-6.375043916935995,0.02,2
-1.8611291818848505,1.006006006006006,4.020948876804733,-6.370456618185386,0.03,3
-1.8614383480679255,1.008008008008008,4.027899771643516,-6.366958399330026,0.04,4
-1.861837180218367,1.01001001001001,4.034834634434234,-6.364478422496206,0.05,5
-1.86231970584208,1.012012012012012,4.041753465176889,-6.362950595126305,0.06,6
-1.8628803389489783,1.014014014014014,4.048656263871479,-6.362313207856502,0.07,7
-1.8635138525458592,1.016016016016016,4.055543030518006,-6.362508605372925,0.08,8
-1.8642153534219577,1.018018018018018,4.062413765116468,-6.363482886685994,0.09,9
-1.8649802589990032,1.02002002002002,4.069268467666866,-6.365185631701101,0.1,10
-1.865804276043953,1.022022022022022,4.0761071381692,-6.367569651342499,0.11,11
-1.8666833810655201,1.024024024024024,4.0829297766234705,-6.370590758815136,0.12,12
-1.8676138022356512,1.026026026026026,4.089736383029677,-6.374207559873642,0.13,13
-1.8685920026946183,1.028028028028028,4.096526957387819,-6.378381260215035,0.14,14
-1.86961466511374,1.03003003003003,4.1033014996978965,-6.383075488327189,0.15,15
-1.8706786774032138,1.032032032032032,4.11006000995991,-6.388256132313201,0.16,16
-1.8717811194643956,1.034034034034034,4.116802488173859,-6.393891189376299,0.17,17
-1.8729192508962935,1.0360360360360361,4.123528934339745,-6.399950626794055,0.18,18
-1.8740904995752572,1.038038038038038,4.130239348457566,-6.406406253337144,0.19,19
-1.8752924510349895,1.04004004004004,4.136933730527324,-6.413231600199132,0.2,20
-1.8765228385812136,1.042042042042042,4.143612080549017,-6.420401810601669,0.21,21
-1.8777795340817276,1.044044044044044,4.1502743985226465,-6.4278935373259225,0.22,22
-1.879060539378259,1.0460460460460461,4.156920684448212,-6.435684847497327,0.23,23
-1.8803639782715884,1.048048048048048,4.163550938325713,-6.443755134018351,0.24,24
-1.8816880890359158,1.05005005005005,4.17016516015515,-6.452085033103758,0.25,25
-1.8830312174224644,1.052052052052052,4.176763349936523,-6.460656347426062,0.26,26
-1.8843918101159143,1.054054054054054,4.183345507669832,-6.469451974425964,0.27,27
-1.8857684086104736,1.0560560560560561,4.189911633355077,-6.478455839384756,0.28,28
-1.8871596434752838,1.058058058058058,4.196461726992258,-6.487652832893023,0.29,29
-1.8885642289814464,1.06006006006006,4.202995788581374,-6.497028752383482,0.3,30
-1.8899809580652909,1.062062062062062,4.209513818122427,-6.506570247425757,0.31,31
-1.8914086976046014,1.064064064064064,4.216015815615415,-6.516264768507589,0.32,32
-1.892846383986419,1.0660660660660661,4.222501781060339,-6.526100519051045,0.33,33
-1.8942930189467413,1.068068068068068,4.2289717144572,-6.536066410433878,0.34,34
-1.895747665664,1.07007007007007,4.235425615805996,-6.54615201980552,0.35000000000000003,35
-1.8972094450895909,1.072072072072072,4.2418634851067285,-6.55634755050473,0.36,36
-1.8986775325000125,1.074074074074074,4.248285322359396,-6.566643794901613,0.37,37
-1.9001511542563265,1.0760760760760761,4.2546911275640005,-6.57703209950095,0.38,38
-1.9016295847577063,1.078078078078078,4.261080900720541,-6.587504332156759,0.39,39
-1.903112143576804,1.08008008008008,4.2674546418290165,-6.598052851259477,0.4,40
-1.9045981927655449,1.082082082082082,4.273812350889428,-6.60867047676791,0.41000000000000003,41
-1.9060871343207606,1.084084084084084,4.280154027901776,-6.6193504629676125,0.42,42
-1.907578407799809,1.0860860860860861,4.28647967286606,-6.630086472846104,0.43,43
-1.9090714880770059,1.088088088088088,4.292789285782279,-6.640872553983382,0.44,44
-1.9105658832323116,1.09009009009009,4.299082866650434,-6.651703115863353,0.45,45
-1.912061132564288,1.092092092092092,4.305360415470526,-6.662572908518557,0.46,46
-1.9135568047198668,1.0940940940940942,4.311621932242553,-6.673477002426567,0.47000000000000003,47
-1.9150524959339572,1.0960960960960962,4.317867416966516,-6.68441076958212,0.48,48
-1.916547828372367,1.098098098098098,4.324096869642415,-6.695369865674091,0.49,49
-1.9180424485719272,1.1001001001001,4.33031029027025,-6.706350213301131,0.5,50
-1.9195360259720973,1.102102102102102,4.336507678850021,-6.717347986164235,0.51,51
-1.92102825153268,1.1041041041041042,4.342689035381728,-6.728359594178389,0.52,52
-1.9225188364326102,1.1061061061061062,4.348854359865371,-6.739381669449221,0.53,53
-1.9240075108450883,1.1081081081081081,4.35500365230095,-6.750411053063988,0.54,54
-1.9254940227846167,1.11011011011011,4.3611369126884645,-6.761444782649392,0.55,55
-1.9269781370217633,1.112112112112112,4.367254141027915,-6.772480080651683,0.56,56
-1.9284596340617286,1.1141141141141142,4.3733553373193015,-6.7835143432971865,0.5700000000000001,57
-1.9299383091830207,1.1161161161161162,4.379440501562624,-6.7945451301940265,0.58,58
-1.9314139715327676,1.1181181181181181,4.3855096337578825,-6.805570154538053,0.59,59
-1.9328864432753925,1.12012012012012,4.391562733905077,-6.816587273888316,0.6,60
-1.934355558791574,1.122122122122122,4.397599802004207,-6.82759448147938,0.61,61
-1.9358211639245888,1.1241241241241242,4.403620838055272,-6.8385898980397775,0.62,62
-1.9372831152713048,1.1261261261261262,4.409625842058275,-6.8495717640876,0.63,63
-1.938741279515247,1.1281281281281281,4.415614814013212,-6.860538432676039,0.64,64
-1.9401955327993092,1.13013013013013,4.421587753920086,-6.871488362563101,0.65,65
-1.9416457601358226,1.132132132132132,4.427544661778896,-6.882420111781352,0.66,66
-1.943091854851822,1.1341341341341342,4.433485537589641,-6.893332331584839,0.67,67
-1.944533718067475,1.1361361361361362,4.439410381352324,-6.904223760751633,0.68,68
-1.9459712582057558,1.1381381381381381,4.445319193066941,-6.915093220221736,0.6900000000000001,69
-1.947404390531549,1.14014014014014,4.4512119727334944,-6.925939608051168,0.7000000000000001,70
-1.9488330367184823,1.142142142142142,4.457088720351983,-6.93676189466416,0.71,71
-1.9502571244418712,1.1441441441441442,4.4629494359224084,-6.94755911838642,0.72,72
