x,a,b,rrate,t,Time
-1.7577701324999435,1.6,4.0,-5.269267516126607,0.0,0
-1.7577701324999435,1.6014014014014015,3.998998998998999,-5.270268517127608,0.01,1
-1.757738523189308,1.602802802802803,3.997997997997998,-5.270936149713189,0.02,2
-1.7576769707273052,1.6042042042042044,3.996996996996997,-5.271288003278351,0.03,3
-1.7575870540784038,1.6056056056056056,3.995995995995996,-5.27134076199601,0.04,4
-1.7574702692906925,1.607007007007007,3.994994994994995,-5.271110247327103,0.05,5
-1.7573280335989783,1.6084084084084085,3.993993993993994,-5.270611459024561,0.06,6
-1.757161689355532,1.60980980980981,3.992992992992993,-5.2698586146233675,0.07,7
-1.756972507791995,1.6112112112112114,3.991991991991992,-5.268865187418684,0.08,8
-1.756761692616398,1.6126126126126128,3.990990990990991,-5.267643942942303,0.09,9
-1.7565303834495933,1.614014014014014,3.98998998998999,-5.266206973954736,0.1,10
-1.7562796591056822,1.6154154154154154,3.988988988988989,-5.264565733976124,0.11,11
-1.7560105407212239,1.6168168168168169,3.987987987987988,-5.262731069384146,0.12,12
-1.755723994738167,1.6182182182182183,3.986986986986987,-5.260713250111055,0.13,13
-1.7554209357455408,1.6196196196196198,3.985985985985986,-5.258521998975263,0.14,14
-1.755102229185,1.6210210210210212,3.984984984984985,-5.256166519685484,0.15,15
-1.7547686939253373,1.6224224224224224,3.983983983983984,-5.253655523557319,0.16,16
-1.754421104711059,1.6238238238238238,3.982982982982983,-5.2509972549837345,0.17,17
-1.7540601944900787,1.6252252252252253,3.981981981981982,-5.248199515701736,0.18,18
-1.75368665662552,1.6266266266266267,3.980980980980981,-5.245269687898203,0.19,19
-1.7533011469965312,1.6280280280280282,3.97997997997998,-5.242214756198075,0.2,20
-1.7529042859929176,1.6294294294294296,3.978978978978979,-5.2390413285780415,0.21,21
-1.7524966604082814,1.630830830830831,3.977977977977978,-5.235755656248561,0.22,22
-1.7520788252362358,1.6322322322322322,3.976976976976977,-5.232363652546588,0.23,23
-1.7516513053741274,1.6336336336336337,3.975975975975976,-5.228870910880678,0.24,24
-1.7512145972385644,1.6350350350350351,3.974974974974975,-5.225282721769307,0.25,25
-1.7507691702969057,1.6364364364364365,3.973973973973974,-5.221604089012374,0.26,26
-1.750315468518717,1.637837837837838,3.972972972972973,-5.217839745034715,0.27,27
-1.7498539117510612,1.6392392392392394,3.971971971971972,-5.213994165439499,0.28,28
-1.7493848970213353,1.6406406406406406,3.970970970970971,-5.210071582808073,0.29,29
-1.7489087997712256,1.642042042042042,3.96996996996997,-5.206075999781717,0.3,30
-1.748425975025205,1.6434434434434435,3.968968968968969,-5.202011201459545,0.31,31
-1.747936758496853,1.644844844844845,3.967967967967968,-5.197880767145489,0.32,32
-1.7474414676361416,1.6462462462462464,3.966966966966967,-5.193688081476091,0.33,33
-1.7469404026206885,1.6476476476476478,3.965965965965966,-5.189436344959635,0.34,34
-1.746433847293848,1.649049049049049,3.964964964964965,-5.1851285839558106,0.35000000000000003,35
-1.7459220700523808,1.6504504504504505,3.963963963963964,-5.1807676601240065,0.36,36
-1.7454053246863093,1.651851851851852,3.962962962962963,-5.176356279366998,0.37,37
-1.7448838511734568,1.6532532532532533,3.961961961961962,-5.171897000295782,0.38,38
-1.7443578764310352,1.6546546546546548,3.960960960960961,-5.1673922422400125,0.39,39
-1.7438276150265426,1.6560560560560562,3.95995995995996,-5.1628442928275184,0.4,40
-1.7432932698501165,1.6574574574574577,3.958958958958959,-5.1582553151551735,0.41000000000000003,41
-1.7427550327503865,1.6588588588588589,3.957957957957958,-5.153627354572444,0.42,42
-1.7422130851357651,1.6602602602602603,3.956956956956957,-5.1489623450978845,0.43,43
-1.7416675985430223,1.6616616616616617,3.955955955955956,-5.1442621154879,0.44,44
