x,a,b,rrate,t,Time
-2.37892499428125,2.0,6.5,-10.477852385248134,0.0,0
-2.37892499428125,2.001001001001001,6.496496496496497,-10.481355888751636,0.01,1
-2.3788316385507198,2.002002002002002,6.492992992992993,-10.483526900716715,0.02,2
-2.378654714684757,2.003003003003003,6.48948948948949,-10.48450526558658,0.03,3
-2.3784029901847874,2.004004004004004,6.485985985985986,-10.48441636517383,0.04,4
-2.378084315789613,2.005005005005005,6.4824824824824825,-10.483372556531172,0.05,5
-2.3777057190218263,2.006006006006006,6.478978978978979,-10.481474479828318,0.06,6
-2.377273488725139,2.007007007007007,6.475475475475475,-10.478812245110708,0.07,7
-2.37679325134122,2.008008008008008,6.471971971971972,-10.475466506891532,0.08,8
-2.376270039639387,2.009009009009009,6.468468468468468,-10.471509435394854,0.09,9
-2.375708354572022,2.01001001001001,6.464964964964965,-10.467005592984945,0.1,10
-2.3751122208851183,2.011011011011011,6.461461461461462,-10.462012723932055,0.11,11
-2.374485237068755,2.012012012012012,6.457957957957958,-10.456582465214424,0.12,12
-2.3738306201877015,2.013013013013013,6.454454454454455,-10.450760985567728,0.13,13
-2.3731512460888315,2.014014014014014,6.450950950950951,-10.44458955948797,0.14,14
-2.3724496854401216,2.015015015015015,6.4474474474474475,-10.438105082387349,0.15,15
-2.371728236016225,2.016016016016016,6.443943943943944,-10.431340532605956,0.16,16
-2.370988951608175,2.017017017017017,6.44044044044044,-10.42432538550366,0.17,17
-2.370233667899844,2.018018018018018,6.436936936936937,-10.417085984400906,0.18,18
-2.369464025621389,2.019019019019019,6.433433433433433,-10.409645872708321,0.19,19
-2.3686814912600664,2.02002002002002,6.42992992992993,-10.402026091184105,0.2,20
-2.367887375581387,2.021021021021021,6.426426426426427,-10.3942454438867,0.21,21
-2.3670828501885164,2.022022022022022,6.422922922922923,-10.386320736046848,0.22,22
-2.366268962325007,2.023023023023023,6.41941941941942,-10.378266986768576,0.23,23
-2.3654466481051917,2.024024024024024,6.415915915915916,-10.370097619180344,0.24,24
-2.3646167443377593,2.025025025025025,6.412412412412412,-10.361824630395102,0.25,25
-2.3637799990910278,2.026026026026026,6.408908908908909,-10.353458743399425,0.26,26
-2.362937081133063,2.027027027027027,6.405405405405405,-10.345009542775513,0.27,27
-2.3620885883659444,2.028028028028028,6.401901901901902,-10.336485595963957,0.28,28
-2.3612350553610173,2.029029029029029,6.398398398398398,-10.32789456159884,0.29,29
-2.360376960090756,2.03003003003003,6.394894894894895,-10.31924328628694,0.3,30
-2.359514729942792,2.031031031031031,6.391391391391392,-10.310537891059628,0.31,31
-2.358648747092637,2.032032032032032,6.387887887887888,-10.301783848597111,0.32,32
-2.3577793533035076,2.033033033033033,6.384384384384385,-10.292986052208535,0.33,33
-2.356906854214415,2.034034034034034,6.380880880880881,-10.284148877447791,0.34,34
-2.3560315231711733,2.035035035035035,6.377377377377377,-10.27527623715146,0.35000000000000003,35
-2.355153604649153,2.036036036036036,6.373873873873874,-10.266371630601823,0.36,36
-2.3542733173114145,2.037037037037037,6.37037037037037,-10.257438187443107,0.37,37
-2.353390856741177,2.038038038038038,6.366866866866867,-10.24847870691205,0.38,38
-2.3525063978834373,2.039039039039039,6.363363363363363,-10.239495692884155,0.39,39
-2.3516200972268098,2.04004004004004,6.35985985985986,-10.230491385183232,0.4,40
-2.3507320947533508,2.041041041041041,6.356356356356357,-10.221467787554072,0.41000000000000003,41
-2.3498425156811464,2.042042042042042,6.352852852852853,-10.212426692655246,0.42,42
-2.3489514720217977,2.043043043043043,6.34934934934935,-10.20336970439076,0.43,43
-2.3480590639725616,2.044044044044044,6.3458458458458455,-10.194298257865261,0.44,44
-2.3471653811607935,2.045045045045045,6.342342342342342,-10.18521363721674,0.45,45
-2.3462705037564446,2.046046046046046,6.338838838838839,-10.176116991553723,0.46,46
-2.345374503466682,2.047047047047047,6.335335335335335,-10.167009349199423,0.47000000000000003,47
-2.344477444425193,2.048048048048048,6.331831831831832,-10.15789163042362,0.48,48
-2.343579383987388,2.049049049049049,6.328328328328328,-10.14876465882379,0.49,49
-2.3426803734415245,2.05005005005005,6.324824824824825,-10.139629171499537,0.5,50
-2.3417804586446858,2.051051051051051,6.321321321321322,-10.130485828149023,0.51,51
-2.340879680591616,2.052052052052052,6.317817817817818,-10.121335219202301,0.52,52
-2.339978075923535,2.053053053053053,6.314314314314315,-10.11217787309411,0.53,53
-2.339075677383311,2.054054054054054,6.3108108108108105,-10.103014262767775,0.54,54
-2.338172514222683,2.055055055055055,6.307307307307307,-10.093844811491959,0.55,55
-2.337268612566612,2.056056056056056,6.303803803803804,-10.084669898063362,0.56,56
-2.336363995739313,2.057057057057057,6.3003003003003,-10.07548986146061,0.5700000000000001,57
-2.3354586845560137,2.058058058058058,6.296796796796797,-10.066305005007521,0.58,58
-2.3345526975840754,2.059059059059059,6.293293293293293,-10.057115600097958,0.59,59
-2.3336460513767103,2.06006006006006,6.28978978978979,-10.047921889528546,0.6,60
-2.332738760682193,2.061061061061061,6.286286286286287,-10.038724090480997,0.61,61
-2.3318308386311517,2.062062062062062,6.282782782782783,-10.029522397191002,0.62,62
