x,a,b,rrate,t,Time
-2.027901066131921,1.8,5.0,-7.337148202056943,0.0,0
-2.027901066131921,1.8012012012012013,4.997997997997998,-7.339150204058945,0.02,1
-2.027795844868012,1.8024024024024023,4.995995995995996,-7.339871969395926,0.04,2
-2.027600849899374,1.8036036036036036,4.993993993993994,-7.339501625543997,0.06,3
-2.0273292658235578,1.8048048048048049,4.991991991991992,-7.338199864202067,0.08,4
-2.0269923402413625,1.8060060060060061,4.98998998998999,-7.336103852201477,0.1,5
-2.0265996645182693,1.8072072072072072,4.987987987987988,-7.333330612688699,0.12,6
-2.026159415085317,1.8084084084084084,4.985985985985986,-7.329979940030638,0.14,7
-2.0256785604511376,1.8096096096096097,4.983983983983984,-7.326136906830195,0.16,8
-2.0251630385314834,1.8108108108108107,4.981981981981982,-7.321874015920229,0.18,9
-2.0246179083636253,1.812012012012012,4.97997997997998,-7.317253044620124,0.2,10
-2.024047479772408,1.8132132132132133,4.977977977977978,-7.312326623141131,0.22,11
-2.0234554240983855,1.8144144144144145,4.975975975975976,-7.307139583963556,0.24,12
-2.022844868688288,1.8156156156156156,4.973973973973974,-7.3017301143616375,0.26,13
-2.022218477483319,1.8168168168168168,4.971971971971972,-7.296130740052889,0.28,14
-2.0215785197192013,1.818018018018018,4.96996996996997,-7.290369164200262,0.3,15
-2.020926928470248,1.8192192192192194,4.967967967967968,-7.284468982680605,0.32,16
-2.0202653505244146,1.8204204204204204,4.965965965965966,-7.27845029362264,0.34,17
-2.019595188863533,1.8216216216216217,4.963963963963964,-7.272330216678224,0.36,18
-2.01891763883908,1.822822822822823,4.961961961961962,-7.2661233352847345,0.38,19
-2.018233718975427,1.824024024024024,4.95995995995996,-7.259842073268189,0.4,20
-2.0175442971963604,1.8252252252252252,4.957957957957958,-7.2534970154907095,0.42,21
-2.0168501131538603,1.8264264264264265,4.955955955955956,-7.247097180830261,0.44,22
-2.0161517972381056,1.8276276276276278,4.953953953953954,-7.2406502545653755,0.46,23
-2.0154498867621107,1.8288288288288288,4.951951951951952,-7.234162786196264,0.48,24
-2.014744839741321,1.83003003003003,4.94994994994995,-7.227640357842892,0.5,25
-2.0140370466261124,1.8312312312312313,4.947947947947948,-7.221087727599351,0.52,26
-2.013326840291937,1.8324324324324324,4.945945945945946,-7.2145089515738,0.54,27
-2.012614504546503,1.8336336336336336,4.943943943943944,-7.207907487788953,0.56,28
-2.01190028137476,1.834834834834835,4.941941941941942,-7.201286284645575,0.58,29
-2.011184377109549,1.8360360360360362,4.93993993993994,-7.1946478562486345,0.6,30
-2.010466967687771,1.8372372372372372,4.937937937937938,-7.187994346553043,0.62,31
-2.0097482031281038,1.8384384384384385,4.935935935935936,-7.181327583993989,0.64,32
-2.009028211345996,1.8396396396396397,4.933933933933934,-7.174649128018341,0.66,33
-2.008307101404426,1.840840840840841,4.931931931931932,-7.167960308722409,0.68,34
-2.007584966284223,1.842042042042042,4.92992992992993,-7.161262260621342,0.7000000000000001,35
-2.0068618852452618,1.8432432432432433,4.927927927927928,-7.15455595142257,0.72,36
-2.0061379258392225,1.8444444444444446,4.925925925925926,-7.147842206545567,0.74,37
-2.0054131456255604,1.8456456456456456,4.923923923923924,-7.14112173001949,0.76,38
-2.0046875936346544,1.8468468468468469,4.921921921921922,-7.134395122296183,0.78,39
-2.003961311615557,1.8480480480480481,4.91991991991992,-7.127662895435908,0.8,40
-2.0032343351002035,1.8492492492492494,4.917917917917918,-7.120925486055147,0.8200000000000001,41
-2.002506694311216,1.8504504504504504,4.915915915915916,-7.1141832663677835,0.84,42
-2.0017784149363873,1.8516516516516517,4.913913913913914,-7.107436553601792,0.86,43
-2.001049518789534,1.852852852852853,4.911911911911912,-7.100685618031565,0.88,44
-2.0003200243744637,1.854054054054054,4.90990990990991,-7.093930689830454,0.9,45
-1.9995899473663319,1.8552552552552553,4.907907907907908,-7.087171964917563,0.92,46
-1.9988593010225542,1.8564564564564565,4.905905905905906,-7.080409609947216,0.9400000000000001,47
-1.9981280965336286,1.8576576576576578,4.903903903903904,-7.0736437665674,0.96,48
-1.9973963433227047,1.8588588588588588,4.901901901901902,-7.0668745550548335,0.98,49
-1.9966640493014218,1.86006006006006,4.8998998998999,-7.060102077418353,1.0,50
-1.9959312210884341,1.8612612612612613,4.897897897897898,-7.053326420048806,1.02,51
-1.995197864196091,1.8624624624624626,4.895895895895896,-7.046547655982035,1.04,52
-1.9944639831899382,1.8636636636636636,4.893893893893894,-7.039765846831729,1.06,53
-1.9937295818250154,1.864864864864865,4.891891891891892,-7.03298104444056,1.08,54
-1.9929946631623439,1.8660660660660662,4.88988988988989,-7.0261932922908645,1.1,55
-1.9922592296684982,1.8672672672672672,4.887887887887888,-7.0194026267100655,1.12,56
-1.9915232833007301,1.8684684684684685,4.885885885885886,-7.0126090779008745,1.1400000000000001,57
-1.9907868255797518,1.8696696696696697,4.883883883883884,-7.0058126708218325,1.16,58
-1.9900498576519772,1.870870870870871,4.881881881881882,-6.999013425940082,1.18,59
-1.9893123803427548,1.872072072072072,4.87987987987988,-6.992211359874993,1.2,60
-1.9885743942019036,1.8732732732732733,4.877877877877878,-6.985406485948526,1.22,61
-1.9878358995426688,1.8744744744744746,4.875875875875876,-6.9785988146559585,1.24,62
-1.987096896475054,1.8756756756756756,4.873873873873874,-6.971788354068499,1.26,63
-1.9863573849343459,1.8768768768768769,4.871871871871872,-6.964975110177767,1.28,64
-1.9856173647055264,1.8780780780780781,4.86986986986987,-6.958159087190488,1.3,65
-1.9848768354441697,1.8792792792792794,4.867867867867868,-6.9513402877807176,1.32,66
-1.9841357966943316,1.8804804804804804,4.865865865865866,-6.944518713305683,1.34,67
-1.9833942479038658,1.8816816816816817,4.863863863863864,-6.937694363990559,1.36,68
-1.9826521884375399,1.882882882882883,4.861861861861862,-6.930867239086637,1.3800000000000001,69
-1.981909617588267,1.8840840840840842,4.85985985985986,-6.924037337006752,1.4000000000000001,70
-1.9811665345867246,1.8852852852852853,4.857857857857858,-6.917204655441258,1.42,71
-1.9804229386095962,1.8864864864864865,4.8558558558558556,-6.910369191457351,1.44,72
-1.9796788287866276,1.8876876876876878,4.853853853853854,-6.903530941584128,1.46,73
-1.9789342042066753,1.8888888888888888,4.851851851851852,-6.896689901885469,1.48,74
-1.9781890639228863,1.89009009009009,4.84984984984985,-6.8898460680224645,1.5,75
-1.9774434069571372,1.8912912912912914,4.847847847847848,-6.882999435306902,1.52,76
-1.9766972323038368,1.8924924924924926,4.8458458458458455,-6.876149998747101,1.54,77
-1.9759505389331844,1.8936936936936937,4.843843843843844,-6.8692977530871815,1.56,78
-1.975203325793962,1.894894894894895,4.841841841841842,-6.862442692840744,1.58,79
-1.9744555918159257,1.8960960960960962,4.83983983983984,-6.855584812319691,1.6,80
-1.9737073359118542,1.8972972972972972,4.837837837837838,-6.848724105658969,1.62,81
-1.972958556979305,1.8984984984984985,4.8358358358358355,-6.841860566837747,1.6400000000000001,82
-1.9722092539021159,1.8996996996996998,4.833833833833834,-6.834994189697587,1.6600000000000001,83
-1.971459425551693,1.900900900900901,4.831831831831832,-6.828124967958003,1.68,84
-1.9707090707881116,1.902102102102102,4.82982982982983,-6.821252895229797,1.7,85
-1.969958188461058,1.9033033033033033,4.827827827827828,-6.814377965026492,1.72,86
-1.969206777410636,1.9045045045045046,4.8258258258258255,-6.807500170774121,1.74,87
-1.968454836468056,1.9057057057057056,4.823823823823824,-6.80061950581962,1.76,88
-1.9677023644562222,1.906906906906907,4.821821821821822,-6.793735963437999,1.78,89
-1.9669493601902346,1.9081081081081082,4.81981981981982,-6.786849536838499,1.8,90
-1.9661958224778173,1.9093093093093094,4.817817817817818,-6.779960219169845,1.82,91
-1.9654417501196821,1.9105105105105105,4.8158158158158155,-6.773068003524742,1.84,92
-1.9646871419098377,1.9117117117117117,4.813813813813814,-6.766172882943726,1.86,93
-1.9639319966358526,1.912912912912913,4.811811811811812,-6.759274850418447,1.8800000000000001,94
-1.9631763130790763,1.9141141141141143,4.80980980980981,-6.752373898894454,1.9000000000000001,95
-1.9624200900148272,1.9153153153153153,4.807807807807808,-6.7454700212736,1.92,96
-1.9616633262125498,1.9165165165165166,4.8058058058058055,-6.738563210416048,1.94,97
-1.9609060204359456,1.9177177177177178,4.803803803803804,-6.731653459142008,1.96,98
-1.9601481714430842,1.9189189189189189,4.801801801801802,-6.724740760233199,1.98,99
-1.9593897779864922,1.9201201201201201,4.7997997997998,-6.717825106434066,2.0,100
-1.958630838813228,1.9213213213213214,4.797797797797798,-6.710906490452831,2.02,101
-1.9578713526649427,1.9225225225225226,4.7957957957957955,-6.703984904962361,2.04,102
-1.9571113182779263,1.9237237237237237,4.793793793793794,-6.697060342600894,2.06,103
-1.9563507343831463,1.924924924924925,4.791791791791792,-6.690132795972636,2.08,104
-1.9555895997062755,1.9261261261261262,4.78978978978979,-6.683202257648263,2.1,105
-1.954827912967713,1.9273273273273275,4.787787787787788,-6.676268720165326,2.12,106
-1.9540656728825971,1.9285285285285285,4.7857857857857855,-6.669332176028567,2.14,107
-1.9533028781608142,1.9297297297297298,4.783783783783784,-6.662392617710177,2.16,108
-1.9525395275070005,1.930930930930931,4.781781781781782,-6.655450037650001,2.18,109
-1.9517756196205418,1.932132132132132,4.77977977977978,-6.64850442825567,2.2,110
-1.9510111531955672,1.9333333333333333,4.777777777777778,-6.6415557819027145,2.22,111
-1.9502461269209408,1.9345345345345346,4.7757757757757755,-6.634604090934616,2.24,112
-1.9494805394802504,1.9357357357357357,4.773773773773774,-6.6276493476628495,2.2600000000000002,113
-1.948714389551793,1.936936936936937,4.771771771771772,-6.62069154436688,2.2800000000000002,114
-1.9479476758085597,1.9381381381381382,4.76976976976977,-6.613730673294139,2.3000000000000003,115
-1.9471803969182155,1.9393393393393394,4.767767767767768,-6.606766726659971,2.32,116
-1.9464125515430821,1.9405405405405405,4.7657657657657655,-6.5997996966475885,2.34,117
-1.9456441383401148,1.9417417417417417,4.763763763763764,-6.592829575407979,2.36,118
-1.944875155960881,1.942942942942943,4.761761761761762,-6.585856355059822,2.38,119
-1.9441056030515356,1.9441441441441443,4.75975975975976,-6.578880027689365,2.4,120
-1.943335478252797,1.9453453453453453,4.757757757757758,-6.571900585350323,2.42,121
-1.942564780199921,1.9465465465465466,4.7557557557557555,-6.5649180200637485,2.44,122
-1.941793507522675,1.9477477477477478,4.753753753753754,-6.5579323238178855,2.46,123
-1.9410216588453102,1.9489489489489489,4.751751751751752,-6.5509434885680475,2.48,124
-1.9402492327865335,1.9501501501501501,4.74974974974975,-6.543951506236445,2.5,125
-1.93947622795948,1.9513513513513514,4.747747747747748,-6.53695636871205,2.52,126
-1.938702642971683,1.9525525525525527,4.7457457457457455,-6.529958067850421,2.54,127
-1.9379284764250446,1.9537537537537537,4.743743743743744,-6.52295659547354,2.56,128
-1.9371537269158066,1.954954954954955,4.741741741741742,-6.515951943369656,2.58,129
-1.9363783930345189,1.9561561561561562,4.73973973973974,-6.508944103293096,2.6,130
-1.9356024733660089,1.9573573573573575,4.737737737737738,-6.501933066964097,2.62,131
-1.9348259664893508,1.9585585585585585,4.7357357357357355,-6.494918826068616,2.64,132
-1.934048870977833,1.9597597597597598,4.733733733733734,-6.4879013722581576,2.66,133
-1.933271185398927,1.960960960960961,4.731731731731732,-6.480880697149586,2.68,134
-1.9324929083142548,1.962162162162162,4.72972972972973,-6.473856792324931,2.7,135
-1.9317140382795555,1.9633633633633634,4.727727727727728,-6.4668296493311965,2.72,136
-1.9309345738446535,1.9645645645645646,4.7257257257257255,-6.459799259680176,2.74,137
-1.9301545135534242,1.965765765765766,4.723723723723724,-6.452765614848241,2.7600000000000002,138
-1.9293738559437608,1.966966966966967,4.721721721721722,-6.445728706276165,2.7800000000000002,139
-1.9285925995475406,1.9681681681681682,4.71971971971972,-6.438688525368901,2.8000000000000003,140
-1.9278107428905904,1.9693693693693695,4.717717717717718,-6.4316450634953926,2.82,141
-1.9270282844926518,1.9705705705705707,4.7157157157157155,-6.424598311988362,2.84,142
-1.9262452228673475,1.9717717717717718,4.713713713713714,-6.417548262144116,2.86,143
-1.925461556522145,1.972972972972973,4.711711711711712,-6.410494905222332,2.88,144
-1.9246772839583217,1.9741741741741743,4.70970970970971,-6.403438232445836,2.9,145
-1.9238924036709297,1.9753753753753753,4.707707707707708,-6.396378235000417,2.92,146
-1.9231069141487591,1.9765765765765766,4.7057057057057055,-6.389314904034583,2.94,147
-1.9223208138743022,1.9777777777777779,4.703703703703704,-6.382248230659375,2.96,148
-1.9215341013237173,1.978978978978979,4.701701701701702,-6.375178205948136,2.98,149
-1.9207467749667912,1.9801801801801802,4.6996996996997,-6.3681048209362885,3.0,150
-1.9199588332669033,1.9813813813813814,4.697697697697698,-6.361028066621128,3.02,151
-1.9191702746809867,1.9825825825825827,4.6956956956956954,-6.353947933961585,3.04,152
-1.918381097659492,1.9837837837837837,4.693693693693694,-6.346864413878018,3.06,153
-1.9175913006463483,1.984984984984985,4.691691691691692,-6.339777497251968,3.08,154
-1.9168008820789262,1.9861861861861863,4.68968968968969,-6.332687174925958,3.1,155
-1.9160098403879977,1.9873873873873875,4.687687687687688,-6.325593437703234,3.12,156
-1.9152181739976992,1.9885885885885886,4.685685685685685,-6.318496276347558,3.14,157
-1.914425881325491,1.9897897897897898,4.683683683683684,-6.311395681582965,3.16,158
-1.913632960782119,1.990990990990991,4.681681681681682,-6.304291644093534,3.18,159
-1.9128394107715736,1.9921921921921921,4.67967967967968,-6.297184154523144,3.2,160
-1.9120452296910513,1.9933933933933934,4.677677677677678,-6.290073203475237,3.22,161
-1.9112504159309134,1.9945945945945946,4.675675675675675,-6.282958781512592,3.24,162
-1.9104549678746459,1.995795795795796,4.673673673673674,-6.275840879157068,3.2600000000000002,163
-1.9096588838988182,1.996996996996997,4.671671671671672,-6.268719486889368,3.2800000000000002,164
-1.9088621623730422,1.9981981981981982,4.66966966966967,-6.2615945951487895,3.3000000000000003,165
-1.9080648016599304,1.9993993993993995,4.667667667667668,-6.254466194332982,3.3200000000000003,166
-1.9072668001150548,2.0006006006006007,4.665665665665665,-6.247334274797696,3.34,167
-1.906468156086904,2.001801801801802,4.663663663663664,-6.240198826856533,3.36,168
-1.9056688679168403,2.003003003003003,4.661661661661662,-6.233059840780693,3.38,169
-1.9048689339390588,2.0042042042042043,4.65965965965966,-6.225917306798719,3.4,170
-1.9040683524805417,2.0054054054054054,4.657657657657658,-6.218771215096237,3.42,171
-1.9032671218610169,2.006606606606607,4.655655655655655,-6.2116215558157,3.44,172
-1.9024652403929128,2.007807807807808,4.653653653653653,-6.204468319056137,3.46,173
-1.901662706381315,2.009009009009009,4.651651651651652,-6.19731149487287,3.48,174
-1.9008595181239216,2.0102102102102104,4.64964964964965,-6.190151073277272,3.5,175
-1.900055673910998,2.0114114114114114,4.647647647647648,-6.182987044236483,3.52,176
-1.8992511720253318,2.0126126126126125,4.645645645645645,-6.175819397673143,3.54,177
-1.8984460107421879,2.013813813813814,4.643643643643643,-6.168648123465139,3.56,178
-1.8976401883292617,2.015015015015015,4.641641641641642,-6.161473211445306,3.58,179
-1.8968337030466336,2.016216216216216,4.63963963963964,-6.154294651401173,3.6,180
-1.8960265531467215,2.0174174174174175,4.637637637637638,-6.147112433074676,3.62,181
-1.8952187368742348,2.0186186186186186,4.635635635635635,-6.139926546161876,3.64,182
-1.8944102524661266,2.01981981981982,4.633633633633633,-6.1327369803126865,3.66,183
-1.8936010981515459,2.021021021021021,4.631631631631632,-6.12554372513059,3.68,184
-1.8927912721517894,2.022222222222222,4.62962962962963,-6.118346770172339,3.7,185
-1.8919807726802536,2.0234234234234236,4.627627627627628,-6.11114610494768,3.72,186
-1.891169597942385,2.0246246246246247,4.625625625625625,-6.103941718919062,3.74,187
-1.8903577461356318,2.0258258258258257,4.623623623623623,-6.096733601501334,3.7600000000000002,188
-1.889545215449394,2.027027027027027,4.621621621621622,-6.089521742061467,3.7800000000000002,189
-1.8887320040649727,2.0282282282282282,4.61961961961962,-6.082306129918244,3.8000000000000003,190
-1.887918110155521,2.0294294294294293,4.617617617617618,-6.075086754341963,3.8200000000000003,191
