x,a,b,rrate,t,Time
-2.594031482917651,2.0,7.5,-12.686998003103842,0.0,0
-2.594031482917651,2.001001001001001,7.495495495495495,-12.691502507608346,0.02,1
-2.5937777663676385,2.002002002002002,7.490990990990991,-12.692058312918295,0.04,2
-2.593334746990908,2.003003003003003,7.486486486486487,-12.6896688433647,0.06,3
-2.5927504998459208,2.004004004004004,7.481981981981982,-12.685083481371834,0.08,4
-2.5920608765013733,2.005005005005005,7.4774774774774775,-12.678861284989726,0.1,5
-2.5912925987557354,2.006006006006006,7.472972972972973,-12.671419024125786,0.12,6
-2.590465577156837,2.007007007007007,7.468468468468468,-12.663067250835045,0.14,7
-2.5895946446752793,2.008008008008008,7.463963963963964,-12.654037307228696,0.16,8
-2.588690851008053,2.009009009009009,7.45945945945946,-12.644501506818933,0.18,9
-2.5877624278017173,2.01001001001001,7.454954954954955,-12.634588193271762,0.2,10
-2.5868155079313673,2.011011011011011,7.45045045045045,-12.624392965772202,0.22,11
-2.585854661247945,2.012012012012012,7.445945945945946,-12.613987041347231,0.24,12
-2.584883293512106,2.013013013013013,7.441441441441442,-12.60342348179254,0.26,13
-2.5839039434126296,2.014014014014014,7.436936936936937,-12.592741829413075,0.28,14
-2.582918503699864,2.015015015015015,7.4324324324324325,-12.581971557833,0.3,15
-2.5819283858309316,2.016016016016016,7.427927927927928,-12.571134640750632,0.32,16
-2.5809346425705466,2.017017017017017,7.423423423423423,-12.560247464238842,0.34,17
-2.5799380592985623,2.018018018018018,7.418918918918919,-12.549322250532775,0.36,18
-2.5789392220247773,2.019019019019019,7.414414414414415,-12.538368118278877,0.38,19
-2.577938568064024,2.02002002002002,7.40990990990991,-12.527391872226058,0.4,20
-2.576936423801022,2.021021021021021,7.405405405405405,-12.516398591531798,0.42,21
-2.5759330328410965,2.022022022022022,7.400900900900901,-12.50539206814489,0.44,22
-2.574928576999754,2.023023023023023,7.396396396396397,-12.49437513355354,0.46,23
-2.5739231919570007,2.024024024024024,7.391891891891892,-12.483349902390454,0.48,24
-2.572916978935733,2.025025025025025,7.387387387387387,-12.47231795409995,0.5,25
-2.5719100134164368,2.026026026026026,7.382882882882883,-12.461280468452326,0.52,26
-2.5709023516421254,2.027027027027027,7.378378378378378,-12.450238326658656,0.54,27
-2.569894035475219,2.028028028028028,7.373873873873874,-12.439192186839444,0.56,28
-2.5688850960249345,2.029029029029029,7.36936936936937,-12.428142540367741,0.58,29
-2.5678755563572015,2.03003003003003,7.364864864864865,-12.417089753945556,0.6,30
-2.5668654335197387,2.031031031031031,7.36036036036036,-12.406034101035068,0.62,31
-2.5658547400557965,2.032032032032032,7.3558558558558556,-12.394975785344544,0.64,32
-2.564843485136001,2.033033033033033,7.351351351351352,-12.383914958382412,0.66,33
-2.563831675404894,2.034034034034034,7.346846846846847,-12.372851732581555,0.68,34
-2.562819315614268,2.035035035035035,7.342342342342342,-12.361786191114412,0.7000000000000001,35
-2.5618064090971218,2.036036036036036,7.337837837837838,-12.350718395235429,0.72,36
-2.5607929581224598,2.037037037037037,7.333333333333333,-12.339648389775402,0.74,37
-2.559778964160955,2.038038038038038,7.328828828828829,-12.32857620725397,0.76,38
-2.5587644280839332,2.039039039039039,7.324324324324325,-12.31750187095877,0.78,39
-2.557749350312455,2.04004004004004,7.31981981981982,-12.306425397251534,0.8,40
-2.5567337309290403,2.041041041041041,7.315315315315315,-12.295346797295673,0.8200000000000001,41
-2.5557175697614243,2.042042042042042,7.3108108108108105,-12.28426607835091,0.84,42
-2.554700866445358,2.043043043043043,7.306306306306307,-12.27318324474368,0.86,43
-2.553683620471714,2.044044044044044,7.301801801801802,-12.262098298594761,0.88,44
-2.5526658312218244,2.045045045045045,7.297297297297297,-12.251011240364925,0.9,45
-2.5516474979940056,2.046046046046046,7.292792792792793,-12.239922069264416,0.92,46
