x,a,b,rrate,t,Time
-2.8916553962385554,0.4,8.5,-16.585012791786667,0.0,0
-2.8916553962385554,0.4099998333341667,8.490000166665833,-16.595012625120834,0.01,1
-2.8912662371849915,0.4199986666933331,8.480001333306667,-16.598260029550914,0.02,2
-2.8905525647616876,0.42999550020249566,8.470004499797504,-16.59587788915361,0.03,3
-2.8895683733059983,0.43998933418663416,8.460010665813366,-16.588805486217453,0.04,4
-2.8883587160695736,0.4499791692706784,8.450020830729322,-16.577827387355907,0.05,5
-2.8869611590670226,0.45996400647944463,8.440035993520555,-16.56359820836426,0.06,6
-2.8854070106919054,0.4699428473375328,8.430057152662467,-16.546663699387526,0.07,7
-2.883722357471455,0.47991469396917275,8.420085306030828,-16.52747859891135,0.08,8
-2.8819289336961775,0.48987854919801105,8.41012145080199,-16.506421685823568,0.09,9
-2.8800448496767483,0.4998334166468282,8.400166583353172,-16.483808425095518,0.1,10
-2.878085200349852,0.5097783008371748,8.390221699162826,-16.459901562255713,0.11,11
-2.876062573056433,0.5197122072889194,8.38028779271108,-16.434919979696893,0.12,12
-2.8739874706479855,0.5296341426196949,8.370365857380305,-16.409046086944507,0.13,13
-2.87186866368358,0.5395431146442365,8.360456885355763,-16.382431978987373,0.14,14
-2.869713483373405,0.5494381324735993,8.3505618675264,-16.355204562438963,0.15,15
-2.8675280650946933,0.559318206614246,8.340681793385754,-16.32746981893139,0.16,16
-2.8653175507330295,0.569182349066996,8.330817650933003,-16.299316348683174,0.17,17
-2.8630862567607527,0.5790295734258242,8.320970426574176,-16.270818314382723,0.18,18
-2.8608378138275414,0.5888588949765006,8.3111411050235,-16.24203788605314,0.19,19
-2.858575282679693,0.5986693307950612,8.301330669204939,-16.21302727103692,0.2,20
-2.85630125041935,0.6084598998460996,8.2915401001539,-16.183830399287523,0.21,21
-2.854017910440502,0.6182296230808694,8.28177037691913,-16.154484322426377,0.22,22
-2.851727128815128,0.6279775235351884,8.272022476464812,-16.125020375195707,0.23,23
-2.8494304994329895,0.6377026264271346,8.262297373572865,-16.09546513972394,0.24,24
-2.847129389807376,0.647403959254523,8.252596040745477,-16.06584124616929,0.25,25
-2.8448249791337665,0.6570805518921552,8.242919448107845,-16.03616803760246,0.26,26
-2.842518289918083,0.6667314366888312,8.233268563311169,-16.006462122245303,0.27,27
-2.840210214266781,0.6763556485641138,8.223644351435887,-15.976737832240179,0.28,28
-2.8379015357448067,0.6859522251048356,8.214047774895164,-15.947007604853034,0.29,29
-2.835592947552978,0.6955202066613395,8.20447979333866,-15.917282299297899,0.3,30
-2.833285067648248,0.7050586364434435,8.194941363556557,-15.88757146011905,0.31,31
-2.8309784513240994,0.7145665606161178,8.185433439383882,-15.857883536200308,0.32,32
-2.8286736016802605,0.7240430283948684,8.175956971605132,-15.8282260629232,0.33,33
-2.826370978337938,0.7334870921408144,8.166512907859186,-15.798605813713671,0.34,34
-2.824071004696228,0.7428978074554514,8.15710219254455,-15.769028926153336,0.35000000000000003,35
-2.8217740739751815,0.75227423327509,8.14772576672491,-15.739501006950569,0.36,36
-2.819480554249392,0.761615431964962,8.138384568035038,-15.710027219336341,0.37,37
-2.8171907926414383,0.7709204694129828,8.129079530587017,-15.680612355844072,0.38,38
-2.814905118815895,0.7801884151231615,8.119811584876839,-15.651260898930943,0.39,39
-2.8126238478908534,0.7894183423086505,8.11058165769135,-15.6219770714817,0.4,40
-2.8103472828641807,0.798609327984423,8.101390672015578,-15.592764878890675,0.41000000000000003,41
-2.80807571663537,0.8077604530595701,8.09223954694043,-15.563628144131307,0.42,42
-2.8058094336902464,0.8168708024292108,8.08312919757079,-15.534570536984754,0.43,43
-2.803548711504501,0.8259394650659997,8.074060534934,-15.505595598401639,0.44,44
-2.801293821712635,0.8349655341112303,8.06503446588877,-15.476706760807373,0.45,45
-2.7990450310811212,0.8439481069655198,8.05605189303448,-15.447907365025264,0.46,46
-2.7968026023180803,0.8528862853790684,8.04711371462093,-15.41920067437863,0.47000000000000003,47
-2.7945667947464092,0.861779175541483,8.038220824458516,-15.390589886439141,0.48,48
-2.792337864862791,0.870625888171158,8.029374111828842,-15.36207814281063,0.49,49
-2.7901160668013003,0.879425538604203,8.020574461395796,-15.33366853727248,0.5,50
-2.787901652717204,0.8881772468829074,8.011822753117093,-15.305364122552861,0.51,51
-2.785694873103979,0.8968801378437368,8.003119862156263,-15.277167915957117,0.52,52
-2.783495977054409,0.905533341204847,7.994466658795153,-15.249082904039087,0.53,53
-2.7813052124748334,0.9141359916531132,7.985864008346887,-15.221112046472147,0.54,54
-2.7791228262601164,0.9226872289306592,7.977312771069341,-15.193258279250712,0.55,55
-2.776949064435674,0.9311861979208834,7.968813802079117,-15.165524517331376,0.56,56
-2.7747841722718376,0.9396320487339693,7.960367951266031,-15.137913656804889,0.5700000000000001,57
-2.7726283943749848,0.9480239367918736,7.951976063208127,-15.110428576675092,0.58,58
-2.7704819747591247,0.9563610229127838,7.9436389770872164,-15.08307214030844,0.59,59
-2.7683451569010376,0.9646424733950354,7.935357526604965,-15.055847196607328,0.6,60
-2.7662181837815543,0.9728674601004813,7.927132539899519,-15.028756580951642,0.61,61
-2.7641012979151425,0.9810351605373051,7.918964839462695,-15.00180311594583,0.62,62
-2.7619947413696133,0.9891447579422695,7.91085524205773,-14.974989612002458,0.63,63
-2.7598987557774706,0.9971954413623921,7.902804558637608,-14.948318867788483,0.64,64
-2.7578135823401753,1.0051864057360396,7.894813594263961,-14.92179367055589,0.65,65
-2.7557394618263924,1.0131168519734337,7.886883148026566,-14.895416796375077,0.66,66
-2.753676634565119,1.0209859870365596,7.87901401296344,-14.8691910102862,0.67,67
-2.7516253404344413,1.0287930240184686,7.871206975981531,-14.843119066381336,0.68,68
-2.7495858188465556,1.036537182221968,7.863462817778032,-14.817203707828217,0.6900000000000001,69
-2.7475583087295834,1.0442176872376912,7.855782312762309,-14.791447666844597,0.7000000000000001,70
-2.7455430485066206,1.0518337710215366,7.848166228978464,-14.765853664630619,0.71,71
-2.743540276072405,1.0593846719714732,7.840615328028527,-14.740424411265813,0.72,72
-2.7415502287679074,1.066869635003698,7.833130364996302,-14.715162605575793,0.73,73
-2.7395731433531227,1.074287911628145,7.825712088371855,-14.690070934973274,0.74,74
-2.7376092559782736,1.0816387600233341,7.8183612399766655,-14.665152075277087,0.75,75
-2.735658802153628,1.0889214451105513,7.811078554889448,-14.64040869051242,0.76,76
-2.7337220167180782,1.0961352386273568,7.803864761372643,-14.615843432694827,0.77,77
