x,a,b,rrate,t,Time
-1.6751308705666437,2.0,4.0,-4.418190300576084,0.0,0
-1.6751308705666437,2.0099998333341667,3.9900001666658333,-4.428190133910251,0.01,1
-1.6748633619381164,2.019998666693333,3.980001333306667,-4.435500510181281,0.02,2
-1.674340240374116,2.029995500202496,3.970004499797504,-4.4402412218106555,0.03,3
-1.6735729587797878,2.039989334186634,3.960010665813366,-4.442528679263434,0.04,4
-1.6725725243290903,2.0499791692706784,3.9500208307293216,-4.442475716692435,0.05,5
-1.6713494986372899,2.0599640064794444,3.9400359935205556,-4.440191446264804,0.06,6
-1.6699140006298243,2.0699428473375328,3.9300571526624672,-4.4357811558360485,0.07,7
-1.66827571172029,2.079914693969173,3.920085306030827,-4.429346244916694,0.08,8
-1.6664438829427706,2.089878549198011,3.910121450801989,-4.420984194190146,0.09,9
-1.6644273437158228,2.099833416646828,3.900166583353172,-4.410788564173556,0.1,10
-1.6622345119466877,2.1097783008371747,3.8902216991628253,-4.398849018957103,0.11,11
-1.6598734052142872,2.119712207288919,3.880287792711081,-4.38525137130194,0.12,12
-1.6573516527980445,2.129634142619695,3.870365857380305,-4.370077645716924,0.13,13
-1.6546765083463142,2.1395431146442365,3.8604568853557635,-4.353406156463688,0.14,14
-1.651854863003116,2.149438132473599,3.850561867526401,-4.335311597754729,0.15,15
-1.6488932588348824,2.159318206614246,3.840681793385754,-4.315865143707601,0.16,16
-1.645797902420031,2.169182349066996,3.830817650933004,-4.295134555897518,0.17,17
-1.642574678483396,2.179029573425824,3.820970426574176,-4.273184296610317,0.18,18
-1.6392291634749518,2.1888588949765007,3.8111411050234993,-4.250075646136872,0.19,19
-1.6357666390079306,2.1986693307950613,3.8013306692049387,-4.225866822668966,0.2,20
-1.6321921050854264,2.2084598998460994,3.7915401001539006,-4.200613103555686,0.21,21
-1.6285102930570656,2.218229623080869,3.781770376919131,-4.174366946859298,0.22,22
-1.624725678258339,2.2279775235351886,3.7720224764648114,-4.147178112311248,0.23,23
-1.6208424922949103,2.2377026264271347,3.7622973735728653,-4.119093780913463,0.24,24
-1.6168647349427077,2.2474039592545227,3.7525960407454773,-4.09015867255858,0.25,25
-1.6127961856420088,2.2570805518921553,3.7429194481078447,-4.060415161156394,0.26,26
-1.6086404145701247,2.266731436688831,3.733268563311169,-4.029903386853859,0.27,27
-1.6044007932827926,2.2763556485641137,3.7236443514358863,-3.998661365023477,0.28,28
-1.6000805049190865,2.2859522251048356,3.7140477748951644,-3.9667250917711914,0.29,29
-1.5956825539686357,2.2955202066613394,3.7044797933386606,-3.9341286457809437,0.3,30
-1.5912097756032848,2.3050586364434436,3.6949413635565564,-3.900904286369812,0.31,31
-1.5866648445781166,2.3145665606161177,3.6854334393838823,-3.867082547676415,0.32,32
-1.582050283709043,2.3240430283948683,3.6759569716051317,-3.832692328946459,0.33,33
-1.5773684719360312,2.3334870921408144,3.6665129078591856,-3.7977609809142447,0.34,34
-1.5726216519825036,2.3428978074554516,3.6571021925445484,-3.7623143883079875,0.35000000000000003,35
-1.5678119376226092,2.35227423327509,3.64772576672491,-3.72637704853097,0.36,36
-1.562941320568925,2.361615431964962,3.638384568035038,-3.6899721465901685,0.37,37
-1.5580116769937766,2.3709204694129826,3.6290795305870174,-3.6531216263598636,0.38,38
-1.5530247736977807,2.3801884151231616,3.6198115848768384,-3.6158462582802913,0.39,39
-1.5479822739394564,2.3894183423086504,3.6105816576913496,-3.5781657036009613,0.4,40
-1.542885742939843,2.398609327984423,3.601390672015577,-3.5400985752855174,0.41000000000000003,41
-1.537736653076029,2.40776045305957,3.59223954694043,-3.501662495699973,0.42,42
-1.532536388777365,2.416870802429211,3.583129197570789,-3.4628741512095123,0.43,43
-1.5272862511379084,2.4259394650659996,3.5740605349340004,-3.423749343810659,0.44,44
-1.5219874622583622,2.4349655341112304,3.5650344658887696,-3.3843030399261793,0.45,45
