x,a,b,rrate,t,Time
-2.8547695221792164,1.0,8.5,-15.949127074290054,0.0,0
-2.8547695221792164,1.002002002002002,8.494494494494495,-15.95463257979556,0.01,1
-2.8545923326659834,1.004004004004004,8.48898898898899,-15.957103168157271,0.02,2
-2.854266230641697,1.006006006006006,8.483483483483484,-15.957023662661195,0.03,3
-2.853814994142779,1.008008008008008,8.477977977977979,-15.95480208440447,0.04,4
-2.853258607162958,1.01001001001001,8.472472472472472,-15.950781565576033,0.05,5
-2.8526138577932265,1.012012012012012,8.466966966966966,-15.945250498054898,0.06,6
-2.851894844573637,1.014014014014014,8.461461461461461,-15.938451152055606,0.07,7
-2.851113404326713,1.016016016016016,8.455955955955956,-15.930586977038418,0.08,8
-2.8502794730859455,1.018018018018018,8.45045045045045,-15.921828773634832,0.09,9
-2.849401390195822,1.02002002002002,8.444944944944945,-15.912319902404706,0.1,10
-2.848486154266802,1.022022022022022,8.43943943943944,-15.902180673709584,0.11,11
-2.847539638427655,1.024024024024024,8.433933933933934,-15.89151204331617,0.12,12
-2.84656677122615,1.026026026026026,8.428428428428429,-15.88039872071818,0.13,13
-2.8455716885786426,1.028028028028028,8.422922922922924,-15.868911781598,0.14,14
-2.8445578613478015,1.03003003003003,8.417417417417417,-15.85711086224932,0.15,15
-2.8435282024223225,1.032032032032032,8.411911911911911,-15.845046002001464,0.16,16
-2.8424851565695266,1.034034034034034,8.406406406406406,-15.832759189547856,0.17,17
-2.841430775818429,1.0360360360360361,8.4009009009009,-15.820285660403457,0.18,18
-2.8403667826951744,1.038038038038038,8.395395395395395,-15.807654985319013,0.19,19
-2.8392946232639282,1.04004004004004,8.38988988988989,-15.794891983196468,0.2,20
-2.8382155116147185,1.042042042042042,8.384384384384385,-15.78201748672681,0.21,21
-2.8371304671769555,1.044044044044044,8.37887887887888,-15.769048984472313,0.22,22
-2.836040346016026,1.0460460460460461,8.373373373373374,-15.75600115931873,0.23,23
-2.8349458670841763,1.048048048048048,8.367867867867869,-15.742886340025088,0.24,24
-2.8338476342403855,1.05005005005005,8.362362362362362,-15.729714879907128,0.25,25
-2.8327461547224924,1.052052052052052,8.356856856856856,-15.716495474428344,0.26,26
-2.831641854644488,1.054054054054054,8.35135135135135,-15.703235427572075,0.27,27
-2.8305350919993053,1.0560560560560561,8.345845845845846,-15.689940875272702,0.28,28
-2.8294261675697876,1.058058058058058,8.34034034034034,-15.676616972845629,0.29,29
-2.8283153340853926,1.06006006006006,8.334834834834835,-15.663268052232864,0.3,30
-2.8272028039076083,1.062062062062062,8.32932932932933,-15.649897753939797,0.31,31
-2.8260887554812997,1.064064064064064,8.323823823823824,-15.6365091377497,0.32,32
-2.824973338750848,1.0660660660660661,8.318318318318319,-15.623104775641025,0.33,33
-2.8238566797078115,1.068068068068068,8.312812812812814,-15.609686829778463,0.34,34
-2.8227388842098886,1.07007007007007,8.307307307307306,-15.596257117984154,0.35000000000000003,35
-2.821620041188406,1.072072072072072,8.301801801801801,-15.582817168706384,0.36,36
-2.820500225342616,1.074074074074074,8.296296296296296,-15.56936826717695,0.37,37
-2.819379499403245,1.0760760760760761,8.29079079079079,-15.555911494175088,0.38,38
-2.818257916034434,1.078078078078078,8.285285285285285,-15.542447758586972,0.39,39
-2.8171355194320813,1.08008008008008,8.27977977977978,-15.528977824757806,0.4,40
-2.8160123466672404,1.082082082082082,8.274274274274275,-15.51550233547274,0.41000000000000003,41
-2.8148884288154172,1.084084084084084,8.26876876876877,-15.502021831268017,0.42,42
-2.8137637919060254,1.0860860860860861,8.263263263263264,-15.488536766660859,0.43,43
-2.812638457720762,1.088088088088088,8.257757757757759,-15.47504752379172,0.44,44
-2.811512444465047,1.09009009009009,8.252252252252251,-15.461554423893222,0.45,45
-2.8103857673327943,1.092092092092092,8.246746746746746,-15.448057736933473,0.46,46
-2.8092584389815305,1.0940940940940942,8.24124124124124,-15.434557689725594,0.47000000000000003,47
-2.808130469932157,1.0960960960960962,8.235735735735735,-15.421054472748457,0.48,48
-2.8070018689053584,1.098098098098098,8.23023023023023,-15.407548245884296,0.49,49
-2.805872643104739,1.1001001001001,8.224724724724725,-15.394039143246,0.5,50
-2.8047427984551616,1.102102102102102,8.21921921921922,-15.380527277239054,0.51,51
-2.803612339803405,1.1041041041041042,8.213713713713714,-15.367012741980057,0.52,52
-2.8024812710871276,1.1061061061061062,8.208208208208209,-15.353495616174158,0.53,53
-2.8013495954771597,1.1081081081081081,8.202702702702704,-15.339975965537436,0.54,54
-2.800217315497357,1.11011011011011,8.197197197197196,-15.32645384483648,0.55,55
-2.799084433125569,1.112112112112112,8.191691691691691,-15.312929299605972,0.56,56
-2.7979509498787047,1.1141141141141142,8.186186186186186,-15.299402367595254,0.5700000000000001,57
-2.7968168668844218,1.1161161161161162,8.18068068068068,-15.2858730799869,0.58,58
-2.7956821849415427,1.1181181181181181,8.175175175175175,-15.272341462423382,0.59,59
-2.7945469045709816,1.12012012012012,8.16966966966967,-15.258807535872098,0.6,60
-2.79341102605868,1.122122122122122,8.164164164164164,-15.245271317354456,0.61,61
-2.792274549491807,1.1241241241241242,8.15865865865866,-15.231732820560364,0.62,62
-2.79113747478929,1.1261261261261262,8.153153153153154,-15.21819205636625,0.63,63
-2.789999801727562,1.1281281281281281,8.147647647647648,-15.204649033271856,0.64,64
-2.788861529962282,1.13013013013013,8.142142142142141,-15.191103757768538,0.65,65
-2.7877226590466595,1.132132132132132,8.136636636636636,-15.177556234649897,0.66,66
-2.786583188446918,1.1341341341341342,8.13113113113113,-15.164006467273843,0.67,67
-2.7854431175553405,1.1361361361361362,8.125625625625625,-15.150454457783615,0.68,68
-2.7843024457012837,1.1381381381381381,8.12012012012012,-15.136900207294332,0.6900000000000001,69
-2.7831611721604737,1.14014014014014,8.114614614614615,-15.12334371605037,0.7000000000000001,70
-2.782019296162853,1.142142142142142,8.10910910910911,-15.10978498355826,0.71,71
-2.7808768168992057,1.1441441441441442,8.103603603603604,-15.096224008698774,0.72,72
-2.779733733526753,1.1461461461461462,8.098098098098099,-15.082660789821645,0.73,73
-2.7785900451738774,1.1481481481481481,8.092592592592593,-15.069095324825517,0.74,74
-2.7774457509441124,1.15015015015015,8.087087087087086,-15.055527611225427,0.75,75
-2.7763008499195116,1.1521521521521523,8.081581581581581,-15.041957646209827,0.76,76
-2.775155341163497,1.1541541541541542,8.076076076076076,-15.02838542668878,0.77,77
-2.7740092237232603,1.1561561561561562,8.07057057057057,-15.014810949334606,0.78,78
-2.7728624966317965,1.1581581581581581,8.065065065065065,-15.001234210616294,0.79,79
-2.771715158909617,1.16016016016016,8.05955955955956,-14.987655206828528,0.8,80
-2.770567209566199,1.1621621621621623,8.054054054054054,-14.974073934116246,0.81,81
-2.769418647601208,1.1641641641641642,8.048548548548549,-14.960490388495362,0.8200000000000001,82
-2.7682694720055343,1.1661661661661662,8.043043043043044,-14.946904565870357,0.8300000000000001,83
-2.7671196817621597,1.1681681681681682,8.037537537537538,-14.93331646204901,0.84,84
-2.765969275846898,1.17017017017017,8.032032032032031,-14.919726072755008,0.85,85
-2.7648182532290133,1.1721721721721723,8.026526526526526,-14.906133393638472,0.86,86
-2.763666612871747,1.1741741741741742,8.02102102102102,-14.892538420284964,0.87,87
-2.762514353732756,1.1761761761761762,8.015515515515515,-14.878941148223001,0.88,88
-2.761361474764486,1.1781781781781782,8.01001001001001,-14.865341572930479,0.89,89
-2.760207974914484,1.1801801801801801,8.004504504504505,-14.851739689840047,0.9,90
-2.7590538531256623,1.1821821821821823,7.998998998998999,-14.838135494343692,0.91,91
-2.7578991083365185,1.1841841841841843,7.993493493493493,-14.8245289817966,0.92,92
-2.756743739481321,1.1861861861861862,7.987987987987988,-14.810920147520381,0.93,93
-2.7555877454902626,1.1881881881881882,7.9824824824824825,-14.797308986805842,0.9400000000000001,94
-2.754431125289593,1.1901901901901901,7.976976976976977,-14.783695494915307,0.9500000000000001,95
-2.753273877801723,1.1921921921921923,7.971471471471472,-14.770079667084541,0.96,96
-2.752116001945314,1.1941941941941943,7.965965965965966,-14.756461498524414,0.97,97
-2.750957496635354,1.1961961961961962,7.96046046046046,-14.742840984422298,0.98,98
-2.7497983607832137,1.1981981981981982,7.954954954954955,-14.729218119943193,0.99,99
-2.748638593296701,1.2002002002002001,7.94944944944945,-14.71559290023075,1.0,100
-2.7474781930800947,1.2022022022022023,7.943943943943944,-14.701965320408041,1.01,101
-2.746317159034181,1.2042042042042043,7.938438438438438,-14.688335375578284,1.02,102
-2.7451554900562742,1.2062062062062062,7.932932932932933,-14.674703060825376,1.03,103
-2.743993185040238,1.2082082082082082,7.9274274274274275,-14.66106837121438,1.04,104
-2.7428302428764977,1.2102102102102101,7.921921921921922,-14.647431301791922,1.05,105
-2.7416666624520514,1.2122122122122123,7.916416416416417,-14.633791847586494,1.06,106
-2.7405024426504743,1.2142142142142143,7.910910910910911,-14.620150003608739,1.07,107
-2.7393375823519226,1.2162162162162162,7.905405405405405,-14.606505764851624,1.08,108
-2.738172080433134,1.2182182182182182,7.8998998998999,-14.592859126290652,1.09,109
-2.737005935767425,1.2202202202202201,7.894394394394395,-14.579210082883955,1.1,110
-2.7358391472246875,1.2222222222222223,7.888888888888889,-14.565558629572426,1.11,111
-2.734671713671384,1.2242242242242243,7.883383383383383,-14.551904761279765,1.12,112
-2.7335036339705394,1.2262262262262262,7.877877877877878,-14.538248472912557,1.1300000000000001,113
-2.7323349069817353,1.2282282282282282,7.872372372372372,-14.524589759360293,1.1400000000000001,114
-2.731165531561099,1.2302302302302301,7.866866866866867,-14.510928615495391,1.1500000000000001,115
-2.7299955065612935,1.2322322322322323,7.861361361361361,-14.4972650361732,1.16,116
-2.7288248308315084,1.2342342342342343,7.8558558558558556,-14.483599016231976,1.17,117
-2.727653503217448,1.2362362362362362,7.85035035035035,-14.469930550492894,1.18,118
-2.726481522561318,1.2382382382382382,7.844844844844845,-14.456259633760004,1.19,119
-2.7253088877018157,1.2402402402402402,7.83933933933934,-14.442586260820182,1.2,120
-2.724135597474115,1.2422422422422423,7.833833833833834,-14.428910426443126,1.21,121
-2.7229616507098546,1.2442442442442443,7.828328328328328,-14.41523212538128,1.22,122
-2.7217870462371234,1.2462462462462462,7.822822822822823,-14.401551352369793,1.23,123
-2.7206117828804466,1.2482482482482482,7.817317317317317,-14.387868102126447,1.24,124
-2.7194358594607735,1.2502502502502502,7.811811811811812,-14.374182369351654,1.25,125
-2.7182592747954604,1.2522522522522523,7.806306306306306,-14.36049414872832,1.26,126
-2.7170820276982584,1.2542542542542543,7.8008008008008005,-14.346803434921839,1.27,127
-2.715904116979297,1.2562562562562563,7.795295295295295,-14.333110222579991,1.28,128
-2.7147255414450697,1.2582582582582582,7.78978978978979,-14.319414506332894,1.29,129
-2.71354629989842,1.2602602602602602,7.7842842842842845,-14.305716280792934,1.3,130
-2.7123663911385236,1.2622622622622623,7.778778778778779,-14.29201554055468,1.31,131
-2.711185813960875,1.2642642642642643,7.773273273273273,-14.278312280194807,1.32,132
-2.7100045671572723,1.2662662662662663,7.767767767767768,-14.264606494272055,1.33,133
-2.708822649515799,1.2682682682682682,7.762262262262262,-14.250898177327116,1.34,134
