x,a,b,rrate,t,Time
-1.9999999999999987,2.0,5.0,-6.999999999999984,0.0,0
-1.9999999999999987,2.001001001001001,4.997997997997998,-7.002002002001986,0.01,1
-1.9999499499499487,2.002002002002002,4.995995995995996,-7.003403410918411,0.02,2
-1.999853355207059,2.003003003003003,4.993993993993994,-7.004246333004799,0.03,3
-1.9997134777096597,2.004004004004004,4.991991991991992,-7.004569986808993,0.04,4
-1.999533352089045,2.005005005005005,4.98998998998999,-7.00441088835937,0.05,5
-1.999315800839464,2.006006006006006,4.987987987987988,-7.003803026471053,0.06,6
-1.99906344858198,2.007007007007007,4.985985985985986,-7.002778028383451,0.07,7
-1.9987787354598392,2.008008008008008,4.983983983983984,-7.001365315995317,0.08,8
-1.9984639297041649,2.009009009009009,4.981981981981982,-6.999592253003857,0.09,9
-1.998121139409372,2.01001001001001,4.97997997997998,-6.997484283283843,0.1,10
-1.9977523235577808,2.011011011011011,4.977977977977978,-6.995065060863559,0.11,11
-1.997359302332577,2.012012012012012,4.975975975975976,-6.992356571867461,0.12,12
-1.9969437667576313,2.013013013013013,4.973973973973974,-6.989379248802496,0.13,13
-1.9965072877017769,2.014014014014014,4.971971971971972,-6.986152077566945,0.14,14
-1.9960513242840592,2.015015015015015,4.96996996996997,-6.98269269755847,0.15,15
-1.995577231715212,2.016016016016016,4.967967967967968,-6.979017495252479,0.16,16
-1.9950862686092745,2.017017017017017,4.965965965965966,-6.975141691613869,0.17,17
-1.994579603797826,2.018018018018018,4.963963963963964,-6.971079423694913,0.18,18
-1.9940583226778568,2.019019019019019,4.961961961961962,-6.966843820760519,0.19,19
-1.9935234331227936,2.02002002002002,4.95995995995996,-6.962447075269107,0.2,20
-1.9929758709847125,2.021021021021021,4.957957957957958,-6.957900509023863,0.21,21
-1.992416505214292,2.022022022022022,4.955955955955956,-6.953214634795042,0.22,22
-1.9918461426236058,2.023023023023023,4.953953953953954,-6.948399213699659,0.23,23
-1.9912655323154413,2.024024024024024,4.951951951951952,-6.943463308610542,0.24,24
-1.9906753698014514,2.025025025025025,4.94994994994995,-6.938415333852486,0.25,25
-1.990076300830127,2.026026026026026,4.947947947947948,-6.933263101429218,0.26,26
-1.989468924944301,2.027027027027027,4.945945945945946,-6.928013864011152,0.27,27
-1.988853798786677,2.028028028028028,4.943943943943944,-6.922674354900643,0.28,28
-1.9882314391707145,2.029029029029029,4.941941941941942,-6.91725082517861,0.29,29
-1.9876023259330944,2.03003003003003,4.93993993993994,-6.911749078224,0.3,30
-1.9869669045829437,2.031031031031031,4.937937937937938,-6.906174501785837,0.31,31
-1.9863255887620046,2.032032032032032,4.935935935935936,-6.900532097776237,0.32,32
-1.9856787625289924,2.033033033033033,4.933933933933934,-6.894826509942078,0.33,33
-1.9850267824805075,2.034034034034034,4.931931931931932,-6.889062049562816,0.34,34
-1.9843699797200312,2.035035035035035,4.92992992992993,-6.8832427193123,0.35000000000000003,35
-1.9837086616857564,2.036036036036036,4.927927927927928,-6.877372235413358,0.36,36
-1.983043113847266,2.037037037037037,4.925925925925926,-6.871454048205257,0.37,37
-1.9823736012803852,2.038038038038038,4.923923923923924,-6.865491361236167,0.38,38
-1.9817003701288924,2.039039039039039,4.921921921921922,-6.859487148985045,0.39,39
-1.981023648961163,2.04004004004004,4.91991991991992,-6.853444173310283,0.4,40
-1.9803436500292633,2.041041041041041,4.917917917917918,-6.847364998715759,0.41000000000000003,41
-1.9796605704374808,2.042042042042042,4.915915915915916,-6.841252006518639,0.42,42
-1.9789745932267881,2.043043043043043,4.913913913913914,-6.83510740799748,0.43,43
-1.9782858883812753,2.044044044044044,4.911911911911912,-6.8289332565935625,0.44,44
-1.977594613762161,2.045045045045045,4.90990990990991,-6.82273145923342,0.45,45
-1.9769009159745936,2.046046046046046,4.907907907907908,-6.816503786835654,0.46,46
-1.9762049311720815,2.047047047047047,4.905905905905906,-6.81025188406065,0.47000000000000003,47
-1.9755067858030455,2.048048048048048,4.903903903903904,-6.803977278357737,0.48,48
-1.9748065973036684,2.049049049049049,4.901901901901902,-6.797681388360377,0.49,49
-1.9741044747409116,2.05005005005005,4.8998998998999,-6.791365531676371,0.5,50
