,1e-05,5e-05,0.0001,0.0005,0.001,0.005,0.01,0.05,0.1,0.5,1,5
-20,-56151.2285664248,-56151.220041734974,-56151.22029404591,-56151.22029101255,-56151.22028995886,-2713840202256.4185,-654384083769614.2,-2.660665252032058e+21,100000.0,100000.0,100000.0,100000.0
-15,-56151.22497113786,-56151.22057222062,-56151.2203264394,-56151.22029254556,-6238424.044078186,-3348882949354.0557,-1.0628139048629098e+16,-4.287414453737424e+23,100000.0,100000.0,100000.0,100000.0
-10,-56151.21963489803,-56151.22028726328,-56151.220285470496,-56151.22029098742,-629615301.6365327,-3421706579414808.5,-2.4166802110498836e+16,-7.904871539506256e+22,100000.0,100000.0,100000.0,100000.0
-5,-56151.22029365267,-56151.2202844961,-56151.22029014932,-29440575198.194244,-136595601894.5371,-5.760336294030304e+17,-1.8170978234909816e+20,-2.001350853434677e+23,100000.0,100000.0,100000.0,100000.0
-1,-56151.22010849899,-56151.220290744895,-18379218.278776657,-105250762611873.95,-5433396480649345.0,-2.578971901040308e+23,-1.6541954821206423e+23,-8.0746338345105e+23,100000.0,100000.0,100000.0,100000.0
0,-55302.097434709736,-55302.097434711315,-8493336527950129.0,-4.7219605638669255e+19,-2.8928911419941675e+19,-1.0498644226133893e+23,-2.1715611443371774e+22,-7.043022045116292e+22,100000.0,100000.0,100000.0,100000.0
1,-56151.22020801595,-56151.22029086809,-28012518.6147953,-64927481539165.7,-8600788675637859.0,-3.8433205540229853e+21,-9.213320562504554e+20,-2.907821674621731e+23,100000.0,100000.0,100000.0,100000.0
5,-56151.219721391775,-56151.22030001749,-56151.22029343813,-3204784067.00988,-100253696999.80501,-3968470925221890.5,-1.0518671747096254e+19,-5.881804175457128e+20,100000.0,100000.0,100000.0,100000.0
10,-56151.22275289664,-56151.22029289968,-56151.22027697555,-56151.22029175747,-666637841.4116138,-193825644599718.4,-6269826832217012.0,-4.204682531497374e+20,100000.0,100000.0,100000.0,100000.0
15,-56151.21696150053,-56151.220287591976,-56151.22022780319,-56151.22029227869,-8562628.056729488,-14602593713691.07,-5292062688683885.0,-1.261715541021606e+19,100000.0,100000.0,100000.0,100000.0
20,-56151.2102013294,-56151.22003197429,-56151.22016063738,-56151.22029740636,-56151.22029246274,-125485848280.84502,-15558442434121.506,-7.015730552271048e+18,100000.0,100000.0,100000.0,100000.0
