Time,mean_NED,lower_NED,upper_NED,mean_NED_ab,lower_NED_ab,upper_NED_ab,mean_NED_t,lower_NED_t,upper_NED_t
0.0,5.99361464980622e-09,-2.1190285742188373e-09,1.4106257873831276e-08,0.0001483928734894151,0.00012935549410944742,0.00016743025286938276,9.215224812971882e-05,8.00025282185589e-05,0.00010430196804087874
0.01,9.32460266481291e-09,-3.2996345446011575e-09,2.1948839874226978e-08,0.00022920100218719547,0.00019983228792403018,0.00025856971645036073,0.00013998005768848777,0.00012159438555938543,0.00015836572981759012
0.02,1.2544705879195977e-08,-4.442811028160755e-09,2.953222278655271e-08,0.00030630218755201775,0.0002670963849573174,0.0003455079901467181,0.00018445318935551594,0.00016025656164682164,0.00020864981706421025
0.03,1.5665208756142065e-08,-5.552383321386659e-09,3.688280083367079e-08,0.00038006703188683496,0.00033146762966513465,0.00042866643410853527,0.00022612520962642116,0.00019644556277414275,0.0002558048564786996
0.04,1.8691931116672314e-08,-6.6302532418470855e-09,4.401411547519171e-08,0.0004507255049319554,0.00039314359513353304,0.0005083074147303778,0.00026538920881892086,0.00023049048552033186,0.00030028793211750985
0.05,2.1629185032472077e-08,-7.677798807994419e-09,5.093616887293858e-08,0.0005184636295864211,0.00045228388394667984,0.0005846433752261623,0.00030255569335376305,0.0002626558125101714,0.00034245557419735473
0.06,2.4480663598173213e-08,-8.696188107532323e-09,5.765751530387875e-08,0.0005834456804424929,0.0005090294509776113,0.0006578619099073744,0.00033787927713480113,0.0002931615022402713,0.00038259705202933097
0.07,2.7249723116172174e-08,-9.686478485245758e-09,6.41859247175901e-08,0.0006458215933469745,0.0005635090325140147,0.0007281341541799343,0.00037157308693568986,0.0003221935828340261,0.00042095259103735365
0.08,2.9939494710429396e-08,-1.0649655554176003e-08,7.05286449750348e-08,0.0007057301789688465,0.0006158419188949197,0.0007956184390427733,0.0004038182063881989,0.00034991119253016277,0.00045772522024623507
0.09,3.255293647144039e-08,-1.1586651186020553e-08,7.669252412890135e-08,0.0007633008456279716,0.0006661394296426513,0.0008604622616132919,0.00043477046510125093,0.00037645180040088053,0.0004930891298016213
0.1,3.5092861410094887e-08,-1.24983530289471e-08,8.268407584913688e-08,0.0008186546960581619,0.0007145058450329614,0.0009228035470833624,0.0004645655994149303,0.0004019353326553135,0.0005271958661745471
0.11,3.7561954430744584e-08,-1.3385610137251081e-08,8.850951899874024e-08,0.0008719053220071244,0.0007610390764543158,0.000982771567559933,0.0004933233768817651,0.0004264676236611118,0.0005601791301024184
0.12,3.9962783834496064e-08,-1.424923663782162e-08,9.417480430681374e-08,0.0009231594337395847,0.0008058311949571262,0.0010404876725220431,0.0005211510371685014,0.0004501434322185307,0.0005921586421184722
0.13,4.2297809857324485e-08,-1.509001434597012e-08,9.968563406061908e-08,0.0009725173885588326,0.0008489688737619968,0.0010960659033556685,0.0005481459540145129,0.00047304878879362856,0.0006232431192353973
0.14,4.456939145661361e-08,-1.5908694793286724e-08,1.0504747770651394e-07,0.0010200736510797958,0.0008905337731214632,0.0011496135290381285,0.0005743966608439307,0.0004952615677781541,0.0006535317539097073
0.15,4.677979196778727e-08,-1.6706000931995107e-08,1.1026558486756965e-07,0.0010659172033623515,0.000930602883174605,0.001201231523550098,0.0005999822726963343,0.0005168502785569247,0.0006831142668357438
0.16,4.8931184060868445e-08,-1.7482628576979348e-08,1.1534499669871624e-07,0.0011101319157148558,0.0009692488340716744,0.0012510149973580372,0.0006249730217820236,0.0005378742977162794,0.0007120717458477678
0.17,5.102565416511634e-08,-1.8239247701721393e-08,1.2029055603195409e-07,0.0011527968851064272,0.0010065401792756163,0.001299053590937238,0.000649432570447133,0.0005583862980429615,0.0007404788428513045
0.18,5.3065206522016504e-08,-1.8976503599158293e-08,1.2510691664319131e-07,0.0011939867459538006,0.0010425416560604641,0.0013454318358471372,0.000673419975472879,0.0005784343008948964,0.0007684056500508616
0.19,5.505176691932678e-08,-1.969501796635117e-08,1.2979855180500473e-07,0.0012337719567625757,0.0010773144261141693,0.001390229487410982,0.0006969907278344047,0.0005980626520916998,0.0007959188035771096
0.2,5.698718619006753e-08,-2.039538990218923e-08,1.3436976228232428e-07,0.0012722190653006388,0.001110916298463602,0.0014335218321376757,0.0007201973493973075,0.0006173124905492604,0.0008230822082453547
0.21,5.8873243494736475e-08,-2.1078196847143553e-08,1.388246838366165e-07,0.0013093909544555542,0.0011434019364904764,0.001475379972420632,0.0007430898522761137,0.000636222068014527,0.0008499576365377003
0.22,6.071164941283943e-08,-2.1743995476851817e-08,1.431672943025307e-07,0.0013453470705651394,0.0011748230505002582,0.0015158710906300206,0.0007657161530774208,0.000654827023413849,0.0008766052827409926
0.23,6.250404888221486e-08,-2.239332253655237e-08,1.474014203009821e-07,0.0013801436357487337,0.0012052285770870167,0.0015550586944104508,0.0007881224614037563,0.0006731606292041,0.0009030842936034126
0.24,6.425202397597674e-08,-2.3026695645572636e-08,1.515307435975261e-07,0.0014138338455695033,0.0012346648463738316,0.001593002844765175,0.0008103536463692306,0.0006912540092549685,0.0009294532834834927
0.25,6.595709654741684e-08,-2.36446140595927e-08,1.555588071544264e-07,0.0014464680532036036,0.001263175738081582,0.0016297603683256253,0.0008324535835777512,0.000709136326783505,0.0009557708403719974
0.26,6.76207307422083e-08,-2.4247559402806288e-08,1.5948902088722289e-07,0.001478093941167216,0.0012908028272775082,0.0016653850550569238,0.0008544654859508005,0.0007268349422982034,0.0009820960296033977
0.27,6.924433539360804e-08,-2.483599636670695e-08,1.6332466715392304e-07,0.0015087566815486122,0.0013175855205710947,0.0016999278425261298,0.0008764322225234827,0.0007443755425250416,0.0010084889025219238
0.28,7.082926630626278e-08,-2.5410373376908238e-08,1.670689059894338e-07,0.001538499085604188,0.0013435611834540404,0.0017334369877543357,0.0008983966296638193,0.0007617822416921211,0.0010350110176355176
0.29,7.237682843168137e-08,-2.5971123237434953e-08,1.7072478010079767e-07,0.0015673617435011092,0.0013687652594201092,0.0017659582275821092,0.0009204018192816892,0.0007790776565699184,0.00106172598199346
0.3,7.388827794215151e-08,-2.6518663748971304e-08,1.7429521963327432e-07,0.0015953831549222885,0.0013932313814473184,0.0017975349283972585,0.0009424914886314275,0.0007962829564928508,0.0010887000207700042
0.31,7.536482421894404e-08,-2.705339829426418e-08,1.7778304673215226e-07,0.0016225998511900054,0.0014169914763776147,0.001828208226002396,0.0009647102363691678,0.0008134178893384082,0.0011160025833999274
0.32,7.680763173899368e-08,-2.7575716412494137e-08,1.811909798904815e-07,0.0016490465095115037,0.0014400758626870681,0.0018580171563359392,0.0009871038896547863,0.0008305007841686936,0.001143706995140879
0.33,7.821782188940073e-08,-2.808599433792817e-08,1.8452163811672964e-07,0.001674756059902028,0.0014625133421014812,0.0018869987777025746,0.001009719847320059,0.000847548530968333,0.0011718911636717849
0.34,7.959647469414107e-08,-2.8584595524899648e-08,1.877775449131818e-07,0.0016997597852975643,0.001484331285477887,0.0019151882851172416,0.001032607444482479,0.0008645765376452277,0.0012006383513197304
