,1e-05,5e-05,0.0001,0.0005,0.001,0.005,0.01,0.05,0.1,0.5,1,5
-20,-806.2784082502335,-806.08461529811,-805.7234880019873,-803.1690680431561,-802.5652296607427,-804.6831189068695,-804.9811474596664,-806.8509607844001,-806.8642224889034,-804.6857542457319,-237.8317957221925,-127.57170730493493
-15,-806.339662902823,-806.0958507856608,-805.7277911556711,-803.1552458136475,-802.5506171196873,-804.8396540840777,-805.0228576536877,-806.871628102415,-806.6800893938436,-804.7596511172211,-289.2962849890389,-127.96912085944209
-10,-806.50659640789,-806.1266059730833,-805.7384920032808,-803.127518320839,-802.5644851928367,-804.970588824266,-805.147655942601,-806.8078650861603,-805.9317113472324,-804.8251115295976,-347.15590194632887,-129.06246895486805
-5,-807.261402081004,-820.2282601312007,-805.773301934916,-820.836068011004,-802.9789757784131,-805.1375947246283,-806.4530448903735,-805.9976347807763,-805.243253353302,-804.8805867911527,-411.8304261439379,-130.74920036758402
-1,-810.0412816541622,-806.8206896951704,-805.8192433633064,-806.6340558387229,-808.1048234618148,-806.2064043362354,-806.1360912280945,-805.2666616733519,-805.124291307515,-804.9180388658309,-468.89192650867585,-132.4668073377532
0,-813.3735774934148,-807.7723258167206,-806.8472530367541,-806.431070837619,-806.4406496274238,-805.8139596003828,-805.776385536932,-805.2204747661478,-805.1187430661585,-804.9265224225267,-483.92972551892075,-132.9421760338111
1,-810.2179985532381,-807.112794994037,-806.1986279886504,-804.8136643417491,-806.2190791921865,-805.4002568928578,-805.4514704357473,-805.1934713145974,-805.1164924852005,-804.9346027461885,-499.27783767345693,-133.4347981300532
5,-807.2874040874938,-821.3221154384297,-805.9104938342961,-820.8363286047884,-803.5520218188747,-805.0564989790711,-804.9544002169538,-805.1212562176337,-805.1142029849995,-804.9637566483229,-563.6301978149061,-135.5673806877085
10,-806.5141901223008,-806.1552841563473,-805.7854691705336,-803.3174342740037,-803.0616581467966,-804.7138835988721,-804.9670716714705,-804.9943893579251,-805.0929127996301,-810.3739838900475,-648.7753759143607,-138.56205635113486
15,-806.343011138206,-806.1124238825589,-805.7552636272526,-803.2744865696061,-802.9105662575686,-804.5156713565798,-804.8429156296486,-804.8639680200844,-805.0387165284717,-817.6447326586009,-730.4049973832462,-141.873068008986
20,-806.2804828678336,-806.096445307807,-805.7431611604745,-803.2577842398704,-802.8405788044392,-804.3551703521832,-804.7762067067772,-805.3904472210052,-804.9794527982958,-812.3546990920825,-790.1955310789153,-145.4554672984564
