Time,traj,gen,theta
1.0,1.1783000230789185,1.1733615288475594,0.005
2.0,1.1835999488830566,1.1740323016255456,0.01
3.0,1.1928999423980713,1.173612960585825,0.015
4.0,1.1549999713897705,1.1728981599162251,0.02
5.0,1.1679999828338623,1.1721054095387344,0.025
6.0,1.1881999969482422,1.171295725069635,0.03
7.0,1.190400004386902,1.1704863999218373,0.035
8.0,1.1611000299453735,1.1696823083640175,0.04
9.0,1.1735999584197998,1.1688847498031134,0.045
10.0,1.1639000177383425,1.1680939795337828,0.05
11.0,1.1575000286102295,1.167309940938329,0.055
12.0,1.151900053024292,1.1665324795448582,0.06
13.0,1.1619999408721924,1.1657614062578012,0.065
14.0,1.1723999977111816,1.1649965162512033,0.07
15.0,1.1711000204086304,1.1642375947100687,0.075
16.0,1.1706000566482544,1.1634844186412563,0.08
17.0,1.173200011253357,1.1627367575065346,0.085
18.0,1.1552000045776367,1.1619943735070848,0.09
19.0,1.1607999801635742,1.1612570217716276,0.095
20.0,1.152500033378601,1.160524450525634,0.1
21.0,1.1512000560760498,1.1597964012657351,0.105
22.0,1.1447999477386477,1.1590726089469565,0.11
23.0,1.158900022506714,1.1583528021853067,0.115
24.0,1.15910005569458,1.1576367034765724,0.12
25.0,1.149500012397766,1.1569240294316652,0.125
26.0,1.1481000185012815,1.1562144910286238,0.13
27.0,1.1339000463485718,1.1555077938812761,0.135
28.0,1.1366000175476074,1.1548036385245053,0.14
29.0,1.148300051689148,1.154101720715976,0.145
30.0,1.148300051689148,1.1534017317541263,0.15
31.0,1.1296000480651855,1.1527033588121522,0.155
32.0,1.1505000591278076,1.1520062852876414,0.16
33.0,1.1442999839782717,1.1513101911674402,0.165
34.0,1.1756000518798828,1.1506147534072595,0.17
35.0,1.138399958610535,1.149919646325444,0.17500000000000002
36.0,1.141700029373169,1.1492245420102452,0.18
37.0,1.164199948310852,1.14852911073987,0.185
38.0,1.153499960899353,1.147833021414469,0.19
39.0,1.1309000253677368,1.1471359419991702,0.195
40.0,1.166100025177002,1.1464375399771636,0.2
41.0,1.1446000337600708,1.1457374828117632,0.20500000000000002
42.0,1.1542999744415283,1.1450354384162995,0.21
43.0,1.1532000303268433,1.144331075630609,0.215
44.0,1.1617000102996826,1.143624064702815,0.22
45.0,1.128600001335144,1.1429140777750282,0.225
46.0,1.120100021362305,1.14220078937152,0.23
47.0,1.1461999416351318,1.1414838768878743,0.23500000000000001
48.0,1.1347999572753906,1.1407630210795592,0.24
49.0,1.1328999996185305,1.140037906548317,0.245
50.0,1.1272000074386597,1.1393082222247408,0.25
51.0,1.1038999557495115,1.1385736618453646,0.255
52.0,1.1370999813079834,1.1378339244225812,0.26
53.0,1.1549999713897705,1.1370887147057034,0.265
54.0,1.146299958229065,1.1363377436314552,0.27
55.0,1.1440999507904053,1.1355807287622337,0.275
56.0,1.1276999711990356,1.134817394710471,0.28
57.0,1.121000051498413,1.1340474735474835,0.28500000000000003
58.0,1.1574000120162964,1.1332707051952349,0.29
