Time,traj,gen,theta
1.0,1.1783000230789185,1.179023092572777,5.00005
2.0,1.1835999488830566,1.177184934149011,5.0001
3.0,1.1928999423980713,1.176557376664789,5.00015
4.0,1.1549999713897705,1.1758009967534235,5.0002
5.0,1.1679999828338623,1.175055055442101,5.00025
6.0,1.1881999969482422,1.1743054981944852,5.0003
7.0,1.190400004386902,1.1735536972211662,5.00035
8.0,1.1611000299453735,1.1727995084390272,5.0004
9.0,1.1735999584197998,1.1720429330587763,5.00045
10.0,1.1639000177383425,1.1712839586334098,5.0005
11.0,1.1575000286102295,1.1705225738823515,5.00055
12.0,1.151900053024292,1.1697587673432395,5.0006
13.0,1.1619999408721924,1.1689925274914685,5.00065
14.0,1.1723999977111816,1.1682238427284233,5.0007
15.0,1.1711000204086304,1.1674527013821603,5.00075
16.0,1.1706000566482544,1.1666790917068397,5.0008
17.0,1.173200011253357,1.1659030018821,5.00085
18.0,1.1552000045776367,1.1651244200124324,5.0009
19.0,1.1607999801635742,1.1643433341263858,5.0009500000000005
20.0,1.152500033378601,1.1635597321765658,5.001
21.0,1.1512000560760498,1.1627736020382144,5.00105
22.0,1.1447999477386477,1.1619849315092665,5.0011
23.0,1.158900022506714,1.1611937083094972,5.00115
24.0,1.15910005569458,1.1603999200799535,5.0012
25.0,1.149500012397766,1.1596035543818743,5.00125
26.0,1.1481000185012815,1.1588045986969746,5.0013
27.0,1.1339000463485718,1.1580030404259105,5.00135
28.0,1.1366000175476074,1.1571988668881659,5.0014
29.0,1.148300051689148,1.1563920653212563,5.00145
30.0,1.148300051689148,1.155582622880047,5.0015
31.0,1.1296000480651855,1.1547705266359003,5.00155
32.0,1.1505000591278076,1.1539557635766187,5.0016
33.0,1.1442999839782717,1.1531383206047963,5.00165
34.0,1.1756000518798828,1.1523181845382737,5.0017000000000005
35.0,1.138399958610535,1.151495342108376,5.00175
36.0,1.141700029373169,1.1506697799603103,5.0018
37.0,1.164199948310852,1.1498414846510059,5.00185
38.0,1.153499960899353,1.149010442649967,5.0019
39.0,1.1309000253677368,1.1481766403377378,5.00195
40.0,1.166100025177002,1.147340064004993,5.002
41.0,1.1446000337600708,1.1465006998523108,5.00205
42.0,1.1542999744415283,1.1456585339892627,5.0021
43.0,1.1532000303268433,1.1448135524334475,5.00215
44.0,1.1617000102996826,1.143965741110435,5.0022
45.0,1.128600001335144,1.1431150858517185,5.00225
46.0,1.120100021362305,1.1422615723953982,5.0023
47.0,1.1461999416351318,1.141405186384361,5.00235
48.0,1.1347999572753906,1.1405459133662248,5.0024
49.0,1.1328999996185305,1.139683738791689,5.00245
50.0,1.1272000074386597,1.1388186480147624,5.0025
51.0,1.1038999557495115,1.137950626291115,5.00255
52.0,1.1370999813079834,1.1370796587779637,5.0026
53.0,1.1549999713897705,1.1362057305324242,5.00265
54.0,1.146299958229065,1.1353288265115111,5.0027
55.0,1.1440999507904053,1.1344489315707165,5.00275
56.0,1.1276999711990356,1.1335660304636122,5.0028
57.0,1.121000051498413,1.1326801078405992,5.0028500000000005
58.0,1.1574000120162964,1.1317911482482828,5.0029
