Time,traj,gen
0.01,-2.2157930551457268,-2.2157925369216946
0.02,-2.215471481199841,-2.215471018135302
0.03,-2.214859709527679,-2.214859578617896
0.04,-2.213986145594256,-2.2139864228096213
0.05,-2.2128764751048657,-2.2128771084631684
0.06,-2.2115539013149372,-2.211554765714235
0.07,-2.210039367582723,-2.2100403048887554
0.08,-2.20835176466844,-2.2083526120329737
0.09,-2.2065081227220715,-2.2065087316391323
0.1,-2.204523788228103,-2.2045240364168834
0.11,-2.2024125864104054,-2.2024123842468133
0.12,-2.2001869697627208,-2.200186262663909
0.13,-2.1978581534751616,-2.1978569213695485
0.14,-2.1954362385877007,-2.195434493372786
0.15,-2.192930323728289,-2.192928105425539
0.16,-2.1903486062945494,-2.190345978450314
0.17,-2.1876984739208023,-2.1876955186703126
0.18,-2.1849865870418914,-2.184983400145903
0.19,-2.18221895332614,-2.1822156394030583
0.2,-2.1794009947050896,-2.179397662812216
0.21,-2.176537607679927,-2.176534367342909
0.22,-2.173633217535613,-2.173630175282761
0.23,-2.1706918270450433,-2.17068908347076
0.24,-2.167717060198117,-2.1677147075554073
0.25,-2.164712201445026,-2.1647103217493675
0.26,-2.161680230899906,-2.1616788945143472
0.27,-2.158623855910408,-2.1586231205735418
0.28,-2.1555455393609937,-2.1555454496144897
0.29,-2.1524475250427617,-2.15244811201272
0.3,-2.1493318603904217,-2.1493331418763093
0.31,-2.1462004168575266,-2.1462023976833566
0.32,-2.143054908174114,-2.143057580758481
0.33,-2.139896906706391,-2.1399002518106154
0.34,-2.136727858115844,-2.1367318457325686
0.35,-2.133549094494977,-2.1335536848429375
0.36,-2.130361846138704,-2.1303669907328406
0.37,-2.127167252093949,-2.127172894863511
0.38,-2.123966369615243,-2.1239724480459006
0.39,-2.120760182640778,-2.120766628919984
0.4,-2.117549609391407,-2.117556351539296
0.41,-2.114335509184366,-2.1143424721552826
0.42,-2.111118688543818,-2.11112579528618
0.43,-2.107899906681729,-2.1079070791462637
0.44,-2.104679880414815,-2.104687040503341
0.45,-2.1014592885763874,-2.101466359025197
0.46,-2.0982387759757177,-2.098245681169296
0.47,-2.0950189569519977,-2.095025623664275
0.48,-2.0918004185650063,-2.0918067766266155
0.49,-2.0885837234601548,-2.088589706351265
0.5,-2.0853694124416173,-2.0853749578108403
0.51,-2.082158006783701,-2.082163056894361
0.52,-2.078950010307439,-2.0789545124131434
0.53,-2.075745911246559,-2.0757498178985316
0.54,-2.0725461839244335,-2.072549453213517
0.55,-2.0693512902613658,-2.0693538859979093
0.56,-2.066161681129531,-2.0661635729646393
0.5700000000000001,-2.062977797571081,-2.0629789610628775
0.58,-2.059800071893303,-2.0598004885219696
0.59,-2.056628928653282,-2.056628585788698
0.6,-2.0534647855432024,-2.053463676369025
0.61,-2.0503080541862873,-2.050306177584289
0.62,-2.047159140852327,-2.0471565012507433
0.63,-2.044018447100816,-2.0440150542903837
0.64,-2.0408863703589017,-2.0408822392801556
0.65,-2.0377633044405936,-2.037758454945869
0.66,-2.0346496400130194,-2.0346440966064763
0.67,-2.031545765014925,-2.0315395565737546
0.68,-2.0284520650320745,-2.028445224511905
0.6900000000000001,-2.0253689236337307,-2.0253614877610886
0.7000000000000001,-2.0222967226739734,-2.0222887316284877
0.71,-2.019235842561221,-2.0192273396501097
0.72,-2.0161866624989817,-2.0161776938261884
0.73,-2.013149560700558,-2.0131401748327473
0.74,-2.0101249145801323,-2.010115162211604
0.75,-2.0071131009224428,-2.0071030345408607
0.76,-2.0041144960330017,-2.004104169587696
0.77,-2.001129475870643,-2.0011189444450896
0.78,-1.9981584161639765,-1.998147735653926
0.79,-1.9952016925131864,-1.9951909193117798
0.8,-1.9922596804784547,-1.992248871169535
0.81,-1.9893327556561649,-1.9893219667168707
0.8200000000000001,-1.986421293743925,-1.9864105812575394
0.8300000000000001,-1.9835256705953404,-1.9835150899752556
0.84,-1.980646262265376,-1.98063586799093
0.85,-1.9777834450470608,-1.9777732904119039
0.86,-1.9749375955002084,-1.9749277323737668
0.87,-1.9721090904727687,-1.9720995690752763
0.88,-1.9692983071153465,-1.969289175806844
0.89,-1.9665056228893845,-1.9664969279729996
0.9,-1.963731415569451,-1.9637232011092
0.91,-1.9609760632400195,-1.9609683708933099
0.92,-1.958239944287104,-1.9582328131520437
0.93,-1.9555234373850596,-1.9555169038626268
0.94,-1.9528269214788376,-1.9528210191499047
0.95,-1.9501507757619472,-1.9501455352791024
0.96,-1.947495379650355,-1.9474908286444146
0.97,-1.944861112752518,-1.9448572757535838
0.98,-1.9422483548357456,-1.9422452532086092
0.99,-1.9396574857890387,-1.939655137682709
1.0,-1.937088885582562,-1.9370873058936444
1.01,-1.934542934223872,-1.934542134573506
1.02,-1.932020011711019,-1.9320200004350419
1.03,-1.9295204979826237,-1.9295212801346047
1.04,-1.9270447728650204,-1.9270463502317856
1.05,-1.924593216016548,-1.9245955871457876
1.06,-1.9221662068690568,-1.922169367108592
1.07,-1.9197641245666972,-1.919768066114962
1.08,-1.917387347902049,-1.9173920598693217
1.09,-1.9150362552496336,-1.9150417237295445
1.1,-1.9127112244968616,-1.9127174326476832
1.11,-1.910412632972445,-1.9104195611076664
1.12,-1.9081408573723209,-1.9081484830599866
1.13,-1.9058962736831055,-1.905904571853402
1.14,-1.9036792571031136,-1.9036882001636712
1.15,-1.9014901819609649,-1.9014997399193412
1.16,-1.8993294216318,-1.8993395622246032
1.17,-1.8971973484511315,-1.8972080372792366
1.18,-1.8950943336263408,-1.8951055342956562
1.19,-1.8930207471458416,-1.893032421413078
1.2,-1.890976957685936,-1.8909890656088237
1.21,-1.888963332515365,-1.8889758326067787
1.22,-1.88698023739758,-1.8869930867830236
1.23,-1.885028036490752,-1.8850411910686582
1.24,-1.8831070922455275,-1.8831205068498393
1.25,-1.8812177653005604,-1.881231393865054
1.26,-1.8793604143758265,-1.8793742100996542
1.27,-1.8775353961637484,-1.8775493116776774
1.28,-1.875743065218151,-1.875757052750982
1.29,-1.8739837738410636,-1.8739977853857301
1.3,-1.872257871967401,-1.8722718594462486
1.31,-1.8705657070475448,-1.8705796224763063
1.32,-1.8689076239278537,-1.8689214195778452
1.33,-1.867283964729133,-1.8672975932872091
1.34,-1.865695068723101,-1.8657084834489142
1.35,-1.8641412722068775,-1.8641544270870092
1.36,-1.862622908375544,-1.8626357582740791
1.37,-1.8611403071928068,-1.8611528079979476
1.38,-1.8596937952598176,-1.8597059040261357
1.39,-1.8582836956821889,-1.8582953707681429
1.4,-1.8569103279352603,-1.8569215291356165
1.41,-1.855574007727671,-1.8555846964004803
1.42,-1.854275046863292,-1.8542851860510983
1.43,-1.8530137531015831,-1.853023307646554
1.44,-1.8517904300164407,-1.8517993666691297
1.45,-1.8506053768536,-1.8506136643750708
1.46,-1.8494588883866736,-1.8494664976437354
1.47,-1.8483512547718948,-1.8483581588252183
1.48,-1.8472827614016576,-1.8472889355865596
1.49,-1.846253688756927,-1.846259110756639
1.5,-1.845264312258624,-1.8452689621698712
1.51,-1.8443149021180667,-1.8443187625088173
1.52,-1.8434057231865777,-1.843408779145834
1.53,-1.8425370348043544,-1.842539273983886
1.54,-1.8417090906487137,-1.8417105032966534
1.55,-1.8409221385818255,-1.8409227175680694
1.56,-1.8401764204980504,-1.840176161331427
1.57,-1.8394721721710028,-1.8394710730082027
1.58,-1.838809623100469,-1.8388076847467443
1.59,-1.838188996359313,-1.8381862222609775
1.6,-1.8376105084405012,-1.837606904669291
1.61,-1.8370743691043911,-1.8370699443337626
1.62,-1.836580781226427,-1.836575546699892
1.63,-1.836129940645392,-1.8361239101370168
1.64,-1.8357220360123736,-1.8357152257795797
1.65,-1.835357248640595,-1.8353496773694344
1.66,-1.8350357523562788,-1.8350274410993679
1.67,-1.8347577133507105,-1.8347486854580275
1.68,-1.8345232900336648,-1.834513571076444
1.69,-1.834332632888378,-1.8343222505763415
1.7,-1.834185884328235,-1.8341748684204335
1.71,-1.834083178555357,-1.834071560764901
1.72,-1.834024641421271,-1.834012455314254
1.73,-1.834010390289849,-1.8339976711787824
1.74,-1.8340405339027048,-1.8340273187347975
1.75,-1.8341151722472395,-1.8341014994878735
1.76,-1.8342343964275336,-1.8342203059392947
1.77,-1.8343982885382712,-1.8343838214559194
1.78,-1.834606921541907,-1.8345921201436648
1.79,-1.83486035914926,-1.8348452667248283
1.8,-1.8351586557037427,-1.835143316419447
1.81,-1.8355018560694216,-1.8354863148309093
1.82,-1.835889995523105,-1.8358742978360203
1.83,-1.8363230996506636,-1.8363072914797307
1.84,-1.8368011842477756,-1.8367853118747286
1.85,-1.8373242552252964,-1.8373083651060975
1.86,-1.8378923085194496,-1.837876447141236
1.87,-1.838505330007027,-1.8384895437452362
1.88,-1.8391632954257977,-1.8391476304019088
1.89,-1.8398661703002996,-1.839850672240642
1.9,-1.840613909873216,-1.8405986239692755
1.91,-1.8414064590424988,-1.8413914298131655
1.92,-1.8422437523044288,-1.8422290234606098
1.93,-1.8431257137027743,-1.843111328014797
1.94,-1.8440522567842197,-1.8440382559524382
1.95,-1.8450232845602172,-1.8450097090892277
1.96,-1.8460386894754215,-1.846025578552276
1.97,-1.8470983533828471,-1.8470857447596483
1.98,-1.8482021475258896,-1.8481900774071338
1.99,-1.8493499325273404,-1.8493384354623579
2.0,-1.8505415583855196,-1.8505306671663462
2.01,-1.8517768644776331,-1.8517666100426344
2.02,-1.8530556795704665,-1.8530460909140087
2.03,-1.8543778218384988,-1.8543689259269505
2.04,-1.8557430988895305,-1.8557349205838476
2.05,-1.8571513077978885,-1.8571438697830247
2.06,-1.858602235145276,-1.8585955578666284
2.07,-1.860095657069314,-1.8600897586763965
2.08,-1.8616313393198096,-1.8616262356173225
2.09,-1.8632090373227843,-1.8632047417292183
2.1,-1.8648284962522672,-1.8648250197661613
2.11,-1.8664894511098569,-1.8664868022838004
2.12,-1.86819162681204,-1.8681898117344824
2.13,-1.8699347382852367,-1.8699337605701458
2.14,-1.8717184905685376,-1.8717183513529143
2.15,-1.8735425789240732,-1.8735432768733122
2.16,-1.875406688954954,-1.875408220276005
2.17,-1.877310496730696,-1.8773128551929597
