Time,mean_smape,lower_smape,upper_smape,mean_smape_ab,lower_smape_ab,upper_smape_ab,mean_smape_t,lower_smape_t,upper_smape_t,mean_smape_AIC,lower_smape_AIC,upper_smape_AIC
0.0,1.8057701862185092e-08,1.5369049582369846e-08,2.074635414200034e-08,0.31007460102594037,0.26142696166159984,0.3587222403902809,0.6516918882385448,0.5743372342105401,0.7290465422665496,1.1803614842801957e-08,1.0105735757598296e-08,1.3501493928005617e-08
0.01,1.803099713776137e-08,1.534678026035508e-08,2.071521401516766e-08,0.310046864740528,0.26140201413124226,0.35869171534981376,0.6516804853508412,0.5743270978797623,0.7290338728219201,1.1786413055944236e-08,1.0091195043509065e-08,1.3481631068379408e-08
0.02,1.8004402298057033e-08,1.5324602840188708e-08,2.068420175592536e-08,0.3100190302583297,0.2613769744064246,0.35866108611023484,0.6516691003296661,0.5743169773058809,0.7290212233534512,1.1769282333789402e-08,1.0076714434263784e-08,1.3461850233315019e-08
0.03,1.7977916719537826e-08,1.530251680282479e-08,2.065331663625086e-08,0.3099910979194345,0.2613518427987838,0.3586303530400852,0.6516577331631077,0.5743068724788956,0.7290085938473199,1.1752222251964167e-08,1.006229356956288e-08,1.3442150934365454e-08
0.04,1.7951539733816525e-08,1.5280521583926497e-08,2.0622557883706552e-08,0.3099630680612723,0.26132661961746834,0.3585995165050762,0.6516463838392907,0.5742967833888365,0.728995984289745,1.1735232391487058e-08,1.0047932092405402e-08,1.3422532690568714e-08
0.05,1.7925270728484932e-08,1.5258616672023792e-08,2.0591924784946073e-08,0.3099349410186395,0.26130130516916233,0.35856857686811666,0.6516350523463772,0.574286710025766,0.7289833946669884,1.17183123525079e-08,1.0033629665041895e-08,1.3402995039973904e-08
0.06,1.789910906005964e-08,1.523680152704708e-08,2.0561416593072202e-08,0.3099067171237277,0.2612758997581126,0.3585375344893428,0.6516237386725673,0.5742766523797791,0.7289708249653555,1.1701461720085216e-08,1.001938593720562e-08,1.3383537502964811e-08
0.07,1.7873054122043655e-08,1.5215075642632358e-08,2.0531032601454952e-08,0.30987839670614964,0.26125040368615304,0.35850638972614624,0.6516124428060963,0.574266610441,0.7289582751711926,1.168468009714867e-08,1.0005200571739232e-08,1.3364159622558106e-08
0.08,1.7847105292612536e-08,1.5193438497326623e-08,2.0500772087898448e-08,0.30984998009296605,0.2612248172527303,0.3584751429332018,0.6516011647352374,0.5742565841995855,0.7289457452708894,1.1667967072289201e-08,9.991073219500194e-09,1.3344860925078209e-08
0.09,1.7821261943585583e-08,1.5171889562244317e-08,2.047063432492685e-08,0.309821467608711,0.26119914075492723,0.35844379446249475,0.6515899044482993,0.5742465736457221,0.7289332352508766,1.1651322260707569e-08,9.977003556140474e-09,1.3325640965274664e-08
0.1,1.7795523468003848e-08,1.5150428330270945e-08,2.044061860573675e-08,0.30979285957541836,0.2611733744874885,0.3584123446633482,0.6515786619336299,0.5742365787696303,0.7289207450976295,1.1634745250008737e-08,9.962991230147418e-09,1.3306499269870056e-08
0.11,1.7769889273652556e-08,1.5129054305773547e-08,2.0410724241531565e-08,0.3097641563126459,0.2611475187428427,0.35838079388244914,0.6515674371796087,0.5742265995615566,0.7289082747976608,1.1618235667103415e-08,9.949035927289498e-09,1.3287435406917333e-08
0.12,1.774435875766251e-08,1.5107766982614107e-08,2.0380950532710912e-08,0.3097353581375021,0.2611215738111281,0.35834914246387606,0.6515562301746578,0.5742166360117844,0.7288958243375312,1.1601793107317219e-08,9.935137303513964e-09,1.3268448911120473e-08
0.13,1.7718931326185436e-08,1.5086565863765658e-08,2.0351296788605213e-08,0.3097064653646688,0.2610955399802139,0.35831739074912367,0.6515450409072318,0.5742066881106244,0.7288833937038391,1.1585417202529766e-08,9.921295049999334e-09,1.3249539355060199e-08
