initial value,smape
"(0.2,4)",0.7552163335033528
"(0.2,4.5)",0.6852584183327503
"(0.2,5)",0.6452845191310476
"(0.2,5.5)",0.7714177687665663
"(0.2,6)",0.6635619516825875
"(0.2,6.5)",0.7187271469782105
"(0.2,7)",0.761537549658967
"(0.2,7.5)",0.6455509607464458
"(0.2,8)",0.6582716035363477
"(0.2,8.5)",0.6615912887125343
"(0.4,4)",0.7405383236165219
"(0.4,4.5)",0.563312229115323
"(0.4,5)",0.931905686432062
"(0.4,5.5)",0.7868894094639085
"(0.4,6)",0.7084470797714746
"(0.4,6.5)",0.7159534064753057
"(0.4,7)",0.7432950732653635
"(0.4,7.5)",0.6408105069185847
"(0.4,8)",0.6703702093447678
"(0.4,8.5)",0.6641348263502493
"(0.6,4)",0.5718473576092759
"(0.6,4.5)",0.8752528015436016
"(0.6,5)",0.8581016191830431
"(0.6,5.5)",0.7869051317204815
"(0.6,6)",0.7771829773668825
"(0.6,6.5)",0.6615326851163945
"(0.6,7)",0.630384388048494
"(0.6,7.5)",0.7770984057855317
"(0.6,8)",0.6722894985978519
"(0.6,8.5)",0.6666214143566548
"(0.8,4)",0.559632024825368
"(0.8,4.5)",0.7687095591916159
"(0.8,5)",0.6557196683763505
"(0.8,5.5)",0.7915983190209508
"(0.8,6)",0.5872630673569047
"(0.8,6.5)",0.7151182846089272
"(0.8,7)",0.7195591323086673
"(0.8,7.5)",0.6457622026068021
"(0.8,8)",0.6740685558742903
"(0.8,8.5)",0.6367371888092219
"(1,4)",0.506670992966495
"(1,4.5)",0.6200530455622887
"(1,5)",0.8204514680132691
"(1,5.5)",0.9348981018428725
"(1,6)",0.7180743746696819
"(1,6.5)",0.7143087726734499
"(1,7)",0.7165167137220895
"(1,7.5)",0.6183304292866882
"(1,8)",0.6750019675623389
"(1,8.5)",0.629182972093176
"(1.2,4)",0.6877675276975141
"(1.2,4.5)",
"(1.2,5)",0.782460599203906
"(1.2,5.5)",0.5901703570960819
"(1.2,6)",0.7084785564553846
"(1.2,6.5)",0.7083828745725462
"(1.2,7)",0.7122032515033032
"(1.2,7.5)",0.6137600374059436
"(1.2,8)",0.67411487920411
"(1.2,8.5)",0.6705769179626668
"(1.4,4)",
"(1.4,4.5)",0.5378278289020086
"(1.4,5)",0.7941243319413015
"(1.4,5.5)",0.6348123084601163
"(1.4,6)",0.7750228527400531
"(1.4,6.5)",0.7817533244548303
"(1.4,7)",0.7094190078365495
"(1.4,7.5)",
"(1.4,8)",
"(1.4,8.5)",0.6696970577012282
"(1.6,4)",
"(1.6,4.5)",0.4853340961524109
"(1.6,5)",0.9007454752174431
"(1.6,5.5)",0.8813841583476437
"(1.6,6)",0.6202281591940878
"(1.6,6.5)",0.7044762464589053
"(1.6,7)",0.706104888617454
"(1.6,7.5)",
"(1.6,8)",0.6188371822273839
"(1.6,8.5)",0.668745797268344
"(1.8,4)",
"(1.8,4.5)",0.5719735222758777
"(1.8,5)",
"(1.8,5.5)",0.8664007623763859
"(1.8,6)",0.9447696177190844
"(1.8,6.5)",0.6984186131091266
"(1.8,7)",0.7019261840700817
"(1.8,7.5)",0.5990772322086624
"(1.8,8)",0.6141166956746251
"(1.8,8.5)",0.6677966172137088
"(2,4)",
"(2,4.5)",
"(2,5)",0.5352922179727788
"(2,5.5)",
"(2,6)",0.566800058429299
"(2,6.5)",0.6983688855441237
"(2,7)",0.6977849314149309
"(2,7.5)",0.8543662630717211
"(2,8)",0.6077188257907679
"(2,8.5)",
